,Concept_ID,av,ba
0,Ohr::N,гӏин,ҡолаҡ
1,Nase::N,мегӏер,танау
2,Mund::N,кӏал,ауыҙ
3,Zahn::N,гӏус,теш
4,Zunge::N,мацӏ,тел
5,Lippe::N,кӏветӏ,ирен
6,Wange::N,гӏоно,яцаҡтар
7,Gesicht::N,гьумер,бит
8,Stirn::N,нодо,маңлай
9,Haar::N,рас,сәс
10,Schnurrbart::N,михъ,мылтыҡ
11,Bart::N,мегеж,һаҡал
12,Kinn::N,нилъу,эйэк
13,Kiefer[Anatomie]::N,чанагъ,яңаҡ һөйәге
14,Kehle::N,щекъер,тамаҡ
15,Hals::N,габур,муйын
16,Genick::N,гъванща,соңҡа
17,Kopf::N,бетӏер,баш
18,Rücken::N,мугъ,арҡа
19,Bauch::N,чехь,ҡорһаҡ
20,Nabel::N,цӏину,кендек
21,Busen::N,керен,күкрәк
22,Brust::N,керен,түш
23,Schulter::N,гъажазубетӏер,яурын
24,Arm::N,гъеж,ҡул
25,Ellenbogen::N,гӏункӏрукь,терһәк
26,Hand::N,квер,ҡул
27,Hand::N,квер,ҡул суғы
28,Handfläche::N,огъохъат,ус төбө
29,Handfläche::N,жанисахъат,ус төбө
30,Finger::N,килищ,бармаҡ
31,Fingernagel::N,малъ,тырнаҡ
32,Nagel[Anatomie]::N,малъ,тырнаҡ
33,Zeh::N,килищ,бармаҡ
34,Fuß::N,хӏетӏ,табан
35,Fuß::N,хӏетӏе,табан
36,Ferse::N,эгъе,үксә
37,Knie::N,наку,тубыҡ
38,Oberschenkel::N,мачӏ,сандыр
39,Bein::N,бох,аяҡ
40,Körper::N,къаркъала,тән
41,Haut::N,тӏом,тире
42,Blut::N,би,ҡан
43,Ader::N,бидурихь,тамыр
44,Knochen::N,ракьа,һойәк
45,Gehirn::N,гӏадалнах,мейе
46,Herz::N,ракӏ,йорәк
47,Magen::N,кванирукъ,ашҡаҙан
48,Leber::N,тӏул,бауыр
49,Atem::N,хӏухь,һулыш
50,Hunger::N,ракъи,аслыҡ
51,Träne::N,магӏу,күҙ иәше
52,Geschmack::N,тату,тәм
53,Geruch::N,махӏ,еҫ
54,Schlaf::N,макьу,йоҡлау
55,Traum::N,макьу,төш
56,Himmel::N,зоб,күк
57,Sonne::N,бакъ,ҡояш
58,Mond::N,моцӏ,ай
