,Concept_ID,bg,av
0,Auge::N,око,
1,Ohr::N,ухо,гӏин
2,Nase::N,нос,мегӏер
3,Mund::N,уста,кӏал
4,Zahn::N,зъб,гӏус
5,Zunge::N,език,мацӏ
6,Lippe::N,устна,кӏветӏ
7,Wange::N,буза,гӏоно
8,Gesicht::N,лице,гьумер
9,Gesicht::N,образ,гьумер
10,Stirn::N,чело,нодо
11,Haar::N,коса,рас
12,Haar::N,косъм,рас
13,Schnurrbart::N,мустаци,михъ
14,Bart::N,брада,мегеж
15,Kinn::N,брада,нилъу
16,Kinn::N,брадичка,нилъу
17,Kiefer[Anatomie]::N,челюст,чанагъ
18,Kehle::N,гърло,щекъер
19,Hals::N,врат,габур
20,Genick::N,тил,гъванща
21,Kopf::N,глава,бетӏер
22,Rücken::N,гръб,мугъ
23,Bauch::N,корем,чехь
24,Nabel::N,пъп,цӏину
25,Busen::N,бозка,керен
26,Brust::N,гръд,керен
27,Schulter::N,рамо,гъажазубетӏер
28,Schulter::N,плещи,гъажазубетӏер
29,Arm::N,ръка,гъеж
30,Ellenbogen::N,лакът,гӏункӏрукь
31,Hand::N,ръка,квер
32,Hand::N,китка,квер
33,Handfläche::N,длан,огъохъат
34,Handfläche::N,длан,жанисахъат
35,Finger::N,пръст,килищ
36,Fingernagel::N,нокът,малъ
37,Nagel[Anatomie]::N,нокът,малъ
38,Zeh::N,пръст на крак,килищ
39,Fuß::N,крак,хӏетӏ
40,Fuß::N,крак,хӏетӏе
41,Fuß::N,нога,хӏетӏ
42,Fuß::N,нога,хӏетӏе
43,Ferse::N,пета,эгъе
44,Knie::N,коляно,наку
45,Oberschenkel::N,бедро,мачӏ
46,Bein::N,крак,бох
47,Bein::N,нога,бох
48,Körper::N,тяло,къаркъала
49,Haut::N,кожа,тӏом
50,Blut::N,кръв,би
51,Ader::N,вена,бидурихь
52,Ader::N,артерия,бидурихь
53,Sehne::N,жила,
54,Sehne::N,сухожилие,
55,Knochen::N,кост,ракьа
56,Gehirn::N,мозък,гӏадалнах
57,Herz::N,сърце,ракӏ
58,Magen::N,стомах,кванирукъ
59,Leber::N,черен дроб,тӏул
60,Atem::N,дишане,хӏухь
61,Hunger::N,глад,ракъи
62,Träne::N,сълза,магӏу
63,Geschmack::N,вкус,тату
64,Geruch::N,миризма,махӏ
65,Schlaf::N,сън,макьу
66,Traum::N,сън,макьу
67,Himmel::N,небе,зоб
68,Sonne::N,слънце,бакъ
69,Mond::N,луна,моцӏ
70,Mond::N,месец,моцӏ
71,Stern::N,звезда,цӏва
72,Luft::N,въздух,гьава
73,Wind::N,вятър,гьури
74,Welle::N,вълна,карачел
75,Wasser::N,вода,лъим
76,Stein::N,камък,гьецӏо
77,Boden::N,земя,ракь
78,Boden::N,почва,ракь
79,Erde::N,земя,ракь
80,Erde::N,земя,дуниял
81,Erde::N,почва,ракь
82,Erde::N,почва,дуниял
83,Staub::N,прах,хӏур
84,Rauch::N,дим,кӏкӏуй
85,Rauch::N,пушек,кӏкӏуй
86,Funke::N,искра,
87,Feuer::N,огън,цӏа
88,Licht::N,светлина,канлъи
89,Schatten::N,сянка,рагӏад
90,Wetter::N,време,гьава-бакъ
91,Nebel::N,мъгла,гӏодобнакӏкӏ
92,Wolke::N,облак,накӏкӏ
93,Regen::N,дъжд,цӏад
94,Schnee::N,сняг,гӏазу
95,Eis::N,лед,цӏер
96,Frost::N,мраз,замгьари
97,Kälte::N,студ,квач
98,Hitze::N,жега,багӏари
99,Hitze::N,горещина,багӏари
100,Raureif::N,скреж,мартӏ
101,Raureif::N,слана,мартӏ
102,Regenbogen::N,дъга,нур
103,Regenbogen::N,дъга,чамбара
104,Donner::N,гръм,гъугъай
105,Donner::N,гръм,гъугъади
106,Strömung::N,течение,чвахи
107,Tropfen::N,капка,резел
108,Tropfen::N,капка,тӏинкӏ
109,Tropfen::N,капка,къатӏра
110,Tropfen::N,капка,тӏенкӏел
111,Schaum::N,пяна,полоп
112,Schmutz::N,кал,чороклъи
113,Schmutz::N,мръсотия,чороклъи
114,See::N,езеро,хӏор
115,Sumpf::N,блато,хьуцӏ
116,Moor::N,мочурище,
117,Wiese::N,ливада,мегъ
118,Wiese::N,ливада,гӏурдаллъи
119,Wald::N,гора,рохь
120,Hügel::N,рид,гохӏ
121,Hügel::N,хълм,гохӏ
122,Anhöhe::N,могила,сийитма
123,Anhöhe::N,възвишение,сийитма
124,Berg::N,планина,мегӏер
125,Gipfel::N,връх,тӏогь
126,Höhle::N,пещера,нохъо
127,Abhang::N,склон,лабаллъи
128,Abhang::N,стръмнина,лабаллъи
129,Quelle::N,извор,ицц
130,Bach::N,поток,лъар
131,Fluss::N,река,гӏор
132,Ufer::N,бряг,рагӏал
133,Küste::N,бряг,рагӏал
134,Küste::N,крайбрежие,рагӏал
135,Festland::N,суша,ракь
136,Festland::N,суша,ракъдаллъи
137,Meer::N,море,ралъад
138,Bucht::N,залив,кӏветӏ
139,Insel::N,остров,чӏинкӏиллъи
140,Blume::N,цвете,тӏегь
141,Gras::N,трева,хер
142,Wurzel::N,корен,кьибил
143,Baum::N,дърво,гъветӏ
144,Stamm::N,стъбло,рохти
145,Rinde::N,кора,макъар
146,Ast::N,клон,ноцӏ
147,Zweig::N,клон,гӏаркьел
148,Blatt::N,лист,тӏамах
149,Birke::N,бреза,мах
150,Birke::N,бреза,махигъветӏ
151,Kiefer[Baum]::N,бор,накӏкӏигъветӏ
152,Weide[Baum]::N,върба,рицӏцӏ
153,Weide[Baum]::N,върба,рицӏцӏигъветӏ
154,Tanne::N,ела,ёлка
155,Horn::N,рог,лълъар
156,Feder::N,перо,хӏули
157,Fell::N,кожа,тӏом
158,Fell::N,кожа,цӏоко
159,Flügel::N,крило,кваркьи
160,Klaue::N,нокът,галъ
161,Kralle::N,нокът,квачӏ
162,Kralle::N,нокът,катиквачӏ
163,Schwanz::N,опашка,рачӏ
164,Ei::N,яйце,хоно
165,Nest::N,гнездо,бусен
166,Bau::N,дупка,каратӏ
167,Tier::N,животно,хӏайван
168,Herde::N,стадо,рехъен
169,Herde::N,стадо,рехъед
170,Kuh::N,крава,гӏака
171,Bulle::N,бик,оц
172,Pferd::N,кон,чу
173,Schaf::N,овца,чахъу
174,Schwein::N,свиня,болъон
175,Hund::N,куче,гьой
176,Katze::N,котка,кету
177,Bär::N,мечка,ци
178,Eichhörnchen::N,катерица,гвангва
179,Elch::N,лос,
180,Fuchs::N,лисица,цер
181,Hase::N,заек,гӏанкӏ
182,Maus::N,мишка,гӏункӏкӏ
183,Wolf::N,вълк,бацӏ
184,Vogel::N,птица,хӏинчӏ
185,Schwarm::N,рой,тӏел
186,Schwarm::N,рояк,тӏел
187,Huhn::N,кокошка,гӏанкӏу
188,Hahn::N,петел,хӏелеко
189,Gans::N,гъска,хъаз
190,Adler::N,орел,цӏум
191,Ente::N,патица,ордек
192,Eule::N,сова,беццаруз
193,Kranich::N,жерав,къункъра
194,Krähe::N,врана,гъеду
195,Kuckuck::N,кукувица,гагу
196,Schwan::N,лебед,хӏанкъва
197,Fisch::N,риба,ччугӏа
198,Barsch::N,костур,окунь
199,Hecht::N,щука,щука
200,Schlange[Tier]::N,змия,борохь
201,Wurm::N,червей,хӏапара
202,Spinne::N,паяк,хъанхъра
203,Ameise::N,мравка,цӏунцӏра
204,Laus::N,въшка,нацӏ
205,Mücke::N,комар,кӏкӏара
206,Fliege::N,муха,тӏутӏ
207,Schmetterling::N,пеперуда,кӏалкӏучӏ
208,Beere::N,плод,
209,Apfel::N,ябълка,гӏеч
210,Pilz::N,гъба,гӏурдахӏан
211,Zwiebel::N,лук,кӏочӏопер
212,Zwiebel::N,кромид,кӏочӏопер
213,Saat::N,семе,хьон
214,Korn::N,зърно,мугь
215,Heu::N,сено,хер
216,Schale::N,кора,хъал
217,Grube::N,яма,гвенд
218,Grube::N,дупка,гвенд
219,Falle::N,примка,къор
220,Falle::N,примка,къотен
221,Schlinge::N,клуп,кӏичӏ
222,Spur::N,диря,лъалкӏ
223,Spur::N,следа,лъалкӏ
224,Asche::N,пепел,рахъу
225,Dreck::N,кал,гъиз
226,Dreck::N,кал,хӏарщ
227,Eisen::N,желязо,махх
228,Gold::N,злато,месед
229,Silber::N,сребро,гӏарац
230,Kohle::N,въглища,тӏурччи
231,Glas::N,стъкло,цӏер
232,Lehm::N,глина,хӏатӏ
233,Sand::N,пясък,сали
234,Mensch::N,човек,чи
235,Mann::N,мъж,бихьинчи
236,Frau::N,жена,гӏадан
237,Kind::N,дете,лъимер
238,Junge::N,момче,вас
239,Mädchen::N,момиче,яс
240,Familie::N,фамилия,хъизан
241,Familie::N,семейство,хъизан
242,Großvater::N,дядо,кӏудада
243,Großmutter::N,баба,кӏодо
244,Eltern::N,родители,эбел-эмен
245,Vater::N,баща,эмен
246,Mutter::N,майка,эбел
247,Sohn::N,син,вас
248,Tochter::N,дъщеря,яс
249,Bruder::N,брат,вац
250,Schwester::N,сестра,яц
251,Onkel::N,чичо,даци
252,Onkel::N,вуйчо,даци
253,Tante::N,леля,ада
254,Ehemann::N,съпруг,рос
255,Ehefrau::N,съпруга,чӏужу
256,Freude::N,радост,ракӏбохи
257,Gelächter::N,смях,релъи
258,Glück::N,щастие,талихӏ
259,Glück::N,щастие,талихӏ-рохел
260,Kummer::N,тъга,хӏалкъай
261,Wunsch::N,желание,къасд
262,Lust::N,желание,гъира
263,Geist::N,дух,чӏанкӏ
264,Geist::N,дух,рухӏ-жан
265,Gedanke::N,мисъл,пикру
266,Gedächtnis::N,памет,
267,Verstand::N,ум,лумалъи
268,Verstand::N,ум,цӏодорлъи
269,Verstand::N,разум,лумалъи
270,Verstand::N,разум,цӏодорлъи
271,Sinn::N,смисъл,магӏна
272,Grund::N,причина,багьана
273,Wahrheit::N,правда,ритӏухълъи
274,Gespräch::N,разговор,накъит
275,Märchen::N,приказка,маргьа
276,Erzählung::N,разказ,къиса
277,Nachricht::N,вест,хабар
278,Nachricht::N,известие,хабар
279,Neuigkeit::N,новина,хабар-гӏазаб
280,Name::N,име,цӏар
281,Rätsel::N,гатанка,бицанкӏо
282,Rede::N,реч,речь
283,Rede::N,реч,калам
284,Rede::N,слово,речь
285,Rede::N,слово,калам
286,Sprache::N,език,мацӏ
287,Stimme::N,глас,гьаракь
288,Wort::N,дума,рагӏи
289,Zeichen::N,знак,ишара
290,Zeichen::N,знак,гӏаламат
291,Ruf::N,зов,ахӏи
292,Lärm::N,шум,хъуй
293,Lärm::N,шум,хъуди
294,Lärm::N,глъчка,хъуй
295,Lärm::N,глъчка,хъуди
296,Laut::N,звук,гьаракь
297,Laut::N,звук,сас
298,Ton::N,тон,
299,Lied::N,песен,кечӏ
300,Ruhe::N,тишина,рахӏат
301,Ruhe::N,спокойствие,рахӏат
302,Leute::N,хора,гӏадамал
303,Volk::N,народ,халкъ
304,Arbeit::N,труд,хӏалтӏи
305,Arbeit::N,работа,хӏалтӏи
306,Gast::N,гост,гьобол
307,Geschenk::N,дар,сайигъат
308,Geschenk::N,подарък,сайигъат
309,Spiel::N,игра,хӏай
310,Spiel::N,игра,расанди
311,Gesellschaft::N,общество,жамагӏат
312,Hilfe::N,помощ,кумек
313,Freund::N,приятел,гьудул
314,Kamerad::N,другар,гьалмагъ
315,Angelegenheit::N,работа,къваригӏел
316,Anzahl::N,брой,рикӏкӏен
317,Anzahl::N,количество,рикӏкӏен
318,Art::N,вид,жинс
319,Stück::N,къс,кесек
320,Stück::N,парче,кесек
321,Teil::N,дял,пай
322,Teil::N,част,пай
323,Hälfte::N,половина,бащдаб
324,Kreis::N,кръг,гор
325,Kreuz::N,кръст,хъанч
326,Linie::N,черта,мухъ
327,Strich::N,щрих,хӏучч
328,Strich::N,черта,хӏучч
329,Abstand::N,дистанция,манзил
330,Abstand::N,разстояние,манзил
331,Entfernung::N,разстояние,манзил
332,Gegend::N,местност,рахъ
333,Platz::N,място,бакӏ
334,Ort::N,място,бакӏ
335,Seite::N,страна,рахъ
336,Mitte::N,среда,бакьулъбакӏ
337,Gegenstand::N,предмет,жо
338,Sache::N,вещ,жо
339,Rand::N,ръб,мицӏир
340,Kante::N,ръб,рагӏал
341,Kante::N,ръб,рагӏа-ракьан
