,Concept_ID,cv,hi
0,Auge::N,куҫ,आँख
1,Auge::N,куҫ,चक्षु
2,Ohr::N,хӑлха,कान
3,Ohr::N,хӑлха,कर्ण
4,Nase::N,сӑмса,नाक
5,Nase::N,сӑмса,नासा
6,Mund::N,ҫӑвар,मुख
7,Mund::N,ҫӑвар,मुँह
8,Zahn::N,шӑл,दंत
9,Zahn::N,шӑл,दाँत
10,Zunge::N,чӗлхе,जीभ
11,Zunge::N,чӗлхе,ज़बान
12,Zunge::N,чӗлхе,जिह्वा
13,Lippe::N,тута,ओंठ
14,Lippe::N,тута,होंठ
15,Wange::N,пит ҫӑмарти,गाल
16,Wange::N,пит ҫӑмарти,कपोल
17,Gesicht::N,пит,मुँह
18,Gesicht::N,пит,चेहरा
19,Gesicht::N,пит-куҫ,मुँह
20,Gesicht::N,пит-куҫ,चेहरा
21,Stirn::N,ҫамка,माथा
22,Stirn::N,ҫамка,मस्तक
23,Haar::N,ҫӳҫ,बाल
24,Schnurrbart::N,усси,मूँछें
25,Bart::N,сухал,दाढ़ी
26,Kinn::N,янах,चिबुक
27,Kiefer[Anatomie]::N,янах,जबड़ा
28,Kehle::N,пыр,गला
29,Kehle::N,карланкӑ,गला
30,Hals::N,пыр,गला
31,Hals::N,пыр,गरदन
32,Genick::N,ӗнсе,गरदन
33,Genick::N,ӗнсе,ग्रीवा
34,Kopf::N,пуҫ,सिर
35,Kopf::N,пуҫ,शीर्ष
36,Rücken::N,ҫурӑм,पीठ
37,Nabel::N,кӑвапа,नाभि
38,Nabel::N,кӑвапа,ढोंढी
39,Busen::N,кӑкӑр,कुच
40,Busen::N,кӑкӑр,स्तन
41,Brust::N,умӗ,वक्ष
42,Schulter::N,хул пуҫҫи,कंधा
43,Schulter::N,хул пуҫҫи,स्कंध
44,Arm::N,алӑ,बाँह
45,Arm::N,алӑ,बाज़ू
46,Ellenbogen::N,чавса,कुहनी
47,Hand::N,алӑ сыппи,हाथ
48,Hand::N,алӑ сыппи,हस्त
49,Handfläche::N,ал лаппи,हथेली
50,Finger::N,пӳрне,उँगली
51,Finger::N,пӳрне,अँगुली
52,Fingernagel::N,чӗрне,नख
53,Fingernagel::N,чӗрне,नाख़ून
54,Nagel[Anatomie]::N,чӗрне,नख
55,Nagel[Anatomie]::N,чӗрне,नाख़ून
56,Zeh::N,пӳрне,उँगली
57,Zeh::N,пӳрне,पाँव की उँगली
58,Fuß::N,ура лаппи,चरण
59,Fuß::N,ура лаппи,पाँव
60,Ferse::N,кӗле,एड़ी
61,Knie::N,чӗркуҫҫи,जानु
62,Knie::N,чӗркуҫҫи,घुटना
63,Oberschenkel::N,пӗҫӗ,उरु
64,Bein::N,ура,टाँग
65,Körper::N,ӳт,तन
66,Körper::N,ӳт,देह
67,Körper::N,ӳт,शरीर
68,Körper::N,ӳт-пӳ,तन
69,Körper::N,ӳт-пӳ,देह
70,Körper::N,ӳт-пӳ,शरीर
71,Haut::N,тир,चर्म
72,Haut::N,тир,त्वचा
73,Blut::N,юн,लहू
74,Blut::N,юн,ख़ून
75,Ader::N,вена,रग
76,Ader::N,вена,शिरा
77,Sehne::N,шӑнӑр,कंडरा
78,Sehne::N,шӑнӑр,स्नायु
79,Knochen::N,шӑмӑ,अस्थि
80,Gehirn::N,миме,दिमाग़
81,Gehirn::N,миме,मस्तिष्क
82,Herz::N,чӗре,दिल
83,Herz::N,чӗре,हृदय
84,Magen::N,хырӑмлӑх,मेदा
85,Magen::N,хырӑмлӑх,अमाशय
86,Leber::N,пӗвер,जिगर
87,Leber::N,пӗвер,यकृत्
88,Atem::N,сывлав,दम
89,Atem::N,сывлав,साँस
90,Atem::N,сывлав,श्वास
91,Hunger::N,выҫлӑх,भूख
92,Hunger::N,выҫлӑх,क्षुधा
93,Träne::N,куҫҫуль,आँसू
94,Träne::N,куҫҫуль,अश्रु
95,Geschmack::N,техӗм,स्वाद
96,Geschmack::N,техӗм,ज़ायक़ा
97,Geruch::N,шӑршӑ,बू
98,Geruch::N,шӑршӑ,गंध
99,Schlaf::N,ыйхӑ,नींद
100,Schlaf::N,ыйхӑ,निद्रा
101,Traum::N,тӗлӗк,सपना
102,Traum::N,тӗлӗк,स्वप्न
103,Himmel::N,пӗлӗт,आकाश
104,Himmel::N,пӗлӗт,आसमान
105,Sonne::N,хӗвел,रवि
106,Sonne::N,хӗвел,सूरज
107,Sonne::N,хӗвел,सूर्य
