,Concept_ID,ml,la
0,Auge::N,കണ്ണ്,oculus
1,Ohr::N,ചെവി,auris
2,Nase::N,മൂക്ക്,nasus
3,Mund::N,വായ,os
4,Zahn::N,പല്ല്,dens
5,Zunge::N,നാക്ക്,lingua
6,Lippe::N,ചുണ്ട്,labrum
7,Wange::N,കവിൾത്തടം,gena
8,Gesicht::N,മുഖം,vultus
9,Stirn::N,നെറ്റി,frons
10,Haar::N,തലമുടി,capillus
11,Schnurrbart::N,മീശ,barba labri superioris
12,Bart::N,താടിരോമം,barba
13,Kinn::N,താടി,mentum
14,Kiefer[Anatomie]::N,താടിയെല്ല്,mala
15,Kehle::N,കണ്ഠനാളം,iugulums
16,Hals::N,കഴുത്ത്,collum
17,Genick::N,പിടലി,cervices
18,Kopf::N,തല,caput
19,Rücken::N,മുതുക്,tergum
20,Bauch::N,നയറ്,venter
21,Nabel::N,നാഭി,umbilicus
22,Busen::N,സ്തനം,sinus
23,Brust::N,സ്തനം,pectus
24,Schulter::N,തോൾ,umerus
25,Arm::N,കൈ,bracchium
26,Ellenbogen::N,കൈമുട്ട്,cubitum
27,Hand::N,കൈ,manus
28,Handfläche::N,ഉള്ളം കൈ,palma
29,Finger::N,വിരൽ,digitus
30,Fingernagel::N,നഖം,unguiculus
31,Nagel[Anatomie]::N,നഖം,unguis
32,Zeh::N,കാൽവിരൽ,digitus
33,Fuß::N,കാൽപ്പാദം,pes
34,Ferse::N,ഉപ്പൂറ്റി,calx
35,Knie::N,കാൽമുട്ട്,genu
36,Oberschenkel::N,തുട,femur
37,Bein::N,കാൽ,crus
38,Körper::N,ശരീരം,corpus
39,Haut::N,ചർമ്മം,cutis
40,Haut::N,ചർമ്മം,pellis
41,Blut::N,രക്തം,sanguis
42,Ader::N,ഞരമ്പ്,vena
43,Sehne::N,സ്നായു,nervus
44,Knochen::N,അസ്ഥി,os
45,Gehirn::N,തലച്ചോറ്,cerebrum
46,Herz::N,ഹൃദയം,cor
47,Herz::N,ഹൃദയം,animus
48,Magen::N,വയർ,stomachus
49,Leber::N,കരൾ,iecur
50,Atem::N,ശ്വാസം,spiritus
51,Hunger::N,വിശപ്പ്,fames
52,Träne::N,കണ്ണീർ,lacrima
53,Geschmack::N,രുചി,sapor
54,Geschmack::N,രുചി,gustus
55,Geruch::N,ഗന്ധം,odor
56,Schlaf::N,ഉറകും,somnus
57,Traum::N,സ്വപ്നം,somnium
58,Himmel::N,ആകാശം,caelum
59,Sonne::N,സൂര്യൻ,sol
60,Mond::N,ചന്ദ്രൻ,luna
61,Stern::N,നക്ഷത്രം,sidus
62,Stern::N,നക്ഷത്രം,stella
63,Luft::N,കാറ്റ്,aer
64,Wind::N,കാറ്റ്,ventus
65,Welle::N,തിരമാല,unda
66,Wasser::N,വെള്ളം,aqua
67,Stein::N,ശില,lapis
68,Stein::N,കല്ല്,lapis
69,Boden::N,തറ,solum
70,Boden::N,നിലം,solum
71,Erde::N,മണ്ണ്,terra
72,Staub::N,പൊടി,pulvis
73,Rauch::N,പുക,fumus
74,Funke::N,തീപ്പൊരി,scintilla
75,Feuer::N,തീ,ignis
76,Licht::N,വിളക്ക്,lux
77,Licht::N,വിളക്ക്,lumen
78,Licht::N,സൂര്യപ്രകാശം,lux
79,Licht::N,സൂര്യപ്രകാശം,lumen
80,Schatten::N,തണൽ,umbra
81,Wetter::N,കാലാവസ്ഥ,caelum
