,Concept_ID,te,az
0,Auge::N,కన్ను,göz
1,Ohr::N,చెవి,qulaq
2,Nase::N,ముక్కు,burun
3,Mund::N,నోరు,ağız
4,Zahn::N,పల్లు,diş
5,Zunge::N,నాలుక,dil
6,Lippe::N,పెదవి,dodaq
7,Wange::N,చెంప,yanaq
8,Gesicht::N,ముఖము,üz
9,Stirn::N,నుదురు,alın
10,Haar::N,వెండ్రుక,saç
11,Schnurrbart::N,మీసము,bığ
12,Bart::N,గడ్డము,saqqal
13,Kinn::N,గడ్డము,çənə
14,Kiefer[Anatomie]::N,దౌడ,çənə
15,Kehle::N,గొంతు,boğaz
16,Hals::N,మెడ,boyun
17,Genick::N,మూపు,ənsə
18,Kopf::N,తల,baş
19,Rücken::N,వెన్ను,bel
20,Bauch::N,కడుపు,qarın
21,Nabel::N,బొడ్డు,göbək
22,Busen::N,స్తనము,məmə
23,Brust::N,ఱొమ్ము,döş
24,Schulter::N,భుజము,çiyin
25,Arm::N,చేయి,qol
26,Ellenbogen::N,మోచేయి,dirsək
27,Hand::N,చేయి,əl
28,Handfläche::N,అరచేయు,ovuc
29,Finger::N,చేతిప్రేలు,barmaq
30,Fingernagel::N,గోరు,barmaq dırnağı
31,Nagel[Anatomie]::N,గోరు,dırnak
32,Zeh::N,కాలిప్రేలు,ayaq barmağı
33,Fuß::N,అడుగు,ayaq
34,Ferse::N,మడమ,daban
35,Knie::N,మోకాలు,diz
36,Oberschenkel::N,తొడ,bud
37,Bein::N,కాలు,qıç
38,Körper::N,కాయము,əndam
39,Haut::N,చర్మము,dəri
40,Blut::N,రక్తము,qan
41,Ader::N,సిర,damar
42,Sehne::N,స్నాయువు,vətər
43,Knochen::N,ఎముక,sümük
44,Gehirn::N,మెదడు,beyin
45,Herz::N,హృదయము,ürək
46,Magen::N,కడుపు,mədə
47,Leber::N,కాలేయము,qara ciyər
48,Atem::N,ఉపిరి,nəfəs
49,Hunger::N,ఆకలి,aclıq
50,Träne::N,కన్నీటిచుక్క,göz yaşı
51,Geschmack::N,రుచి,tam
52,Geschmack::N,రుచి,ləzzət
53,Geruch::N,వాసన,qoxu
54,Schlaf::N,నిద్ర,yuxu
55,Traum::N,కల,röya
56,Himmel::N,ఆకాశము,göy
57,Himmel::N,ఆకాశము,səma
58,Sonne::N,సూర్యుడు,günəş
59,Mond::N,చంద్రుడు,ay
60,Stern::N,నక్షత్రము,ulduz
61,Luft::N,గాలి,hava
62,Wind::N,వీచుచున్నగాలి,yel
63,Wind::N,వీచుచున్నగాలి,külək
64,Welle::N,అల,dalğa
65,Wasser::N,నీరు,su
66,Stein::N,ఱాయి,daş
67,Boden::N,నేల,yer
68,Boden::N,నేల,zəmin
69,Erde::N,మన్ను,yer torpaq
70,Staub::N,దుమ్ము,toz
71,Rauch::N,పొగ,tüstü
72,Funke::N,అగ్నికణము,qığılcım
73,Feuer::N,అగ్ని,od
74,Licht::N,కాంతి,işıq
75,Schatten::N,నీడ,kölgə
76,Wetter::N,వాతావరణ స్థితి,hava
77,Nebel::N,పొగమంచు,duman
78,Wolke::N,మేఘము,bulud
79,Regen::N,వాన,yağış
80,Regen::N,వాన,yağmur
81,Schnee::N,హిమము,qar
82,Eis::N,మంచుగడ్డ,buz
83,Frost::N,పేరిన మంచు,ayaz
84,Kälte::N,చలి,soyuq
85,Hitze::N,వేడిమి,coşğunluq
86,Raureif::N,మంచు,qırov
87,Regenbogen::N,ఇంద్రధనుస్సు,göy qurşağı
88,Donner::N,ఉరుము,göy gurultusu
89,Strömung::N,ప్రవాహము,axın
90,Tropfen::N,చుక్క,damcı
91,Schaum::N,నురుగు,köpük
92,Schmutz::N,మైల,çamır
93,See::N,సరస్సు,göl
94,Sumpf::N,చిత్తడినేల,bataqlıq
95,Moor::N,చిత్తడినేల,bataqlıq
96,Wiese::N,పచ్చిక బయలు,çəmən
97,Wald::N,అడవి,meşə
98,Hügel::N,చివ్నకొండ,təpə
99,Anhöhe::N,కొండ,təpə
100,Berg::N,పర్వతము,dağ
101,Gipfel::N,శిఖరము,zirvə
102,Höhle::N,గుహ,mağara
103,Abhang::N,ఏటవాలు,yamac
104,Quelle::N,మూలము,bulaq
105,Bach::N,కాలువ,kiçik çay
106,Fluss::N,నది,çay
107,Ufer::N,తీరము,kənar
108,Küste::N,తీరము,sahil
109,Festland::N,భూమి,materik
110,Meer::N,సముద్రము,dəniz
111,Bucht::N,మరుగు,körfəz
112,Insel::N,దీవి,ada
113,Blume::N,పుష్పము,çiçək
114,Gras::N,పచ్చగడ్డి,ot
115,Wurzel::N,వేరు,kök
116,Baum::N,చెట్టు,ağac
117,Stamm::N,చెట్టుబోదె,gövdə
118,Rinde::N,చెట్టుపట్ట,qabıq
119,Ast::N,కొమ్మ,şax
120,Zweig::N,చివుకు,budaq
121,Blatt::N,ఆకు,yarpaq
122,Birke::N,తరహా చెట్టు,tozağacı
123,Kiefer[Baum]::N,దేవదారు చెట్టు,şam
124,Weide[Baum]::N,జాతిచెట్టు,söyüd
125,Tanne::N,దేవదారుచెట్టు,küknar
126,Horn::N,కొమ్ము,buynuz
127,Feder::N,ఈక,tük
128,Feder::N,ఈక,lələk
129,Fell::N,తోలు,xəz
130,Flügel::N,ఱెక్క,qanad
131,Klaue::N,వంకరగోరు,pəncə
132,Kralle::N,వంకరగోరు,dırnaq
133,Schwanz::N,తోక,quyruq
134,Ei::N,గ్రుడ్డు,yumurta
135,Nest::N,పక్షిగూడు,yuva
136,Bau::N,గుహ,yuva
137,Tier::N,జంతువు,heyvan
138,Herde::N,మంద,sürü
139,Kuh::N,ఆవు,inək
140,Bulle::N,గిత్త,öküz
141,Pferd::N,గుఱ్ఱము,at
142,Schaf::N,గొఱ్ఱె,qoyun
143,Schwein::N,పంది,donuz
144,Hund::N,కుక్క,it
145,Hund::N,కుక్క,köpək
146,Katze::N,పిల్లి,pişik
147,Bär::N,ఎలుగుబంటి,ayı
148,Eichhörnchen::N,ఉడుత,dələ
149,Elch::N,కణంజు,sığın
150,Fuchs::N,గుంటనక్క,tülkü
151,Hase::N,కుందేలు,dovşan
152,Maus::N,చిట్టెలుక,siçan
153,Wolf::N,తోడేలు,qurd
154,Vogel::N,పక్షి,quş
155,Schwarm::N,గుంపు,sürü
156,Huhn::N,కోడిపిల్ల,toyuq
157,Hahn::N,కోడివుంజు,xoruz
158,Gans::N,ఆడుబాతు,qaz
159,Adler::N,గ్రద్ద,qartal
160,Adler::N,గ్రద్ద,qaraquş
161,Ente::N,పాట్టిబాతు,ördək
162,Eule::N,గ్రుడ్లగూబ,bayquş
163,Kranich::N,కొంగ,durna
164,Krähe::N,కాకి,qarğa
165,Kuckuck::N,కోయల,ququ
166,Schwan::N,హంస,qu quşu
167,Fisch::N,చేప,balıq
168,Barsch::N,ఒకచేఁప,tar
169,Hecht::N,గండుమీను,durnabalığı
170,Schlange[Tier]::N,పాము,ilan
171,Wurm::N,పురుగు,qurd
172,Spinne::N,సాలె పురుగు,hörümçək
173,Ameise::N,చీమ,qarışqa
174,Laus::N,పేను,bit
175,Mücke::N,చీకటీగ,ağcaqanad
176,Fliege::N,ఈగ,milçək
177,Schmetterling::N,సీతాకోకచిలుక,kəpənək
178,Beere::N,కాయ,gilə
179,Apfel::N,ఆపిల్ పండు,alma
180,Pilz::N,కుక్కగొడుగు,göbələk
181,Zwiebel::N,నీరుల్లి,soğan
182,Saat::N,విత్తనము,əkin
183,Korn::N,గింజ,taxıl
184,Heu::N,ఎండుగడ్డి,quru ot
185,Schale::N,పొట్టు,qabıq
186,Grube::N,గొయ్యి,çuxur
187,Falle::N,బోను,tələ
188,Falle::N,బోను,duzaq
189,Schlinge::N,ఉరి,ilmək
190,Spur::N,జాడ,iz
191,Asche::N,బూడిద,kül
192,Dreck::N,ముఱికి,kir
193,Eisen::N,ఇనుము,dəmir
