,Concept_ID,no,uz
0,Auge::N,øye,ko'z
1,Ohr::N,øre,quloq
2,Nase::N,nese,burun
3,Mund::N,munn,og'iz
4,Zahn::N,tann,tish
5,Zunge::N,tunge,til
6,Lippe::N,leppe,dudoq
7,Wange::N,kinn,bet
8,Gesicht::N,fjes,yuz
9,Gesicht::N,ansikt,yuz
10,Stirn::N,panne,manglay
11,Haar::N,hår,soch
12,Schnurrbart::N,bart,mo'ylov
13,Bart::N,skjegg,soqol
14,Kinn::N,hake,ängak
15,Kiefer[Anatomie]::N,kjeve,iyak
16,Kehle::N,strupe,bo'g'iz
17,Hals::N,hals,bo'yin
18,Genick::N,nakke,gardan
19,Kopf::N,hode,bosh
20,Rücken::N,rygg,orqa
21,Bauch::N,buk,qorin
22,Bauch::N,mage,qorin
23,Nabel::N,navle,kindik
24,Busen::N,barm,ämchak
25,Brust::N,bryst,ko'krak
26,Schulter::N,skulder,elka
27,Arm::N,arm,bilak
28,Ellenbogen::N,albue,tirsak
29,Hand::N,hånd,qo'l
30,Handfläche::N,håndflate,kaft
31,Finger::N,finger,barmoq
32,Fingernagel::N,fingernegl,tirnoq
33,Nagel[Anatomie]::N,negl,tirnoq
34,Zeh::N,tå,oyoq barmog'i
35,Fuß::N,fot,oyoq
36,Ferse::N,hæl,tovon
37,Knie::N,kne,tiz
38,Oberschenkel::N,lår,son
39,Bein::N,bein,oyoq
40,Körper::N,kropp,badna
41,Körper::N,legeme,badna
42,Haut::N,hud,teri
43,Haut::N,skinn,teri
44,Blut::N,blod,qon
45,Ader::N,åre,qon tomir
46,Sehne::N,sene,tomir
47,Knochen::N,bein,suyak
48,Knochen::N,knokkel,suyak
49,Gehirn::N,hjerne,miya
50,Herz::N,hjerte,qalb
51,Magen::N,mage,oshqozon
52,Leber::N,lever,bag'ir
53,Atem::N,pust,dam
54,Hunger::N,sult,ochlik
55,Träne::N,tåre,yosh
56,Geschmack::N,smak,tam
57,Geruch::N,lukt,jid
58,Schlaf::N,søvn,uyqu
59,Traum::N,drøm,tush
60,Himmel::N,himmel,osmon
61,Sonne::N,sol,quyosh
62,Mond::N,måne,oy
63,Stern::N,stjerne,yulduz
64,Luft::N,luft,havo
65,Wind::N,vind,el
66,Welle::N,bølge,to'lqin
67,Wasser::N,vann,suv
68,Stein::N,stein,tosh
69,Boden::N,bakke,tuproq
70,Erde::N,jord,er
71,Staub::N,støv,chang
72,Rauch::N,røyk,tutun
73,Funke::N,gnist,yalt
74,Feuer::N,ild,o't
75,Licht::N,lys,yorug'
76,Schatten::N,skygge,soya
77,Wetter::N,vær,havo
78,Nebel::N,tåke,tuman
79,Wolke::N,sky,bulut
80,Regen::N,regn,yomg'ir
81,Schnee::N,snø,qor
82,Eis::N,is,muz
83,Frost::N,frost,ajoz
84,Kälte::N,kulde,ajoz
85,Hitze::N,hete,issiq
86,Raureif::N,rimfrost,qirov
87,Regenbogen::N,regnbue,kamalak
88,Donner::N,torden,guldur
89,Strömung::N,strømning,oqim
90,Tropfen::N,dråpe,tomchi
91,Schaum::N,skum,ko'pik
92,Schmutz::N,søl,gard
93,Schmutz::N,skitt,gard
94,See::N,sjø,ko'l
95,Sumpf::N,sump,botqoq
96,Sumpf::N,myrlende,botqoq
97,Moor::N,myr,qir-adir
98,Moor::N,myrhei,qir-adir
99,Wiese::N,eng,o'tzor
100,Wald::N,skog,o'rmon
101,Hügel::N,haug,tepa
102,Hügel::N,bakke,tepa
103,Anhöhe::N,haug,adir
104,Anhöhe::N,bakke,adir
105,Berg::N,berg,tog'
106,Berg::N,fjell,tog'
107,Gipfel::N,topp,cho'qqi
108,Höhle::N,hule,kavak
109,Abhang::N,li,to'sh
110,Abhang::N,skråning,to'sh
111,Quelle::N,kilde,buloq
112,Bach::N,bekk,o'zan
113,Fluss::N,elv,daryo
114,Ufer::N,bredd,sohil
115,Küste::N,kyst,qirg'oq
116,Festland::N,fastland,materik
117,Meer::N,hav,dengiz
118,Bucht::N,bukt,qo'ltiq
119,Insel::N,øy,orol
120,Blume::N,blomst,gul
121,Gras::N,gress,sabza
122,Wurzel::N,rot,tub
123,Wurzel::N,rot,tomir
124,Baum::N,tre,daraxt
125,Stamm::N,stamme,o'simta
126,Rinde::N,bark,qobiq
127,Ast::N,gren,shox
128,Zweig::N,kvist,butoq
129,Blatt::N,blad,barg
130,Birke::N,bjørk,qayin
131,Kiefer[Baum]::N,furu,qarag'ay
132,Weide[Baum]::N,selje,shum
133,Weide[Baum]::N,piletre,shum
134,Tanne::N,gran,archa
135,Horn::N,horn,mugiz
136,Feder::N,fjær,par
137,Fell::N,skinn,mo'yna
138,Flügel::N,vinge,qanot
139,Klaue::N,klauv,tirnoq
140,Kralle::N,klo,tirnoq
141,Schwanz::N,hale,quyruq
142,Ei::N,egg,tuxum
143,Nest::N,rede,oshyon
144,Bau::N,hi,o'pqon
145,Tier::N,dyr,hayvon
146,Herde::N,flokk,gala
147,Kuh::N,ku,inak
148,Bulle::N,tyr,ho'kiz
149,Pferd::N,hest,ot
150,Schaf::N,får,qo'y
151,Schwein::N,gris,cho'chqa
152,Hund::N,hund,it
153,Katze::N,katt,mushuk
154,Bär::N,bjørn,ayiq
155,Eichhörnchen::N,ekorn,tiyin
156,Elch::N,elg,los
157,Fuchs::N,rev,tulki
158,Hase::N,hare,kuyon
159,Maus::N,mus,sichqon
160,Wolf::N,ulv,bo'ri
161,Wolf::N,varg,bo'ri
162,Vogel::N,fugl,qush
163,Schwarm::N,sverm,to'da
164,Huhn::N,høne,tovuq
165,Hahn::N,hane,xo'roz
166,Gans::N,gås,g'oz
167,Adler::N,ørn,burgut
168,Ente::N,and,o'rdak
169,Eule::N,ugle,boyo'g'li
170,Kranich::N,trane,turna
171,Krähe::N,kråke,qarg'a
172,Kuckuck::N,gjøk,kakku
173,Schwan::N,svane,oqkush
174,Fisch::N,fisk,baliq
175,Barsch::N,abbor,olabug'a
176,Hecht::N,gjedde,cho'rtan
177,Schlange[Tier]::N,orm,ilon
178,Schlange[Tier]::N,slange,ilon
179,Wurm::N,orm,qurt
180,Wurm::N,mark,qurt
181,Spinne::N,edderkopp,o'rgimchak
182,Ameise::N,maur,chumoli
183,Laus::N,lus,bit
184,Mücke::N,mygg,chivin
185,Fliege::N,flue,pashsha
186,Schmetterling::N,sommerfugl,kapalak
187,Beere::N,bær,meva
188,Apfel::N,eple,olma
189,Pilz::N,sopp,qo'ziqorin
190,Zwiebel::N,løk,piyoz
