,Concept_ID,cy,fa
0,Auge::N,llygad,چشم
1,Ohr::N,clust,گوش
2,Nase::N,trwyn,بینی
3,Mund::N,ceg,دهان
4,Zahn::N,dant,دندان
5,Zunge::N,tafod,زبان
6,Lippe::N,gwefus,لب
7,Wange::N,boch,لپ
8,Gesicht::N,wyneb,رو
9,Gesicht::N,wyneb,چهره
10,Stirn::N,talcen,پیشانی
11,Haar::N,blew,مو
12,Schnurrbart::N,mwstas,سبیل
13,Bart::N,barf,ریش
14,Kinn::N,gên,چانه
15,Kiefer[Anatomie]::N,gên,فک
16,Kiefer[Anatomie]::N,gên,آرواره
17,Kehle::N,gwddf,حلق
18,Hals::N,gwddf,گردن
19,Genick::N,gwar,پشت گردن
20,Genick::N,gwegil,پشت گردن
21,Kopf::N,pen,سر
22,Kopf::N,pen,کله
23,Rücken::N,cefn,پشت
24,Bauch::N,bol,شکم
25,Nabel::N,bogail,ناف
26,Busen::N,bron,پستان
27,Brust::N,brest,سینه
28,Schulter::N,ysgwydd,دوش
29,Schulter::N,ysgwydd,شانه
30,Arm::N,braich,بازو
31,Ellenbogen::N,penelin,آرنج
32,Hand::N,llaw,دست
33,Handfläche::N,palf,کف دست
34,Finger::N,bys,انگشت
35,Fingernagel::N,ewin,ناخن دست
36,Nagel[Anatomie]::N,ewin,ناخن
37,Zeh::N,bys troed,انگشت پا
38,Fuß::N,troed,پا
39,Ferse::N,sawdl,پاشنه
40,Knie::N,glin,زانو
41,Oberschenkel::N,clun,ران
42,Bein::N,coes,پا
43,Bein::N,coes,لنگ
44,Körper::N,corff,تن
45,Körper::N,corff,بدن
46,Haut::N,croen,پوست
47,Blut::N,gwaed,خون
48,Ader::N,gwythïen,رگ
49,Sehne::N,gewyn,زردپی
50,Knochen::N,asgwrn,استخوان
51,Gehirn::N,ymennydd,مخ
52,Gehirn::N,ymennydd,مغز
53,Herz::N,calon,دل
54,Herz::N,calon,قلب
55,Magen::N,cylla,معده
56,Magen::N,stumog,معده
57,Leber::N,iau,کبد
58,Atem::N,anadl,نفس
