,Concept_ID,mn,kv
0,Auge::N,нүд,син
1,Ohr::N,чих,пель
2,Nase::N,хамар,ныр
3,Mund::N,ам,ӧм
4,Zahn::N,шүд,пинь
5,Zunge::N,хэл,кыв
6,Lippe::N,уруул,тырп
7,Wange::N,хацар,рожабан
8,Gesicht::N,царай,бан
9,Gesicht::N,нүүр,бан
10,Stirn::N,дух,кымӧс
11,Haar::N,үс,юрси
12,Schnurrbart::N,дээд сахал,уссэз
13,Schnurrbart::N,живэр сахал,уссэз
14,Bart::N,сахал,тош
15,Kinn::N,эрүү,тшӧка
16,Kiefer[Anatomie]::N,эрүү,ан
17,Kehle::N,хоолой,юан
18,Hals::N,хүзүү,юан
19,Genick::N,шил,юр бӧр
20,Genick::N,хүзүү,юр бӧр
21,Kopf::N,толгой,юр
22,Rücken::N,ар,мышк
23,Rücken::N,нуруу,мышк
24,Bauch::N,хэвлий,кынӧм
25,Bauch::N,гэдэс,кынӧм
26,Nabel::N,хүйс,гӧг
27,Busen::N,хөх,морос
28,Brust::N,цээж,морос
29,Schulter::N,мөр,пельпон
30,Schulter::N,бугалга,пельпон
31,Arm::N,гар,ки
32,Ellenbogen::N,тохой,гырдзза
33,Hand::N,гар,кикар
34,Hand::N,алга,кикар
35,Handfläche::N,алга,ки пыдӧс
36,Finger::N,хуруу,чунь
37,Fingernagel::N,хурууны хумс,гыж
38,Nagel[Anatomie]::N,хумс,гыж
39,Zeh::N,хуруу,чунь
40,Fuß::N,хөл,кокпыдӧс
41,Ferse::N,өсгий,кокдзир
42,Knie::N,өвдөг,пидзӧс
43,Oberschenkel::N,гуя,лядьбей
44,Bein::N,хөл,кок
45,Körper::N,бие,вывтыр
46,Haut::N,арьс,кучик
47,Blut::N,цус,вир
48,Ader::N,судас,сӧн
49,Sehne::N,бүлх,жила
50,Sehne::N,шандас,жила
51,Knochen::N,яс,коска
52,Gehirn::N,тархи,вем
53,Herz::N,зүрх,сьӧлӧм
54,Magen::N,ходоод,жӧвдӧк
55,Leber::N,элэг,мус
56,Atem::N,амьсгаа,лолалӧм
57,Hunger::N,өлсгөлөн,тшыг
58,Träne::N,нулимс,синва
59,Geschmack::N,амт,кӧр
60,Geruch::N,үнэр,дук
61,Schlaf::N,нойр,он
62,Traum::N,зүүд,вӧт
63,Himmel::N,тэнгэр,небо
64,Himmel::N,огторгуй,небо
65,Sonne::N,нар,шондi
66,Mond::N,сар,тӧлiсь
67,Stern::N,од,кӧдзыв
68,Luft::N,агаар,ру
69,Wind::N,салхи,тӧв
70,Welle::N,долгио,гы
71,Welle::N,давалгаа,гы
72,Wasser::N,ус,ва
73,Stein::N,чулуу,из
74,Boden::N,хөрс,му
75,Erde::N,газар,му
76,Erde::N,шороо,му
77,Staub::N,тоос,бус
78,Rauch::N,утаа,тшын
79,Funke::N,оч,бичир
80,Feuer::N,гал,би
81,Licht::N,гэрэл,би
82,Licht::N,гэгээ,би
83,Schatten::N,сүүдэр,вуджӧр
84,Wetter::N,тэнгэр,погоддя
85,Wetter::N,цаг уур,погоддя
86,Nebel::N,будан,туман
87,Wolke::N,үүл,кымӧр
88,Regen::N,бороо,зэр
89,Schnee::N,цас,лым
90,Eis::N,мөс,йы
91,Frost::N,хүйт,мороз
92,Kälte::N,хүйт,кӧдзыт
93,Hitze::N,халуун,ӧд
94,Raureif::N,цан,кижа
95,Raureif::N,хяруу,кижа
96,Regenbogen::N,солонго,енӧшка
97,Donner::N,тэнгэрийн дуу,гым
98,Strömung::N,урсгал,визывтӧм
99,Tropfen::N,дусал,тёп
100,Schaum::N,хөөс,быг
101,Schmutz::N,хир,нять
102,Schmutz::N,шавхай,нять
103,See::N,нуур,ты
104,Sumpf::N,намаг,арай
105,Sumpf::N,балчиг,арай
106,Moor::N,хүлрийн намаг,нюр
107,Wiese::N,нуга,видз
108,Wald::N,ой,вӧр
109,Hügel::N,болдог,мыльк
110,Anhöhe::N,гүвээ,вывтас
111,Anhöhe::N,гүвээ,вылынін
112,Berg::N,уул,керӧс
113,Gipfel::N,орой,йыв
114,Gipfel::N,оргил,йыв
115,Höhle::N,агуй,нора
116,Abhang::N,хүр,покат
117,Quelle::N,булаг,больган
118,Bach::N,горхи,шор
119,Fluss::N,гол,ю
120,Fluss::N,мөрөн,ю
121,Ufer::N,эрэг,берег
122,Küste::N,эрэг,берег
123,Festland::N,хуурай газар,му
124,Meer::N,далай,море
125,Meer::N,тэнгис,море
126,Bucht::N,булан,курья
127,Bucht::N,далайн тохой,курья
128,Insel::N,арал,
129,Blume::N,цэцэг,цветок
130,Gras::N,өвс,турун
131,Gras::N,ногоо,турун
132,Wurzel::N,үндэс,вуж
133,Baum::N,мод,пу
134,Stamm::N,иш,мыр
135,Stamm::N,иш,кер
136,Stamm::N,гуалин,мыр
137,Stamm::N,гуалин,кер
138,Rinde::N,холтос,кач
139,Ast::N,гишүү,ув
140,Zweig::N,салаа,ув
141,Blatt::N,навч,лист
142,Birke::N,хус,кыдз
143,Kiefer[Baum]::N,нарс,пожум
144,Weide[Baum]::N,уд,бадь
145,Weide[Baum]::N,бургас,бадь
146,Tanne::N,гачуур,кӧз
147,Horn::N,эвэр,сюр
148,Feder::N,өд,гӧн
149,Fell::N,арьс,кучик
150,Flügel::N,жигүүр,борд
151,Flügel::N,далавч,борд
152,Klaue::N,савар,гыж
153,Klaue::N,хумс,гыж
154,Kralle::N,савар,кабыр
155,Schwanz::N,сүүл,бӧж
156,Ei::N,өндөг,кольть
157,Nest::N,үүр,поз
158,Bau::N,нүх,осьта
159,Bau::N,нүх,нора
160,Bau::N,элүү,осьта
161,Bau::N,элүү,нора
162,Tier::N,амьтан,зверь
163,Tier::N,адгуус,зверь
164,Herde::N,сүрэг,гурт
165,Kuh::N,үнээ,мӧс
166,Bulle::N,бух,ӧшка
167,Pferd::N,морь,вӧв
168,Pferd::N,адуу,вӧв
169,Schaf::N,хонь,баля
170,Schwein::N,гахай,порсь
171,Hund::N,нохой,пон
172,Katze::N,муур,кань
173,Katze::N,мигуй,кань
174,Bär::N,баавгай,ош
175,Eichhörnchen::N,хэрэм,ур
176,Elch::N,хандгай,вӧр мӧс
177,Fuchs::N,үнэг,руч
178,Hase::N,туулай,кӧч
179,Maus::N,хулгана,шыр
180,Wolf::N,чоно,кӧин
181,Vogel::N,шувуу,кай
182,Schwarm::N,сүрэг,стая
183,Schwarm::N,сүрэг,чукӧр
184,Huhn::N,тахиа,курӧг
185,Hahn::N,эр тахиа,петух
186,Hahn::N,эр тахиа,ай курӧг
187,Gans::N,галуу,дзодзог
188,Adler::N,бүргэд,куч
189,Adler::N,бүргэд,кутш
190,Ente::N,нугас,утка
191,Eule::N,ууль,тупка
192,Kranich::N,тогоруу,тури
193,Krähe::N,хэрээ,рака
194,Kuckuck::N,хөхөө,кӧк
195,Schwan::N,хун,юсь
196,Fisch::N,загас,чери
197,Barsch::N,алгана,ёкыш
198,Hecht::N,цурхай,сирпинь
199,Schlange[Tier]::N,могой,змей
200,Wurm::N,өт,номыр
201,Wurm::N,хорхой,номыр
202,Spinne::N,аалз,черань
203,Ameise::N,шоргоолж,кӧдзывкар
204,Laus::N,бөөс,ляпа той
205,Mücke::N,шумуул,ном
206,Fliege::N,ялаа,гут
207,Schmetterling::N,эрвээхэй,бабыв
208,Beere::N,жимсгэнэ,ягӧд
209,Apfel::N,алим,яблоко
210,Pilz::N,мөөг,тшак
211,Zwiebel::N,сонгино,грез
212,Saat::N,тариа,кӧдзыс
213,Korn::N,үр,сю
214,Korn::N,мөхлөг,сю
215,Heu::N,өвс,турун
216,Schale::N,хальс,кыш
217,Schale::N,хальс,киль
218,Grube::N,алам,яма
219,Grube::N,нүх,яма
220,Falle::N,хавх,нальк
221,Falle::N,хавх,кляпча
222,Falle::N,занга,нальк
223,Falle::N,занга,кляпча
224,Schlinge::N,урхи,лӧч
225,Spur::N,мөр,туй
226,Asche::N,үнс,пӧим
227,Dreck::N,хир,нять
228,Eisen::N,төмөр,кӧрт
229,Gold::N,алт,зарни
230,Silber::N,мөнгө,язісь
231,Kohle::N,нүүрс,шом
232,Kohle::N,нүүрс,уголь
233,Glas::N,шил,стекло
234,Lehm::N,шавар,сёй
235,Sand::N,элс,лыа
236,Mensch::N,хүн,морт
237,Mann::N,эр,мужик
238,Mann::N,эрэгтэй,мужик
239,Frau::N,эмэгтэй,инька
240,Frau::N,хатагтай,инька
241,Kind::N,хүүхэд,кага
242,Junge::N,хүү,зонка
243,Mädchen::N,охин,нывкаок
244,Mädchen::N,бүсгүй,нывкаок
245,Familie::N,айл,семья
246,Großvater::N,өвгөн аав,дед
247,Großmutter::N,эмэг эх,баб
248,Großmutter::N,эмгээ,баб
249,Eltern::N,эцэг эх,ай-мам
250,Vater::N,аав,ай
251,Vater::N,эцэг,ай
252,Mutter::N,эх,мам
253,Mutter::N,ээж,мам
254,Sohn::N,хүү,зон
255,Tochter::N,охин,ныв
256,Bruder::N,ах,вон
257,Bruder::N,дүү,вон
258,Schwester::N,эгч,сой
259,Schwester::N,охин дүү,сой
260,Onkel::N,авга ах,дядь
261,Onkel::N,нагац ах,дядь
262,Tante::N,авга эгч,айӧлӧн сой
263,Tante::N,авга эгч,ичинь
264,Tante::N,нагац эгч,айӧлӧн сой
265,Tante::N,нагац эгч,ичинь
266,Ehemann::N,нөхөр,жӧник
267,Ehefrau::N,эхнэр,инь
268,Ehefrau::N,гэргий,инь
269,Freude::N,баяр,гаж
270,Freude::N,баяр,радъялӧм
271,Freude::N,баясгалан,гаж
272,Freude::N,баясгалан,радъялӧм
273,Gelächter::N,инээдэм,сералӧм
274,Glück::N,жаргалан,мичлун
275,Kummer::N,гаслан,шог
276,Wunsch::N,ерөөл,мӧдӧм
277,Wunsch::N,ерөөл,охотитӧм
278,Lust::N,дур,охота
279,Lust::N,хүсэл,охота
280,Geist::N,оюун,лов
281,Gedanke::N,сэтгэл,дума
282,Gedächtnis::N,ой,тӧдвыв
283,Gedächtnis::N,цээж,тӧдвыв
284,Verstand::N,ухаан,вежӧр
285,Sinn::N,утга,ылӧс
286,Grund::N,учир,мог
287,Wahrheit::N,үнэн,правда
288,Gespräch::N,яриа,сёрни
289,Märchen::N,явган үлгэр,сказка
290,Erzählung::N,тууж,висьт
291,Nachricht::N,мэдээ,юӧр
292,Nachricht::N,мэдээ,висьталӧм
293,Neuigkeit::N,сонин,новость
294,Name::N,нэр,ним
295,Rätsel::N,оньсого,загадка
296,Rede::N,хэлсэн үг,сёрни
297,Sprache::N,хэл,кыв
298,Stimme::N,дуу,голос
299,Wort::N,үг,кыв
300,Zeichen::N,тамга,пас
301,Zeichen::N,тэмдэг,пас
302,Ruf::N,дуудлага,чуксӧм
303,Ruf::N,дуудлага,чукӧстӧм
304,Lärm::N,шуугиан,шум
305,Lärm::N,чимээ,шум
306,Laut::N,анир,шы
307,Laut::N,дуу,шы
308,Ton::N,авиа,гор
309,Ton::N,аялгуу,гор
310,Lied::N,дуу,сьыланкыв
311,Ruhe::N,энх,спокой
312,Ruhe::N,тайван,спокой
313,Leute::N,хүмүүс,йӧз
314,Volk::N,улс,йӧз
315,Volk::N,улс,народ
316,Arbeit::N,ажил,удж
317,Arbeit::N,хөдөлмөр,удж
318,Gast::N,зочин,гӧсь
319,Gast::N,айлчин,гӧсь
320,Geschenk::N,бэлэг,гӧснеч
321,Geschenk::N,бэлэг,подарок
322,Spiel::N,наадам,орсӧм
323,Spiel::N,тоглоом,орсӧм
324,Gesellschaft::N,хамт байх,компания
325,Hilfe::N,тусламж,отсӧт
326,Freund::N,найз,модз
327,Freund::N,найз,дружок
328,Freund::N,нөхөр,модз
329,Freund::N,нөхөр,дружок
330,Kamerad::N,хань,тӧдса
331,Kamerad::N,нөхөр,тӧдса
332,Angelegenheit::N,хэрэг,дело
333,Anzahl::N,тоо,лыд
334,Art::N,төрөл,пӧлӧс
335,Art::N,янз,пӧлӧс
336,Stück::N,хэсэг,тор
337,Teil::N,хувь,юкӧм
338,Teil::N,хэсэг,юкӧм
339,Hälfte::N,хагас,джын
340,Kreis::N,тойрог,круг
341,Kreis::N,хүрээ,круг
342,Kreuz::N,загалмай,перна
343,Linie::N,шугам,визь
344,Strich::N,зураас,кырӧв
345,Abstand::N,зай,колас
346,Entfernung::N,зай,ылына
347,Entfernung::N,хол ойр,ылына
348,Gegend::N,хавь,места
349,Gegend::N,газар,места
350,Platz::N,зай,места
351,Platz::N,завсар,места
352,Ort::N,газар,места
353,Ort::N,байр,места
354,Seite::N,тал,ладор
355,Seite::N,этгээд,ладор
356,Mitte::N,төв,шӧр
357,Mitte::N,дунд,шӧр
358,Gegenstand::N,юм,тор
359,Sache::N,үйл,тор
360,Sache::N,хэрэг,тор
361,Rand::N,зах,дор
362,Rand::N,хөвөө,дор
363,Kante::N,ирмэг,ордлы
364,Ecke::N,өнцөг,пельӧс
365,Spitze::N,үзүүр,йыв
366,Ende::N,зах,йыв
367,Ende::N,үзүүр,йыв
368,Loch::N,цоорхой,осьта
369,Loch::N,онгорхой,осьта
370,Winkel::N,өнцөг,пельӧс
371,Muster::N,хээ,сер
372,Muster::N,угалз,сер
373,Größe::N,хэмжээ,ыжда
374,Länge::N,урт,кузя
375,Höhe::N,өндөр,сувда
376,Höhe::N,өндөр,вылына
377,Gewicht::N,жин,сьӧкта
378,Menge::N,тоо,
379,Haufen::N,бөөн,куча
380,Reihe::N,эгнээ,лёдз
381,Boot::N,завь,пыж
382,Ruder::N,сэлүүр,пелыс
383,Schlitten::N,чарга,додь
384,Ski::N,цана,лямпа
385,Lagerfeuer::N,түүдэг,бипур
386,Last::N,ачаа,тягота
387,Gang::N,явдал,мунӧм
388,Schritt::N,алхам,вожмӧв
389,Norden::N,умар,ой
390,Süden::N,урд,лун
391,Süden::N,өмнө,лун
392,Westen::N,өрнө,рытвыв
393,Westen::N,баруун,рытвыв
394,Osten::N,зүүн,асыв
395,Osten::N,дорно,асыв
396,Holz::N,мод,пу
397,Brett::N,банз,пӧв
398,Platte::N,хавтан,плита
399,Stütze::N,тулгуур,пика
400,Stütze::N,тулга,пика
401,Stange::N,сургааг,зор
402,Stange::N,сургааг,потш
403,Stock::N,саваа,бедь
404,Stab::N,таяг,шест
405,Rohr::N,хоолой,труба
406,Haus::N,гэр,керку
407,Haus::N,байшин,керку
408,Heim::N,гэр,керку
409,Ofen::N,зуух,пӧжавны
410,Ofen::N,пийшин,пӧжавны
411,Fußboden::N,шал,джодж
412,Tisch::N,ширээ,пызан
413,Stuhl::N,сандал,стул
414,Wiege::N,өлгий,зыбка
415,Bett::N,ор,кровать
416,Regal::N,тавиур,джадж
417,Kiste::N,авдар,ящик
418,Kiste::N,хайрцаг,ящик
419,Fenster::N,гэгээвч,ӧшын
420,Tür::N,үүд,ыбӧс
421,Tür::N,хаалга,ыбӧс
422,Tor::N,хаалга,ворота
423,Zaun::N,хашаа,забор
424,Dach::N,дээвэр,крыша
425,Leiter::N,шат,лиснич
426,Besen::N,хамуур,рос
427,Besen::N,туужуу,рос
428,Spaten::N,хүрз,зыр
429,Schaufel::N,хүрз,зыр
430,Gabel::N,сэрээ,вила
431,Löffel::N,халбага,пань
432,Messer::N,хутга,пурт
433,Nagel::N,хадаас,кӧрттув
434,Netz::N,өөш,кыйӧт
435,Netz::N,тор,кыйӧт
436,Haken::N,гох,ем
437,Griff::N,иш,пу
438,Griff::N,сэнж,пу
439,Schloss::N,цуурга,замок
