,Concept_ID,br,ady
0,Auge::N,lagad,нэ
1,Ohr::N,skouarn,тхьакӏу́м
2,Nase::N,fri,пэ
3,Mund::N,genoù,жэ
4,Zahn::N,dant,цэ
5,Zunge::N,teod,бзэгу
6,Lippe::N,muzell,ӏупшӏэ́
7,Wange::N,chot,нэкӏу́шъу
8,Gesicht::N,dremm,нэ́гу
9,Stirn::N,tal,натӏэ́
10,Haar::N,blev,шъхьацы́
11,Schnurrbart::N,mourenn,
12,Bart::N,barv,жакӏэ́
13,Kinn::N,groñj,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,javed,жэпкъы́
15,Kehle::N,gouzoug,чый
16,Hals::N,gouzoug,пшъэ
17,Genick::N,choug,шъхьэпхэтыку
18,Kopf::N,penn,шъхьэ́
19,Rücken::N,kein,кӏыбы́
20,Bauch::N,kof,ныбэ́
21,Nabel::N,begel,
22,Busen::N,bronn,бгъэ́
23,Brust::N,bruched,бгъэ́
24,Schulter::N,skoaz,блыпкъ
25,Arm::N,brec'h,ӏэ
26,Ellenbogen::N,ilin,ӏэнтэ́гъу
27,Hand::N,dorn,ӏэтхьэцу
28,Handfläche::N,palv,ӏэ́гу
29,Finger::N,biz,ӏэхъуа́мб
30,Fingernagel::N,ivin,ӏэбжъа́н
31,Nagel[Anatomie]::N,ivin,ӏэбжъа́н
32,Zeh::N,biz-troad,ӏэхъуа́мб
33,Fuß::N,troad,лъэгу
34,Ferse::N,seul,лъэдакъэ
35,Knie::N,glin,лъагуа́ндж
36,Oberschenkel::N,morzhed,ко
37,Bein::N,gar,лъакъо́
38,Körper::N,korf,пкъышъол
39,Haut::N,kroc'hen,кӏы́шъу
40,Blut::N,gwad,лъы
41,Ader::N,gwazhi,льытф
42,Sehne::N,stir,фэ
43,Knochen::N,askorn,къупшъхьэ́
44,Gehirn::N,empenn,куцӏы
45,Herz::N,kalon,гу
46,Magen::N,stomog,мышкӏу
47,Leber::N,avu,шӏу
48,Atem::N,anal,къэщэныр
49,Hunger::N,naon,гъаблэ́
50,Träne::N,daer,нэпсы
51,Geschmack::N,blaz,ӏэшӏугъа́кӏ
52,Geruch::N,c'hwezh,мэ
53,Schlaf::N,kousked,пчыхьы́пӏ
54,Traum::N,hune,пчыхьы́пӏ
55,Himmel::N,oabl,уашъо́
56,Sonne::N,heol,тыгъэ
57,Mond::N,loar,мазэ
58,Stern::N,steredenn,жъуагъо́
59,Luft::N,aer,жьы
60,Wind::N,avel,жьыбгъэ́
61,Welle::N,houlenn,ор
62,Welle::N,houlenn,оры
63,Wasser::N,dour,псы
64,Stein::N,maen,мыжъо́
65,Boden::N,tachenn,чӏ́ыгу
66,Erde::N,douar,чӏ́ыгу
67,Staub::N,poultr,сап
68,Rauch::N,moged,ӏугъо́
