,Concept_ID,az,pl
0,Auge::N,göz,oko
1,Ohr::N,qulaq,ucho
2,Nase::N,burun,nos
3,Mund::N,ağız,usta
4,Zahn::N,diş,ząb
5,Zunge::N,dil,język
6,Lippe::N,dodaq,warga
7,Wange::N,yanaq,policzek
8,Gesicht::N,üz,twarz
9,Stirn::N,alın,czoło
10,Haar::N,saç,włos
11,Haar::N,saç,włosy
12,Schnurrbart::N,bığ,wąsy
13,Bart::N,saqqal,broda
14,Kinn::N,çənə,podbródek
15,Kiefer[Anatomie]::N,çənə,czeluść
16,Kehle::N,boğaz,gardło
17,Hals::N,boyun,szyja
18,Genick::N,ənsə,kark
19,Kopf::N,baş,głowa
20,Rücken::N,bel,plecy
21,Rücken::N,bel,grzbiet
22,Bauch::N,qarın,brzuch
23,Nabel::N,göbək,pępek
24,Busen::N,məmə,biust
25,Brust::N,döş,pierś
26,Schulter::N,çiyin,bark
27,Schulter::N,çiyin,ramię
28,Arm::N,qol,ręka
29,Arm::N,qol,ramię
30,Ellenbogen::N,dirsək,łokieć
31,Hand::N,əl,dłoń
32,Handfläche::N,ovuc,dłoń
33,Finger::N,barmaq,palec
34,Fingernagel::N,barmaq dırnağı,paznokieć
35,Nagel[Anatomie]::N,dırnak,paznokieć
36,Zeh::N,ayaq barmağı,palec
37,Fuß::N,ayaq,stopa
38,Ferse::N,daban,pięta
39,Knie::N,diz,kolano
40,Oberschenkel::N,bud,udo
41,Bein::N,qıç,noga
42,Körper::N,əndam,ciało
43,Haut::N,dəri,skóra
44,Blut::N,qan,krew
45,Ader::N,damar,żyła
46,Sehne::N,vətər,ścięgno
47,Knochen::N,sümük,kość
48,Gehirn::N,beyin,mózg
49,Herz::N,ürək,serce
50,Magen::N,mədə,żołądek
51,Leber::N,qara ciyər,wątroba
52,Atem::N,nəfəs,dech
53,Atem::N,nəfəs,oddech
54,Hunger::N,aclıq,głód
55,Träne::N,göz yaşı,łza
56,Geschmack::N,tam,smak
57,Geschmack::N,ləzzət,smak
58,Geruch::N,qoxu,woń
59,Geruch::N,qoxu,zapach
60,Schlaf::N,yuxu,sen
61,Traum::N,röya,sen
62,Himmel::N,göy,niebo
63,Himmel::N,səma,niebo
64,Sonne::N,günəş,słońce
65,Mond::N,ay,księżyc
66,Stern::N,ulduz,gwiazda
67,Luft::N,hava,powietrze
68,Wind::N,yel,wiatr
69,Wind::N,külək,wiatr
70,Welle::N,dalğa,fala
71,Wasser::N,su,woda
72,Stein::N,daş,kamień
73,Boden::N,yer,grunt
74,Boden::N,zəmin,grunt
75,Erde::N,yer torpaq,ziemia
76,Staub::N,toz,pył
77,Staub::N,toz,kurz
78,Rauch::N,tüstü,dym
79,Funke::N,qığılcım,iskra
80,Feuer::N,od,ogień
81,Licht::N,işıq,światło
82,Schatten::N,kölgə,cień
83,Wetter::N,hava,pogoda
84,Nebel::N,duman,mgła
85,Wolke::N,bulud,obłok
86,Wolke::N,bulud,chmura
87,Regen::N,yağış,deszcz
88,Regen::N,yağmur,deszcz
89,Schnee::N,qar,śnieg
90,Eis::N,buz,lód
91,Frost::N,ayaz,mróz
92,Kälte::N,soyuq,chłód
93,Hitze::N,coşğunluq,gorąco
94,Raureif::N,qırov,szron
95,Regenbogen::N,göy qurşağı,tęcza
96,Donner::N,göy gurultusu,grzmot
97,Strömung::N,axın,nurt
98,Tropfen::N,damcı,kropla
99,Schaum::N,köpük,piana
100,Schmutz::N,çamır,brud
101,See::N,göl,jezioro
102,Sumpf::N,bataqlıq,bagno
103,Moor::N,bataqlıq,bagno
104,Wiese::N,çəmən,łąka
105,Wald::N,meşə,las
106,Hügel::N,təpə,pagórek
107,Anhöhe::N,təpə,wzgórze
108,Berg::N,dağ,góra
109,Gipfel::N,zirvə,szczyt
110,Gipfel::N,zirvə,wierzchołek
111,Höhle::N,mağara,pieczara
112,Abhang::N,yamac,stok
113,Abhang::N,yamac,zbocze
114,Quelle::N,bulaq,zdrój
115,Quelle::N,bulaq,źródło
116,Bach::N,kiçik çay,potok
117,Bach::N,kiçik çay,strumień
118,Fluss::N,çay,rzeka
119,Ufer::N,kənar,brzeg
120,Küste::N,sahil,wybrzeże
121,Festland::N,materik,ląd
122,Meer::N,dəniz,morze
123,Bucht::N,körfəz,zatoka
124,Insel::N,ada,wyspa
125,Blume::N,çiçək,kwiat
126,Gras::N,ot,trawa
127,Wurzel::N,kök,korzeń
128,Baum::N,ağac,drzewo
129,Stamm::N,gövdə,pień
130,Rinde::N,qabıq,kora
131,Ast::N,şax,gałąź
132,Zweig::N,budaq,gałąź
133,Blatt::N,yarpaq,liść
134,Birke::N,tozağacı,brzoza
135,Kiefer[Baum]::N,şam,sosna
136,Weide[Baum]::N,söyüd,wierzba
137,Tanne::N,küknar,jodła
138,Horn::N,buynuz,róg
139,Feder::N,tük,pióro
140,Feder::N,lələk,pióro
141,Fell::N,xəz,futro
142,Flügel::N,qanad,skrzydło
143,Klaue::N,pəncə,szpon
144,Kralle::N,dırnaq,pazur
145,Schwanz::N,quyruq,ogon
146,Ei::N,yumurta,jajko
147,Nest::N,yuva,gniazdo
148,Bau::N,yuva,nora
149,Tier::N,heyvan,zwierzę
150,Herde::N,sürü,stado
151,Herde::N,sürü,trzoda
152,Kuh::N,inək,krowa
153,Bulle::N,öküz,byk
154,Pferd::N,at,koń
