,Concept_ID,kl,mhr
0,Auge::N,isi,шинча́
1,Ohr::N,siut,пы́лыш
2,Mund::N,paaq,умша́
3,Mund::N,qaneq,умша́
4,Zahn::N,kigut,пӱй
5,Zunge::N,oqaq,йы́лме
6,Lippe::N,qarloq,тӱ́рвӧ
7,Wange::N,ersaq,шӱ́ргӧ
8,Gesicht::N,kiinaq,чури́й
9,Stirn::N,qaaq,саҥга́
10,Haar::N,meqqoq,ӱп
11,Bart::N,umik,понда́ш
12,Kinn::N,talloq,оҥыла́ш
13,Kiefer[Anatomie]::N,alleroq,пӱйдӱ́ҥ
14,Kiefer[Anatomie]::N,alleroq,пӱйората́
15,Kehle::N,malaq,лога́р
16,Hals::N,qungaseq,шӱй
17,Genick::N,pukusuk,шӱйло́дыш
18,Kopf::N,niaqoq,вуй
19,Rücken::N,qimerlut,туп
20,Bauch::N,naaq,мӱ́шкыр
21,Nabel::N,qalaseq,кы́лымде
22,Busen::N,iviangeq,чы́зе
23,Brust::N,iviangeq,оҥ
24,Schulter::N,ersik,ва́че
25,Schulter::N,assaqqoq,ва́че
26,Arm::N,taleq,кид
27,Ellenbogen::N,ikusik,кынерву́й
28,Hand::N,assak,кид
29,Hand::N,assak,копа́
30,Handfläche::N,itumak,со́во
31,Finger::N,inuak,парня́
32,Fingernagel::N,kikiak,кидкӱ́ч
33,Fingernagel::N,kikiak,парнягӱ́ч
34,Nagel[Anatomie]::N,kukik,кӱч
35,Zeh::N,isigak,йолварня́
36,Ferse::N,kimmik,тага́н
37,Knie::N,seeqqoq,пулву́й
38,Oberschenkel::N,uppat,э́рде
39,Oberschenkel::N,quttoraq,э́рде
40,Bein::N,isigak,йол
41,Körper::N,timi,кап
42,Haut::N,mattak,кова́ште
43,Blut::N,aak,вӱр
44,Ader::N,taqaq,шӧн
45,Sehne::N,ujalu,шӧн
46,Sehne::N,ujalu,кӱсе́н
47,Sehne::N,ujaloq,шӧн
48,Sehne::N,ujaloq,кӱсе́н
49,Knochen::N,saanikut,лу
50,Gehirn::N,qarasaq,вем
51,Gehirn::N,qarasaq,вуйве́м
52,Herz::N,uummat,шӱм
53,Magen::N,aqajaroq,пага́р
54,Leber::N,tinguk,мокш
55,Atem::N,anerneq,шӱ́лыш
56,Hunger::N,kaanneq,шужыма́ш
57,Träne::N,qia,шинчавӱ́д
58,Träne::N,qiak,шинчавӱ́д
59,Geschmack::N,qilanaartuut,там
60,Geruch::N,tipi,пуш
61,Geruch::N,tipik,пуш
62,Traum::N,sinnattoq,йӱдо́мо
63,Traum::N,sinnattugaq,йӱдо́мо
64,Himmel::N,qilak,кава́
65,Sonne::N,seqineq,ке́че
66,Mond::N,qaammat,ты́лзе
67,Stern::N,ulloriaq,шӱ́дыр
68,Luft::N,silaannaq,юж
69,Wind::N,anori,марде́ж
70,Wind::N,anorsarik,марде́ж
71,Welle::N,aalappaa,то́лкын
72,Wasser::N,imeq,вӱд
73,Stein::N,ujarak,кӱ
74,Boden::N,nateq,рок
75,Erde::N,issoq,мла́нде
76,Staub::N,pujualanerit,пура́к
77,Staub::N,pujoralanerit,пура́к
78,Rauch::N,iseq,шикш
79,Rauch::N,pujoq,шикш
80,Funke::N,illoorneq,сеске́м
81,Funke::N,illoorneq,тулйы́п
82,Feuer::N,inneq,тул
83,Licht::N,qaamaneq,со́то
84,Schatten::N,tarraq,ӱ́мыл
85,Wetter::N,sila,иге́че
86,Nebel::N,pujoq,тӱтыра́
87,Wolke::N,nuia,пыл
88,Regen::N,sialuk,йӱр
89,Schnee::N,aput,лум
90,Eis::N,siku,ий
91,Frost::N,issi,чатлама́
92,Frost::N,issik,чатлама́
93,Kälte::N,issi,йӱ́штӧ
94,Hitze::N,kianneq,шо́кшо
95,Hitze::N,kiassuseq,шо́кшо
96,Raureif::N,kaneq,пӧрш
97,Raureif::N,kaneq,по́кшым
98,Regenbogen::N,neriusaaq,шонанпы́л
99,Donner::N,kalleq,кӱ́дырчӧ
100,Tropfen::N,kuseriarneq,чӱча́лтыш
101,Schaum::N,qapuk,шоҥ
102,Schmutz::N,minguk,лавыра́
103,See::N,taseq,ер
104,Sumpf::N,maqulluk,лӱ́кӧ
105,Wiese::N,masarsuk,о́лык
106,Hügel::N,qattuneq,арка́
107,Hügel::N,majuariaq,арка́
108,Hügel::N,majorajaaq,арка́
109,Hügel::N,qaqqannguaq,арка́
110,Berg::N,qaqqaq,ку́рык
111,Höhle::N,qaarusuk,пеще́р
112,Höhle::N,qaarusuk,курыкпо́мыш
113,Abhang::N,ippik,та́йыл
114,Abhang::N,sivinganeq,та́йыл
115,Abhang::N,sivingajaaq,та́йыл
116,Abhang::N,kussangajaaq,та́йыл
117,Bach::N,kuunnguaq,изэҥе́р
118,Fluss::N,kuuk,эҥе́р
119,Ufer::N,sissap sinaa,сер
120,Küste::N,sineriak,вӱдтӱ́р
121,Meer::N,imaq,те́ҥыз
122,Bucht::N,ikeq,икса́
123,Bucht::N,kangerluk,икса́
124,Bucht::N,kangerliumaneq,икса́
125,Insel::N,qeqertaq,отро́
126,Blume::N,naasoq,пеле́дыш
127,Gras::N,ivigaq,шу́до
128,Wurzel::N,niulutaq,вож
129,Baum::N,orpik,пуше́ҥге
130,Stamm::N,kanaartaq,йы́тыр
131,Rinde::N,ameraq,шӱм
132,Ast::N,avalequt,укш
133,Zweig::N,avalequt,торма́к
134,Blatt::N,pilutaq,лышта́ш
135,Birke::N,patitsit,куэ́
136,Weide[Baum]::N,palleq,уа́
137,Tanne::N,orsuerneq,кож
138,Horn::N,nassuk,шур
139,Feder::N,suluk,пы́стыл
140,Fell::N,ameq,кова́ште
141,Flügel::N,suluk,шу́лдыр
142,Flügel::N,isaroq,шу́лдыр
143,Klaue::N,kukik,кӱч
144,Kralle::N,kukik,ла́па
145,Kralle::N,kukik,копа́
146,Schwanz::N,pamioq,поч
147,Schwanz::N,paperuusaq,поч
148,Ei::N,mannik,му́но
149,Nest::N,ullut,пыжа́ш
150,Bau::N,ini,пыжа́ш
151,Tier::N,uumasoq,я́нлык
152,Tier::N,uumasoq,живо́тный
153,Herde::N,unguukkat,кӱ́тӱ
154,Herde::N,unguukkat,тӱшка́
155,Kuh::N,ussik,ушка́л
156,Bulle::N,angukulak,ӱ́шкыж
157,Bulle::N,anguteralak,ӱ́шкыж
158,Bulle::N,angutikulooq,ӱ́шкыж
159,Schaf::N,sava,шо́рык
160,Schwein::N,puuluki,сӧсна́
161,Hund::N,qimmeq,пий
162,Katze::N,puisaaq,пы́рыс
163,Bär::N,allaq,маска́
164,Eichhörnchen::N,sissinnguaq,ур
165,Fuchs::N,terianniaq,ры́выж
166,Hase::N,ukaleq,мера́ҥ
167,Maus::N,teriannguaq,коля́
168,Wolf::N,amaroq,пи́ре
169,Vogel::N,timmiaq,ка́йык
170,Huhn::N,kukkukooq,чы́ве
171,Huhn::N,marloraaqaaq,чы́ве
172,Hahn::N,kiasiusaq,агыта́н
173,Gans::N,nerleq,ко́мбо
174,Adler::N,nattoralik,карагу́ш
175,Eule::N,uppik,тумна́
176,Kranich::N,qorlorfik,турня́
177,Krähe::N,tuluatsiaq,кора́к
178,Kuckuck::N,kukkooq,куку́
179,Schwan::N,qussuk,йӱ́ксӧ
180,Fisch::N,aalisagaq,кол
181,Schlange[Tier]::N,pulateriarsuk,ки́шке
182,Schlange[Tier]::N,pulateriaarsuk,ки́шке
183,Spinne::N,aasiaq,эҥыре́мыш
184,Spinne::N,nissavaarsuk,эҥыре́мыш
185,Ameise::N,uniaaluk,ку́тко
186,Laus::N,kumak,тий
187,Mücke::N,ippernaq,шыҥа́
188,Fliege::N,ippernaq,ка́рме
189,Schmetterling::N,paluaq,лы́ве
190,Schmetterling::N,pakkaluaq,лы́ве
191,Schmetterling::N,utsuppaluaq,лы́ве
192,Schmetterling::N,taqaleqisaaq,лы́ве
193,Beere::N,paarmaq,мӧр
194,Beere::N,paarngaq,мӧр
195,Apfel::N,iipili,олма́
196,Pilz::N,anngiusaq,по́ҥго
197,Zwiebel::N,uanitsoq,шога́н
198,Saat::N,naatsiiassaq,нӧ́шмӧ
199,Saat::N,naatsiiassaq,туш
200,Korn::N,maannineq,шу́рно
201,Schale::N,niutsivik,шӱм
202,Schale::N,ilulissaq qaartussaq,шӱм
203,Grube::N,itersaq,выне́м
204,Falle::N,pualavoq,лӧ́дӧ
205,Schlinge::N,orseq,о́птыш
206,Schlinge::N,orseq,шӧрга́лтыш
207,Schlinge::N,norloq,о́птыш
208,Schlinge::N,norloq,шӧрга́лтыш
209,Spur::N,tumaa,кыша́
210,Asche::N,arsat,ло́мыж
211,Dreck::N,minguk,лавыра́
212,Eisen::N,savimineq,кӱ́ртньӧ
213,Eisen::N,saffiugassaq,кӱ́ртньӧ
214,Gold::N,kuulti,шӧ́ртньӧ
215,Silber::N,siilviuvoq,ший
216,Kohle::N,aamarsuit aamaruutissat,мландышӱ́й
217,Glas::N,igalaaq,янда́
218,Glas::N,imertarfik,янда́
219,Glas::N,igalaamineq,янда́
220,Lehm::N,marraq,шун
221,Sand::N,sioqqat,ошма́
222,Mensch::N,inuk,еҥ
223,Mensch::N,inuk,айде́ме
224,Mensch::N,silamiu,еҥ
225,Mensch::N,silamiu,айде́ме
226,Mann::N,angut,пӧръе́ҥ
227,Frau::N,arnaq,ӱдырама́ш
228,Kind::N,meeraq,аза́
229,Junge::N,nukappiaraq,рве́зе
230,Mädchen::N,arnannguaq,ӱдыра́ш
231,Familie::N,ilaqutakka,еш
232,Familie::N,ilaqutariit,еш
233,Großvater::N,aatak,коча́
234,Großmutter::N,aanaq,кова́
235,Eltern::N,angajoqqaat,ача́-ава́
236,Vater::N,ataata,ача́
237,Vater::N,ataataq,ача́
238,Mutter::N,anaana,ава́
239,Sohn::N,erneq,э́рге
240,Tochter::N,panik,ӱ́дыр
241,Bruder::N,ani,иза́
242,Bruder::N,ani,шо́льо
243,Bruder::N,aqqaluk,иза́
244,Bruder::N,aqqaluk,шо́льо
245,Bruder::N,qatanngut,иза́
246,Bruder::N,qatanngut,шо́льо
247,Schwester::N,naja,ака́
248,Schwester::N,aleqa,ака́
249,Schwester::N,qatanngut,ака́
250,Onkel::N,akkak,иза́
251,Tante::N,aja,кока́
252,Tante::N,ajak,кока́
253,Tante::N,atsak,кока́
254,Ehemann::N,ui,мари́й
255,Ehefrau::N,nuliaq,ва́те
256,Freude::N,tipaatsussuseq,куа́н
257,Freude::N,tipaatsussuseq,куаныма́ш
258,Gelächter::N,illaq,во́штылтыш
259,Glück::N,usornaat,пиа́л
260,Glück::N,usornarsuseq,пиа́л
261,Wunsch::N,kissaat,ку́мыл
262,Lust::N,illigussuseq,ку́мыл
263,Lust::N,piummaseq,ку́мыл
264,Geist::N,anerneq,ӧрт
265,Geist::N,anerneq,чон
266,Geist::N,toornaq,ӧрт
267,Geist::N,toornaq,чон
268,Gedanke::N,isumassaq,ой
269,Gedanke::N,isumassaq,шоныма́ш
270,Gedächtnis::N,eqqaamannissuseq,шарныма́ш
271,Verstand::N,isuma,уш
272,Verstand::N,sianissut,уш
273,Verstand::N,misigissut,уш
274,Verstand::N,sianissuseq,уш
275,Verstand::N,silaqassuseq,уш
276,Sinn::N,isuma,смысл
277,Grund::N,patsit,ама́л
278,Wahrheit::N,sallusuissut,чын
279,Märchen::N,oqalualaarut,йома́к
280,Märchen::N,oqaluasaaq,йома́к
281,Erzählung::N,oqaluttuaq,ойлыма́ш
282,Nachricht::N,oqaassut,увертарыма́ш
283,Nachricht::N,oqqersuut,увертарыма́ш
284,Neuigkeit::N,tusarnartaq,уве́р
285,Name::N,ateq,лӱм
286,Rätsel::N,nalorsitsaarut,ту́што
287,Rede::N,oqaluuseq,ойлыма́ш
288,Sprache::N,oqaatsit,йы́лме
289,Stimme::N,erinaq,йӱк
290,Stimme::N,qarluuseq,йӱк
291,Wort::N,oqaasii,ой
292,Wort::N,oqaasii,мут
293,Zeichen::N,nalunaaqqut,ти́ште
294,Zeichen::N,nalunaaqqut,знак
295,Ruf::N,qaaqqussut,ӱжма́ш
296,Lärm::N,perpaluk,лӱшкыма́ш
297,Lärm::N,perpaluk,йӱк-йӱа́н
298,Laut::N,torsukattak,йӱк
299,Ton::N,erinaq,йӱксе́м
300,Lied::N,taalliaq,му́ро
301,Lied::N,erinarsuut,му́ро
302,Ruhe::N,qatsunganeq,ты́мык
303,Leute::N,inuiak,еҥ-влак
304,Leute::N,inuiaqatigiit,еҥ-влак
305,Volk::N,inuiaat,ка́лык
306,Arbeit::N,suliaq,паша́
307,Gast::N,qaaqqusaq,уна́
308,Geschenk::N,pajugut,пӧле́к
309,Hilfe::N,annertoqqut,по́лыш
310,Freund::N,tiliaq,таҥ
311,Freund::N,tiliaq,йолта́ш
312,Freund::N,ikinngut,таҥ
313,Freund::N,ikinngut,йолта́ш
314,Kamerad::N,tiliaq,таҥ
315,Kamerad::N,ikinngut,таҥ
316,Art::N,ileqquuseq,вид
317,Stück::N,nakkaalaniku,ка́тыш
318,Stück::N,nakkaalaniku,ла́стык
319,Teil::N,tassiaasat,ужа́ш
320,Hälfte::N,affaq,пел
321,Hälfte::N,affaq,пе́ле
322,Kreis::N,kaajaluinneq or kaajaluitsoq,ты́ртыш
323,Kreuz::N,sanningasulik,ыре́с
324,Linie::N,tittaq,ли́ний
325,Linie::N,titarneq,ли́ний
326,Abstand::N,aku,кокла́
327,Abstand::N,ikiaq,кокла́
328,Entfernung::N,asi,тора́
329,Entfernung::N,asi,ку́жыт
330,Gegend::N,nuna,кунде́м
331,Platz::N,ini,ку́мдык
332,Platz::N,inissaq,ку́мдык
333,Ort::N,sumiiffik,вер
334,Ort::N,sumiiffik,о́лмо
335,Seite::N,saneraq,ӧ́рдыж
336,Mitte::N,qiteq,покше́л
337,Sache::N,pigisaq,наста́
338,Rand::N,sini,тӱр
339,Rand::N,akerfineq,тӱр
340,Kante::N,akerfineq,тӱр
341,Ecke::N,teqeqqoq,лук
342,Ecke::N,tikeqqoq,лук
343,Spitze::N,inngik,вуй
344,Ende::N,isu,муча́ш
345,Loch::N,putu,рож
346,Winkel::N,teqeqqorissaat,лук
347,Muster::N,ilisserut,пеза́к
348,Muster::N,ilisserut,узо́р
349,Muster::N,ilisserut,ӱ́лгӧ
350,Größe::N,angissuseq,кӱ́кшыт
351,Länge::N,takissuseq,ку́тыш
352,Gewicht::N,oqimaalutaq,не́лыт
353,Menge::N,amerlassuseq,чот
354,Haufen::N,eqimattat,кы́шыл
355,Reihe::N,allunaasaq,рада́м
356,Boot::N,qajaq,пуш
357,Boot::N,angallat,пуш
358,Boot::N,umiatsiaq,пуш
359,Ruder::N,iput,эшка́к
360,Schlitten::N,qamutit,тер
361,Schlitten::N,qamutit,изде́р
362,Schlitten::N,qimusseq,тер
363,Schlitten::N,qimusseq,изде́р
364,Ski::N,ataarut,е́че
365,Last::N,nammagaq,нӧ́лтыш
366,Schritt::N,allorneq,о́шкыл
367,Norden::N,avannaq,йӱдйыма́л
368,Süden::N,qava,кечывалве́л
369,Süden::N,kujat,кечывалве́л
370,Süden::N,kujataa,кечывалве́л
371,Westen::N,kitaa,касве́л
372,Osten::N,kangi,эрве́л
373,Holz::N,qisuk,пу
374,Brett::N,salliligaq,оҥа́
375,Platte::N,qaateq,аста́р
376,Stütze::N,ajagutaq,чара́к
377,Stütze::N,ajaagutaq,чара́к
378,Stange::N,kaaviffik,лома́ш
379,Stock::N,ajaappissat,тоя́
380,Stab::N,ajaappissat,вара́
381,Stab::N,ajaappissat,кашта́
382,Rohr::N,sullulik,пуч
383,Haus::N,illu,пӧрт
384,Ofen::N,kissarsuut,комака́
385,Fußboden::N,nateq,кӱва́р
386,Tisch::N,allattarfik,ӱсте́л
387,Stuhl::N,issiavik,пӱке́н
388,Stuhl::N,issiaffik,пӱке́н
389,Wiege::N,uaasoq,шепка́
390,Bett::N,nallavik,ва́кшыш
