,Concept_ID,uk,xal
0,Auge::N,око,нүдн
1,Ohr::N,вухо,чикн
2,Nase::N,ніс,хамр
3,Mund::N,рот,амн
4,Zahn::N,зуб,шүдн
5,Zunge::N,язик,келн
6,Lippe::N,губа,урл
7,Wange::N,щока,халх
8,Gesicht::N,обличчя,нүр
9,Stirn::N,лоб,маңна
10,Haar::N,волосся,үсн
11,Schnurrbart::N,вуса,сахл
12,Bart::N,борода,сахл
13,Bart::N,борода,өргнә сахл
14,Kinn::N,підборіддя,өргн
15,Kiefer[Anatomie]::N,щелепа,өргн
16,Kehle::N,горло,хол
17,Hals::N,шия,күзүн
18,Genick::N,потилиця,гиҗг
19,Kopf::N,голова,толһа
20,Rücken::N,спина,нурһн
21,Bauch::N,живіт,гесн
22,Nabel::N,пупок,киисн
23,Busen::N,груди,көкн
24,Brust::N,груди,чееҗ
25,Schulter::N,плече,ээм
26,Arm::N,рука,һар
27,Ellenbogen::N,лікоть,тоха
28,Hand::N,рука,баһлцг
29,Handfläche::N,долоня,альхн
30,Finger::N,палець,хурһн
31,Finger::N,палець,һарин хурһн
32,Fingernagel::N,ніготь,хумсн
33,Nagel[Anatomie]::N,ніготь,хумсн
34,Zeh::N,палець на нозі,хурһн
35,Zeh::N,палець на нозі,көлин хурһн
36,Fuß::N,нога,тавг
37,Ferse::N,п’ятка,өскә
38,Knie::N,коліно,өвдг
39,Oberschenkel::N,стегно,һуй
40,Bein::N,нога,көл
41,Körper::N,тіло,махмуд
42,Haut::N,шкіра,арсн
43,Blut::N,кров,цусн
44,Ader::N,вена,судцн
45,Sehne::N,сухожилля,шүрүсн
46,Knochen::N,кістка,ясн
47,Gehirn::N,мозок,экн
48,Herz::N,серце,зүркн
49,Magen::N,шлунок,гесн
50,Leber::N,печінка,элкн
51,Atem::N,дихання,әмсхл
52,Hunger::N,голод,харһнлһн
53,Träne::N,сльоза,нульмсн
54,Geschmack::N,смак,амтн
55,Geruch::N,запах,үнр
56,Schlaf::N,сон,нөр
57,Schlaf::N,сплячка,нөр
58,Traum::N,сон,зүүдн
59,Himmel::N,небо,теңгр
60,Sonne::N,сонце,нарн
61,Mond::N,місяць,сар
62,Stern::N,зірка,одн
63,Luft::N,повітря,аһар
64,Wind::N,вітер,салькн
65,Welle::N,хвиля,дольган
66,Wasser::N,вода,усн
67,Stein::N,камінь,чолун
68,Boden::N,ґрунт,Һазр
69,Erde::N,земля,Һазр
70,Staub::N,пил,тоосн
71,Rauch::N,дим,утан
72,Funke::N,іскра,очн
73,Feuer::N,вогонь,һал
74,Licht::N,світло,герл
75,Schatten::N,тінь,сүүдр
76,Wetter::N,погода,теңгр
77,Nebel::N,туман,будн
78,Wolke::N,хмара,үүлн
79,Regen::N,дощ,хур
80,Schnee::N,сніг,цасн
81,Eis::N,лід,мөсн
82,Frost::N,мороз,киитн
83,Kälte::N,холод,киитн
84,Hitze::N,жар,халун
85,Raureif::N,іній,цаң
86,Raureif::N,іній,кирү
87,Regenbogen::N,райдуга,солңһ
88,Donner::N,грім,оһтрһун дун
89,Strömung::N,струмина,урсхл
90,Tropfen::N,крапля,дусал
91,Schaum::N,піна,көөсн
92,Schmutz::N,бруд,кир
93,See::N,озеро,нур
94,Sumpf::N,драговина,унул
95,Moor::N,болото,улм
96,Wiese::N,луг,хадлһн
97,Wiese::N,лука,хадлһн
98,Wald::N,ліс,ө-модн
99,Hügel::N,горб,толһа
100,Anhöhe::N,височина,хамр
101,Berg::N,гора,уул
102,Gipfel::N,вершина,ора
103,Höhle::N,печера,хадин көндә
104,Abhang::N,схил,ташу
105,Quelle::N,джерело,булг
106,Bach::N,струмок,һооҗур
107,Fluss::N,річка,һол
108,Ufer::N,берег,көвә
109,Küste::N,узбережжя,көвә
110,Küste::N,узбережжя,теңгсин көвә
111,Festland::N,суша,хүүрә һазр
112,Meer::N,море,теңгс
113,Bucht::N,бухта,цекә
114,Bucht::N,бухта,теңгсин цекә
115,Bucht::N,затока,цекә
116,Bucht::N,затока,теңгсин цекә
117,Insel::N,острів,арл
118,Blume::N,квітка,цецг
119,Gras::N,трава,ноһан
120,Wurzel::N,корінь,уңг
121,Baum::N,дерево,модн
122,Stamm::N,стовбур,шилв
123,Stamm::N,стовбур,һол модн
124,Rinde::N,кора,көрсн
125,Ast::N,гілка,ац
126,Zweig::N,галузь,ац
127,Blatt::N,лист,хамтхасн
128,Birke::N,береза,хусм модн
129,Kiefer[Baum]::N,сосна,шар харһа
130,Weide[Baum]::N,верба,удн
131,Tanne::N,ялиця,җөөлн цаһан модн
132,Horn::N,ріг,өвр
133,Feder::N,перо,өрвлг
134,Fell::N,хутро,арсн
135,Flügel::N,крило,җивр
136,Klaue::N,кіготь,хумсн
137,Kralle::N,лапа,тавг
138,Schwanz::N,хвіст,сүл
139,Ei::N,яйце,өндгн
140,Nest::N,гніздо,үр
141,Bau::N,лігво,нүкн
142,Tier::N,тварина,мал
143,Herde::N,стадо,сүрг мал
144,Kuh::N,корова,үкр
145,Bulle::N,бик,бух
146,Bulle::N,бугай,бух
147,Pferd::N,кінь,мөрн
148,Schaf::N,вівця,хөн
149,Schwein::N,свиня,һаха
150,Hund::N,собака,ноха
151,Katze::N,кішка,мис
152,Bär::N,ведмідь,аю
153,Eichhörnchen::N,білка,кермн
154,Elch::N,лось,хандһа
155,Fuchs::N,лисиця,арат
156,Hase::N,заєць,туула
157,Maus::N,миша,хулһн
158,Wolf::N,вовк,чон
159,Vogel::N,птах,шовун
160,Schwarm::N,зграя,зел
161,Huhn::N,курка,така
162,Hahn::N,півень,эр така
163,Gans::N,гуска,һалун
164,Adler::N,орел,һәрд
165,Ente::N,качка,нуһсн
166,Eule::N,сова,һурвлһ
167,Kranich::N,журавель,тоһрун
168,Krähe::N,ворона,шаазһа
169,Kuckuck::N,зозуля,эргин хуцдг
170,Schwan::N,лебідь,хун
171,Fisch::N,риба,заһсн
172,Barsch::N,окунь,шүрг
173,Hecht::N,щука,цурх
174,Schlange[Tier]::N,змія,моһа
175,Wurm::N,черв’як,өтн
176,Spinne::N,павук,аралҗн
177,Ameise::N,мурашка,шорһлҗн
178,Laus::N,воша,бөөсн
179,Mücke::N,комар,бөкүн
180,Fliege::N,муха,батхн
181,Schmetterling::N,метелик,эрвәкә
182,Beere::N,ягода,бөөлҗрһн
183,Apfel::N,яблуко,альмн
184,Pilz::N,гриб,теңгрин ки
185,Zwiebel::N,цибуля,мәңгрснә толһа
186,Saat::N,сім’я,буудян экн
187,Korn::N,зерно,экн
188,Heu::N,сіно,өвсн
189,Schale::N,шкірка,хальсн
190,Grube::N,яма,нүкн
191,Falle::N,пастка,урх
192,Falle::N,пастка,хавх
193,Schlinge::N,петля,бүтү
194,Spur::N,слід,мөр
195,Asche::N,зола,үмсн
196,Asche::N,попіл,үмсн
197,Dreck::N,бруд,бальчг
198,Eisen::N,залізо,төмр
199,Gold::N,золото,алтн
200,Silber::N,срібло,мөңгн
201,Silber::N,срібло,цаһан мөңгн
202,Kohle::N,вугілля,нүүрсн
203,Glas::N,скло,шил
204,Lehm::N,глина,шавр
205,Sand::N,пісок,элсн
206,Mensch::N,людина,күн
207,Mensch::N,людина,күмн
208,Mann::N,чоловік,эр
209,Frau::N,жінка,күүкд күн
210,Kind::N,дитина,үрн
211,Junge::N,хлопець,көвүн
212,Mädchen::N,дівчина,бичкн күүкн
213,Familie::N,сім’я,бүл
214,Familie::N,родина,бүл
215,Großvater::N,дідусь,өвк эцк
216,Großvater::N,дідусь,наһц эцк
217,Großmutter::N,бабуся,эмг эк
218,Großmutter::N,бабуся,наһц эк
219,Eltern::N,батьки,эк эцк хойр
220,Vater::N,батько,эцк
221,Mutter::N,мати,эк
222,Sohn::N,син,көвүн
223,Tochter::N,дочка,күүкн
224,Bruder::N,брат,дү көвүн
225,Schwester::N,сестра,эгч
226,Schwester::N,сестра,дү күүкн
227,Onkel::N,дядько,авһ
228,Onkel::N,дядько,наһцх
229,Tante::N,тітка,наһц эгч
230,Ehemann::N,чоловік,залу
231,Ehefrau::N,жінка,гергн
232,Ehefrau::N,дружина,гергн
233,Freude::N,радощі,байр
234,Gelächter::N,сміх,инәдн
235,Glück::N,щастя,җирһл
236,Glück::N,щастя,сәәхн җирһл
237,Kummer::N,горе,зовлң
238,Wunsch::N,бажання,дурн
239,Lust::N,бажання,җилвтлһн
240,Geist::N,дух,зөрг
241,Gedanke::N,думка,ухан
242,Gedächtnis::N,пам’ять,чееҗин тодлвр
243,Verstand::N,розум,ухан
244,Sinn::N,зміст,учр-утх
245,Sinn::N,значення,учр-утх
246,Grund::N,причина,учр
247,Grund::N,причина,шалтан
248,Wahrheit::N,правда,үнн
249,Gespräch::N,розмова,күүндвүр
250,Märchen::N,байка,тууль
251,Erzählung::N,повість,келвр
252,Erzählung::N,оповідання,келвр
253,Nachricht::N,повідомлення,медүллһн
254,Neuigkeit::N,новина,зәңг
255,Name::N,ім’я,нерн
256,Rätsel::N,загадка,тәәлвртә тууль
257,Rede::N,промова,келлһн
258,Sprache::N,мова,келн
259,Stimme::N,голос,дун
260,Wort::N,слово,үг
261,Zeichen::N,знак,темдг
262,Ruf::N,оклик,дуудлһн
263,Lärm::N,шум,шууган
264,Laut::N,звук,ә
265,Ton::N,тон,дун
266,Lied::N,пісня,дун
267,Ruhe::N,спокій,амулң
268,Leute::N,люди,әмтн
