,Concept_ID,ja,ko
0,Auge::N,目,눈
1,Ohr::N,耳,귀
2,Nase::N,鼻,코
3,Mund::N,口,입
4,Zahn::N,歯,이
5,Zunge::N,舌,혀
6,Lippe::N,唇,입술
7,Wange::N,頬,뺨
8,Gesicht::N,顔,얼굴
9,Stirn::N,額,이마
10,Haar::N,髪,털
11,Schnurrbart::N,口髭,윗수몀
12,Schnurrbart::N,口髭,코밑수염
13,Bart::N,髭,수엄
14,Kinn::N,顎,아래턱
15,Kiefer[Anatomie]::N,顎,턱
16,Kehle::N,喉,인후
17,Hals::N,首,목
18,Genick::N,首,먹덜이
19,Kopf::N,頭,머리
20,Rücken::N,背中,든
21,Bauch::N,腹,배
22,Bauch::N,お腹,배
23,Nabel::N,へそ,배꼽
24,Busen::N,乳房,가슴속
25,Brust::N,胸,가슴
26,Schulter::N,肩,어깨
27,Arm::N,腕,팔
28,Ellenbogen::N,肘,팔쿰치
29,Hand::N,手,손
30,Handfläche::N,手のひら,손바닥
31,Finger::N,指,속가락
32,Fingernagel::N,爪,손톱
33,Nagel[Anatomie]::N,爪,손톱
34,Zeh::N,足の指,발가락
35,Fuß::N,足,발
36,Ferse::N,かかと,발꿈치
37,Knie::N,膝,무릎
38,Oberschenkel::N,上腿,허벅다리
39,Bein::N,足,다리
40,Körper::N,体,구간
41,Haut::N,皮膚,살갗
42,Blut::N,血,피
43,Ader::N,血管,정맥
44,Sehne::N,腱,현
45,Knochen::N,骨,뼈
46,Gehirn::N,脳,뇌
47,Gehirn::N,脳,뇌수
48,Herz::N,心,염통
49,Herz::N,心臓,염통
50,Magen::N,胃,위
51,Leber::N,肝臓,간
52,Atem::N,息,기식
53,Atem::N,呼吸,기식
54,Hunger::N,空腹,공복
55,Träne::N,涙,눈물
56,Geschmack::N,味,기호
57,Geruch::N,匂い,냄새
58,Schlaf::N,睡眠,수면
59,Traum::N,夢,쿰
60,Himmel::N,空,하늘
61,Sonne::N,太陽,해
62,Mond::N,月,달
63,Stern::N,星,별
64,Luft::N,空気,동준
65,Luft::N,空気,가스채
66,Wind::N,風,바람
67,Welle::N,波,물결
68,Wasser::N,水,물
69,Stein::N,石,돌
70,Boden::N,土地,바닥
71,Erde::N,土,흙
72,Staub::N,埃,먼지
73,Rauch::N,煙,연기
74,Funke::N,火花,불티
75,Feuer::N,火,불
76,Licht::N,光,불
77,Schatten::N,陰,어스레함
78,Wetter::N,天気,기상
79,Nebel::N,霧,안개
80,Wolke::N,雲,구름
81,Regen::N,雨,비
82,Schnee::N,雪,눈
83,Eis::N,氷,얼음
84,Frost::N,霜,혹한
85,Kälte::N,寒さ,추위
86,Kälte::N,寒さ,차가움
87,Hitze::N,暑さ,고온
88,Hitze::N,暑さ,더위
89,Raureif::N,霧氷,
90,Regenbogen::N,虹,무지개
91,Donner::N,雷,뇌명
92,Strömung::N,流れ,유동
93,Tropfen::N,滴,물방울
94,Schaum::N,泡,포말
95,Schmutz::N,汚れ,때
96,See::N,湖,호수
97,Sumpf::N,沼,습지
98,Moor::N,湿原,저습지
99,Wiese::N,草原,목초지
100,Wald::N,森,숲
101,Hügel::N,丘,언덕
102,Anhöhe::N,高み,언덕
103,Berg::N,山,산
104,Gipfel::N,頂上,졀졍
105,Höhle::N,洞窟,공동
106,Abhang::N,斜面,몰매
107,Quelle::N,泉,근원
108,Bach::N,小川,내
109,Fluss::N,川,강
110,Ufer::N,岸,강변
111,Ufer::N,岸,바닷가
112,Küste::N,海岸,해변
113,Küste::N,海岸,해변가
114,Festland::N,陸,본토
115,Meer::N,海,바다
116,Bucht::N,湾,협만
117,Insel::N,島,섬
118,Blume::N,花,꽃
119,Gras::N,草,풀
120,Wurzel::N,根,뿌리
121,Baum::N,木,나무
122,Stamm::N,幹,대
123,Rinde::N,皮層,나무껍질
124,Ast::N,枝,가지
125,Zweig::N,小枝,가지
126,Blatt::N,葉,잎
127,Birke::N,樺,자작나무
128,Kiefer[Baum]::N,松,소나무
129,Weide[Baum]::N,柳,쉬양버들
130,Tanne::N,樅,전나무
131,Horn::N,角,뿔
132,Feder::N,羽根,깃털
133,Fell::N,毛皮,피혁모피
134,Flügel::N,羽,날개
135,Klaue::N,鉤爪,갈고리 발톺
136,Kralle::N,爪,발툭
137,Schwanz::N,尻尾,꼬리
138,Ei::N,卵,알
139,Nest::N,巣,보금자리
140,Bau::N,穴,굴
141,Tier::N,動物,짐승
142,Herde::N,群れ,가축의떼
143,Kuh::N,牛,암소
144,Bulle::N,雄牛,황소
145,Pferd::N,馬,말
146,Schaf::N,羊,양
147,Schwein::N,豚,돼지
148,Hund::N,犬,개
149,Katze::N,猫,고양이
150,Bär::N,熊,콤
151,Eichhörnchen::N,栗鼠,다람쥐
152,Elch::N,ヘラジカ,고라니
153,Fuchs::N,狐,여우
154,Hase::N,兎,토끼
155,Maus::N,鼠,쥐
156,Wolf::N,狼,늑대
157,Vogel::N,鳥,새
158,Schwarm::N,群れ,뗴
159,Huhn::N,鶏,암탉
160,Hahn::N,雄鶏,수탉
161,Gans::N,ガチョウ,거위
162,Adler::N,鷲,수리
163,Ente::N,鴨,오리
164,Eule::N,フクロウ,부엉이
165,Kranich::N,鶴,두루미
166,Krähe::N,烏,까마귀
167,Kuckuck::N,郭公,뻐꾸기
168,Schwan::N,白鳥,배조
169,Fisch::N,魚,물고기
170,Barsch::N,鱸,농어
171,Hecht::N,川魳,에속스
172,Schlange[Tier]::N,蛇,뱀
173,Wurm::N,虫,벌레
174,Spinne::N,蜘蛛,거미
175,Ameise::N,蟻,개미
176,Laus::N,虱,이
177,Mücke::N,蚊,모기
178,Fliege::N,蝿,날기
179,Schmetterling::N,蝶,나비
180,Beere::N,漿果,장과
181,Apfel::N,林檎,사과
182,Pilz::N,茸,고방이
183,Zwiebel::N,玉葱,양파
184,Saat::N,種,씨
185,Korn::N,粒,알맹이
186,Heu::N,干し草,건초
187,Schale::N,皮,피상
188,Grube::N,穴,
189,Falle::N,わな,함정
190,Schlinge::N,輪,올가미
191,Schlinge::N,輪,멜빵붕대
192,Spur::N,跡,발지국
193,Asche::N,灰,재
194,Dreck::N,泥,똥
195,Dreck::N,泥,오물
196,Eisen::N,鉄,쇠
197,Eisen::N,鉄,철
198,Gold::N,金,항금
199,Silber::N,銀,은
200,Kohle::N,炭,슻
201,Glas::N,ガラス,유리
202,Lehm::N,ローム,찰흙
203,Sand::N,砂,모래
204,Mensch::N,人,사람
205,Mann::N,男,남자
206,Mann::N,男性,남자
