,Concept_ID,nl,no
0,Auge::N,oog,øye
1,Ohr::N,oor,øre
2,Nase::N,neus,nese
3,Mund::N,mond,munn
4,Zahn::N,tand,tann
5,Zunge::N,tong,tunge
6,Lippe::N,lip,leppe
7,Wange::N,wang,kinn
8,Gesicht::N,gelaat,fjes
9,Gesicht::N,gelaat,ansikt
10,Gesicht::N,gezicht,fjes
11,Gesicht::N,gezicht,ansikt
12,Stirn::N,voorhoofd,panne
13,Haar::N,haar,hår
14,Schnurrbart::N,snor,bart
15,Bart::N,baard,skjegg
16,Kinn::N,kin,hake
17,Kiefer[Anatomie]::N,kaak,kjeve
18,Kehle::N,keel,strupe
19,Kehle::N,strot,strupe
20,Hals::N,hals,hals
21,Genick::N,nek,nakke
22,Kopf::N,hoofd,hode
23,Rücken::N,rug,rygg
24,Bauch::N,buik,buk
25,Bauch::N,buik,mage
26,Nabel::N,navel,navle
27,Busen::N,boezem,barm
28,Brust::N,borst,bryst
29,Schulter::N,schouder,skulder
30,Arm::N,arm,arm
31,Ellenbogen::N,elleboog,albue
32,Hand::N,hand,hånd
33,Handfläche::N,handpalm,håndflate
34,Finger::N,vinger,finger
35,Fingernagel::N,nagel,fingernegl
36,Nagel[Anatomie]::N,nagel,negl
37,Zeh::N,teen,tå
38,Fuß::N,voet,fot
39,Ferse::N,hak,hæl
40,Ferse::N,hiel,hæl
41,Knie::N,knie,kne
42,Oberschenkel::N,dij,lår
43,Bein::N,been,bein
44,Körper::N,lichaam,kropp
45,Körper::N,lichaam,legeme
46,Haut::N,huid,hud
47,Haut::N,huid,skinn
48,Blut::N,bloed,blod
49,Ader::N,ader,åre
50,Sehne::N,pees,sene
51,Knochen::N,bot,bein
52,Knochen::N,bot,knokkel
53,Knochen::N,been,bein
54,Knochen::N,been,knokkel
55,Knochen::N,knook,bein
56,Knochen::N,knook,knokkel
57,Gehirn::N,hersenen,hjerne
58,Herz::N,hart,hjerte
59,Magen::N,maag,mage
60,Leber::N,lever,lever
61,Atem::N,adem,pust
62,Hunger::N,honger,sult
63,Träne::N,traan,tåre
64,Geschmack::N,smaak,smak
65,Geruch::N,geur,lukt
66,Schlaf::N,slaap,søvn
67,Traum::N,droom,drøm
68,Himmel::N,hemel,himmel
69,Sonne::N,zon,sol
70,Mond::N,maan,måne
71,Stern::N,ster,stjerne
72,Luft::N,lucht,luft
73,Wind::N,wind,vind
74,Welle::N,golf,bølge
75,Wasser::N,water,vann
76,Stein::N,steen,stein
77,Boden::N,grond,bakke
78,Erde::N,aarde,jord
79,Staub::N,stof,støv
80,Rauch::N,rook,røyk
81,Funke::N,vonk,gnist
82,Feuer::N,vuur,ild
83,Licht::N,licht,lys
84,Schatten::N,schaduw,skygge
85,Wetter::N,weer,vær
86,Nebel::N,mist,tåke
87,Nebel::N,nevel,tåke
88,Wolke::N,wolk,sky
89,Regen::N,regen,regn
90,Schnee::N,sneeuw,snø
91,Eis::N,ijs,is
92,Frost::N,vorst,frost
93,Kälte::N,kou,kulde
94,Kälte::N,koude,kulde
95,Hitze::N,hitte,hete
96,Raureif::N,rijp,rimfrost
97,Regenbogen::N,regenboog,regnbue
98,Donner::N,donder,torden
99,Strömung::N,stroming,strømning
100,Tropfen::N,druppel,dråpe
101,Schaum::N,schuim,skum
102,Schmutz::N,vuil,søl
103,Schmutz::N,vuil,skitt
104,See::N,meer,sjø
105,Sumpf::N,moeras,sump
106,Sumpf::N,moeras,myrlende
107,Moor::N,veen,myr
108,Moor::N,veen,myrhei
109,Wiese::N,wei,eng
110,Wiese::N,weide,eng
111,Wald::N,bos,skog
112,Hügel::N,heuvel,haug
113,Hügel::N,heuvel,bakke
114,Anhöhe::N,hoogte,haug
115,Anhöhe::N,hoogte,bakke
116,Berg::N,berg,berg
117,Berg::N,berg,fjell
118,Gipfel::N,top,topp
119,Höhle::N,hol,hule
120,Abhang::N,helling,li
121,Abhang::N,helling,skråning
122,Quelle::N,bron,kilde
123,Bach::N,beek,bekk
124,Fluss::N,stroom,elv
125,Ufer::N,wal,bredd
126,Ufer::N,oever,bredd
127,Küste::N,kust,kyst
128,Festland::N,vasteland,fastland
129,Meer::N,zee,hav
130,Bucht::N,baai,bukt
131,Bucht::N,inham,bukt
132,Insel::N,eiland,øy
133,Blume::N,bloem,blomst
134,Gras::N,gras,gress
135,Wurzel::N,wortel,rot
136,Baum::N,boom,tre
137,Stamm::N,stam,stamme
138,Rinde::N,schors,bark
139,Ast::N,tak,gren
140,Zweig::N,twijg,kvist
141,Blatt::N,blad,blad
142,Birke::N,berk,bjørk
143,Kiefer[Baum]::N,den,furu
144,Weide[Baum]::N,wilg,selje
145,Weide[Baum]::N,wilg,piletre
146,Tanne::N,spar,gran
147,Horn::N,hoorn,horn
148,Feder::N,veer,fjær
149,Feder::N,pluim,fjær
150,Fell::N,vel,skinn
151,Flügel::N,vleugel,vinge
152,Klaue::N,klauw,klauv
153,Kralle::N,klauw,klo
154,Schwanz::N,staart,hale
155,Ei::N,ei,egg
156,Nest::N,nest,rede
157,Bau::N,hol,hi
158,Tier::N,dier,dyr
159,Herde::N,kudde,flokk
160,Kuh::N,koe,ku
161,Bulle::N,stier,tyr
162,Pferd::N,paard,hest
163,Schaf::N,schaap,får
164,Schwein::N,varken,gris
165,Hund::N,hond,hund
166,Katze::N,kat,katt
167,Bär::N,beer,bjørn
168,Eichhörnchen::N,eekhoorntje,ekorn
169,Elch::N,eland,elg
170,Fuchs::N,vos,rev
171,Hase::N,haas,hare
172,Maus::N,muis,mus
173,Wolf::N,wolf,ulv
174,Wolf::N,wolf,varg
175,Vogel::N,vogel,fugl
176,Schwarm::N,zwerm,sverm
177,Huhn::N,kip,høne
178,Huhn::N,hoen,høne
179,Hahn::N,haan,hane
180,Gans::N,gans,gås
181,Adler::N,arend,ørn
182,Ente::N,eend,and
183,Eule::N,uil,ugle
184,Kranich::N,kraanvogel,trane
185,Krähe::N,kraai,kråke
186,Kuckuck::N,koekoek,gjøk
187,Schwan::N,zwaan,svane
188,Fisch::N,vis,fisk
189,Barsch::N,baars,abbor
190,Hecht::N,snoek,gjedde
191,Schlange[Tier]::N,slang,orm
192,Schlange[Tier]::N,slang,slange
193,Wurm::N,worm,orm
194,Wurm::N,worm,mark
195,Spinne::N,spin,edderkopp
196,Ameise::N,mier,maur
197,Laus::N,luis,lus
198,Mücke::N,mug,mygg
199,Fliege::N,vlieg,flue
200,Schmetterling::N,vlinder,sommerfugl
201,Beere::N,bes,bær
202,Apfel::N,appel,eple
203,Pilz::N,paddestoel,sopp
204,Zwiebel::N,ui,løk
205,Saat::N,zaad,sæd
206,Korn::N,graan,korn
207,Korn::N,korrel,korn
208,Heu::N,hooi,høy
209,Schale::N,schil,skall
210,Grube::N,kuil,grop
211,Falle::N,val,felle
212,Schlinge::N,strop,snare
213,Spur::N,spoor,spor
214,Asche::N,as,aske
215,Dreck::N,drek,møkk
216,Dreck::N,drek,skitt
217,Eisen::N,ijzer,jern
218,Gold::N,goud,gull
219,Silber::N,zilver,sølv
220,Kohle::N,kool,kol
221,Kohle::N,kool,kull
222,Glas::N,glas,glass
223,Lehm::N,klei,leire
224,Sand::N,zand,sand
225,Mensch::N,mens,menneske
226,Mann::N,man,mann
227,Frau::N,vrouw,kvinne
228,Kind::N,kind,barn
229,Junge::N,jongen,gutt
230,Mädchen::N,meisje,pike
231,Mädchen::N,meisje,jente
232,Familie::N,gezin,familie
233,Familie::N,familie,familie
234,Großvater::N,grootvader,bestefar
235,Großmutter::N,grootmoeder,bestemor
236,Eltern::N,ouders,foreldre
237,Vater::N,vader,far
238,Mutter::N,moeder,mor
239,Sohn::N,zoon,sønn
240,Tochter::N,dochter,datter
241,Bruder::N,broer,bror
242,Bruder::N,broeder,bror
243,Schwester::N,zus,søster
244,Schwester::N,zuster,søster
245,Onkel::N,oom,onkel
246,Tante::N,tante,tante
247,Ehemann::N,echtgenoot,ektemann
248,Ehefrau::N,echtgenote,hustru
249,Freude::N,vreugde,glede
250,Gelächter::N,gelach,latter
251,Glück::N,geluk,lykke
252,Kummer::N,verdriet,sorg
253,Wunsch::N,wens,ønske
254,Wunsch::N,verlangen,ønske
255,Lust::N,zin,lyst
256,Lust::N,lust,lyst
257,Geist::N,geest,ånd
258,Gedanke::N,gedachte,tanke
259,Gedächtnis::N,geheugen,minne
260,Gedächtnis::N,geheugen,hukommelse
261,Verstand::N,verstand,forstand
262,Sinn::N,betekenis,mening
263,Sinn::N,betekenis,betydning
264,Grund::N,reden,grunn
265,Wahrheit::N,waarheid,sannhet
266,Gespräch::N,gesprek,samtale
267,Märchen::N,sprookje,eventyr
268,Erzählung::N,verhaal,fortelling
269,Nachricht::N,tijding,melding
270,Neuigkeit::N,nieuws,nyhet
271,Neuigkeit::N,nieuwtje,nyhet
272,Name::N,naam,navn
273,Rätsel::N,raadsel,gåte
274,Rede::N,rede,tale
275,Sprache::N,taal,språk
276,Stimme::N,stem,stemme
277,Wort::N,woord,ord
278,Zeichen::N,teken,tegn
279,Ruf::N,roep,rop
280,Lärm::N,lawaai,bråk
281,Laut::N,klank,lyd
282,Laut::N,geluid,lyd
283,Ton::N,toon,tone
284,Ton::N,klank,tone
285,Lied::N,lied,vise
286,Ruhe::N,rust,ro
287,Ruhe::N,stilte,ro
288,Leute::N,lui,folk
289,Leute::N,mensen,folk
290,Volk::N,volk,folk
291,Arbeit::N,werk,arbeid
292,Arbeit::N,arbeid,arbeid
293,Gast::N,gast,gjest
294,Geschenk::N,cadeau,gave
295,Geschenk::N,geschenk,gave
296,Spiel::N,spel,lek
297,Spiel::N,spel,spill
298,Gesellschaft::N,gezelschap,selskap
299,Hilfe::N,hulp,hjelp
300,Freund::N,vriend,venn
301,Kamerad::N,maat,kamerat
302,Kamerad::N,metgezel,kamerat
303,Angelegenheit::N,zaak,sak
304,Angelegenheit::N,zaak,anliggende
305,Angelegenheit::N,aangelegenheid,sak
306,Angelegenheit::N,aangelegenheid,anliggende
307,Anzahl::N,tal,antall
308,Anzahl::N,aantal,antall
309,Art::N,slag,art
310,Art::N,slag,slag
311,Art::N,soort,art
312,Art::N,soort,slag
313,Stück::N,stuk,stykke
314,Teil::N,deel,del
315,Hälfte::N,helft,halvdel
316,Kreis::N,kring,ring
317,Kreis::N,kring,sirkel
318,Kreis::N,cirkel,ring
319,Kreis::N,cirkel,sirkel
320,Kreuz::N,kruis,kors
321,Kreuz::N,kruis,kryss
322,Linie::N,lijn,linje
323,Strich::N,haal,strek
324,Strich::N,streep,strek
325,Abstand::N,afstand,avstand
326,Entfernung::N,afstand,avstand
327,Gegend::N,streek,strøk
328,Platz::N,ruimte,plass
329,Ort::N,oord,sted
330,Ort::N,plaats,sted
331,Seite::N,zij,side
332,Seite::N,kant,side
333,Seite::N,zijde,side
334,Mitte::N,midden,midte
335,Gegenstand::N,voorwerp,gjenstand
336,Sache::N,zaak,sak
337,Rand::N,rand,rand
338,Rand::N,boord,rand
339,Kante::N,kant,kant
340,Ecke::N,hoek,hjørne
