,Concept_ID,vep,fa
0,Auge::N,sil'm,چشم
1,Ohr::N,korv,گوش
2,Nase::N,nena,بینی
3,Mund::N,su,دهان
4,Zahn::N,pi,دندان
5,Zahn::N,hambaz,دندان
6,Zunge::N,kel',زبان
7,Lippe::N,hul',لب
8,Wange::N,modpolišk,لپ
9,Gesicht::N,mod,رو
10,Gesicht::N,mod,چهره
11,Stirn::N,oc,پیشانی
12,Haar::N,tuk,مو
13,Haar::N,hibuz,مو
14,Schnurrbart::N,habinod,سبیل
15,Bart::N,bard,ریش
16,Kinn::N,löug,چانه
17,Kiefer[Anatomie]::N,hambazlu,فک
18,Kiefer[Anatomie]::N,hambazlu,آرواره
19,Kehle::N,kurk,حلق
20,Hals::N,kagl,گردن
21,Genick::N,tagarai,پشت گردن
22,Kopf::N,pä,سر
23,Kopf::N,pä,کله
24,Rücken::N,sel'g,پشت
25,Bauch::N,vac,شکم
26,Bauch::N,koht,شکم
27,Nabel::N,naba,ناف
28,Busen::N,niža,پستان
29,Brust::N,rind,سینه
30,Schulter::N,oug,دوش
31,Schulter::N,oug,شانه
32,Arm::N,käzi,بازو
33,Ellenbogen::N,künambruz,آرنج
34,Hand::N,käzi,دست
35,Hand::N,käzitera,دست
36,Handfläche::N,kämen,کف دست
37,Finger::N,sor'm,انگشت
38,Fingernagel::N,künz',ناخن دست
39,Nagel[Anatomie]::N,künz',ناخن
40,Zeh::N,barbaz,انگشت پا
41,Fuß::N,jaug,پا
42,Ferse::N,kand,پاشنه
43,Knie::N,komb,زانو
44,Knie::N,pol'v,زانو
45,Oberschenkel::N,riiže,ران
46,Bein::N,jaug,پا
47,Bein::N,jaug,لنگ
48,Körper::N,hibj,تن
49,Körper::N,hibj,بدن
50,Haut::N,nahk,پوست
51,Blut::N,čak,خون
52,Blut::N,veri,خون
53,Ader::N,son',رگ
54,Sehne::N,jände,زردپی
55,Knochen::N,lu,استخوان
56,Gehirn::N,aivod,مخ
57,Gehirn::N,aivod,مغز
58,Herz::N,südäin,دل
59,Herz::N,südäin,قلب
60,Magen::N,südäikoht,معده
61,Leber::N,maks,کبد
62,Atem::N,hengaiduz,نفس
63,Hunger::N,näl'g,گرسنگی
64,Träne::N,kündal',اشک
65,Geschmack::N,magu,مزه
66,Geruch::N,haju,بو
67,Schlaf::N,uni,خواب
68,Traum::N,unikuva,رؤیا
69,Himmel::N,taivaz,فلک
70,Himmel::N,taivaz,آسمان
71,Sonne::N,päiväine,آفتاب
72,Sonne::N,päiväine,خورشید
73,Mond::N,kudmaine,ماه
74,Stern::N,tähtaz,ستاره
75,Luft::N,il'm,هوا
76,Wind::N,döl,باد
77,Wind::N,tullei,باد
78,Welle::N,ald,موج
79,Welle::N,laineh,موج
80,Wasser::N,vezi,آب
81,Stein::N,kivi,سنگ
82,Boden::N,ma,زمین
83,Boden::N,pohj,زمین
84,Erde::N,ma,خاک
85,Erde::N,ma,زمین
86,Staub::N,pölü,گرد
87,Staub::N,pölü,غبار
88,Rauch::N,savu,دود
89,Funke::N,kibin,جرقه
90,Feuer::N,lämoi,آتش
91,Licht::N,vauktuz,نور
92,Licht::N,vauktuz,روشنی
93,Schatten::N,pil'vez,سایه
94,Schatten::N,kuvahaine,سایه
95,Wetter::N,sä,هوا
96,Nebel::N,sumeg,مه
97,Wolke::N,pil'v,ابر
98,Regen::N,vihm,باران
99,Schnee::N,lumi,برف
100,Eis::N,jä,یخ
101,Frost::N,hala,یخبندان
102,Frost::N,pakaine,یخبندان
103,Kälte::N,vilu,سرما
104,Hitze::N,räk,گرما
105,Hitze::N,räk,حرارت
106,Raureif::N,hüde,برف ریزه
107,Regenbogen::N,jumalanbembel',رنگین‌کمان
108,Donner::N,juru,رعد
109,Donner::N,jumalanjuru,رعد
110,Strömung::N,joksmuz,جریان
111,Tropfen::N,tilkuine,قطره
112,Schaum::N,vaht,کف
113,Schmutz::N,redu,گل
114,Schmutz::N,redu,کثافت
115,Schmutz::N,pačak,گل
116,Schmutz::N,pačak,کثافت
117,See::N,järv,دریاچه
118,Sumpf::N,so,مرداب
119,Sumpf::N,so,باتلاق
120,Moor::N,so,باتلاق
121,Wiese::N,nit,چمن
122,Wald::N,mec,جنگل
123,Hügel::N,kukaz,تل
124,Hügel::N,kukaz,تپه
125,Anhöhe::N,kukaz,بلندی
126,Berg::N,mägi,کوه
127,Gipfel::N,ladv,قله
128,Höhle::N,mägionduz,غار
129,Abhang::N,paute,سرازیری
130,Quelle::N,lähte,چشمه
131,Bach::N,oja,نهر
132,Fluss::N,jogi,رود
133,Ufer::N,rand,ساحل
134,Ufer::N,rand,کرانه
135,Küste::N,randišt,ساحل
136,Festland::N,kuivma,خشکی
137,Meer::N,meri,دریا
138,Bucht::N,laht,خلیج
139,Insel::N,sar',جزیره
140,Blume::N,änik,گل
141,Gras::N,hein,علف
142,Wurzel::N,jur',ریشه
143,Baum::N,pu,درخت
144,Stamm::N,tüvi,تنه
145,Rinde::N,kor',توژ
146,Rinde::N,kor',پوست
147,Ast::N,oks,شاخه
148,Zweig::N,oks,شاخه
149,Zweig::N,barb,شاخه
150,Blatt::N,lehtez,برگ
151,Birke::N,koiv,غان
152,Kiefer[Baum]::N,pedai,کاج
153,Weide[Baum]::N,raid,بید
154,Tanne::N,kuz',صنوبر
155,Horn::N,sar'v,شاخ
156,Feder::N,höuneh,پر
157,Fell::N,nahk,خز
158,Flügel::N,suug,پر
159,Flügel::N,suug,بال
160,Klaue::N,künz',چنگ
161,Klaue::N,künz',پنجه
162,Kralle::N,künz',پنجه
163,Schwanz::N,händ,دم
164,Ei::N,muna,تخم
165,Nest::N,peza,لانه
166,Bau::N,uru,بنا
