,Concept_ID,sq,ro
0,Auge::N,sy,ochi
1,Ohr::N,vesh,ureche
2,Nase::N,hundë,nas
3,Mund::N,gojë,gură
4,Zahn::N,dhëmb,dinte
5,Zunge::N,gjuhë,limbă
6,Lippe::N,buzë,buză
7,Wange::N,faqe,bucă
8,Wange::N,faqe,obraz
9,Wange::N,mollëz,bucă
10,Wange::N,mollëz,obraz
11,Gesicht::N,fytyrë,față
12,Gesicht::N,fytyrë,figură
13,Stirn::N,ballë,frunte
14,Haar::N,flokë,păr
15,Schnurrbart::N,mustaqe,mustață
16,Bart::N,mjekër,barbă
17,Kinn::N,mjekër,bărbie
18,Kiefer[Anatomie]::N,nofull,falcă
19,Kehle::N,fyt,beregată
20,Kehle::N,grykë,beregată
21,Hals::N,qafë,gât
22,Genick::N,arrëz,ceafă
23,Kopf::N,kokë,cap
24,Rücken::N,kurriz,dos
25,Rücken::N,kurriz,spate
26,Rücken::N,kurriz,spinare
27,Bauch::N,bark,burtă
28,Bauch::N,bark,pântece
29,Nabel::N,kërthizë,buric
30,Busen::N,gji,sân
31,Brust::N,gjoks,piept
32,Brust::N,kraharor,piept
33,Schulter::N,sup,umăr
34,Schulter::N,sup,spate
35,Schulter::N,krah,umăr
36,Schulter::N,krah,spate
37,Arm::N,krah,braț
38,Ellenbogen::N,bërryl,cot
39,Hand::N,dorë,mână
40,Handfläche::N,pëllëmbë,palmă
41,Finger::N,gisht,deget
42,Fingernagel::N,thua,unghie
43,Nagel[Anatomie]::N,thua,unghie
44,Zeh::N,gisht i këmbës,deget de la picior
45,Fuß::N,këmbë,picior
46,Ferse::N,thembër,călcâi
47,Knie::N,gju,genunchi
48,Oberschenkel::N,kofshë,coapsă
49,Bein::N,këmbë,picior
50,Körper::N,trup,corp
51,Haut::N,lëkurë,piele
52,Blut::N,gjak,sânge
53,Ader::N,venë,vână
54,Ader::N,venë,arteră
55,Sehne::N,dell,tendon
56,Knochen::N,asht,os
57,Knochen::N,kockë,os
58,Gehirn::N,tru,creier
59,Herz::N,zemër,inimă
60,Magen::N,stomak,stomac
61,Leber::N,mëlçi,ficat
62,Atem::N,frymë,răsuflare
63,Atem::N,frymë,respirație
64,Hunger::N,uri,foame
65,Träne::N,lot,lacrimă
66,Geschmack::N,shije,gust
67,Geruch::N,erë,miros
68,Schlaf::N,gjumë,somn
69,Traum::N,ëndërr,vis
70,Himmel::N,qiell,cer
71,Sonne::N,diell,soare
72,Mond::N,hënë,lună
73,Stern::N,yll,stea
74,Luft::N,ajër,aer
75,Wind::N,erë,vânt
76,Welle::N,valë,val
77,Welle::N,valë,undă
78,Welle::N,dallgë,val
79,Welle::N,dallgë,undă
80,Wasser::N,ujë,apă
81,Stein::N,gur,piatră
82,Boden::N,tokë,sol
83,Boden::N,tokë,pământ
84,Boden::N,truall,sol
85,Boden::N,truall,pământ
86,Erde::N,dhe,pământ
87,Erde::N,baltë,pământ
88,Staub::N,pluhur,praf
89,Rauch::N,tym,fum
90,Funke::N,xixë,scânteie
91,Funke::N,shkëndijë,scânteie
92,Feuer::N,zjarr,foc
93,Licht::N,dritë,lumină
94,Schatten::N,hije,umbră
95,Wetter::N,mot,timp
96,Wetter::N,mot,vreme
97,Nebel::N,mjegull,ceață
98,Nebel::N,mjegull,negură
99,Wolke::N,re,nor
100,Regen::N,shi,ploaie
101,Schnee::N,borë,zăpadă
102,Eis::N,akull,gheață
103,Frost::N,ngricë,ger
104,Kälte::N,të ftohtë,frig
105,Hitze::N,vapë,arșiță
