,Concept_ID,mn,sk
0,Auge::N,нүд,oko
1,Ohr::N,чих,ucho
2,Nase::N,хамар,nos
3,Mund::N,ам,ústa
4,Zahn::N,шүд,zub
5,Zunge::N,хэл,jazyk
6,Lippe::N,уруул,pera
7,Wange::N,хацар,líce
8,Gesicht::N,царай,tvár
9,Gesicht::N,царай,obličaj
10,Gesicht::N,нүүр,tvár
11,Gesicht::N,нүүр,obličaj
12,Stirn::N,дух,čelo
13,Haar::N,үс,vlas
14,Schnurrbart::N,дээд сахал,fúzy
15,Schnurrbart::N,живэр сахал,fúzy
16,Bart::N,сахал,brada
17,Kinn::N,эрүү,brada
18,Kiefer[Anatomie]::N,эрүү,čeľusť
19,Kehle::N,хоолой,hrdlo
20,Hals::N,хүзүү,krk
21,Genick::N,шил,väzy
22,Genick::N,хүзүү,väzy
23,Kopf::N,толгой,hlava
24,Rücken::N,ар,chrbát
25,Rücken::N,нуруу,chrbát
26,Bauch::N,хэвлий,brucho
27,Bauch::N,гэдэс,brucho
28,Nabel::N,хүйс,pupok
29,Busen::N,хөх,prsia
30,Brust::N,цээж,hruď
31,Schulter::N,мөр,plece
32,Schulter::N,бугалга,plece
33,Arm::N,гар,rameno
34,Ellenbogen::N,тохой,lakeť
35,Hand::N,гар,ruka
36,Hand::N,алга,ruka
37,Handfläche::N,алга,dlaň
38,Finger::N,хуруу,prst
39,Fingernagel::N,хурууны хумс,necht
40,Nagel[Anatomie]::N,хумс,necht
41,Zeh::N,хуруу,prst na nohe
42,Fuß::N,хөл,noha
43,Ferse::N,өсгий,päta
44,Knie::N,өвдөг,koleno
45,Oberschenkel::N,гуя,stehno
46,Bein::N,хөл,noha
47,Körper::N,бие,telo
48,Haut::N,арьс,koža
49,Blut::N,цус,krv
50,Ader::N,судас,žila
51,Sehne::N,бүлх,šľacha
52,Sehne::N,шандас,šľacha
53,Knochen::N,яс,kosť
54,Gehirn::N,тархи,mozog
55,Herz::N,зүрх,srdce
56,Magen::N,ходоод,žalúdok
57,Leber::N,элэг,pečeň
58,Atem::N,амьсгаа,dych
59,Hunger::N,өлсгөлөн,hlad
60,Träne::N,нулимс,slza
61,Geschmack::N,амт,chuť
62,Geruch::N,үнэр,pach
63,Schlaf::N,нойр,spánok
64,Traum::N,зүүд,sen
65,Himmel::N,тэнгэр,nebo
66,Himmel::N,огторгуй,nebo
67,Sonne::N,нар,slnko
68,Mond::N,сар,mesiac
69,Stern::N,од,hviezda
70,Luft::N,агаар,vzduch
71,Wind::N,салхи,vietor
72,Welle::N,долгио,vlna
73,Welle::N,давалгаа,vlna
74,Wasser::N,ус,voda
75,Stein::N,чулуу,kameň
76,Boden::N,хөрс,zem
77,Boden::N,хөрс,pôda
78,Erde::N,газар,zem
79,Erde::N,шороо,zem
80,Staub::N,тоос,prach
81,Rauch::N,утаа,dym
82,Funke::N,оч,iskra
83,Feuer::N,гал,oheň
84,Licht::N,гэрэл,svetlo
85,Licht::N,гэгээ,svetlo
86,Schatten::N,сүүдэр,tieň
87,Wetter::N,тэнгэр,počasie
88,Wetter::N,цаг уур,počasie
89,Nebel::N,будан,hmla
90,Wolke::N,үүл,oblak
91,Wolke::N,үүл,mračno
92,Regen::N,бороо,dážď
93,Schnee::N,цас,sneh
94,Eis::N,мөс,ľad
95,Frost::N,хүйт,mráz
96,Kälte::N,хүйт,zima
97,Kälte::N,хүйт,chlad
98,Hitze::N,халуун,horúčava
99,Raureif::N,цан,srieň
100,Raureif::N,цан,inovať
101,Raureif::N,хяруу,srieň
102,Raureif::N,хяруу,inovať
103,Regenbogen::N,солонго,dúha
104,Donner::N,тэнгэрийн дуу,hrom
105,Strömung::N,урсгал,prúdenie
106,Tropfen::N,дусал,kvapka
107,Schaum::N,хөөс,pena
108,Schmutz::N,хир,špina
109,Schmutz::N,хир,nečistota
110,Schmutz::N,шавхай,špina
111,Schmutz::N,шавхай,nečistota
112,See::N,нуур,jazero
113,Sumpf::N,намаг,bahno
114,Sumpf::N,балчиг,bahno
115,Moor::N,хүлрийн намаг,močiar
116,Wiese::N,нуга,lúka
117,Wald::N,ой,les
118,Wald::N,ой,hora
119,Hügel::N,болдог,vŕšok
120,Anhöhe::N,гүвээ,výšina
121,Anhöhe::N,гүвээ,vyvýšenina
122,Berg::N,уул,hora
123,Gipfel::N,орой,vrchol
124,Gipfel::N,оргил,vrchol
125,Höhle::N,агуй,jaskyňa
126,Abhang::N,хүр,úbočie
127,Quelle::N,булаг,prameň
128,Bach::N,горхи,potok
129,Fluss::N,гол,rieka
130,Fluss::N,мөрөн,rieka
131,Ufer::N,эрэг,breh
132,Küste::N,эрэг,pobrežie
133,Festland::N,хуурай газар,pevnina
134,Meer::N,далай,more
135,Meer::N,тэнгис,more
136,Bucht::N,булан,záliv
137,Bucht::N,булан,zátoka
138,Bucht::N,далайн тохой,záliv
139,Bucht::N,далайн тохой,zátoka
140,Insel::N,арал,ostrov
141,Blume::N,цэцэг,kvet
142,Blume::N,цэцэг,kvetina
143,Gras::N,өвс,tráva
144,Gras::N,ногоо,tráva
145,Wurzel::N,үндэс,koreň
146,Baum::N,мод,strom
147,Stamm::N,иш,kmeň
148,Stamm::N,гуалин,kmeň
149,Rinde::N,холтос,kôra
150,Ast::N,гишүү,konár
151,Zweig::N,салаа,vetva
152,Blatt::N,навч,list
153,Birke::N,хус,breza
154,Kiefer[Baum]::N,нарс,sosna
155,Kiefer[Baum]::N,нарс,borovica
156,Weide[Baum]::N,уд,vŕba
157,Weide[Baum]::N,бургас,vŕba
158,Tanne::N,гачуур,jedľa
159,Horn::N,эвэр,roh
160,Feder::N,өд,pero
161,Fell::N,арьс,koža
162,Fell::N,арьс,kožušina
163,Flügel::N,жигүүр,krídlo
164,Flügel::N,далавч,krídlo
165,Klaue::N,савар,paznecht
166,Klaue::N,хумс,paznecht
167,Kralle::N,савар,pazúr
168,Schwanz::N,сүүл,chvost
169,Ei::N,өндөг,vajce
170,Ei::N,өндөг,vajíčko
171,Nest::N,үүр,hniezdo
172,Bau::N,нүх,nora
173,Bau::N,элүү,nora
174,Tier::N,амьтан,zviera
175,Tier::N,адгуус,zviera
176,Herde::N,сүрэг,stádo
177,Kuh::N,үнээ,krava
178,Bulle::N,бух,býk
179,Pferd::N,морь,kôň
180,Pferd::N,адуу,kôň
181,Schaf::N,хонь,ovca
182,Schwein::N,гахай,sviňa
183,Hund::N,нохой,pes
184,Katze::N,муур,mačka
185,Katze::N,мигуй,mačka
186,Bär::N,баавгай,medveď
187,Eichhörnchen::N,хэрэм,veverička
188,Elch::N,хандгай,los
189,Fuchs::N,үнэг,líška
190,Hase::N,туулай,zajac
191,Maus::N,хулгана,myš
192,Wolf::N,чоно,vlk
193,Vogel::N,шувуу,vták
194,Schwarm::N,сүрэг,roj
195,Huhn::N,тахиа,kurča
196,Huhn::N,тахиа,sliepka
197,Hahn::N,эр тахиа,kohút
198,Gans::N,галуу,hus
199,Adler::N,бүргэд,orol
200,Ente::N,нугас,kačka
201,Ente::N,нугас,kačica
202,Eule::N,ууль,sova
203,Kranich::N,тогоруу,žeriav
204,Krähe::N,хэрээ,vrana
205,Kuckuck::N,хөхөө,kukučka
206,Schwan::N,хун,labuť
207,Fisch::N,загас,ryba
208,Barsch::N,алгана,ostriež
209,Hecht::N,цурхай,šťuka
210,Schlange[Tier]::N,могой,had
211,Wurm::N,өт,červ
212,Wurm::N,хорхой,červ
213,Spinne::N,аалз,pavúk
214,Ameise::N,шоргоолж,mravec
215,Laus::N,бөөс,voš
216,Mücke::N,шумуул,komár
217,Fliege::N,ялаа,mucha
218,Schmetterling::N,эрвээхэй,motýľ
219,Beere::N,жимсгэнэ,bobuľa
220,Apfel::N,алим,jablko
221,Pilz::N,мөөг,hríb
222,Zwiebel::N,сонгино,cibuľa
223,Saat::N,тариа,osivo
224,Korn::N,үр,zrno
225,Korn::N,мөхлөг,zrno
226,Heu::N,өвс,seno
227,Schale::N,хальс,šupa
228,Schale::N,хальс,škrupina
229,Grube::N,алам,jama
230,Grube::N,нүх,jama
231,Falle::N,хавх,pasca
232,Falle::N,хавх,klepec
233,Falle::N,занга,pasca
234,Falle::N,занга,klepec
235,Schlinge::N,урхи,slučka
236,Spur::N,мөр,stopa
237,Asche::N,үнс,popol
238,Dreck::N,хир,kal
239,Dreck::N,хир,blato
240,Eisen::N,төмөр,železo
241,Gold::N,алт,zlato
