,Concept_ID,mdf,udm
0,Auge::N,сельме,син
1,Ohr::N,пиле,пель
2,Nase::N,шалхка,ныр
3,Mund::N,курга,ым
4,Zahn::N,пей,пинь
5,Zunge::N,кяль,кыл
6,Lippe::N,търва́,ымдур
7,Wange::N,щёка,бам
8,Gesicht::N,шама,ымныр
9,Stirn::N,коня,кымес
10,Haar::N,шя́ярь,йырси
11,Schnurrbart::N,уса́,мыйык
12,Bart::N,сакал,туш
13,Kinn::N,ула,ангес
14,Kiefer[Anatomie]::N,саласка,ан
15,Kiefer[Anatomie]::N,саласка,анлы
16,Kehle::N,кълдома,гульым
17,Kehle::N,кърга́парь,гульым
18,Hals::N,сялдаз,чырты
19,Genick::N,шовонь,йырбер
20,Kopf::N,пря,йыр
21,Rücken::N,копорь,мыш
22,Bauch::N,пеке,кӧт
23,Nabel::N,по́кон,гогы
24,Busen::N,потя,ноны
25,Brust::N,мяште,мӧля
26,Schulter::N,лафту,пельпум
27,Arm::N,кядь,суй
28,Ellenbogen::N,кенерьба́карь,гырпум
29,Hand::N,кядь,ки
30,Handfläche::N,кядьлапш,ки пыдэс
31,Handfläche::N,кядьлапш,кырым пыдэс
32,Finger::N,сур,чиньы
33,Fingernagel::N,кенже,гижы
34,Fingernagel::N,кенже,гиждӥнь
35,Nagel[Anatomie]::N,кенже,гижы
36,Zeh::N,пильгосу́р,пыдчиньы
37,Fuß::N,пильге,пыд
38,Fuß::N,пильгелапа,пыд
39,Ferse::N,кочкяря,пыдбер
40,Knie::N,эль,пыдес
41,Knie::N,пълма́нжа,пыдес
42,Oberschenkel::N,пильгепукша,макес
43,Bein::N,пильге,пыд
44,Körper::N,ро́нга,мугор
45,Körper::N,ро́нга,вылтыр
46,Körper::N,по́нда,мугор
47,Körper::N,по́нда,вылтыр
48,Haut::N,киське,ку
49,Blut::N,вер,вир
50,Ader::N,сан,вирсэр
51,Ader::N,верза́н,вирсэр
52,Sehne::N,коське сан,вуж
53,Knochen::N,пакарь,лы
54,Gehirn::N,уй,вим
55,Herz::N,седи,сюлэм
56,Magen::N,коткърдазь,ӝуш
57,Leber::N,макса,мус
