,Concept_ID,he,it
0,Auge::N,עין,occhio
1,Ohr::N,אזן,orecchio
2,Nase::N,אף,naso
3,Nase::N,חטם,naso
4,Mund::N,פה,bocca
5,Zahn::N,שן,dente
6,Zunge::N,לשון,lingua
7,Lippe::N,שפה,labbro
8,Wange::N,לחי,guancia
9,Gesicht::N,פנים,viso
10,Gesicht::N,פנים,faccia
11,Stirn::N,מצח,fronte
12,Haar::N,שערה,capello
13,Schnurrbart::N,שפם,baffi
14,Schnurrbart::N,שפם,mustacchi
15,Bart::N,זקן,barba
16,Kinn::N,סנטר,mento
17,Kiefer[Anatomie]::N,לסת,mascella
18,Kehle::N,גרון,gola
19,Hals::N,צואר,collo
20,Genick::N,ערף,nuca
21,Kopf::N,ראש,capo
22,Kopf::N,ראש,testa
23,Rücken::N,גב,dorso
24,Rücken::N,גב,schiena
25,Bauch::N,בטן,ventre
26,Nabel::N,טבור,ombelico
27,Busen::N,שד,seno
28,Brust::N,חזה,petto
29,Schulter::N,כתף,spalla
30,Arm::N,זרוע,braccio
31,Ellenbogen::N,מרפק,gomito
32,Hand::N,יד,mano
33,Handfläche::N,כף יד,palma
34,Finger::N,אצבע,dito
35,Fingernagel::N,צפרן,unghia
36,Nagel[Anatomie]::N,צפרן,unghia
37,Zeh::N,אצבע,dito del piede
38,Fuß::N,רגל,piede
39,Ferse::N,עקב,tallone
40,Ferse::N,עקב,calcagno
41,Knie::N,ברך,ginocchio
42,Oberschenkel::N,ירך,fèmore
43,Bein::N,רגל,gamba
44,Körper::N,גוף,corpo
45,Haut::N,עור,pelle
46,Blut::N,דם,sangue
47,Ader::N,וריד,vena
48,Sehne::N,גיד,tèndine
49,Knochen::N,עצם,osso
50,Gehirn::N,מוח,cervello
51,Herz::N,לב,cuore
52,Magen::N,קבה,stòmaco
53,Leber::N,כבד,fegato
54,Atem::N,נשימה,fiato
55,Atem::N,נשימה,respiro
56,Hunger::N,רעב,fame
57,Träne::N,דמעה,làcrima
58,Geschmack::N,טעם,gusto
59,Geschmack::N,טעם,sapore
60,Geruch::N,ריח,odore
61,Schlaf::N,שנה,sonno
62,Traum::N,חלום,sogno
63,Himmel::N,שמים,cielo
64,Sonne::N,שמש,sole
65,Mond::N,ירח,luna
66,Stern::N,כוכב,stella
67,Luft::N,אויר,aria
68,Wind::N,רוח,vento
69,Welle::N,גל,onda
70,Wasser::N,מים,acqua
71,Stein::N,אבן,sasso
72,Stein::N,אבן,pietra
73,Boden::N,קרקע,suolo
74,Boden::N,קרקע,terreno
75,Erde::N,אדמה,terra
76,Staub::N,אבק,polvere
77,Rauch::N,עשן,fumo
78,Funke::N,ניצוץ,scintilla
79,Feuer::N,אש,fuoco
80,Licht::N,אור,luce
81,Schatten::N,צל,ombra
82,Wetter::N,מזג אויר,tempo
83,Nebel::N,ערפל,nebbia
84,Wolke::N,ענן,nube
85,Wolke::N,ענן,nùvola
86,Regen::N,גשם,pioggia
87,Schnee::N,שלג,neve
88,Eis::N,קרח,ghiaccio
89,Frost::N,צנה,gelo
90,Kälte::N,קר,freddo
91,Hitze::N,חם,caldo
92,Hitze::N,חם,calura
93,Raureif::N,כפור,brina
94,Regenbogen::N,קשת,arcobaleno
95,Donner::N,רעם,tuono
96,Strömung::N,זרימה,corrente
97,Tropfen::N,טפה,goccia
98,Schaum::N,קצף,spuma
99,Schaum::N,קצף,schiuma
100,Schmutz::N,לכלוך,sudiciume
101,See::N,אגם,lago
102,Sumpf::N,בצה,palude
103,Moor::N,בצה,torbiera
104,Wiese::N,מרעה,prato
105,Wald::N,יער,bosco
106,Wald::N,יער,foresta
107,Hügel::N,תל,colle
108,Hügel::N,תל,collina
109,Anhöhe::N,מעלה,altura
110,Berg::N,הר,monte
111,Berg::N,הר,montagna
112,Gipfel::N,פסגה,cima
113,Höhle::N,מערה,grotta
114,Höhle::N,מערה,caverna
115,Abhang::N,מדרון,pendìo
116,Abhang::N,שפוע,pendìo
117,Quelle::N,מעין,sorgente
118,Bach::N,נחל,ruscello
119,Fluss::N,נהר,fiume
120,Ufer::N,גדה,riva
121,Küste::N,חוף,costa
122,Festland::N,יבשה,terraferma
123,Meer::N,ים,mare
124,Bucht::N,מפרץ,cala
125,Insel::N,אי,ìsola
126,Blume::N,פרח,fiore
127,Gras::N,דשא,erba
128,Wurzel::N,שרש,radice
129,Baum::N,עץ,àlbero
130,Stamm::N,גזע,tronco
131,Rinde::N,קלפת עץ,corteccia
132,Ast::N,ענף,ramo
133,Zweig::N,ענף,ramo
134,Blatt::N,עלה,foglia
135,Birke::N,שדר,betulla
136,Kiefer[Baum]::N,ארן,pino
137,Weide[Baum]::N,ערבה,sàlice
138,Tanne::N,אשוח,abete
139,Horn::N,קרן,corno
140,Feder::N,נוצה,penna
141,Fell::N,פרוה,manto
142,Fell::N,פרוה,pelame
143,Flügel::N,כנף,ala
144,Klaue::N,טלף,grinfia
145,Kralle::N,טפר,unghia
146,Kralle::N,טפר,artiglio
147,Schwanz::N,זנב,coda
148,Ei::N,ביצה,uovo
149,Nest::N,קן,nido
150,Bau::N,מחלה,covo
151,Tier::N,חיה,bestia
152,Tier::N,חיה,animale
153,Herde::N,עדר,gregge
154,Kuh::N,פרה,vacca
155,Bulle::N,פר,toro
156,Pferd::N,סוס,cavallo
157,Schaf::N,כבשה,pècora
158,Schwein::N,חזיר,porco
159,Schwein::N,חזיר,maiale
160,Hund::N,כלב,cane
161,Katze::N,חתול,gatta
162,Bär::N,דב,orso
163,Eichhörnchen::N,סנאי,scoiàttolo
164,Elch::N,דישון,alce
165,Fuchs::N,שועל,volpe
166,Hase::N,ארנב,lepre
167,Maus::N,עכבר,topo
168,Maus::N,עכבר,sorcio
169,Wolf::N,זאב,lupo
170,Vogel::N,צפור,uccello
171,Schwarm::N,נחיל,stormo
172,Schwarm::N,להקה,stormo
173,Huhn::N,תרנגלת,gallina
174,Hahn::N,תרנגול,gallo
175,Gans::N,אוז,oca
176,Adler::N,עיט,àquila
177,Ente::N,ברוז,ànatra
178,Eule::N,ינשוף,gufo
179,Eule::N,ינשוף,civetta
180,Kranich::N,עגור,gru
181,Kranich::N,כרוכיה,gru
182,Krähe::N,עורב,cornacchia
183,Kuckuck::N,קוקיה,cuccù
184,Kuckuck::N,קוקיה,cùculo
185,Schwan::N,ברבור,cigno
186,Fisch::N,דג,pesce
187,Barsch::N,אוקונוס,pèrsico
188,Hecht::N,זאב הים,luccio
189,Schlange[Tier]::N,נחש,serpente
190,Wurm::N,תולעת,baco
191,Wurm::N,תולעת,verme
192,Spinne::N,עכביש,ragno
193,Ameise::N,נמלה,formica
194,Laus::N,כנה,pidocchio
195,Mücke::N,יתוש,zanzara
196,Fliege::N,זבוב,mosca
197,Schmetterling::N,פרפר,farfalla
198,Beere::N,ענבה,bacca
199,Apfel::N,תפוח,mela
200,Pilz::N,פטריה,fungo
201,Zwiebel::N,בצל,cipolla
202,Saat::N,זרעים,semente
203,Korn::N,גרעין,grano
204,Heu::N,חציר,fieno
205,Schale::N,קלפה,buccia
206,Grube::N,בור,cava
207,Grube::N,בור,fossa
208,Grube::N,שוחה,cava
209,Grube::N,שוחה,fossa
210,Falle::N,מלכדת,tràppola
211,Schlinge::N,לולאה,laccio
212,Spur::N,עקבה,traccia
213,Asche::N,אפר,cenere
214,Dreck::N,זהמה,fango
215,Eisen::N,ברזל,ferro
216,Gold::N,זהב,oro
217,Silber::N,כסף,argento
218,Kohle::N,פחם,carbone
219,Glas::N,זכוכית,vetro
220,Lehm::N,חרסית,argilla
221,Sand::N,חול,arena
222,Sand::N,חול,sabbia
223,Mensch::N,אדם,uomo
224,Mensch::N,אדם,èssere umano
225,Mann::N,איש,uomo
226,Mann::N,גבר,uomo
227,Frau::N,אשה,donna
228,Frau::N,גברת,donna
229,Kind::N,ילד,bambino
230,Junge::N,ילד,ragazzo
231,Mädchen::N,נערה,ragazza
232,Familie::N,משפחה,famiglia
233,Großvater::N,סבא,nonno
234,Großmutter::N,סבתא,nonna
235,Eltern::N,הורים,genitori
236,Vater::N,אב,padre
237,Mutter::N,אם,madre
238,Sohn::N,בן,figlio
239,Tochter::N,בת,figlia
240,Bruder::N,אח,fratello
241,Schwester::N,אחות,sorella
242,Onkel::N,דוד,zio
243,Tante::N,דודה,zia
244,Ehemann::N,איש,marito
245,Ehemann::N,בעל,marito
246,Ehefrau::N,אשה,moglie
247,Freude::N,שמחה,gioia
248,Freude::N,שמחה,piacere
249,Gelächter::N,צחוק,risata
250,Glück::N,אשר,felicità
251,Kummer::N,יגון,afflizione
252,Kummer::N,עגמה,afflizione
253,Wunsch::N,אחול,desiderio
254,Wunsch::N,משאלה,desiderio
255,Lust::N,חשק,voglia
256,Lust::N,תשוקה,voglia
257,Geist::N,רוח,mente
258,Geist::N,רוח,spìrito
259,Gedanke::N,מחשבה,idea
260,Gedanke::N,מחשבה,pensiero
261,Gedächtnis::N,זכרון,memoria
262,Verstand::N,שכל,intelletto
263,Sinn::N,מובן,senso
264,Sinn::N,מובן,significato
265,Sinn::N,משמעות,senso
266,Sinn::N,משמעות,significato
267,Grund::N,סבה,causa
268,Grund::N,סבה,motivo
269,Grund::N,סבה,ragione
270,Wahrheit::N,אמת,verità
271,Gespräch::N,דיון,discorso
272,Gespräch::N,דיון,conversazione
273,Märchen::N,אגדה,fiaba
274,Märchen::N,אגדה,fàvola
275,Erzählung::N,ספור,racconto
276,Erzählung::N,ספור,narrazione
277,Nachricht::N,ידיעה,messaggio
278,Neuigkeit::N,חדשה,notizia
279,Name::N,שם,nome
280,Rätsel::N,תעלומה,indovinello
281,Rede::N,נאום,discorso
282,Sprache::N,לשון,lingua
283,Sprache::N,לשון,linguaggio
284,Stimme::N,קול,voce
285,Wort::N,מלה,parola
286,Zeichen::N,סימן,segno
287,Zeichen::N,סימן,segnale
288,Ruf::N,קריאה,chiamata
289,Lärm::N,רעש,chiasso
290,Lärm::N,רעש,strèpito
291,Laut::N,הגה,suono
292,Ton::N,צליל,tono
293,Lied::N,שיר,canto
294,Lied::N,שיר,canzone
295,Ruhe::N,שלוה,calma
296,Ruhe::N,שלוה,tranquillità
297,Leute::N,אנשים,gente
298,Volk::N,עם,pòpolo
299,Arbeit::N,עבודה,lavoro
300,Gast::N,אורח,òspite
301,Gast::N,אורח,invitato
302,Geschenk::N,מתנה,regalo
303,Spiel::N,משחק,gioco
304,Gesellschaft::N,חברה,compagnìa
305,Hilfe::N,עזרה,aiuto
306,Hilfe::N,עזרה,soccorso
307,Freund::N,חבר,amico
308,Freund::N,ידיד,amico
309,Kamerad::N,רע,camerata
310,Angelegenheit::N,ענין,affare
311,Angelegenheit::N,ענין,faccenda
312,Anzahl::N,מספר,nùmero
313,Anzahl::N,מספר,quantità
314,Art::N,סוג,tipo
315,Art::N,סוג,specie
316,Stück::N,חתיכה,pezzo
317,Teil::N,פרק,parte
318,Hälfte::N,חצי,metà
319,Kreis::N,מעגל,cìrcolo
320,Kreuz::N,צלב,croce
321,Linie::N,קו,lìnea
322,Strich::N,קו קצר,tratto
323,Abstand::N,מרחק,distanza
324,Entfernung::N,מרחק,distanza
325,Entfernung::N,מרחק,lontananza
326,Gegend::N,נוף,regione
327,Platz::N,שטח,posto
328,Platz::N,שטח,spazio
329,Ort::N,אתר,luogo
330,Ort::N,אתר,località
331,Ort::N,מקום,luogo
332,Ort::N,מקום,località
333,Seite::N,צד,lato
334,Seite::N,צד,parte
335,Mitte::N,אמצע,mezzo
336,Mitte::N,אמצע,centro
337,Gegenstand::N,אוביקט,oggetto
338,Sache::N,דבר,cosa
339,Rand::N,פרור,orlo
340,Rand::N,פרור,bordo
341,Kante::N,קצה,spìgolo
342,Ecke::N,פנה,canto
343,Spitze::N,קצה,punta
344,Ende::N,סוף,capo
345,Ende::N,סוף,estremità
346,Loch::N,חר,buco
347,Winkel::N,פנה,àngolo
348,Muster::N,תבנית,disegno
349,Größe::N,גדל,taglia
350,Größe::N,גדל,grandezza
351,Länge::N,ארך,lunghezza
352,Höhe::N,קומה,altezza
353,Höhe::N,גבה,altezza
354,Gewicht::N,משקל,peso
355,Menge::N,כמות,quantità
356,Haufen::N,ערמה,cùmulo
357,Haufen::N,ערמה,mucchio
358,Reihe::N,רצף,fila
359,Boot::N,סירה,barca
360,Boot::N,סירה,battello
361,Ruder::N,משוט,remo
362,Schlitten::N,מזחלת,slitta
363,Ski::N,מגלשים,sci
364,Lagerfeuer::N,מדורה,falò
365,Lagerfeuer::N,מדורה,fuoco di bivacco
366,Last::N,משא,càrico
367,Gang::N,הליכה,andata
368,Schritt::N,צעד,passo
369,Norden::N,צפון,nord
370,Norden::N,צפון,settentrione
371,Süden::N,דרום,sud
372,Süden::N,דרום,meridione
373,Westen::N,מערב,òvest
374,Westen::N,מערב,occidente
375,Osten::N,מזרח,est
376,Osten::N,מזרח,oriente
377,Holz::N,עץ,legno
378,Brett::N,קרש,asse
379,Brett::N,קרש,tàvola
380,Platte::N,לוח,lastra
381,Platte::N,לוח,piastra
382,Stütze::N,משען,supporto
383,Stange::N,מוט,sbarra
384,Stange::N,מוט,pèrtica
385,Stock::N,מקל,verga
386,Stock::N,מקל,bastone
387,Stock::N,מקל,bacchetta
388,Stab::N,מוט,asta
389,Rohr::N,צנור,tubo
390,Haus::N,בית,casa
391,Heim::N,בית,casa
392,Ofen::N,תנור,stufa
393,Fußboden::N,רצפה,pavimento
394,Tisch::N,שלחן,tàvolo
395,Stuhl::N,כסא,sedia
396,Wiege::N,ערש,culla
397,Bett::N,מטה,letto
398,Regal::N,מדף,scaffale
399,Kiste::N,תבה,cassa
400,Kiste::N,ארגז,cassa
401,Fenster::N,חלון,finestra
402,Tür::N,דלת,porta
403,Tor::N,שער,portone
404,Zaun::N,גדר,recinto
405,Dach::N,גג,tetto
406,Leiter::N,סלם,scala
407,Leiter::N,סלם,scala a pioli
408,Besen::N,מטאטא,scopa
409,Spaten::N,את,vanga
410,Schaufel::N,את,pala
411,Gabel::N,מזלג,forchetta
412,Löffel::N,כף,cucchiaio
413,Messer::N,סכין,coltello
414,Nagel::N,מסמר,chiodo
415,Netz::N,רשת,rete
416,Haken::N,וו,uncino
417,Haken::N,קרס,uncino
418,Griff::N,ידית,mànico
419,Griff::N,ידית,maniglia
420,Schloss::N,מנעול,serratura
421,Bild::N,תמונה,quadro
422,Bild::N,תמונה,immàgine
423,Figur::N,פסל,figura
424,Puppe::N,בבה,bàmbola
425,Beutel::N,שק,borsa
426,Beutel::N,שק,sacchetto
427,Bündel::N,צרור,fascio
428,Bündel::N,צרור,fagotto
429,Tasche::N,שקית,borsa
430,Eimer::N,דלי,secchio
431,Deckel::N,מכסה,coperchio
432,Geschirr::N,כלים,stoviglie
433,Sack::N,שק,sacco
434,Tasse::N,ספל,tazza
435,Topf::N,סיר,pèntola
436,Kessel::N,קנקן,paiolo
437,Kessel::N,קנקן,calderone
438,Essen::N,אכל,pasto
439,Essen::N,אכל,mangiare
440,Essen::N,ארוחה,pasto
441,Essen::N,ארוחה,mangiare
442,Nahrung::N,הזנה,cibo
443,Nahrung::N,הזנה,alimento
444,Nahrung::N,תזונה,cibo
445,Nahrung::N,תזונה,alimento
446,Speise::N,מאכל,piatto
447,Speise::N,ארוחה,piatto
448,Fleisch::N,בשר,carne
449,Getreide::N,דגן,cereali
450,Brei::N,מחית,purè
451,Brei::N,מחית,pappa
452,Brot::N,לחם,pane
453,Scheibe::N,עגול,fetta
454,Scheibe::N,עגול,trancia
455,Scheibe::N,פרוסה,fetta
456,Scheibe::N,פרוסה,trancia
457,Fett::N,שמן,grasso
458,Butter::N,חמאה,burro
459,Öl::N,שמן,olio
460,Salz::N,מלח,sale
461,Suppe::N,מרק,zuppa
462,Suppe::N,מרק,minestra
463,Honig::N,דבש,miele
464,Milch::N,חלב,latte
465,Tee::N,תה,tè
466,Leder::N,עור,pelle
467,Wolle::N,צמר,lana
468,Stoff::N,בד,panno
469,Stoff::N,בד,tessuto
470,Stoff::N,אריג,panno
471,Stoff::N,אריג,tessuto
472,Nadel::N,מחט,ago
473,Faden::N,חוט,filo
474,Knopf::N,כפתור,bottone
475,Knoten::N,קשר,nodo
476,Farbe::N,צבע,pittura
477,Kleidung::N,בגדים,vestiti
478,Kleidung::N,בגדים,vestiario
479,Hemd::N,חלצה,camicia
480,Kragen::N,צוארון,bàvero
481,Kragen::N,צוארון,colletto
482,Ärmel::N,שרוול,mànica
483,Hose::N,מכנסים,calzoni
484,Gürtel::N,חגורה,cintura
485,Mütze::N,כובע,berretto
486,Schuh::N,נעל,scarpa
487,Stiefel::N,מגף,stivale
488,Ring::N,טבעת,anello
489,Band::N,סרט,nastro
490,Band::N,סרט,fettuccia
491,Kamm::N,מסרק,pèttine
492,Spiegel::N,מראה,specchio
493,Riemen::N,רצועה,cinghia
494,Schnur::N,חבל,corda
495,Leine::N,מושכות,guinzaglio
496,Decke::N,שמיכה,coperta
497,Kissen::N,כרית,cuscino
498,Kissen::N,כרית,guanciale
499,Tuch::N,צעיף,fazzoletto
500,Handtuch::N,מגבת,asciugamano
501,Kraft::N,כוח,forza
502,Stärke::N,און,forza
503,Stärke::N,און,vigore
504,Stärke::N,און,fortezza
505,Gesundheit::N,בריאות,salute
506,Krankheit::N,מחלה,malattìa
507,Schmerz::N,כאב,dolore
508,Wunde::N,פציעה,piaga
509,Wunde::N,פציעה,ferita
510,Fieber::N,חם,febbre
511,Arznei::N,תרופה,fàrmaco
512,Arznei::N,תרופה,medicina
513,Brücke::N,גשר,ponte
514,Brunnen::N,באר,pozzo
