,Concept_ID,kn,ar
0,Auge::N,ಕಣ್ಣು,عين
1,Ohr::N,ಕಿವಿ,أذن
2,Nase::N,ಮೂಗು,أنف
3,Mund::N,ಬಾಯಿ,فم
4,Zahn::N,ಹಲ್ಲು,سن
5,Zunge::N,ನಾಲಿಗೆ,لسان
6,Lippe::N,ತುಟಿ,شفة
7,Wange::N,ಗಲ್ಲ,خد
8,Wange::N,ಗಲ್ಲ,وجنة
9,Gesicht::N,ಮುಖ,وجه
10,Stirn::N,ಹಣೆ,جبين
11,Haar::N,ಕೂದಲು,شعر
12,Schnurrbart::N,ಮೀಸೆ,شارب
13,Bart::N,ಗಡ್ಡ,لحية
14,Kinn::N,ಗದ್ದ,ذقن
15,Kiefer[Anatomie]::N,ದವಡೆ,فك
16,Kehle::N,ಗಂಟಲು,حلق
17,Hals::N,ಕೊರಳು,عنق
18,Hals::N,ಕೊರಳು,رقبة
19,Genick::N,ಹಿಂಗತ್ತು,قفا
20,Kopf::N,ತಲೆ,رأس
21,Rücken::N,ಬೆನ್ನು,ظهر
22,Bauch::N,ಹೊಟ್ಟೆ,بطن
23,Nabel::N,ಹೊಕ್ಕುಳು,سرة
24,Busen::N,ಸ್ತನ,ثدي
25,Brust::N,ಎದೆ,صدر
26,Schulter::N,ಭುಜ,كتف
27,Arm::N,ತೋಳು,ذراع
28,Ellenbogen::N,ಮೊಣಕೈ,كوع
29,Hand::N,ಕೈ,يد
30,Handfläche::N,ಅಂಗೈ,كف
31,Finger::N,ಕೈಬೆರಳು,إصبع
32,Fingernagel::N,ಉಗುರು,ظفر
33,Nagel[Anatomie]::N,ಉಗುರು,ظفر
34,Zeh::N,ಕಾಲ್ಬೆರಳು,إصبع القدم
35,Fuß::N,ಪಾದ,قدم
36,Ferse::N,ಹಿಮ್ಮಡಿ,كعب
37,Knie::N,ಮಂಡಿ,ركبة
38,Oberschenkel::N,ತೊಡೆ,فخذ
39,Bein::N,ಕಾಲು,ساق
40,Körper::N,ದೇಹ,جسم
41,Haut::N,ಚರ್ಮ,بشرة
42,Blut::N,ರಕ್ತ,دم
43,Ader::N,ನರ,عرق
44,Sehne::N,ನರ,طنب
45,Knochen::N,ಮೂಳೆ,عظم
46,Gehirn::N,ಮಿದುಳು,دماغ
47,Herz::N,ಹೃದಯ,قلب
48,Magen::N,ಉದರ,معدة
49,Leber::N,ಯಕೃತ್ತು,كبد
50,Atem::N,ಉಸಿರು,نفس
51,Hunger::N,ಹಸಿವು,جوع
52,Träne::N,ಕಣ್ಣೀರು,دمعة
53,Geschmack::N,ರುಚಿ,طعم
54,Geschmack::N,ರುಚಿ,مذاق
55,Geruch::N,ವಾಸನೆ,رائحة
56,Schlaf::N,ನಿದ್ರೆ,نوم
57,Schlaf::N,ನಿದ್ರೆ,منام
58,Traum::N,ಕನಸು,حلم
59,Himmel::N,ಬಾನು,سماء
60,Sonne::N,ಸೂರ್ಯ,شمس
61,Mond::N,ಚಂದ್ರ,قمر
62,Stern::N,ಚುಕ್ಕಿ,نجم
63,Stern::N,ಚುಕ್ಕಿ,كوكب
64,Luft::N,ವಾಯು,هواء
65,Wind::N,ಗಾಳಿ,ريح
66,Welle::N,ಅಲೆ,موجة
67,Wasser::N,ನೀರು,ماء
68,Stein::N,ಕಲ್ಲು,حجر
69,Boden::N,ನೆಲ,تراب
70,Erde::N,ಭೂಮಿ,أرض
71,Staub::N,ದೂಳು,غبار
72,Rauch::N,ಹೊಗೆ,دخان
73,Funke::N,ಕಿಡಿ,شرارة
74,Feuer::N,ಬೆಂಕಿ,نار
75,Licht::N,ಬೆಳಕು,نور
76,Licht::N,ಬೆಳಕು,ضوء
77,Schatten::N,ನೆರಳು,ظل
78,Schatten::N,ನೆರಳು,فيء
79,Wetter::N,ಹವ,جو
80,Wetter::N,ಹವ,طقس
81,Nebel::N,ಮಂಜು,ضباب
82,Wolke::N,ಮೋಡ,غيمة
83,Wolke::N,ಮೋಡ,سحابة
84,Regen::N,ಮಳೆ,مطر
85,Schnee::N,ಹಿಮ,ثلج
86,Eis::N,ಮಂಜುಗಡ್ಡೆ,جليد
87,Frost::N,ಮಂಜು,صقيع
88,Kälte::N,ಹಿಮ,برد
89,Hitze::N,ಉಷ್ಣ,حر
90,Hitze::N,ಉಷ್ಣ,حرارة
91,Raureif::N,ಇಬ್ಬನಿ,صقيع
92,Regenbogen::N,ಇಂದ್ರಚಾಪ,قوس قزح
93,Donner::N,ಗುಡುಗು,رعد
94,Strömung::N,ಪ್ರವಾಹ,تيار
95,Tropfen::N,ತೊಟ್ಟು,قطرة
96,Schaum::N,ನೊರೆ,زبد
97,Schaum::N,ನೊರೆ,رغوة
98,Schmutz::N,ಕಸ,وسخ
99,See::N,ಸರೋವರ,بحيرة
100,Sumpf::N,ಜೌಗುಸ್ಥಳ,مستنقع
101,Moor::N,ಬಂಜರು ಭೂಮಿ,مستنقع
102,Wiese::N,ಹುಲ್ಲುಗಾವಲು,مرج
103,Wald::N,ಕಾಡು,غابة
104,Hügel::N,ಗುಡ್ಡೆ,تل
105,Anhöhe::N,ದಿಬ್ಬ,تل
106,Berg::N,ಮಲೆ,جبل
107,Berg::N,ಪರ್ವತ,جبل
108,Gipfel::N,ಶೃಂಗ,قمة
