,Concept_ID,sv,hy
0,Auge::N,öga,աչք
1,Ohr::N,öra,ականջ
2,Nase::N,näsa,քիթ
3,Mund::N,mun,բերան
4,Zahn::N,tand,ատամ
5,Zunge::N,tunga,լեզու
6,Lippe::N,läpp,շրթունք
7,Wange::N,kind,այտ
8,Wange::N,kind,թուշ
9,Gesicht::N,syn,դեմք
10,Gesicht::N,ansikte,դեմք
11,Stirn::N,panna,ճակատ
12,Haar::N,hår,մազ
13,Schnurrbart::N,mustasch,բեղ
14,Bart::N,skägg,մորուք
15,Kinn::N,haka,կզակ
16,Kiefer[Anatomie]::N,käke,ծնոտ
17,Kehle::N,strupe,կոկորդ
18,Hals::N,hals,վիզ
19,Hals::N,hals,պարանոց
20,Genick::N,nacke,ծոծրակ
21,Kopf::N,huvud,գլուխ
22,Rücken::N,rygg,մեջք
23,Bauch::N,buk,փոր
24,Bauch::N,buk,որովայն
25,Bauch::N,mage,փոր
26,Bauch::N,mage,որովայն
27,Nabel::N,navel,պորտ
28,Busen::N,barm,ծոց
29,Brust::N,bröst,կուրծք
30,Schulter::N,skuldra,ուս
31,Arm::N,arm,թեւ
32,Arm::N,arm,բազուկ
33,Ellenbogen::N,armbåge,արմունկ
34,Hand::N,hand,ձեռք
35,Handfläche::N,handflata,ափ
36,Finger::N,finger,մատ
37,Fingernagel::N,fingernagel,եղունգ
38,Nagel[Anatomie]::N,nagel,եղունգ
39,Zeh::N,tå,ոտքի մատ
40,Fuß::N,fot,ոտք
41,Ferse::N,häl,գարշապար
42,Knie::N,knä,ծունկ
43,Oberschenkel::N,lår,ազդր
44,Bein::N,ben,ոտք
45,Körper::N,kropp,մարմին
46,Haut::N,hud,մաշկ
47,Haut::N,skinn,մաշկ
48,Blut::N,blod,արյուն
49,Ader::N,åder,երակ
50,Sehne::N,sena,ջիղ
51,Sehne::N,sena,ձգտան
52,Knochen::N,ben,ոսկոր
53,Gehirn::N,hjärna,խելք
54,Herz::N,hjärta,սիրտ
55,Magen::N,mage,ստամոքս
56,Leber::N,lever,լյարդ
57,Atem::N,anda,շունչ
58,Atem::N,andedräkt,շունչ
59,Hunger::N,svält,քաղց
60,Hunger::N,hunger,քաղց
61,Träne::N,tår,արտասուք
62,Geschmack::N,smak,համ
63,Geschmack::N,smak,բուրմունք
64,Geruch::N,lukt,հոտ
65,Geruch::N,lukt,բուրում
66,Schlaf::N,sömn,քուն
67,Traum::N,dröm,երազ
68,Himmel::N,himmel,երկինք
69,Sonne::N,sol,արեւ
70,Mond::N,måne,լուսին
71,Stern::N,stjärna,աստղ
72,Luft::N,luft,օդ
73,Wind::N,vind,քամի
74,Welle::N,våg,ալիք
75,Welle::N,bölja,ալիք
76,Wasser::N,vatten,ջուր
77,Stein::N,sten,քար
78,Boden::N,mark,գետին
79,Erde::N,jord,հող
80,Staub::N,damm,փոշի
81,Rauch::N,rök,ծուխ
82,Funke::N,gnista,կայծ
83,Feuer::N,eld,կրակ
84,Feuer::N,eld,հրդեհ
85,Licht::N,ljus,լույս
86,Schatten::N,skugga,ստվեր
87,Wetter::N,väder,եղանակ
88,Nebel::N,dimma,մեգ
89,Nebel::N,dimma,մառախուղ
90,Nebel::N,töcken,մեգ
91,Nebel::N,töcken,մառախուղ
92,Wolke::N,sky,ամպ
93,Wolke::N,moln,ամպ
94,Regen::N,regn,անձրև
95,Schnee::N,snö,ձյուն
96,Eis::N,is,սառույց
97,Frost::N,frost,սառնամանիք
98,Kälte::N,köld,դող
99,Hitze::N,hetta,շոգ
100,Raureif::N,rimfrost,ցօղեղեամ
101,Regenbogen::N,regnbåge,ծիածան
102,Donner::N,åska,որոտ
103,Donner::N,dunder,որոտ
104,Strömung::N,strömning,հոսանք
105,Tropfen::N,dropper,կաթիլ
106,Schaum::N,skum,փրփուր
107,Schmutz::N,lort,կեղտ
108,Schmutz::N,smuts,կեղտ
109,See::N,sjö,լիճ
110,Sumpf::N,träsk,ճահիճ
111,Moor::N,myr,ճահիճ
112,Moor::N,mosse,ճահիճ
113,Wiese::N,äng,մարգագետին
114,Wald::N,skog,անտառ
115,Hügel::N,höjd,բլուր
116,Hügel::N,kulle,բլուր
117,Anhöhe::N,höjd,բարձունք
118,Anhöhe::N,backe,բարձունք
119,Berg::N,berg,լեռ
120,Berg::N,fjäll,լեռ
121,Gipfel::N,topp,գագաթ
122,Gipfel::N,topp,կատար
123,Höhle::N,håla,քարայր
124,Höhle::N,grotta,քարայր
125,Abhang::N,slänt,լանջ
126,Abhang::N,slänt,զառիվայր
127,Abhang::N,sluttning,լանջ
128,Abhang::N,sluttning,զառիվայր
129,Quelle::N,källa,աղբյուր
130,Bach::N,bäck,վտակ
131,Fluss::N,älv,գետ
132,Fluss::N,flod,գետ
133,Ufer::N,strand,ծովափ
134,Küste::N,kust,ափ
135,Küste::N,kust,ծովափ
136,Festland::N,fastland,ցամաք
137,Meer::N,hav,ծով
138,Bucht::N,vik,հաչիւն
139,Bucht::N,bukt,հաչիւն
140,Insel::N,ö,վղզի
141,Blume::N,blomma,ծաղիկ
142,Blume::N,blomster,ծաղիկ
143,Gras::N,gräs,խոտ
144,Wurzel::N,rot,արմատ
145,Baum::N,träd,ծառ
146,Stamm::N,stam,իրան
147,Rinde::N,bark,կեղեւ
148,Rinde::N,bark,հաչոց
149,Ast::N,gren,ճյուղ
150,Zweig::N,kvist,ճյուղ
151,Blatt::N,löv,տերեւ
152,Blatt::N,blad,տերեւ
153,Birke::N,björk,ցարասի
154,Kiefer[Baum]::N,tall,սոճի
155,Weide[Baum]::N,pil,ուռենի
156,Weide[Baum]::N,vide,ուռենի
157,Tanne::N,gran,եղեւին
158,Horn::N,horn,
159,Feder::N,fjäder,փետուր
160,Fell::N,fäll,մորթի
161,Fell::N,skinn,մորթի
162,Flügel::N,vinge,թեւ
163,Klaue::N,klöv,չանչ
164,Kralle::N,klo,ճանկ
165,Schwanz::N,svans,պոչ
166,Schwanz::N,stjärt,պոչ
167,Ei::N,ägg,ձու
168,Nest::N,rede,բույն
169,Nest::N,näste,բույն
170,Bau::N,bo,որջ
171,Bau::N,bo,բայոց
172,Tier::N,djur,կենդանի
173,Herde::N,flock,հոտ
174,Kuh::N,ko,կով
175,Bulle::N,tjur,ցուլ
176,Pferd::N,häst,ձի
177,Schaf::N,får,ոչխար
178,Schwein::N,svin,խոզ
179,Hund::N,hund,շուն
180,Katze::N,katt,կատու
181,Bär::N,björn,արջ
182,Eichhörnchen::N,ekorre,սկյուռ
183,Elch::N,älg,հիւսիսային եղջերու
184,Fuchs::N,räv,աղվես
185,Hase::N,hare,նապաստակ
186,Maus::N,mus,մուկ
187,Wolf::N,varg,գայլ
188,Vogel::N,fågel,թռչուն
189,Schwarm::N,svärm,երամ
190,Huhn::N,höns,հավ
191,Hahn::N,tupp,աքաղաղ
192,Gans::N,gås,սագ
193,Adler::N,örn,արծիվ
194,Ente::N,anka,բադ
