,Concept_ID,es,ru
0,Auge::N,ojo,глаз
1,Ohr::N,oreja,ухо
2,Nase::N,nariz,нос
3,Mund::N,boca,рот
4,Zahn::N,diente,зуб
5,Zunge::N,lengua,язык
6,Lippe::N,labio,губа
7,Wange::N,mejilla,щека
8,Gesicht::N,cara,лицо
9,Stirn::N,frente,лоб
10,Haar::N,cabello,волос
11,Haar::N,cabello,волосы
12,Schnurrbart::N,bigote,ус
13,Schnurrbart::N,bigote,усы
14,Bart::N,barba,борода
15,Kinn::N,barbilla,подбородок
16,Kiefer[Anatomie]::N,mandíbula,челюсть
17,Kehle::N,garganta,горло
18,Hals::N,cuello,шея
19,Genick::N,nuca,затылок
20,Genick::N,cerviz,затылок
21,Kopf::N,cabeza,голова
22,Rücken::N,espalda,спина
23,Bauch::N,vientre,живот
24,Nabel::N,ombligo,пупок
25,Busen::N,pecho,женская грудь
26,Brust::N,pecho,грудь
27,Schulter::N,hombro,плечо
28,Arm::N,brazo,рука
29,Ellenbogen::N,codo,локоть
30,Hand::N,mano,кисть
31,Handfläche::N,palma,ладонь
32,Finger::N,dedo,палец
33,Fingernagel::N,uña,ноготь
34,Nagel[Anatomie]::N,uña,ноготь
35,Zeh::N,dedo del pie,палец
36,Fuß::N,pie,ступня
37,Ferse::N,talón,пята
38,Ferse::N,talón,пятка
39,Knie::N,rodilla,колено
40,Oberschenkel::N,muslo,бедро
41,Bein::N,pierna,нога
42,Körper::N,cuerpo,тело
43,Haut::N,piel,кожа
44,Blut::N,sangre,кровь
45,Ader::N,vena,вена
46,Ader::N,vena,сосуд
47,Sehne::N,tendón,жила
48,Sehne::N,tendón,тетива
49,Sehne::N,tendón,сухожилие
50,Knochen::N,hueso,кость
51,Gehirn::N,cerebro,мозг
52,Gehirn::N,encéfalo,мозг
53,Herz::N,corazón,сердце
54,Magen::N,estómago,желудок
55,Leber::N,hígado,печень
56,Atem::N,aliento,дух
57,Atem::N,aliento,дыхание
58,Hunger::N,hambre,голод
59,Träne::N,lágrima,слеза
60,Geschmack::N,gusto,вкус
61,Geruch::N,olor,запах
62,Schlaf::N,sueño,сон
63,Traum::N,sueño,сновидение
64,Traum::N,ensueño,сновидение
65,Himmel::N,cielo,небо
66,Sonne::N,sol,солнце
67,Mond::N,luna,луна
68,Stern::N,estrella,звезда
69,Luft::N,aire,воздух
70,Wind::N,viento,ветер
71,Welle::N,ola,волна
72,Welle::N,onda,волна
73,Wasser::N,agua,вода
74,Stein::N,piedra,камень
75,Boden::N,suelo,почва
76,Erde::N,tierra,земля
77,Staub::N,polvo,пыль
78,Rauch::N,humo,дым
79,Funke::N,chispa,искра
80,Feuer::N,fuego,огонь
81,Licht::N,luz,свет
82,Schatten::N,sombra,тень
83,Wetter::N,tiempo,погода
84,Nebel::N,niebla,туман
85,Wolke::N,nube,облако
86,Regen::N,lluvia,дождь
87,Schnee::N,nieve,снег
88,Eis::N,hielo,лед
89,Frost::N,helada,мороз
90,Kälte::N,frío,холод
91,Hitze::N,calor,жара
92,Raureif::N,escarcha,иней
93,Regenbogen::N,arco iris,радуга
94,Donner::N,trueno,гром
95,Strömung::N,corriente,течение
96,Tropfen::N,gota,капля
97,Schaum::N,espuma,пена
98,Schmutz::N,suciedad,грязь
99,See::N,lago,озеро
100,Sumpf::N,pantano,топь
101,Moor::N,turbera,болото
102,Wiese::N,prado,луг
103,Wiese::N,pradera,луг
104,Wald::N,bosque,лес
105,Hügel::N,colina,холм
106,Anhöhe::N,cerro,возвышенность
107,Berg::N,monte,гора
108,Berg::N,montaña,гора
109,Gipfel::N,cima,вершина
110,Gipfel::N,cumbre,вершина
111,Höhle::N,cueva,пещера
112,Höhle::N,caverna,пещера
113,Abhang::N,cuesta,склон
114,Abhang::N,declive,склон
115,Quelle::N,fuente,источник
116,Quelle::N,manantial,источник
117,Bach::N,arroyo,ручей
118,Fluss::N,río,река
119,Ufer::N,orilla,берег
120,Küste::N,costa,побережье
121,Festland::N,tierra firme,суша
122,Meer::N,mar,море
123,Bucht::N,cala,бухта
124,Bucht::N,bahía,бухта
125,Insel::N,isla,остров
126,Blume::N,flor,цветок
127,Gras::N,hierba,трава
128,Wurzel::N,raíz,корень
129,Baum::N,árbol,дерево
130,Stamm::N,tronco,ствол
131,Rinde::N,corteza,кора
132,Ast::N,rama,сук
133,Zweig::N,ramo,ветвь
134,Blatt::N,hoja,лист
135,Birke::N,abedul,береза
136,Kiefer[Baum]::N,pino,сосна
137,Weide[Baum]::N,sauce,ива
138,Tanne::N,abeto,ель
139,Horn::N,asta,рог
140,Horn::N,cuerno,рог
141,Feder::N,pluma,перо
142,Fell::N,piel,шкура
143,Flügel::N,ala,крыло
144,Klaue::N,garra,коготь
145,Kralle::N,uña,лапа
146,Kralle::N,garra,лапа
147,Schwanz::N,cola,хвост
148,Ei::N,huevo,яйцо
149,Nest::N,nido,гнездо
150,Bau::N,madriguera,нора
151,Tier::N,animal,животное
152,Herde::N,rebaño,стадо
153,Kuh::N,vaca,корова
154,Bulle::N,toro,бык
155,Pferd::N,caballo,лошадь
156,Schaf::N,oveja,овца
157,Schwein::N,cerdo,свинья
158,Hund::N,perro,собака
159,Katze::N,gato,кошка
160,Bär::N,oso,медведь
161,Eichhörnchen::N,ardilla,белка
162,Elch::N,alce,лось
163,Fuchs::N,zorro,лиса
164,Hase::N,liebre,заяц
165,Maus::N,ratón,мышь
166,Wolf::N,lobo,волк
167,Vogel::N,ave,птица
168,Vogel::N,pájaro,птица
169,Schwarm::N,bandada,стая
