,Concept_ID,fa,fi
0,Auge::N,چشم,silmä
1,Ohr::N,گوش,korva
2,Nase::N,بینی,nenä
3,Mund::N,دهان,suu
4,Zahn::N,دندان,hammas
5,Zunge::N,زبان,kieli
6,Lippe::N,لب,huuli
7,Wange::N,لپ,poski
8,Gesicht::N,رو,naama
9,Gesicht::N,رو,kasvot
10,Gesicht::N,چهره,naama
11,Gesicht::N,چهره,kasvot
12,Stirn::N,پیشانی,otsa
13,Haar::N,مو,hius
14,Haar::N,مو,tukka
15,Schnurrbart::N,سبیل,viikset
16,Bart::N,ریش,parta
17,Kinn::N,چانه,leuka
18,Kiefer[Anatomie]::N,فک,leukaluu
19,Kiefer[Anatomie]::N,آرواره,leukaluu
20,Kehle::N,حلق,kurkku
21,Hals::N,گردن,kaula
22,Genick::N,پشت گردن,niska
23,Kopf::N,سر,pää
24,Kopf::N,کله,pää
25,Rücken::N,پشت,selkä
26,Bauch::N,شکم,maha
27,Bauch::N,شکم,vatsa
28,Nabel::N,ناف,napa
29,Busen::N,پستان,rinta
30,Brust::N,سینه,rinta
31,Schulter::N,دوش,olka
32,Schulter::N,دوش,hartia
33,Schulter::N,دوش,olkapää
34,Schulter::N,شانه,olka
35,Schulter::N,شانه,hartia
36,Schulter::N,شانه,olkapää
37,Arm::N,بازو,käsivarsi
38,Ellenbogen::N,آرنج,kyynärpää
39,Hand::N,دست,käsi
40,Handfläche::N,کف دست,kämmen
41,Finger::N,انگشت,sormi
42,Fingernagel::N,ناخن دست,kynsi
43,Nagel[Anatomie]::N,ناخن,kynsi
44,Zeh::N,انگشت پا,varvas
45,Fuß::N,پا,jalka
46,Ferse::N,پاشنه,kantapää
47,Knie::N,زانو,polvi
48,Oberschenkel::N,ران,reisi
49,Bein::N,پا,jalka
50,Bein::N,لنگ,jalka
51,Körper::N,تن,keho
52,Körper::N,تن,ruumis
53,Körper::N,بدن,keho
54,Körper::N,بدن,ruumis
55,Haut::N,پوست,iho
56,Blut::N,خون,veri
57,Ader::N,رگ,suoni
58,Sehne::N,زردپی,jänne
59,Knochen::N,استخوان,luu
60,Gehirn::N,مخ,aivot
61,Gehirn::N,مغز,aivot
62,Herz::N,دل,sydän
63,Herz::N,قلب,sydän
64,Magen::N,معده,maha
65,Magen::N,معده,vatsa
66,Leber::N,کبد,maksa
67,Atem::N,نفس,henki
68,Atem::N,نفس,hengitys
69,Hunger::N,گرسنگی,nälkä
70,Träne::N,اشک,kyynel
71,Geschmack::N,مزه,maku
72,Geruch::N,بو,haju
73,Schlaf::N,خواب,uni
74,Traum::N,رؤیا,uni
75,Himmel::N,فلک,taivas
76,Himmel::N,آسمان,taivas
77,Sonne::N,آفتاب,aurinko
78,Sonne::N,خورشید,aurinko
79,Mond::N,ماه,kuu
80,Stern::N,ستاره,tähti
81,Luft::N,هوا,ilma
82,Wind::N,باد,tuuli
83,Welle::N,موج,aalto
84,Wasser::N,آب,vesi
85,Stein::N,سنگ,kivi
86,Boden::N,زمین,maa
87,Boden::N,زمین,maaperä
88,Erde::N,خاک,maa
89,Erde::N,زمین,maa
90,Staub::N,گرد,pöly
91,Staub::N,غبار,pöly
92,Rauch::N,دود,savu
93,Funke::N,جرقه,kipinä
94,Feuer::N,آتش,tuli
95,Licht::N,نور,valo
96,Licht::N,روشنی,valo
97,Schatten::N,سایه,varjo
98,Wetter::N,هوا,sää
99,Nebel::N,مه,sumu
100,Wolke::N,ابر,pilvi
101,Regen::N,باران,sade
102,Schnee::N,برف,lumi
103,Eis::N,یخ,jää
104,Frost::N,یخبندان,halla
105,Frost::N,یخبندان,pakkanen
106,Kälte::N,سرما,vilu
107,Kälte::N,سرما,kylmyys
108,Hitze::N,گرما,helle
109,Hitze::N,گرما,kuumuus
110,Hitze::N,حرارت,helle
111,Hitze::N,حرارت,kuumuus
112,Raureif::N,برف ریزه,huurre
113,Regenbogen::N,رنگین‌کمان,sateenkaari
114,Donner::N,رعد,jyrinä
115,Strömung::N,جریان,virtaus
116,Tropfen::N,قطره,tippa
117,Tropfen::N,قطره,pisara
118,Schaum::N,کف,vaahto
119,Schmutz::N,گل,loka
120,Schmutz::N,کثافت,loka
121,See::N,دریاچه,järvi
122,Sumpf::N,مرداب,suo
123,Sumpf::N,باتلاق,suo
124,Moor::N,باتلاق,räme
125,Wiese::N,چمن,niitty
126,Wald::N,جنگل,metsä
127,Hügel::N,تل,mäki
128,Hügel::N,تل,kumpu
129,Hügel::N,تل,kukkula
130,Hügel::N,تپه,mäki
131,Hügel::N,تپه,kumpu
132,Hügel::N,تپه,kukkula
133,Anhöhe::N,بلندی,mäki
134,Anhöhe::N,بلندی,kumpare
135,Berg::N,کوه,mäki
136,Berg::N,کوه,vuori
137,Gipfel::N,قله,laki
