,Concept_ID,myv,et
0,Auge::N,сельме,silm
1,Ohr::N,пиле,kõrv
2,Nase::N,судо,nina
3,Mund::N,курго,suu
4,Zahn::N,пей,hammas
5,Zunge::N,кель,keel
6,Lippe::N,турва,huul
7,Wange::N,чамабока,põsk
8,Wange::N,чамаумарь,põsk
9,Gesicht::N,чама,nägu
10,Stirn::N,коня,otsmik
11,Haar::N,черь,juus
12,Schnurrbart::N,ус,vurrud
13,Schnurrbart::N,ус,vuntsid
14,Schnurrbart::N,муюк,vurrud
15,Schnurrbart::N,муюк,vuntsid
16,Bart::N,сакал,habe
17,Kinn::N,уло,lõug
18,Kiefer[Anatomie]::N,пейпакар,lõualuu
19,Kiefer[Anatomie]::N,пейловажа,lõualuu
20,Kehle::N,кирьгапарь,kõri
21,Hals::N,кирьга,kael
22,Genick::N,човонь,kukal
23,Kopf::N,пря,pea
24,Rücken::N,копорь,selg
25,Bauch::N,пеке,kõht
26,Nabel::N,почо,naba
27,Busen::N,поте,rind
28,Brust::N,меште,rind
29,Schulter::N,лавтов,õlg
30,Arm::N,кедь,käsivars
31,Ellenbogen::N,кенерепакарь,küünarnukk
32,Hand::N,кедь,käsi
33,Handfläche::N,кедькуншка,pihk
34,Handfläche::N,кедьлапушка,pihk
35,Finger::N,сур,sõrm
36,Fingernagel::N,кенже,küüs
37,Nagel[Anatomie]::N,кенже,küüs
38,Zeh::N,пильге сур,varvas
39,Fuß::N,пильге,jalg
40,Ferse::N,кочкаря,kand
41,Knie::N,эле,põlv
42,Knie::N,эзне,põlv
43,Knie::N,кумажа,põlv
44,Oberschenkel::N,качо,reis
45,Bein::N,пильге,jalg
46,Körper::N,рунго,ihu
47,Körper::N,рунго,keha
48,Haut::N,киське,nahk
49,Blut::N,верь,veri
50,Ader::N,сан,veen
51,Sehne::N,коське сан,kõõlus
52,Knochen::N,пакарь,luu
53,Gehirn::N,удем,aju
54,Herz::N,седей,süda
55,Magen::N,пеке,magu
56,Leber::N,максо,maks
57,Atem::N,лексема,hingeõhk
58,Atem::N,лексема,hingamine
59,Atem::N,оймень таргсема,hingeõhk
60,Atem::N,оймень таргсема,hingamine
61,Hunger::N,вачочи,nälg
62,Träne::N,селведь,pisar
63,Geschmack::N,тансть,maitse
64,Geruch::N,чине,lõhn
65,Schlaf::N,удома,uni
66,Traum::N,он,unenägu
67,Himmel::N,менель,taevas
68,Sonne::N,чи,päike
69,Mond::N,ков,kuu
70,Stern::N,теште,täht
71,Luft::N,кошт,õhk
72,Wind::N,варма,tuul
73,Welle::N,толкун,laine
74,Wasser::N,ведь,vesi
75,Stein::N,кев,kivi
76,Boden::N,мода,maa
77,Boden::N,мода,pinnas
78,Erde::N,мастор,maa
79,Staub::N,пуль,põrm
80,Rauch::N,качамо,suits
81,Funke::N,сятко,säde
82,Feuer::N,тол,tuli
83,Licht::N,валдо,valgus
84,Schatten::N,сулей,vari
85,Schatten::N,сулейкс,vari
86,Wetter::N,ушо,ilm
87,Nebel::N,сув,udu
88,Wolke::N,пель,pilv
89,Regen::N,пиземс,sadu
90,Schnee::N,лов,lumi
91,Eis::N,эй,jää
92,Frost::N,кельме,pakane
93,Kälte::N,якшамо,külm
94,Kälte::N,якшамо,külmus
95,Hitze::N,пси,kuumus
96,Hitze::N,пси,palavus
97,Raureif::N,лекш,härmatis
98,Regenbogen::N,пурьгинечирьке,vikerkaar
99,Regenbogen::N,пурьгинеёнкс,vikerkaar
100,Donner::N,пурьгине,kõu
101,Donner::N,пурьгине,müristamine
102,Strömung::N,чудема,voolus
103,Strömung::N,чудема,jõevool
104,Strömung::N,чудевкс,voolus
105,Strömung::N,чудевкс,jõevool
106,Tropfen::N,петнявкс,tilk
107,Schaum::N,чов,vaht
108,Schmutz::N,рудаз,pori
109,Schmutz::N,рудаз,mustus
110,See::N,эрьке,järv
111,Sumpf::N,чей,soo
112,Moor::N,чей,raba
113,Wiese::N,луга,aas
114,Wiese::N,луга,nurm
115,Wald::N,вирь,mets
116,Hügel::N,губорь,küngas
117,Hügel::N,пандыне,küngas
118,Anhöhe::N,губорь,küngas
119,Anhöhe::N,пандыне,küngas
120,Berg::N,пандо,mägi
121,Gipfel::N,пря,mäetipp
122,Höhle::N,пещера,koobas
123,Abhang::N,пандочама,nõlvak
124,Quelle::N,ушодкс,allikas
125,Bach::N,чудикерькс,oja
126,Fluss::N,лей,jõgi
127,Ufer::N,чире,kallas
128,Küste::N,лейчире,rannik
129,Festland::N,мода,mander
130,Festland::N,мода,maismaa
131,Meer::N,моря,meri
132,Bucht::N,усия,laht
133,Insel::N,усия,saar
134,Blume::N,цеця,lill
135,Gras::N,тикше,rohi
136,Wurzel::N,юр,juur
137,Wurzel::N,ундокс,juur
138,Baum::N,чувто,puu
139,Stamm::N,рунго,tüvi
140,Rinde::N,суд,koor
141,Rinde::N,керь,koor
142,Ast::N,морго,oks
143,Zweig::N,тарад,oks
144,Blatt::N,лопа,leht
145,Birke::N,килей,kask
146,Kiefer[Baum]::N,пиче,mänd
147,Weide[Baum]::N,каль,paju
148,Tanne::N,куз,nulg
149,Horn::N,сюро,sarv
150,Feder::N,толга,sulg
151,Fell::N,пона,karvkate
152,Fell::N,пона,karusnahk
153,Flügel::N,сёлмо,tiib
154,Flügel::N,сёлмо,tiivik
155,Klaue::N,кенже,küüs
156,Kralle::N,кенже,küünis
157,Schwanz::N,пуло,saba
158,Ei::N,ал,muna
159,Nest::N,пизэ,pesa
160,Bau::N,варя,urg
161,Bau::N,пизе,urg
162,Tier::N,ракша,loom
163,Herde::N,стада,kari
164,Kuh::N,скал,lehm
165,Bulle::N,бука,pull
166,Pferd::N,лишме,hobune
167,Schaf::N,реве,lammas
168,Schwein::N,туво,siga
169,Hund::N,пине,koer
170,Hund::N,киска,koer
171,Katze::N,псака,kass
172,Bär::N,овто,karu
173,Eichhörnchen::N,ур,orav
174,Elch::N,сярдо,põder
175,Fuchs::N,ривезь,rebane
176,Hase::N,нумоло,jänes
177,Maus::N,чеерь,hiir
178,Wolf::N,верьгиз,hunt
179,Vogel::N,нармунь,lind
180,Schwarm::N,полк,parv
181,Schwarm::N,стада,parv
182,Huhn::N,сараз,kana
183,Hahn::N,атякш,kukk
184,Gans::N,гала,hani
185,Gans::N,мацей,hani
186,Adler::N,куцькан,kotkas
187,Adler::N,тумоатякш,kotkas
188,Ente::N,яксярго,part
189,Eule::N,корж,kakk
190,Eule::N,корж,öökull
191,Kranich::N,карго,kurg
192,Krähe::N,варака,vares
193,Kuckuck::N,куко,kägu
194,Schwan::N,локсей,luik
195,Fisch::N,кал,kala
196,Barsch::N,окунь,ahven
197,Hecht::N,щука,haug
198,Schlange[Tier]::N,гуй,uss
199,Wurm::N,сукс,uss
200,Wurm::N,сукс,vagel
201,Spinne::N,шанжав,ämblik
202,Ameise::N,коткудав,sipelgas
203,Laus::N,сий,täi
204,Mücke::N,сеське,sääsk
205,Fliege::N,карво,kärbes
206,Schmetterling::N,нимиляв,liblikas
207,Beere::N,умарь,mari
208,Apfel::N,умарь,õun
209,Pilz::N,панго,seen
210,Zwiebel::N,чурька,sibul
211,Saat::N,видьметь,seeme
212,Korn::N,сюро,iva
213,Korn::N,сюро,tera
214,Heu::N,тикше,hein
215,Schale::N,кедь,koor
216,Schale::N,ваткавкс,koor
217,Grube::N,латко,kaevand
218,Falle::N,тувор,lõks
219,Falle::N,тувор,püünis
220,Falle::N,кундамка,lõks
221,Falle::N,кундамка,püünis
222,Schlinge::N,килькш,aas
223,Spur::N,челькс,jälg
224,Spur::N,пильгеки,jälg
225,Asche::N,кулов,tuhk
226,Dreck::N,рудаз,saast
227,Dreck::N,рудаз,mustus
228,Eisen::N,кшни,raud
229,Gold::N,сырне,kuld
230,Silber::N,сия,hõbe
231,Kohle::N,сэдь,süsi
232,Kohle::N,уголия,süsi
233,Glas::N,сулика,klaas
234,Lehm::N,сёвонь,savi
235,Sand::N,човар,liiv
236,Mensch::N,ломань,inimene
237,Mann::N,аля,mees
238,Mann::N,цёраломань,mees
239,Frau::N,ава,naine
240,Kind::N,эйкакш,laps
241,Junge::N,цёрыне,poiss
242,Mädchen::N,тейтерне,tüdruk
243,Familie::N,семия,perekond
244,Großvater::N,покштя,vanaisa
245,Großmutter::N,баба,vanaema
246,Eltern::N,тетят-ават,vanemad
247,Vater::N,тетя,isa
248,Mutter::N,ава,ema
249,Sohn::N,цёра,poeg
250,Tochter::N,тейтерь,tütar
251,Bruder::N,леля,vend
252,Bruder::N,ялакс,vend
253,Schwester::N,сазор,õde
254,Onkel::N,леля,onu
255,Tante::N,патя,tädi
256,Ehemann::N,мирде,mees
257,Ehemann::N,мирде,abikaasa
258,Ehefrau::N,ни,naine
259,Ehefrau::N,ни,abikaasa
260,Freude::N,кеняркс,rõõm
261,Gelächter::N,ракамо,naer
262,Gelächter::N,пейдема,naer
263,Glück::N,уцяска,õnn
264,Kummer::N,рискс,mure
265,Kummer::N,рискс,kurbus
266,Kummer::N,мелявкс,mure
267,Kummer::N,мелявкс,kurbus
268,Wunsch::N,мель,soov
269,Wunsch::N,бажамо,soov
270,Lust::N,бажамо,himu
271,Geist::N,ойме,vaim
272,Gedanke::N,мель,mõte
273,Gedächtnis::N,мель,mälu
274,Verstand::N,прев,aru
275,Verstand::N,прев,mõistus
276,Sinn::N,толк,tähendus
277,Sinn::N,смысла,tähendus
278,Grund::N,тувтал,põhjus
279,Wahrheit::N,видечи,tõde
280,Gespräch::N,кортнема,kõne
281,Gespräch::N,кортнема,vestlus
282,Märchen::N,ёвкс,muinasjutt
283,Erzählung::N,ёвтнема,jutustus
284,Nachricht::N,куля,teade
285,Neuigkeit::N,куля,uudis
286,Name::N,лем,nimi
287,Rätsel::N,содамоёвкс,mõistatus
288,Rede::N,кортамо,kõne
289,Sprache::N,кель,keel
290,Stimme::N,ваигель,hääl
291,Wort::N,вал,sõna
292,Zeichen::N,теште,märk
293,Ruf::N,тердема,hüüe
294,Lärm::N,шалнома,müra
295,Laut::N,вайгель,hääl
296,Ton::N,гайнема,toon
297,Lied::N,моро,laul
298,Ruhe::N,оймамо,rahu
299,Ruhe::N,оймамо,vaikus
300,Leute::N,ломанть,inimesed
301,Volk::N,народ,rahvas
302,Arbeit::N,тев,töö
303,Gast::N,инже,külaline
304,Geschenk::N,казне,kingitus
305,Spiel::N,налксема,mäng
306,Gesellschaft::N,община,selts
307,Hilfe::N,лездамо,abi
308,Freund::N,оя,sõber
309,Freund::N,ялга,sõber
310,Kamerad::N,оя,sõber
311,Kamerad::N,ялга,sõber
312,Angelegenheit::N,тев,asi
313,Anzahl::N,ламоксчи,arv
314,Anzahl::N,ламоксчи,hulk
315,Art::N,вид,liik
316,Stück::N,пакш,tükk
317,Stück::N,пелькс,tükk
318,Teil::N,часть,osa
319,Teil::N,пелькс,osa
320,Hälfte::N,пель,pool
321,Hälfte::N,пелькс,pool
322,Kreis::N,кирькс,ring
323,Kreuz::N,крёст,rist
324,Linie::N,кикс,joon
325,Strich::N,межа,joon
326,Abstand::N,ютко,vahe
327,Entfernung::N,ютко,kaugus
328,Entfernung::N,ютко,vahemaa
329,Gegend::N,тарка,ümbrus
330,Gegend::N,пертьпелькс,ümbrus
331,Platz::N,васолкс,ruum
332,Ort::N,тарка,paik
333,Seite::N,ён,pool
334,Seite::N,чире,pool
335,Mitte::N,куншка,keskpaik
336,Gegenstand::N,предмет,ese
337,Sache::N,тев,ese
338,Sache::N,веща,ese
339,Rand::N,пе,äär
340,Rand::N,пе,serv
341,Rand::N,чире,äär
342,Rand::N,чире,serv
343,Kante::N,ирдез,kant
344,Ecke::N,ужо,nurk
345,Spitze::N,пряне,teravik
346,Spitze::N,пе,teravik
347,Ende::N,пе,ots
348,Ende::N,пе,jupp
349,Loch::N,варя,auk
350,Winkel::N,ужо,nurk
351,Muster::N,сёрма,muster
352,Größe::N,сэрь,suurus
353,Größe::N,покшолма,suurus
354,Länge::N,кувалмо,pikkus
355,Höhe::N,сэрь,kõrgus
356,Höhe::N,пандо,kõrgus
357,Gewicht::N,сталмо,kaal
358,Gewicht::N,сталмо,raskus
359,Menge::N,лововкс,arv
360,Menge::N,лововкс,hulk
361,Haufen::N,мар,hunnik
362,Haufen::N,валявкс,hunnik
363,Reihe::N,ряд,rivi
364,Boot::N,венч,paat
365,Ruder::N,милё,aer
366,Schlitten::N,нурдт,saan
367,Ski::N,сокс,suusk
368,Lagerfeuer::N,толбандя,lõke
369,Last::N,сталмо,koorem
370,Last::N,кандома,koorem
371,Gang::N,молема,käik
372,Gang::N,якамо,käik
373,Schritt::N,эскелькс,samm
374,Norden::N,якшамо ёнкс,põhi
375,Süden::N,лембе ёнкс,lõuna
376,Westen::N,чивалгома,lääs
377,Osten::N,чилисема,ida
378,Holz::N,чувто,puu
379,Brett::N,лаз,saelaud
380,Platte::N,плита,plaat
381,Stütze::N,неже,tugi
382,Stange::N,олга,latt
383,Stange::N,олга,teivas
384,Stock::N,мандо,kepp
385,Stab::N,олога,varras
386,Rohr::N,турба,toru
387,Haus::N,кудо,maja
388,Heim::N,кудо,kodu
389,Ofen::N,каштомо,ahi
390,Fußboden::N,киякс,põrand
391,Tisch::N,столь,laud
392,Stuhl::N,стул,tool
393,Wiege::N,лавсь,häll
394,Wiege::N,лавсь,kätki
395,Wiege::N,нурямот,häll
396,Wiege::N,нурямот,kätki
397,Bett::N,ацамо,voodi
398,Regal::N,лався,riiul
399,Regal::N,лавсяланго,riiul
400,Kiste::N,горобия,kast
401,Kiste::N,сундук,kast
402,Fenster::N,вальма,aken
403,Tür::N,кенкш,uks
404,Tor::N,ортат,värav
405,Zaun::N,пирявт,aed
406,Zaun::N,пирявт,tara
407,Zaun::N,пирвякс,aed
408,Zaun::N,пирвякс,tara
409,Dach::N,кудопря,katus
410,Leiter::N,кузтема,redel
411,Besen::N,тенсть,luud
412,Spaten::N,койме,labidas
413,Schaufel::N,кече,kühvel
414,Schaufel::N,келей койме,kühvel
415,Gabel::N,сянгине,kahvel
416,Löffel::N,пенч,lusikas
417,Messer::N,пеель,nuga
418,Nagel::N,эске,nael
419,Netz::N,алтыма,võrk
420,Haken::N,кечказ,haak
421,Haken::N,кечказ,konks
422,Griff::N,кедне,sang
423,Griff::N,кедне,käepide
424,Schloss::N,замок,lukk
425,Schloss::N,панжома,lukk
426,Bild::N,картина,pilt
427,Figur::N,рунго,kuju
428,Figur::N,рунго,kujund
429,Puppe::N,няка,nukk
430,Beutel::N,кескав,paun
431,Bündel::N,керькс,kimp
432,Tasche::N,юдма,kott
433,Eimer::N,ведра,pang
434,Eimer::N,ведра,ämber
435,Deckel::N,велькс,kaas
436,Geschirr::N,кедьге,nõud
437,Sack::N,кескав,kott
438,Tasse::N,чакш,tass
439,Topf::N,кастрюля,pada
440,Kessel::N,котёл,pada
441,Essen::N,ярсамо,söök
442,Nahrung::N,ярсамопель,toit
443,Speise::N,ярсамопель,roog
444,Fleisch::N,сывель,liha
445,Getreide::N,сюро,teravili
446,Brei::N,каша,puder
447,Brot::N,кши,sai
448,Brot::N,кши,leib
449,Scheibe::N,кочом,viil
450,Scheibe::N,кочом,viilukas
451,Scheibe::N,сускомо,viil
452,Scheibe::N,сускомо,viilukas
453,Fett::N,куя,rasv
454,Butter::N,ой,või
455,Öl::N,ой,õli
456,Salz::N,сал,sool
457,Suppe::N,ям,supp
458,Honig::N,медь,mesi
459,Milch::N,ловсо,piim
460,Tee::N,чай,tee
461,Leder::N,киське,nahk
462,Wolle::N,пона,vill
463,Stoff::N,коцт,kangas
464,Nadel::N,салмукс,nõel
465,Faden::N,суре,niit
466,Knopf::N,пов,nööp
467,Knoten::N,сюлмо,sõlm
468,Farbe::N,артомапель,värv
469,Kleidung::N,оршамот,riided
470,Kleidung::N,оршамот,riietus
471,Hemd::N,панар,särk
