,Concept_ID,cs,en
0,Auge::N,oko,eye
1,Ohr::N,ucho,ear
2,Nase::N,nos,nose
3,Mund::N,pusa,mouth
4,Zahn::N,zub,tooth
5,Zunge::N,jazyk,tongue
6,Lippe::N,ret,lip
7,Wange::N,tvář,cheek
8,Gesicht::N,obličej,face
9,Stirn::N,čelo,forehead
10,Haar::N,vlas,hair
11,Haar::N,vlasy,hair
12,Schnurrbart::N,kníry,moustache
13,Bart::N,vousy,beard
14,Kinn::N,brada,chin
15,Kiefer[Anatomie]::N,čelist,jaw
16,Kehle::N,hrdlo,throat
17,Hals::N,krk,neck
18,Genick::N,týl,nape
19,Kopf::N,hlava,head
20,Rücken::N,záda,back
21,Rücken::N,záda,spine
22,Rücken::N,hřbet,back
23,Rücken::N,hřbet,spine
24,Bauch::N,břicho,belly
25,Nabel::N,pupek,navel
26,Busen::N,ňadra,bosom
27,Brust::N,prsa,chest
28,Brust::N,prsa,breast
29,Schulter::N,plece,shoulder
30,Schulter::N,rameno,shoulder
31,Arm::N,ruka,arm
32,Ellenbogen::N,loket,elbow
33,Hand::N,ruka,hand
34,Handfläche::N,dlaň,palm
35,Finger::N,prst,finger
36,Fingernagel::N,nehet,fingernail
37,Nagel[Anatomie]::N,nehet,nail
38,Zeh::N,prst u nohy,toe
39,Fuß::N,noha,foot
40,Ferse::N,pata,heel
41,Knie::N,koleno,knee
42,Oberschenkel::N,stehno,thigh
43,Bein::N,noha,leg
44,Körper::N,tělo,body
45,Haut::N,kůže,skin
46,Blut::N,krev,blood
47,Ader::N,céva,vein
48,Sehne::N,šlacha,sinew
49,Knochen::N,kost,bone
50,Gehirn::N,mozek,brain
51,Herz::N,srdce,heart
52,Magen::N,žaludek,stomach
53,Leber::N,játra,liver
54,Atem::N,dech,breath
55,Hunger::N,hlad,hunger
56,Träne::N,slza,tear
57,Geschmack::N,vkus,flavour
58,Geschmack::N,vkus,flavor
59,Geruch::N,vůně,odour
60,Geruch::N,vůně,odor
61,Geruch::N,zápach,odour
62,Geruch::N,zápach,odor
63,Schlaf::N,spánek,sleep
64,Traum::N,sen,dream
65,Himmel::N,nebe,sky
66,Sonne::N,slunce,sun
67,Mond::N,měsíc,moon
68,Stern::N,hvězda,star
69,Luft::N,vzduch,air
70,Wind::N,vítr,wind
71,Welle::N,vlna,wave
72,Wasser::N,voda,water
73,Stein::N,kámen,stone
74,Boden::N,půda,soil
75,Boden::N,půda,ground
76,Erde::N,země,earth
77,Staub::N,prach,dust
78,Rauch::N,dým,smoke
79,Rauch::N,kouř,smoke
80,Funke::N,jiskra,spark
81,Feuer::N,oheň,fire
82,Licht::N,světlo,light
83,Schatten::N,stín,shadow
84,Wetter::N,počasí,weather
85,Nebel::N,mlha,fog
86,Wolke::N,mrak,cloud
87,Wolke::N,oblak,cloud
88,Regen::N,déšť,rain
89,Schnee::N,sníh,snow
90,Eis::N,led,ice
91,Frost::N,mráz,frost
92,Kälte::N,chlad,chill
93,Hitze::N,horko,heat
94,Raureif::N,jinovatka,hoarfrost
95,Regenbogen::N,duha,rainbow
96,Donner::N,hrom,thunder
97,Strömung::N,proudění,current
98,Tropfen::N,kapka,drop
99,Schaum::N,pěna,foam
100,Schmutz::N,špína,dirt
101,See::N,jezero,lake
102,Sumpf::N,močál,swamp
103,Sumpf::N,bažina,swamp
104,Moor::N,bažina,moor
105,Moor::N,slatina,moor
106,Wiese::N,louka,meadow
107,Wald::N,les,forest
108,Hügel::N,kopec,hill
109,Anhöhe::N,pahorek,elevation
110,Berg::N,hora,mountain
111,Gipfel::N,vrchol,summit
112,Höhle::N,jeskyně,cave
113,Abhang::N,svah,slope
114,Abhang::N,stráň,slope
115,Quelle::N,pramen,source
116,Bach::N,potok,brook
117,Fluss::N,řeka,river
118,Ufer::N,břeh,shore
119,Küste::N,pobřeží,coast
120,Festland::N,souš,land
121,Festland::N,pevnina,land
122,Meer::N,moře,sea
123,Bucht::N,záliv,cove
124,Bucht::N,zátoka,cove
125,Insel::N,ostrov,island
126,Blume::N,květina,flower
127,Gras::N,tráva,grass
128,Wurzel::N,kořen,root
129,Baum::N,strom,tree
130,Stamm::N,kmen,trunk
131,Rinde::N,kůra,bark
132,Ast::N,větev,limb
133,Zweig::N,větev,branch
134,Blatt::N,lupen,leaf
135,Birke::N,bříza,birch
136,Kiefer[Baum]::N,sosna,pine
137,Kiefer[Baum]::N,borovice,pine
138,Weide[Baum]::N,vrba,willow
139,Tanne::N,jedle,fir
140,Horn::N,roh,horn
141,Feder::N,pero,feather
142,Fell::N,srst,fur
143,Flügel::N,křídlo,wing
144,Klaue::N,dráp,claw
145,Klaue::N,pazneht,claw
146,Kralle::N,dráp,claw
147,Schwanz::N,ocas,tail
148,Ei::N,vejce,egg
149,Nest::N,hnízdo,nest
150,Bau::N,nora,lair
151,Tier::N,zvíře,animal
152,Herde::N,stádo,flock
153,Kuh::N,kráva,cow
154,Bulle::N,býk,bull
155,Pferd::N,kůň,horse
156,Schaf::N,ovce,sheep
157,Schwein::N,vepř,pig
158,Schwein::N,prase,pig
159,Hund::N,pes,dog
160,Katze::N,kočka,cat
161,Bär::N,medvěd,bear
162,Eichhörnchen::N,veverka,squirrel
163,Elch::N,los,elk
164,Fuchs::N,liška,fox
165,Hase::N,zajíc,hare
166,Maus::N,myš,mouse
167,Wolf::N,vlk,wolf
168,Vogel::N,pták,bird
169,Schwarm::N,roj,swarm
170,Schwarm::N,hejno,swarm
171,Huhn::N,kuře,chicken
172,Huhn::N,slepice,chicken
173,Hahn::N,kohout,cock
174,Gans::N,husa,goose
175,Adler::N,orel,eagle
176,Ente::N,kachna,duck
177,Eule::N,sova,owl
178,Kranich::N,jeřáb,crane
179,Krähe::N,vrána,crow
180,Kuckuck::N,kukačka,cuckoo
181,Schwan::N,labuť,swan
182,Fisch::N,ryba,fish
183,Barsch::N,okoun,perch
184,Hecht::N,štika,pike
185,Schlange[Tier]::N,had,snake
186,Wurm::N,červ,worm
187,Spinne::N,pavouk,spider
188,Ameise::N,mravenec,ant
189,Laus::N,veš,louse
190,Mücke::N,komár,midge
191,Fliege::N,moucha,fly
192,Schmetterling::N,motýl,butterfly
193,Beere::N,bobule,berry
194,Apfel::N,jablko,apple
195,Pilz::N,houba,mushroom
196,Zwiebel::N,cibule,onion
197,Saat::N,osivo,seed
198,Korn::N,zrno,grain
199,Heu::N,seno,hay
200,Schale::N,slupka,husk
201,Schale::N,skořápka,husk
202,Grube::N,jáma,pit
203,Falle::N,past,trap
204,Falle::N,léčka,trap
205,Schlinge::N,smyčka,noose
206,Spur::N,stopa,track
207,Asche::N,popel,ashes
208,Dreck::N,špína,filth
209,Eisen::N,železo,iron
210,Gold::N,zlato,gold
211,Silber::N,stříbro,silver
212,Kohle::N,uhlí,coal
213,Glas::N,sklo,glass
214,Lehm::N,jíl,clay
215,Lehm::N,hlína,clay
216,Sand::N,písek,sand
217,Mensch::N,člověk,human
218,Mann::N,muž,man
219,Frau::N,žena,woman
220,Kind::N,dítě,child
221,Junge::N,hoch,boy
222,Junge::N,chlapec,boy
223,Mädchen::N,děvče,girl
224,Familie::N,rodina,family
