,Concept_ID,kl,la
0,Auge::N,isi,oculus
1,Ohr::N,siut,auris
2,Mund::N,paaq,os
3,Mund::N,qaneq,os
4,Zahn::N,kigut,dens
5,Zunge::N,oqaq,lingua
6,Lippe::N,qarloq,labrum
7,Wange::N,ersaq,gena
8,Gesicht::N,kiinaq,vultus
9,Stirn::N,qaaq,frons
10,Haar::N,meqqoq,capillus
11,Bart::N,umik,barba
12,Kinn::N,talloq,mentum
13,Kiefer[Anatomie]::N,alleroq,mala
14,Kehle::N,malaq,iugulums
15,Hals::N,qungaseq,collum
16,Genick::N,pukusuk,cervices
17,Kopf::N,niaqoq,caput
18,Rücken::N,qimerlut,tergum
19,Bauch::N,naaq,venter
20,Nabel::N,qalaseq,umbilicus
21,Busen::N,iviangeq,sinus
22,Brust::N,iviangeq,pectus
23,Schulter::N,ersik,umerus
24,Schulter::N,assaqqoq,umerus
25,Arm::N,taleq,bracchium
26,Ellenbogen::N,ikusik,cubitum
27,Hand::N,assak,manus
28,Handfläche::N,itumak,palma
29,Finger::N,inuak,digitus
30,Fingernagel::N,kikiak,unguiculus
31,Nagel[Anatomie]::N,kukik,unguis
32,Zeh::N,isigak,digitus
33,Ferse::N,kimmik,calx
34,Knie::N,seeqqoq,genu
35,Oberschenkel::N,uppat,femur
36,Oberschenkel::N,quttoraq,femur
37,Bein::N,isigak,crus
38,Körper::N,timi,corpus
39,Haut::N,mattak,cutis
40,Haut::N,mattak,pellis
41,Blut::N,aak,sanguis
42,Ader::N,taqaq,vena
43,Sehne::N,ujalu,nervus
44,Sehne::N,ujaloq,nervus
45,Knochen::N,saanikut,os
46,Gehirn::N,qarasaq,cerebrum
47,Herz::N,uummat,cor
48,Herz::N,uummat,animus
49,Magen::N,aqajaroq,stomachus
50,Leber::N,tinguk,iecur
51,Atem::N,anerneq,spiritus
52,Hunger::N,kaanneq,fames
53,Träne::N,qia,lacrima
54,Träne::N,qiak,lacrima
55,Geschmack::N,qilanaartuut,sapor
56,Geschmack::N,qilanaartuut,gustus
57,Geruch::N,tipi,odor
58,Geruch::N,tipik,odor
59,Traum::N,sinnattoq,somnium
60,Traum::N,sinnattugaq,somnium
61,Himmel::N,qilak,caelum
62,Sonne::N,seqineq,sol
63,Mond::N,qaammat,luna
64,Stern::N,ulloriaq,sidus
65,Stern::N,ulloriaq,stella
66,Luft::N,silaannaq,aer
67,Wind::N,anori,ventus
68,Wind::N,anorsarik,ventus
69,Welle::N,aalappaa,unda
70,Wasser::N,imeq,aqua
71,Stein::N,ujarak,lapis
72,Boden::N,nateq,solum
73,Erde::N,issoq,terra
74,Staub::N,pujualanerit,pulvis
75,Staub::N,pujoralanerit,pulvis
76,Rauch::N,iseq,fumus
77,Rauch::N,pujoq,fumus
78,Funke::N,illoorneq,scintilla
79,Feuer::N,inneq,ignis
80,Licht::N,qaamaneq,lux
81,Licht::N,qaamaneq,lumen
82,Schatten::N,tarraq,umbra
83,Wetter::N,sila,caelum
84,Wetter::N,sila,tempestas
85,Nebel::N,pujoq,nebula
86,Wolke::N,nuia,nubes
87,Regen::N,sialuk,imber
88,Regen::N,sialuk,pluvia
89,Schnee::N,aput,nix
90,Eis::N,siku,glacies
91,Frost::N,issi,gelu
92,Frost::N,issik,gelu
93,Kälte::N,issi,frigus
94,Hitze::N,kianneq,calor
95,Hitze::N,kianneq,aestus
96,Hitze::N,kiassuseq,calor
97,Hitze::N,kiassuseq,aestus
98,Raureif::N,kaneq,pruina
99,Regenbogen::N,neriusaaq,arcus
100,Donner::N,kalleq,tonitrus
101,Tropfen::N,kuseriarneq,gutta
102,Schaum::N,qapuk,spuma
103,Schmutz::N,minguk,sordes
104,Schmutz::N,minguk,squalor
105,See::N,taseq,lacus
106,Sumpf::N,maqulluk,palus
