,Concept_ID,cs,hr
0,Auge::N,oko,oko
1,Ohr::N,ucho,uho
2,Nase::N,nos,nos
3,Mund::N,pusa,usta
4,Zahn::N,zub,zub
5,Zunge::N,jazyk,jezik
6,Lippe::N,ret,usna
7,Wange::N,tvář,obraz
8,Gesicht::N,obličej,lice
9,Stirn::N,čelo,čelo
10,Haar::N,vlas,kosa
11,Haar::N,vlasy,kosa
12,Schnurrbart::N,kníry,brkovi
13,Bart::N,vousy,brada
14,Kinn::N,brada,brada
15,Kinn::N,brada,podbradak
16,Kiefer[Anatomie]::N,čelist,čeljust
17,Kehle::N,hrdlo,grlo
18,Hals::N,krk,vrat
19,Genick::N,týl,zatiljak
20,Kopf::N,hlava,glava
21,Rücken::N,záda,leđa
22,Rücken::N,záda,hrbat
23,Rücken::N,hřbet,leđa
24,Rücken::N,hřbet,hrbat
25,Bauch::N,břicho,trbuh
26,Nabel::N,pupek,pupak
27,Busen::N,ňadra,sisa
28,Busen::N,ňadra,njedra
29,Brust::N,prsa,prsa
30,Schulter::N,plece,rame
31,Schulter::N,plece,pleći
32,Schulter::N,rameno,rame
33,Schulter::N,rameno,pleći
34,Arm::N,ruka,ruka
35,Ellenbogen::N,loket,lakat
36,Hand::N,ruka,ruka
37,Handfläche::N,dlaň,dlan
38,Finger::N,prst,prst
39,Fingernagel::N,nehet,nokat
40,Nagel[Anatomie]::N,nehet,nokat
41,Zeh::N,prst u nohy,nozni prst
42,Fuß::N,noha,noga
43,Fuß::N,noha,stopalo
44,Ferse::N,pata,peta
45,Knie::N,koleno,koljeno
46,Oberschenkel::N,stehno,bedro
47,Bein::N,noha,noga
48,Körper::N,tělo,tijelo
49,Haut::N,kůže,put
50,Haut::N,kůže,koža
51,Blut::N,krev,krv
52,Ader::N,céva,žila
53,Sehne::N,šlacha,tetiva
54,Knochen::N,kost,kost
55,Gehirn::N,mozek,
56,Herz::N,srdce,srce
57,Magen::N,žaludek,stomak
58,Magen::N,žaludek,želudac
59,Leber::N,játra,jetra
60,Atem::N,dech,dah
61,Hunger::N,hlad,glad
62,Träne::N,slza,suza
63,Geschmack::N,vkus,ukus
64,Geruch::N,vůně,njuh
65,Geruch::N,vůně,miris
66,Geruch::N,zápach,njuh
