,Concept_ID,eu,bn
0,Auge::N,begi,চক্ষু
1,Ohr::N,belarri,কর্ণ
2,Nase::N,sudur,নাক
3,Mund::N,aho,মুখ
4,Zahn::N,hortz,দাঁত
5,Zunge::N,mihi,জিহবা
6,Lippe::N,ezpain,অধর
7,Wange::N,masail,গণ্ড
8,Gesicht::N,aurpegi,মুখমণ্ডল
9,Stirn::N,bekoki,কপাল
10,Haar::N,ile,চুল
11,Haar::N,bilo,চুল
12,Schnurrbart::N,bibote,গোঁফ
13,Schnurrbart::N,sudurpeko,গোঁফ
14,Bart::N,bizar,শ্মশ্রু
15,Kinn::N,kokots,চিবুক
16,Kiefer[Anatomie]::N,masailezur,চোয়াল
17,Kehle::N,eztarri,কণ্ঠ
18,Hals::N,sama,গল
19,Genick::N,garondo,ঘাড়
20,Kopf::N,buru,মাথা
21,Rücken::N,bizkar,পৃষ্ঠ
22,Bauch::N,sabel,উদর
23,Nabel::N,zilbor,নাভি
24,Busen::N,titi,স্তন
25,Busen::N,ugatz,স্তন
26,Brust::N,bular,বুক
27,Schulter::N,besaburu,স্কন্ধ
28,Arm::N,beso,বাহু
29,Ellenbogen::N,ukondo,কনুই
30,Hand::N,esku,হাত
31,Handfläche::N,ahur,করতল
32,Finger::N,hatz,আঙ্গুল
33,Fingernagel::N,azazkal,হাতের নখ
34,Nagel[Anatomie]::N,azazkal,নখ
35,Zeh::N,behatz,আঙ্গুল
36,Fuß::N,oin,পা
37,Ferse::N,orpo,গোড়ালি
38,Ferse::N,oinburu,গোড়ালি
39,Knie::N,belaun,হাঁটু
40,Oberschenkel::N,izter,ঊরু
41,Bein::N,zango,পা
42,Körper::N,soin,দেহ
43,Haut::N,azal,ত্বক
44,Blut::N,odol,রক্ত
45,Ader::N,zain,শিরা
46,Sehne::N,gihar-zain,কণ্ডরা
47,Knochen::N,hezur,অস্থি
48,Gehirn::N,garun,মস্তিষ্ক
49,Gehirn::N,burmuin,মস্তিষ্ক
50,Herz::N,bihotz,হৃৎপিণ্ড
51,Magen::N,urdail,পাকস্থলী
52,Leber::N,gibel,যকৃৎ
53,Atem::N,hats,শ্বাস
54,Atem::N,arnasa,শ্বাস
55,Hunger::N,gose,ক্ষুধা
56,Träne::N,malko,অশ্রু
57,Geschmack::N,dasta,স্বাদ
58,Geruch::N,usain,গন্ধ
59,Schlaf::N,lo,ঘুম
60,Traum::N,amets,স্বপ্ন
61,Himmel::N,zeru,আকাশ
62,Sonne::N,eguzki,সূর্য
63,Mond::N,ilargi,চন্দ্র
64,Stern::N,izar,নক্ষত্র
65,Luft::N,aire,বায়ু
66,Wind::N,haize,বাতাস
67,Welle::N,uhin,ঢেউ
68,Welle::N,uhin,তরঙ্গ
69,Welle::N,olatu,ঢেউ
70,Welle::N,olatu,তরঙ্গ
71,Wasser::N,ur,জল
72,Stein::N,harri,ঢিল
73,Stein::N,harri,প্রস্তর
74,Boden::N,lur,ভূতল
75,Boden::N,zoru,ভূতল
76,Erde::N,lur,ভূমি
77,Staub::N,hauts,ধুলা
78,Rauch::N,ke,ধোঁয়া
79,Funke::N,zirta,স্ফুলিঙ্গ
80,Funke::N,txinparta,স্ফুলিঙ্গ
81,Feuer::N,su,অগ্নি
82,Licht::N,argi,আলো
83,Schatten::N,itzal,ছায়া
84,Schatten::N,geriza,ছায়া
85,Wetter::N,eguraldi,আবহাওয়া
86,Nebel::N,laino,কুহেলিকা
87,Wolke::N,hodei,মেঘ
88,Regen::N,euri,বৃষ্টি
89,Schnee::N,elur,তুষার
90,Eis::N,horma,বরফ
91,Frost::N,izotzaldi,তুষার
92,Kälte::N,hotz,শৈত্য
93,Hitze::N,bero,তাপ
94,Raureif::N,antzigar,তুহিন
95,Regenbogen::N,ostadar,রামধনু
96,Regenbogen::N,ortzadar,রামধনু
97,Donner::N,ostots,বজ্রধ্বনি
98,Donner::N,ihurtzuri,বজ্রধ্বনি
99,Strömung::N,laster,স্রোত
100,Tropfen::N,xorta,ফোঁটা
101,Schaum::N,bits,ফেনা
102,Schmutz::N,lohi,ধুলা
103,Schmutz::N,zikin,ধুলা
104,See::N,laku,হ্রদ
105,See::N,aintzira,হ্রদ
106,Sumpf::N,zingira,জলা
107,Moor::N,zohikaztegi,মাঠ
108,Wiese::N,larre,তৃণভূমি
109,Wiese::N,belardi,তৃণভূমি
110,Wald::N,baso,বন
111,Wald::N,oihan,বন
112,Hügel::N,muino,পাহাড়
113,Hügel::N,pentoka,পাহাড়
114,Anhöhe::N,garai,টিলা
115,Anhöhe::N,goragune,টিলা
116,Berg::N,mendi,পর্বত
117,Gipfel::N,gain,শীর্ষ
118,Gipfel::N,tontor,শীর্ষ
119,Höhle::N,kobazulo,গুহা
120,Abhang::N,aldapa,ঢাল
121,Quelle::N,iturri,উৎস
122,Quelle::N,iturbegi,উৎস
123,Bach::N,lats,ক্ষুদ্র নদী
124,Bach::N,erreka,ক্ষুদ্র নদী
125,Fluss::N,ibai,নদী
126,Fluss::N,uhaitz,নদী
127,Ufer::N,bazter,উপকূল
128,Küste::N,itsasalde,তীর
129,Festland::N,lehor,ভূমি
130,Meer::N,itsaso,সমুদ্র
131,Bucht::N,golko,উপসাগর
132,Insel::N,irla,দ্বীপ
133,Insel::N,uharte,দ্বীপ
134,Blume::N,lili,ফুল
135,Gras::N,belar,ঘাস
136,Wurzel::N,zuztar,শিকড়
137,Wurzel::N,sustrai,শিকড়
138,Baum::N,zuhaitz,গাছ
139,Stamm::N,enbor,স্কন্ধ
140,Rinde::N,azal,বল্কল
141,Ast::N,adar,শাখা
142,Zweig::N,abar,ডাল
143,Blatt::N,hosto,পর্ণ
144,Birke::N,urki,ভুর্জ
145,Kiefer[Baum]::N,ler,পাইন গাছ
146,Weide[Baum]::N,zume,উইলো
147,Weide[Baum]::N,sahats,উইলো
148,Tanne::N,izei,দেবদারূ গাছ
149,Horn::N,adar,শিং
150,Feder::N,luma,পালক
151,Feder::N,hegaki,পালক
152,Fell::N,ile,রোম
153,Fell::N,larru,রোম
154,Flügel::N,hego,ডানা
155,Klaue::N,atzapar,নখর
156,Kralle::N,erpe,নখর
157,Kralle::N,atzapar,নখর
158,Schwanz::N,isats,লেজ
159,Schwanz::N,buztan,লেজ
160,Ei::N,arrautza,ডিম
161,Nest::N,habia,কুলায়
162,Bau::N,ohantze,ডেরা
163,Tier::N,abere,জন্তু
164,Tier::N,piztia,জন্তু
165,Herde::N,saldo,ঝাঁক
166,Herde::N,abere talde,ঝাঁক
167,Kuh::N,behi,গোরু
168,Bulle::N,zezen,বৃষ
169,Pferd::N,zaldi,ঘোড়া
170,Schaf::N,ardi,ভেড়া
171,Schwein::N,urde,শূকর
172,Schwein::N,txerri,শূকর
173,Hund::N,txakur,কুকুর
174,Katze::N,katu,বেড়াল
175,Bär::N,hartz,ভল্লুক
176,Eichhörnchen::N,urtxintxa,কাঠবিড়াল
177,Elch::N,altze,হরিণবিশেষ
178,Fuchs::N,azeri,পাঁতিশিয়াল
179,Hase::N,erbi,শশক
180,Maus::N,sagu,নেংটি ইঁদুর
181,Wolf::N,otso,নেকড়ে
182,Vogel::N,txori,পক্ষী
183,Vogel::N,hegazti,পক্ষী
184,Schwarm::N,aldra,ঝাঁক
185,Huhn::N,oilo,মোরগ
186,Hahn::N,oilar,কুক্কুট
187,Gans::N,antzara,হংসী
188,Adler::N,arrano,ইগল
189,Ente::N,ahate,হংসী
190,Eule::N,hontza,পেচক
191,Kranich::N,kurrilo,সারস
192,Krähe::N,bele,কাক
193,Kuckuck::N,kuku,কোকিল
194,Schwan::N,beltxarga,মরাল
195,Fisch::N,arrain,মাছ
196,Barsch::N,perka,মৎন্যবিশেষ
197,Hecht::N,lutxo,বানমাছ
198,Schlange[Tier]::N,suge,সর্প
199,Wurm::N,har,কীট
200,Spinne::N,armiarma,মাকড়সা
201,Ameise::N,inurri,পিপীলিকা
202,Laus::N,zorri,উকুন
203,Mücke::N,eltxo,মশা
204,Fliege::N,euli,মাছি
205,Schmetterling::N,pinpirin,প্রজাপতি
206,Schmetterling::N,tximeleta,প্রজাপতি
207,Beere::N,baia,বেরি
208,Apfel::N,sagar,আপেল
209,Pilz::N,onddo,ছত্রক
210,Pilz::N,perretxiko,ছত্রক
211,Zwiebel::N,tipula,পিয়াজ
212,Saat::N,haziak,বীজ
213,Korn::N,ale,শস্য
214,Korn::N,pikor,শস্য
215,Heu::N,belar ondu,খড়
216,Schale::N,azal,খোসা
217,Grube::N,hobi,গর্ত
218,Falle::N,harrapagailu,ফাঁদ
219,Schlinge::N,bilur,পাশ
220,Schlinge::N,xedera,পাশ
221,Spur::N,lorratz,চিহ্ন
222,Asche::N,errauts,ভস্ম
223,Dreck::N,satsukeria,ময়লা
224,Eisen::N,burdina,লোহা
225,Gold::N,urre,স্বর্ণ
226,Gold::N,urregorri,স্বর্ণ
227,Silber::N,zilar,রৌপ্য
228,Silber::N,urrezuri,রৌপ্য
229,Kohle::N,ikatz,অঙ্গার
230,Glas::N,beira,কাচ
231,Lehm::N,buztin,মৃত্তিকা
232,Sand::N,harea,বালি
233,Sand::N,hondar,বালি
234,Mensch::N,gizaki,নর
235,Mensch::N,gizaki,মানুষ
236,Mann::N,gizon,মানুষ
237,Frau::N,andere,নারী
238,Frau::N,emakume,নারী
239,Kind::N,haur,বাচ্চা
240,Junge::N,mutil,ছেলে
241,Mädchen::N,neska,মেয়ে
242,Familie::N,sendi,পরিবার
243,Familie::N,familia,পরিবার
244,Großvater::N,aitona,মাতামহ
245,Großvater::N,aitatxi,মাতামহ
246,Großmutter::N,amona,মাতামহী
247,Großmutter::N,amatxi,মাতামহী
248,Eltern::N,gurasoak,মাতাপিতা
249,Vater::N,aita,পিতা
250,Mutter::N,ama,মাতা
251,Sohn::N,seme,ছেলে
252,Tochter::N,alaba,মেয়ে
253,Bruder::N,neba,দাদা
254,Bruder::N,anaia,দাদা
255,Schwester::N,ahizpa,বোন
256,Schwester::N,ahizpa,দিদি
257,Onkel::N,osaba,মামা
258,Tante::N,izeba,মাসী
259,Ehemann::N,senar,স্বামী
260,Ehefrau::N,emazte,পত্নী
261,Freude::N,poz,উল্লাস
262,Freude::N,pozkari,উল্লাস
263,Gelächter::N,barre,হাসি
264,Gelächter::N,karkara,হাসি
265,Glück::N,zori,সুখ
266,Kummer::N,xangrin,দুঃখ
267,Kummer::N,atsekabe,দুঃখ
268,Wunsch::N,nahi,আকাঙ্ক্ষা
269,Wunsch::N,nahikunde,আকাঙ্ক্ষা
270,Lust::N,gogo,বাসনা
271,Geist::N,gogo,আত্না
272,Gedanke::N,gogoeta,চিন্তা
273,Gedächtnis::N,oroimen,স্মরণশক্তি
274,Gedächtnis::N,gogoramen,স্মরণশক্তি
275,Verstand::N,adimen,মন
276,Verstand::N,ulermen,মন
277,Sinn::N,zentzu,পদার্থ
278,Grund::N,zergati,কারণ
279,Wahrheit::N,egia,সত্য
280,Gespräch::N,hizketa,কথাবার্তা
281,Gespräch::N,elkarrizketa,কথাবার্তা
282,Märchen::N,ipuin,রূপকথা
283,Erzählung::N,edesti,গল্প
284,Erzählung::N,kontakizun,গল্প
285,Nachricht::N,albiste,তথ্য
286,Neuigkeit::N,berri,খবরাখবর
287,Name::N,izen,নাম
288,Rätsel::N,asmakizun,ধাঁধা
289,Rede::N,hitzaldi,বক্তৃতা
290,Rede::N,mintzaldi,বক্তৃতা
291,Sprache::N,hizkuntza,ভাষা
292,Stimme::N,ahots,স্বর
293,Wort::N,hitz,শব্দ
294,Zeichen::N,agerbide,প্রতীক
295,Zeichen::N,agergarri,প্রতীক
296,Ruf::N,dei,ডাক
297,Lärm::N,zarata,হৈচৈ
298,Lärm::N,harrabots,হৈচৈ
299,Laut::N,hots,ধ্বনি
300,Ton::N,tonu,স্বর
301,Ton::N,soinu,স্বর
302,Lied::N,abesti,গান
303,Ruhe::N,nasaitasun,শান্তি
304,Leute::N,jende,প্রজাপুঞ্জ
305,Volk::N,herri,জাতি
306,Volk::N,populu,জাতি
307,Arbeit::N,lan,চাকরি
308,Gast::N,arrotz,অতিথি
309,Gast::N,apopilo,অতিথি
310,Geschenk::N,opari,উপহার
311,Spiel::N,jolas,খেলা
312,Gesellschaft::N,gizarte,সঙ্গিগণ
313,Hilfe::N,helpide,সাহায্য
314,Hilfe::N,laguntza,সাহায্য
315,Freund::N,lagun,বন্ধু
316,Kamerad::N,adiskide,সঙ্গী
317,Kamerad::N,lagunkide,সঙ্গী
318,Angelegenheit::N,afera,বিষয়
319,Anzahl::N,kopuru,পরিমাণ
320,Art::N,mota,রকম
321,Stück::N,puska,টুকরো
322,Teil::N,atal,অংশ
323,Hälfte::N,erdi,অর্ধেক
324,Kreis::N,biribilki,বৃত্ত
325,Kreuz::N,gurutze,ক্রুশ
326,Linie::N,linea,রেখা
327,Strich::N,marra,কষি
328,Abstand::N,tarte,ফাঁক
329,Entfernung::N,urrunera,ব্যবধান
330,Gegend::N,alderdi,ক্ষেত্র
331,Gegend::N,eskualde,ক্ষেত্র
332,Platz::N,leku,জায়গা
333,Ort::N,toki,স্থান
334,Seite::N,albo,পার্শ্ব
335,Mitte::N,erdi,মধ্য
336,Gegenstand::N,gauzaki,জিনিস
337,Sache::N,gauza,বস্তু
338,Rand::N,ertz,কানা
339,Kante::N,ertz,ধার
340,Ecke::N,kantoi,কোণ
341,Spitze::N,punta,ডগা
342,Ende::N,buru,প্রান্ত
343,Ende::N,mutur,প্রান্ত
344,Loch::N,zulo,গর্ত
345,Winkel::N,zoko,কোণ
346,Winkel::N,bazter,কোণ
347,Muster::N,eredu,নমুন্
