,Concept_ID,ce,cv
0,Auge::N,бӏаьрг,куҫ
1,Ohr::N,лерг,хӑлха
2,Nase::N,мара,сӑмса
3,Mund::N,бага,ҫӑвар
4,Zahn::N,церг,шӑл
5,Zunge::N,мотт,чӗлхе
6,Lippe::N,балда,тута
7,Wange::N,бесни,пит ҫӑмарти
8,Gesicht::N,юьхь,пит
9,Gesicht::N,юьхь,пит-куҫ
10,Stirn::N,хьаж,ҫамка
11,Haar::N,мас,ҫӳҫ
12,Schnurrbart::N,мекх,усси
13,Bart::N,маж,сухал
14,Kinn::N,чӏениг,янах
15,Kiefer[Anatomie]::N,мочхал,янах
16,Kehle::N,къамкъарг,пыр
17,Kehle::N,къамкъарг,карланкӑ
18,Hals::N,ворта,пыр
19,Genick::N,кӏесаркӏаг,ӗнсе
20,Kopf::N,корта,пуҫ
21,Rücken::N,букъ,ҫурӑм
22,Bauch::N,кийра,
23,Nabel::N,цӏонга,кӑвапа
24,Busen::N,зударийн накха,кӑкӑр
25,Brust::N,накха,умӗ
26,Schulter::N,белш,хул пуҫҫи
27,Arm::N,пхьарс,алӑ
28,Ellenbogen::N,пхьаьрсан гола,чавса
29,Hand::N,куьг,алӑ сыппи
30,Handfläche::N,кераюкъ,ал лаппи
31,Finger::N,пӏелг,пӳрне
32,Fingernagel::N,мӏара,чӗрне
33,Nagel[Anatomie]::N,мӏара,чӗрне
34,Zeh::N,кога пӏелг,пӳрне
35,Fuß::N,ког,ура лаппи
36,Ferse::N,кӏажа,кӗле
37,Knie::N,гола,чӗркуҫҫи
38,Oberschenkel::N,варе,пӗҫӗ
39,Bein::N,ког,ура
40,Körper::N,хӏума,ӳт
41,Körper::N,хӏума,ӳт-пӳ
42,Haut::N,чкъор,тир
43,Blut::N,цӏий,юн
44,Ader::N,пха,вена
45,Sehne::N,хьорзам,шӑнӑр
46,Knochen::N,даьӏахк,шӑмӑ
47,Gehirn::N,хье,миме
48,Herz::N,дог,чӗре
49,Magen::N,зорх,хырӑмлӑх
50,Leber::N,доӏах,пӗвер
51,Atem::N,садеӏар,сывлав
52,Hunger::N,мацалла,выҫлӑх
53,Träne::N,бӏаьрхи,куҫҫуль
54,Geschmack::N,чам,техӗм
55,Geruch::N,хьожа,шӑршӑ
56,Schlaf::N,наб,ыйхӑ
57,Traum::N,гӏан,тӗлӗк
58,Himmel::N,стигал,пӗлӗт
59,Sonne::N,малх,хӗвел
60,Mond::N,бутт,уйӑх
61,Stern::N,седа,ҫӑлтӑр
62,Luft::N,xӏаваъ,сывлӑш
63,Wind::N,мох,ҫил
64,Welle::N,тулгӏе,хум
65,Wasser::N,хи,шыв
66,Wasser::N,хи,шыв-шур
67,Stein::N,тӏулг,чул
68,Boden::N,цӏенкъа,тӑпра
69,Erde::N,латта,ҫӗр
70,Staub::N,чан,тусан
71,Rauch::N,кӏур,тӗтӗм
72,Funke::N,суй,хӗм
73,Feuer::N,цӏе,вут
74,Feuer::N,цӏе,ҫулӑм
75,Licht::N,серло,ҫутӑ
76,Schatten::N,ӏиндагӏ,сулхӑн
77,Wetter::N,хенан хӏоттам,ҫанталӑк
78,Nebel::N,дохк,тӗтре
79,Wolke::N,марха,пӗлӗт
80,Regen::N,догӏа,ҫумӑр
81,Schnee::N,ло,юр
82,Eis::N,ша,пӑр
83,Frost::N,шело,сивӗ
84,Kälte::N,шело,сивӗ
85,Hitze::N,йовхо,вӗри
86,Hitze::N,йовхо,шӑрӑх
87,Raureif::N,йис,пас
88,Regenbogen::N,стелаӏад,асамат кӗперӗ
89,Donner::N,ткъес,аслати
90,Strömung::N,дӏаэхар,юхӑ
91,Strömung::N,дӏасалелар,юхӑ
92,Tropfen::N,тӏадам,тумлам
93,Schaum::N,чопа,кӑпӑк
94,Schmutz::N,хатт,пылчӑк
95,See::N,ӏам,кӳлӗ
96,Sumpf::N,уьшал,шур
97,Sumpf::N,уьшал,шурлӑх
98,Moor::N,уьшал,торфлӑ шурлӑх
99,Wiese::N,бай,улӑх
100,Wiese::N,бай,ҫаран
101,Wald::N,хьун,вӑрман
102,Hügel::N,гу,сӑрт
103,Hügel::N,гу,тӗмеске
104,Hügel::N,шу,сӑрт
105,Hügel::N,шу,тӗмеске
106,Hügel::N,барз,сӑрт
107,Hügel::N,барз,тӗмеске
108,Anhöhe::N,акъари,сӑрт
109,Berg::N,лам,ту
110,Gipfel::N,бохь,тӳпе
111,Höhle::N,хьех,ҫӗр хӑвӑлӗ
112,Abhang::N,басе,тӑвайкки
113,Quelle::N,шовда,ҫӑл куҫ
114,Bach::N,татол,пӗчӗк шыв
115,Fluss::N,хи,юхан шыв
116,Ufer::N,хийист,ҫыран
117,Küste::N,йист,тинӗс ҫыранӗ
118,Festland::N,латта,тип ҫӗр
119,Meer::N,xӏорд,тинӗс
120,Bucht::N,чож,тинӗс кукӑрӗ
121,Insel::N,гӏайре,утрав
122,Blume::N,зезаг,чечек
123,Gras::N,буц,курӑк
124,Wurzel::N,орам,тымар
125,Baum::N,дитт,йывӑҫ
126,Stamm::N,гӏад,вулӑ
127,Stamm::N,тайпа,вулӑ
