,Concept_ID,nl,he
0,Auge::N,oog,עין
1,Ohr::N,oor,אזן
2,Nase::N,neus,אף
3,Nase::N,neus,חטם
4,Mund::N,mond,פה
5,Zahn::N,tand,שן
6,Zunge::N,tong,לשון
7,Lippe::N,lip,שפה
8,Wange::N,wang,לחי
9,Gesicht::N,gelaat,פנים
10,Gesicht::N,gezicht,פנים
11,Stirn::N,voorhoofd,מצח
12,Haar::N,haar,שערה
13,Schnurrbart::N,snor,שפם
14,Bart::N,baard,זקן
15,Kinn::N,kin,סנטר
16,Kiefer[Anatomie]::N,kaak,לסת
17,Kehle::N,keel,גרון
18,Kehle::N,strot,גרון
19,Hals::N,hals,צואר
20,Genick::N,nek,ערף
21,Kopf::N,hoofd,ראש
22,Rücken::N,rug,גב
23,Bauch::N,buik,בטן
24,Nabel::N,navel,טבור
25,Busen::N,boezem,שד
26,Brust::N,borst,חזה
27,Schulter::N,schouder,כתף
28,Arm::N,arm,זרוע
29,Ellenbogen::N,elleboog,מרפק
30,Hand::N,hand,יד
31,Handfläche::N,handpalm,כף יד
32,Finger::N,vinger,אצבע
33,Fingernagel::N,nagel,צפרן
34,Nagel[Anatomie]::N,nagel,צפרן
35,Zeh::N,teen,אצבע
36,Fuß::N,voet,רגל
37,Ferse::N,hak,עקב
38,Ferse::N,hiel,עקב
39,Knie::N,knie,ברך
40,Oberschenkel::N,dij,ירך
41,Bein::N,been,רגל
42,Körper::N,lichaam,גוף
43,Haut::N,huid,עור
44,Blut::N,bloed,דם
45,Ader::N,ader,וריד
46,Sehne::N,pees,גיד
47,Knochen::N,bot,עצם
48,Knochen::N,been,עצם
49,Knochen::N,knook,עצם
50,Gehirn::N,hersenen,מוח
51,Herz::N,hart,לב
52,Magen::N,maag,קבה
53,Leber::N,lever,כבד
54,Atem::N,adem,נשימה
55,Hunger::N,honger,רעב
56,Träne::N,traan,דמעה
57,Geschmack::N,smaak,טעם
58,Geruch::N,geur,ריח
59,Schlaf::N,slaap,שנה
60,Traum::N,droom,חלום
61,Himmel::N,hemel,שמים
62,Sonne::N,zon,שמש
63,Mond::N,maan,ירח
64,Stern::N,ster,כוכב
65,Luft::N,lucht,אויר
66,Wind::N,wind,רוח
67,Welle::N,golf,גל
68,Wasser::N,water,מים
69,Stein::N,steen,אבן
70,Boden::N,grond,קרקע
71,Erde::N,aarde,אדמה
72,Staub::N,stof,אבק
73,Rauch::N,rook,עשן
74,Funke::N,vonk,ניצוץ
75,Feuer::N,vuur,אש
76,Licht::N,licht,אור
77,Schatten::N,schaduw,צל
78,Wetter::N,weer,מזג אויר
79,Nebel::N,mist,ערפל
80,Nebel::N,nevel,ערפל
81,Wolke::N,wolk,ענן
82,Regen::N,regen,גשם
83,Schnee::N,sneeuw,שלג
84,Eis::N,ijs,קרח
85,Frost::N,vorst,צנה
86,Kälte::N,kou,קר
87,Kälte::N,koude,קר
88,Hitze::N,hitte,חם
89,Raureif::N,rijp,כפור
90,Regenbogen::N,regenboog,קשת
91,Donner::N,donder,רעם
92,Strömung::N,stroming,זרימה
93,Tropfen::N,druppel,טפה
94,Schaum::N,schuim,קצף
95,Schmutz::N,vuil,לכלוך
96,See::N,meer,אגם
97,Sumpf::N,moeras,בצה
98,Moor::N,veen,בצה
