,Concept_ID,en,ce
0,Auge::N,eye,бӏаьрг
1,Ohr::N,ear,лерг
2,Nase::N,nose,мара
3,Mund::N,mouth,бага
4,Zahn::N,tooth,церг
5,Zunge::N,tongue,мотт
6,Lippe::N,lip,балда
7,Wange::N,cheek,бесни
8,Gesicht::N,face,юьхь
9,Stirn::N,forehead,хьаж
10,Haar::N,hair,мас
11,Schnurrbart::N,moustache,мекх
12,Bart::N,beard,маж
13,Kinn::N,chin,чӏениг
14,Kiefer[Anatomie]::N,jaw,мочхал
15,Kehle::N,throat,къамкъарг
16,Hals::N,neck,ворта
17,Genick::N,nape,кӏесаркӏаг
18,Kopf::N,head,корта
19,Rücken::N,back,букъ
20,Rücken::N,spine,букъ
21,Bauch::N,belly,кийра
22,Nabel::N,navel,цӏонга
23,Busen::N,bosom,зударийн накха
24,Brust::N,chest,накха
25,Brust::N,breast,накха
26,Schulter::N,shoulder,белш
27,Arm::N,arm,пхьарс
28,Ellenbogen::N,elbow,пхьаьрсан гола
29,Hand::N,hand,куьг
30,Handfläche::N,palm,кераюкъ
31,Finger::N,finger,пӏелг
32,Fingernagel::N,fingernail,мӏара
33,Nagel[Anatomie]::N,nail,мӏара
34,Zeh::N,toe,кога пӏелг
35,Fuß::N,foot,ког
36,Ferse::N,heel,кӏажа
37,Knie::N,knee,гола
38,Oberschenkel::N,thigh,варе
39,Bein::N,leg,ког
40,Körper::N,body,хӏума
41,Haut::N,skin,чкъор
42,Blut::N,blood,цӏий
43,Ader::N,vein,пха
44,Sehne::N,sinew,хьорзам
45,Knochen::N,bone,даьӏахк
46,Gehirn::N,brain,хье
47,Herz::N,heart,дог
48,Magen::N,stomach,зорх
49,Leber::N,liver,доӏах
50,Atem::N,breath,садеӏар
51,Hunger::N,hunger,мацалла
52,Träne::N,tear,бӏаьрхи
53,Geschmack::N,flavour,чам
54,Geschmack::N,flavor,чам
55,Geruch::N,odour,хьожа
56,Geruch::N,odor,хьожа
57,Schlaf::N,sleep,наб
58,Traum::N,dream,гӏан
59,Himmel::N,sky,стигал
60,Sonne::N,sun,малх
61,Mond::N,moon,бутт
62,Stern::N,star,седа
63,Luft::N,air,xӏаваъ
64,Wind::N,wind,мох
65,Welle::N,wave,тулгӏе
66,Wasser::N,water,хи
67,Stein::N,stone,тӏулг
68,Boden::N,soil,цӏенкъа
69,Boden::N,ground,цӏенкъа
70,Erde::N,earth,латта
71,Staub::N,dust,чан
72,Rauch::N,smoke,кӏур
73,Funke::N,spark,суй
74,Feuer::N,fire,цӏе
75,Licht::N,light,серло
76,Schatten::N,shadow,ӏиндагӏ
77,Wetter::N,weather,хенан хӏоттам
78,Nebel::N,fog,дохк
79,Wolke::N,cloud,марха
80,Regen::N,rain,догӏа
81,Schnee::N,snow,ло
82,Eis::N,ice,ша
83,Frost::N,frost,шело
84,Kälte::N,chill,шело
85,Hitze::N,heat,йовхо
86,Raureif::N,hoarfrost,йис
87,Regenbogen::N,rainbow,стелаӏад
88,Donner::N,thunder,ткъес
89,Strömung::N,current,дӏаэхар
90,Strömung::N,current,дӏасалелар
91,Tropfen::N,drop,тӏадам
92,Schaum::N,foam,чопа
93,Schmutz::N,dirt,хатт
94,See::N,lake,ӏам
95,Sumpf::N,swamp,уьшал
96,Moor::N,moor,уьшал
97,Wiese::N,meadow,бай
98,Wald::N,forest,хьун
99,Hügel::N,hill,гу
100,Hügel::N,hill,шу
101,Hügel::N,hill,барз
102,Anhöhe::N,elevation,акъари
103,Berg::N,mountain,лам
104,Gipfel::N,summit,бохь
105,Höhle::N,cave,хьех
106,Abhang::N,slope,басе
107,Quelle::N,source,шовда
108,Bach::N,brook,татол
109,Fluss::N,river,хи
110,Ufer::N,shore,хийист
111,Küste::N,coast,йист
112,Festland::N,land,латта
113,Meer::N,sea,xӏорд
114,Bucht::N,cove,чож
115,Insel::N,island,гӏайре
116,Blume::N,flower,зезаг
117,Gras::N,grass,буц
118,Wurzel::N,root,орам
119,Baum::N,tree,дитт
120,Stamm::N,trunk,гӏад
121,Stamm::N,trunk,тайпа
122,Rinde::N,bark,кевстиг
123,Ast::N,limb,га
124,Zweig::N,branch,га
125,Blatt::N,leaf,гӏа
126,Birke::N,birch,дакх
127,Kiefer[Baum]::N,pine,бага
128,Weide[Baum]::N,willow,дак
129,Tanne::N,fir,база
130,Horn::N,horn,маӏа
131,Feder::N,feather,пелаг
132,Fell::N,fur,цӏока
133,Flügel::N,wing,тӏам
134,Klaue::N,claw,мӏара
135,Kralle::N,claw,тlод
136,Schwanz::N,tail,цӏога
137,Ei::N,egg,xӏoa
138,Nest::N,nest,бен
139,Bau::N,lair,lуьрг
140,Tier::N,animal,дийнат
141,Herde::N,flock,жа
142,Kuh::N,cow,етт
143,Bulle::N,bull,сту
144,Pferd::N,horse,говр
145,Schaf::N,sheep,жий
146,Schaf::N,sheep,уьстагӏ
147,Schwein::N,pig,хьакха
148,Hund::N,dog,жӏаьла
149,Katze::N,cat,цициг
150,Bär::N,bear,ча
151,Eichhörnchen::N,squirrel,тарсал
152,Elch::N,elk,сай
153,Fuchs::N,fox,цхьогал
154,Hase::N,hare,пхьагал
155,Maus::N,mouse,дахка
156,Wolf::N,wolf,борз
157,Vogel::N,bird,олхазар
158,Schwarm::N,swarm,
159,Huhn::N,chicken,котам
160,Hahn::N,cock,нӏаьна
161,Hahn::N,cock,боргӏал
162,Gans::N,goose,гӏаз
163,Adler::N,eagle,aьрзу
164,Ente::N,duck,бад
165,Eule::N,owl,бухӏа
166,Kranich::N,crane,гӏаргӏули
167,Krähe::N,crow,къиг
168,Kuckuck::N,cuckoo,aттйокх
169,Schwan::N,swan,гӏургӏаз
170,Fisch::N,fish,чӏара
171,Barsch::N,perch,окунь
172,Hecht::N,pike,гӏазкхийн чӏара
173,Schlange[Tier]::N,snake,лаьхьа
174,Wurm::N,worm,нӏаьна
175,Spinne::N,spider,гезг
176,Ameise::N,ant,зингат
177,Laus::N,louse,меза
178,Laus::N,louse,гӏениг
179,Mücke::N,midge,чуьрк
180,Fliege::N,fly,моза
181,Schmetterling::N,butterfly,полла
182,Beere::N,berry,цӏазам
183,Apfel::N,apple,ӏаж
184,Pilz::N,mushroom,жӏаьлин нускал
185,Zwiebel::N,onion,xох
186,Saat::N,seed,чlу
187,Korn::N,grain,буьртиг
188,Heu::N,hay,йол
189,Schale::N,husk,пардо
190,Grube::N,pit,ор
191,Falle::N,trap,кӏело
192,Schlinge::N,noose,
193,Spur::N,track,лар
194,Asche::N,ashes,чим
195,Dreck::N,filth,мода
196,Eisen::N,iron,эчиг
197,Gold::N,gold,деши
