,Concept_ID,tr,nl
0,Auge::N,göz,oog
1,Ohr::N,kulak,oor
2,Nase::N,burun,neus
3,Mund::N,ağız,mond
4,Zahn::N,diş,tand
5,Zunge::N,dil,tong
6,Lippe::N,dudak,lip
7,Wange::N,yanak,wang
8,Gesicht::N,yüz,gelaat
9,Gesicht::N,yüz,gezicht
10,Stirn::N,alın,voorhoofd
11,Haar::N,saç,haar
12,Schnurrbart::N,bıyık,snor
13,Bart::N,sakal,baard
14,Kinn::N,çene,kin
15,Kiefer[Anatomie]::N,çene,kaak
16,Kehle::N,boğaz,keel
17,Kehle::N,boğaz,strot
18,Hals::N,boyun,hals
19,Hals::N,gerdan,hals
20,Genick::N,ense,nek
21,Kopf::N,baş,hoofd
22,Kopf::N,kafa,hoofd
23,Rücken::N,arka,rug
24,Bauch::N,karın,buik
25,Nabel::N,göbek,navel
26,Busen::N,koyun,boezem
27,Brust::N,göğüs,borst
28,Schulter::N,omuz,schouder
29,Arm::N,kol,arm
30,Ellenbogen::N,dirsek,elleboog
31,Hand::N,el,hand
32,Handfläche::N,avuç,handpalm
33,Handfläche::N,el ayası,handpalm
34,Finger::N,parmak,vinger
35,Fingernagel::N,el tırnağı,nagel
36,Nagel[Anatomie]::N,tırnak,nagel
37,Zeh::N,ayak parmağı,teen
38,Fuß::N,ayak,voet
39,Ferse::N,topuk,hak
40,Ferse::N,topuk,hiel
41,Knie::N,diz,knie
42,Oberschenkel::N,uyluk,dij
43,Bein::N,bacak,been
44,Körper::N,vücut,lichaam
45,Haut::N,cilt,huid
46,Blut::N,kan,bloed
47,Ader::N,damar,ader
48,Sehne::N,kiriş,pees
49,Knochen::N,kemik,bot
50,Knochen::N,kemik,been
51,Knochen::N,kemik,knook
52,Gehirn::N,beyin,hersenen
53,Herz::N,kalp,hart
54,Herz::N,yürek,hart
55,Magen::N,mide,maag
56,Leber::N,karaciğer,lever
57,Atem::N,nefes,adem
58,Hunger::N,açlık,honger
59,Träne::N,gözyaşı,traan
60,Geschmack::N,tat,smaak
61,Geschmack::N,lezzet,smaak
62,Geruch::N,koku,geur
63,Schlaf::N,uyku,slaap
64,Traum::N,düş,droom
65,Traum::N,rüya,droom
66,Himmel::N,gök,hemel
67,Sonne::N,güneş,zon
68,Mond::N,ay,maan
69,Stern::N,yıldız,ster
70,Luft::N,hava,lucht
71,Wind::N,yel,wind
72,Wind::N,rüzgâr,wind
73,Welle::N,dalga,golf
74,Wasser::N,su,water
