,Concept_ID,ka,bn
148,Ei::N,კვერცხი,ডিম
149,Nest::N,ბუდე,কুলায়
150,Bau::N,სორო,ডেরা
151,Tier::N,ნადირი,জন্তু
152,Tier::N,ცხოველი,জন্তু
153,Herde::N,ფარა,ঝাঁক
154,Kuh::N,ფური,গোরু
155,Kuh::N,ძროხა,গোরু
156,Bulle::N,ხარი,বৃষ
157,Pferd::N,რაში,ঘোড়া
158,Pferd::N,ცხენი,ঘোড়া
159,Schaf::N,ცხვარი,ভেড়া
160,Schwein::N,ღორი,শূকর
161,Hund::N,ძაღლი,কুকুর
162,Katze::N,კატა,বেড়াল
163,Bär::N,დათვი,ভল্লুক
164,Eichhörnchen::N,ციყვი,কাঠবিড়াল
165,Elch::N,ცხენ-ირემი,হরিণবিশেষ
166,Fuchs::N,მელა,পাঁতিশিয়াল
167,Hase::N,კურდღელი,শশক
168,Maus::N,თაგვი,নেংটি ইঁদুর
169,Wolf::N,მგელი,নেকড়ে
170,Vogel::N,ჩიტი,পক্ষী
171,Vogel::N,ფრინველი,পক্ষী
172,Schwarm::N,გუნდი,ঝাঁক
173,Huhn::N,დედალი,মোরগ
174,Hahn::N,მამალი,কুক্কুট
175,Gans::N,ბატი,হংসী
176,Adler::N,არწივი,ইগল
177,Ente::N,იხვი,হংসী
178,Eule::N,ბუ,পেচক
179,Kranich::N,წერო,সারস
180,Krähe::N,ყვავი,কাক
181,Kuckuck::N,გუგული,কোকিল
182,Schwan::N,გედი,মরাল
183,Fisch::N,თევზი,মাছ
184,Barsch::N,ქორჭილა,মৎন্যবিশেষ
185,Hecht::N,ქარიყლაპია,বানমাছ
186,Schlange[Tier]::N,გველი,সর্প
187,Wurm::N,ჭია,কীট
188,Spinne::N,ობობა,মাকড়সা
189,Ameise::N,ჭიანჭველა,পিপীলিকা
190,Laus::N,ტილი,উকুন
191,Laus::N,მკბენარი,উকুন
192,Mücke::N,კოღო,মশা
193,Fliege::N,ბუზი,মাছি
194,Schmetterling::N,პეპელა,প্রজাপতি
195,Beere::N,კენკრა,বেরি
196,Apfel::N,ვაშლი,আপেল
197,Pilz::N,სოკო,ছত্রক
198,Zwiebel::N,ხახვი,পিয়াজ
199,Saat::N,თესლი,বীজ
200,Korn::N,მარცვალი,শস্য
201,Heu::N,თივა,খড়
202,Schale::N,ჩენჩო,খোসা
203,Grube::N,ორმო,গর্ত
204,Falle::N,ხაფანგი,ফাঁদ
205,Schlinge::N,მახე,পাশ
206,Spur::N,კვალი,চিহ্ন
207,Asche::N,ფერფლი,ভস্ম
208,Dreck::N,ტალახი,ময়লা
209,Dreck::N,სიბინძურე,ময়লা
210,Eisen::N,რკინა,লোহা
211,Gold::N,ოქრო,স্বর্ণ
212,Silber::N,ვერცხლი,রৌপ্য
213,Kohle::N,ნახშირი,অঙ্গার
214,Glas::N,მინა,কাচ
215,Lehm::N,თიხა,মৃত্তিকা
216,Sand::N,ქვიშა,বালি
217,Mensch::N,ადამიანი,নর
218,Mensch::N,ადამიანი,মানুষ
219,Mann::N,კაცი,মানুষ
220,Frau::N,ქალი,নারী
221,Kind::N,ბავშვი,বাচ্চা
222,Junge::N,ვაჟი,ছেলে
223,Mädchen::N,გოგო,মেয়ে
224,Familie::N,ოჯახი,পরিবার
225,Großvater::N,პაპა,মাতামহ
226,Großvater::N,ბაბუა,মাতামহ
227,Großmutter::N,ბებია,মাতামহী
228,Großmutter::N,დიდედა,মাতামহী
229,Eltern::N,მშობლები,মাতাপিতা
230,Vater::N,მამა,পিতা
231,Mutter::N,დედა,মাতা
232,Sohn::N,ვაჟიშვილი,ছেলে
233,Tochter::N,ქალიშვილი,মেয়ে
234,Bruder::N,ძმა,দাদা
235,Schwester::N,და,বোন
236,Schwester::N,და,দিদি
237,Onkel::N,ბიძა,মামা
238,Tante::N,დეიდა,মাসী
239,Tante::N,მამიდა,মাসী
240,Ehemann::N,ქმარი,স্বামী
241,Ehefrau::N,ცოლი,পত্নী
242,Freude::N,სიხარული,উল্লাস
243,Gelächter::N,სიცილი,হাসি
244,Glück::N,ბედნიერება,সুখ
245,Kummer::N,მწუხარება,দুঃখ
246,Wunsch::N,წადილი,আকাঙ্ক্ষা
247,Wunsch::N,სურვილი,আকাঙ্ক্ষা
248,Lust::N,წადილი,বাসনা
249,Geist::N,სული,আত্না
250,Gedanke::N,ფიქრი,চিন্তা
251,Gedächtnis::N,მეხსიერება,স্মরণশক্তি
252,Verstand::N,ჭკუა,মন
253,Verstand::N,გონება,মন
254,Sinn::N,მნიშვნელობა,পদার্থ
255,Grund::N,მიზეზი,কারণ
256,Wahrheit::N,სიმართლე,সত্য
257,Wahrheit::N,ჭეშმარიტება,সত্য
258,Gespräch::N,ბაასი,কথাবার্তা
259,Gespräch::N,საუბარი,কথাবার্তা
260,Märchen::N,არაკი,রূপকথা
261,Märchen::N,ზღაპარი,রূপকথা
262,Erzählung::N,თქმულება,গল্প
263,Nachricht::N,ცნობა,তথ্য
264,Nachricht::N,ამბავი,তথ্য
265,Neuigkeit::N,სიახლე,খবরাখবর
266,Name::N,სახელი,নাম
267,Rätsel::N,გამოცანა,ধাঁধা
268,Rede::N,სიტყვა,বক্তৃতা
269,Sprache::N,ენა,ভাষা
270,Stimme::N,ხმა,স্বর
271,Wort::N,სიტყვა,শব্দ
272,Zeichen::N,ნიშანი,প্রতীক
273,Ruf::N,ძახილი,ডাক
274,Lärm::N,ხმაური,হৈচৈ
275,Laut::N,ხმა,ধ্বনি
276,Laut::N,ბგერა,ধ্বনি
277,Ton::N,ტონი,স্বর
278,Lied::N,სიმღერა,গান
279,Ruhe::N,სიწყნარე,শান্তি
280,Leute::N,ადამიანები,প্রজাপুঞ্জ
281,Volk::N,ერი,জাতি
282,Volk::N,ხალხი,জাতি
283,Arbeit::N,მუშაობა,চাকরি
284,Gast::N,სტუმარი,অতিথি
285,Geschenk::N,საჩუქარი,উপহার
286,Spiel::N,თამაში,খেলা
287,Gesellschaft::N,საზოგადოება,সঙ্গিগণ
288,Hilfe::N,შველა,সাহায্য
289,Hilfe::N,დახმარება,সাহায্য
290,Freund::N,მეგობარი,বন্ধু
291,Kamerad::N,ამხანაგი,সঙ্গী
292,Angelegenheit::N,საქმე,বিষয়
293,Anzahl::N,ოდენობა,পরিমাণ
294,Art::N,სახეობა,রকম
295,Stück::N,ნატეხი,টুকরো
296,Teil::N,წილი,অংশ
297,Hälfte::N,ნახევარი,অর্ধেক
298,Kreis::N,წრე,বৃত্ত
299,Kreuz::N,ჯვარი,ক্রুশ
300,Linie::N,ხაზი,রেখা
301,Strich::N,შტრიხი,কষি
302,Abstand::N,მანძილი,ফাঁক
303,Entfernung::N,სიშორე,ব্যবধান
304,Gegend::N,არე,ক্ষেত্র
305,Gegend::N,მხარე,ক্ষেত্র
306,Platz::N,ფართობი,জায়গা
307,Ort::N,ადგილი,স্থান
308,Seite::N,მხარე,পার্শ্ব
309,Mitte::N,შუა,মধ্য
310,Gegenstand::N,საგანი,জিনিস
311,Sache::N,ნივთი,বস্তু
312,Rand::N,კიდე,কানা
313,Kante::N,ნაწიბული,ধার
314,Ecke::N,კუთხე,কোণ
315,Spitze::N,წვეტი,ডগা
316,Ende::N,ბოლო,প্রান্ত
317,Loch::N,ხვრელი,গর্ত
318,Winkel::N,კუთხე,কোণ
319,Muster::N,მოხატულობა,নমুন্
320,Größe::N,ზომა,আয়তন
321,Größe::N,სიდიდე,আয়তন
322,Länge::N,სიგრძე,দৈর্ঘ্য
323,Höhe::N,სიმაღლე,উচ্চতা
324,Gewicht::N,წონა,ওজন
325,Menge::N,რაოდენობა,পরিমাণ
326,Haufen::N,გროვა,পুঞ্জ
327,Reihe::N,რიგი,শ্রেণী
328,Reihe::N,წყება,শ্রেণী
329,Boot::N,გემი,নৌকা
330,Ruder::N,ხოფი,দাঁড়
331,Ruder::N,ნიჩაბი,দাঁড়
332,Schlitten::N,მარხილი,স্নেজ্-গাড়ি
333,Ski::N,თხილამური,শী
334,Lagerfeuer::N,კოცონი,অগ্নি
335,Last::N,ტვირთი,বোঝা
336,Gang::N,სვლა,হণ্টন
337,Schritt::N,ბიჯი,পদ
338,Norden::N,ჩრდილოეთი,উত্তরদিক্
339,Süden::N,სამხრეთი,দক্ষিণদিক
340,Westen::N,დასავლეთი,পশ্চিমদিক্
341,Osten::N,აღმოსავლეთი,পূর্বদিক
342,Holz::N,ხე,কাঠ
343,Brett::N,დაფა,তক্তা
344,Brett::N,ფიცარი,তক্তা
345,Platte::N,თლილი ქვა,ফলক
346,Stütze::N,საყრდენი,নাগদণ্ড
347,Stange::N,ჭოკი,দণ্ড
348,Stock::N,კეტი,ছড়ি
349,Stab::N,ლატანი,যষ্টি
350,Rohr::N,მილაკი,নল
351,Haus::N,სახლი,ঘর
352,Heim::N,ოჯახის კერა,বাসা
353,Ofen::N,ღუმელი,স্টোভ্
354,Fußboden::N,იატაკი,গহতল
355,Tisch::N,სუფრა,মেজ
356,Tisch::N,სუფრა,টেবিল
357,Tisch::N,მაგიდა,মেজ
358,Tisch::N,მაგიდა,টেবিল
359,Stuhl::N,სკამი,চেয়ার
360,Stuhl::N,სკამი,কেদারা
361,Wiege::N,აკვანი,দোলনা
362,Bett::N,საწოლი,শয্যা
363,Bett::N,სარეცელი,শয্যা
364,Regal::N,თაროები,তাক
365,Kiste::N,ყუთი,বাক্স
366,Kiste::N,სკივრი,বাক্স
367,Fenster::N,ფანჯარა,জানালা
368,Fenster::N,სარკმელი,জানালা
369,Tür::N,ბჭე,দ্বার
370,Tür::N,კარი,দ্বার
371,Tor::N,ჭიშკარი,দ্বার
372,Zaun::N,ღობე,বেড়া
373,Zaun::N,გალავანი,বেড়া
374,Dach::N,სახურავი,ছাদ
375,Leiter::N,კიბე,মই
376,Besen::N,ცოცხი,গুল্মবিশেষ
377,Spaten::N,ნიჩაბი,কোদাল
378,Schaufel::N,ბარი,বেলচা
379,Gabel::N,ჩანგალი,কাঁটা
380,Löffel::N,კოვზი,চামচ
381,Messer::N,დანა,ছুরি
382,Nagel::N,ლურსმანი,পেরেক
383,Netz::N,ბადე,জাল
384,Haken::N,კავი,কাচি
385,Haken::N,კაუჭი,কাচি
386,Griff::N,ტარი,হাতল
387,Schloss::N,კლიტე,তালা
388,Schloss::N,საკეტი,তালা
389,Bild::N,სურათი,ছবি
390,Bild::N,სურათი,চিত্র
391,Figur::N,ფიგურა,আকার
392,Puppe::N,თოჯინა,পুতুল
393,Beutel::N,პარკი,বটুয়া
394,Bündel::N,გალა,আঁটি
395,Bündel::N,ასხმა,আঁটি
396,Tasche::N,ჩანთა,থলি
397,Eimer::N,ჩამჩა,বাল্তি
398,Deckel::N,ხუფი,আবরণ
399,Deckel::N,სარქველი,আবরণ
400,Geschirr::N,ჭურჭელი,থালা-বাসন
401,Sack::N,ტომარა,বস্তা
402,Tasse::N,ფინჯანი,কাপ
403,Topf::N,ქოთანი,পাত্র
404,Kessel::N,ქვაბი,কেটলি
405,Essen::N,ჭამა,আহার
406,Nahrung::N,საზრდო,খাদ্য
407,Nahrung::N,საკვები,খাদ্য
408,Speise::N,საჭმელი,খাদ্য
409,Fleisch::N,ხორცი,মাংস
410,Getreide::N,მარცვლოვანი,শস্য
411,Brei::N,ფაფა,মণ্ড
412,Brot::N,პური,রুটি
413,Scheibe::N,ნაჭერი,ফালি
414,Fett::N,ქონი,মেদ
415,Fett::N,ცხიმი,মেদ
416,Butter::N,კარაქი,মাখন
417,Öl::N,ზეთი,তৈল
418,Salz::N,მარილი,নুন
419,Suppe::N,სუფი,শুরুয়া
420,Honig::N,თაფლი,মধু
421,Milch::N,რძე,দুধ
422,Tee::N,ჩაი,চা
423,Leder::N,ტყავი,পাকা চামড়া
424,Wolle::N,მატყლი,পশম
425,Stoff::N,ქსოვილი,বস্ত্র
426,Nadel::N,ნემსი,সুচ
427,Faden::N,ძაფი,সূত্র
428,Faden::N,მკედი,সূত্র
429,Knopf::N,ღილი,বোতাম
430,Knoten::N,ნასკვი,গিঁট
431,Farbe::N,საღებავი,রং
432,Kleidung::N,ტანსაცმელი,কাপড়
433,Hemd::N,ხალათი,শার্ট
434,Hemd::N,პერანგი,শার্ট
435,Kragen::N,საყელო,গলবন্ধ
436,Ärmel::N,სახელო,আস্তিন্
437,Hose::N,შარვალი,ট্রাউজার
438,Gürtel::N,ქამარი,কটিবন্ধ
439,Mütze::N,ქუდი,টুপি
440,Schuh::N,ფეხსაცმელი,জুতো
441,Stiefel::N,ჩექმა,বুট
442,Ring::N,ბეჭედი,আংটি
443,Band::N,ბაფთი,ফিতা
444,Kamm::N,სავარცხელი,চিরুনি
445,Spiegel::N,სარკე,আয়না
446,Riemen::N,ღვედი,চাবুক
447,Schnur::N,ლარი,দড়ি
448,Leine::N,ჯაჭვი,শিকল
449,Decke::N,საბანი,কম্বল
450,Kissen::N,ბალიში,উপাধান
451,Tuch::N,მაუდი,বস্ত্র
452,Tuch::N,თავშალი,বস্ত্র
453,Handtuch::N,ხელსახოცი,তোয়ালে
454,Kraft::N,ძალა,জোর
455,Stärke::N,ღონე,শক্তি
456,Gesundheit::N,ჯანმრთელობა,স্বাস্থ্য
457,Krankheit::N,სენი,অসুখ
458,Krankheit::N,სენი,ব্যামো
459,Krankheit::N,ავადმყოფობა,অসুখ
460,Krankheit::N,ავადმყოფობა,ব্যামো
461,Schmerz::N,ტკივილი,যন্ত্রণা
462,Wunde::N,იარი,ক্ষত
463,Wunde::N,ჭრილობა,ক্ষত
464,Fieber::N,ციება,জ্বর
465,Arznei::N,წამალი,ঔষধ
466,Brücke::N,ხიდი,সেতু
467,Brunnen::N,ჭა,কূপ
468,Weide::N,საძოვარი,পশুচারণভূমি
469,Pfad::N,ბილიკი,পথ
470,Weg::N,გზა,পথ
471,Straße::N,შარაგზა,রাস্তা
472,Dorf::N,დაბა,গ্রাম
473,Dorf::N,სოფელი,গ্রাম
474,Stadt::N,ქალაქი,শহর
475,Brief::N,წერილი,চিঠি
476,Buch::N,წიგნი,বই
477,Buchstabe::N,ასო,অক্ষর
478,Zeitung::N,გაზეთი,সংবাদপত্র
479,Leben::N,სიცოცხლე,জীবন
480,Tod::N,სიკვდილი,মৃত্যু
481,Grab::N,სამარე,কবর
482,Grab::N,საფლავი,কবর
483,Kirche::N,ეკლესია,গির্জা
484,Sünde::N,ცოდვა,পাপ
485,Gott::N,ღმერთი,দেবতা
486,Arbeiter::N,მუშა,শ্রমিক
487,Chef::N,გამგე,নেতা
488,Meister::N,ოსტატი,ব্যক্তি
489,Arzt::N,ექიმი,চিকিৎসক
490,Arzt::N,მკურნალი,চিকিৎসক
491,Lehrer::N,მასწავლებელი,অধ্যাপক
492,Geld::N,ფული,মুদ্রা
493,Geld::N,ფული,টাকাপয়সা
494,Geschäft::N,საქმე,ব্যস্ততা
495,Geschäft::N,ბიზნესი,ব্যস্ততা
496,Laden::N,დუქანი,দোকান
497,Laden::N,მაღაზია,দোকান
498,Preis::N,ფასი,মূল্য
499,Ware::N,საქონელი,পণ্যদ্রব্য
500,Nutzen::N,ხეირი,সুবিধা
501,Reichtum::N,სიმდიდრე,ধনদৌলত
502,Welt::N,მსოფლიო,জগৎ
503,Land::N,მხარე,খেত
504,Land::N,ქვეყანა,খেত
505,Staat::N,სახელმწიფო,রাষ্ট্র
506,König::N,მეფე,রাজা
507,Macht::N,ძლიერება,প্রভাব
508,Grenze::N,ზღვარი,সীমা
509,Krieg::N,ომი,যুদ্ধ
510,Feind::N,მტერი,শত্রু
511,Gewalt::N,სისასტიკე,জোর
512,Kampf::N,ბრძოლა,লড়াই
513,Bogen[Waffe]::N,მშვილდი,ধনুক
514,Pfeil::N,ისარი,বাণ
515,Pfeil::N,მახვილი,বাণ
516,Gewehr::N,თოფი,বন্দুক
517,Gewehr::N,შაშხანა,বন্দুক
518,Fehler::N,შეცდომა,ভুল
519,Lüge::N,სიცრუე,মিথ্যা
520,Schaden::N,ვნება,ক্ষতি
521,Unglück::N,ხიფათი,দুর্ভাগ্য
522,Unglück::N,უბედურება,দুর্ভাগ্য
