,Concept_ID,ab,cy
0,Auge::N,ала,llygad
1,Ohr::N,алымҳа,clust
2,Nase::N,аҧынҵа,trwyn
3,Mund::N,аҧышə,ceg
4,Zahn::N,ахаҧыц,dant
5,Zunge::N,абз,tafod
6,Lippe::N,ақьышə,gwefus
7,Wange::N,аӡамҩа,boch
8,Gesicht::N,аҿы,wyneb
9,Stirn::N,алахь,talcen
10,Haar::N,ахəыц,blew
11,Schnurrbart::N,аҧаҵа,mwstas
12,Bart::N,ажакьа,barf
13,Kinn::N,ацламкəыгə,gên
14,Kiefer[Anatomie]::N,ацламҳəа,gên
15,Kehle::N,ахəда,gwddf
16,Hals::N,ахəда,gwddf
17,Genick::N,ахəдаџьал,gwar
18,Genick::N,ахəдаџьал,gwegil
19,Kopf::N,ахы,pen
20,Rücken::N,азқəа,cefn
21,Bauch::N,амгəа,bol
22,Nabel::N,аҷапан,bogail
23,Busen::N,агəыҧҳəы,bron
24,Brust::N,агəышҧы,brest
25,Schulter::N,ажəҩахыр,ysgwydd
26,Arm::N,амахəар,braich
27,Ellenbogen::N,амашьхəылҵ,penelin
28,Hand::N,анапы,llaw
29,Handfläche::N,анапсаргəыҵа,palf
30,Finger::N,анацəа,bys
31,Fingernagel::N,анапхыц,ewin
32,Nagel[Anatomie]::N,ашьапхыц,ewin
33,Zeh::N,ашьацəа,bys troed
34,Fuß::N,ашьапсыргəыҵа,troed
35,Ferse::N,ашьхəа,sawdl
36,Knie::N,ашьамхы,glin
37,Oberschenkel::N,ауаҭəа,clun
38,Bein::N,ашьапы,coes
39,Körper::N,ацəеижь,corff
40,Haut::N,ацəа,croen
41,Blut::N,ашьа,gwaed
42,Ader::N,ада,gwythïen
43,Sehne::N,адаш,gewyn
44,Knochen::N,абаҩ,asgwrn
45,Gehirn::N,ахшлыбаҩ,ymennydd
46,Gehirn::N,ахшыбаҩ,ymennydd
47,Herz::N,агəы,calon
48,Magen::N,аца,cylla
49,Magen::N,аца,stumog
50,Magen::N,ацар,cylla
51,Magen::N,ацар,stumog
52,Leber::N,агəаҵəа,iau
53,Atem::N,аҧсыҧлагаҩгара,anadl
54,Hunger::N,амла,newyn
55,Träne::N,алабжыш,deigryn
56,Geschmack::N,агьама,cyflas
57,Geruch::N,афҩы,aroglau
58,Schlaf::N,ацəа,cwsg
59,Traum::N,аҧхыӡ,breuddwyd
60,Himmel::N,ажəҩан,awyr
61,Sonne::N,амра,haul
62,Mond::N,амза,lleuad
63,Stern::N,аеҵəа,seren
64,Luft::N,аҳаир,awyr
65,Wind::N,аҧша,gwynt
66,Welle::N,ацəқəырҧа,ton
67,Wasser::N,аӡы,dŵr
68,Stein::N,ахаҳə,carreg
69,Boden::N,адгьыл,llawr
70,Erde::N,адгьыл,pridd
71,Staub::N,асаба,llwch
72,Rauch::N,алҩа,mwg
73,Funke::N,акəиц,gwreichioni
74,Funke::N,ацҧхь,gwreichioni
75,Feuer::N,амца,tân
76,Licht::N,алашара,golau
77,Schatten::N,ашəшьыра,cysgod
78,Wetter::N,амш,tywydd
79,Nebel::N,анаҟəа,niwl
80,Wolke::N,аҧсҭҳəа,cwmwl
81,Regen::N,ақəа,glaw
82,Schnee::N,асы,ôd
83,Schnee::N,асы,eira
84,Eis::N,аҵаа,iâ
85,Frost::N,аҵаа,rhew
86,Kälte::N,ахьҭа,oerni
87,Kälte::N,ахьҭа,annwyd
88,Hitze::N,ашоура,gwres
89,Raureif::N,аҵааҧшқа,barrug
90,Regenbogen::N,ацəаҟəа,enfys
91,Donner::N,адыд,tyrfau
92,Strömung::N,аиасра,cerrynt
93,Strömung::N,амҩасра,cerrynt
94,Tropfen::N,ацəыкəбар,dafn
95,Tropfen::N,ацəыкəбар,diferyn
96,Schaum::N,ашəах,ewyn
97,Schmutz::N,алымт,baw
98,Schmutz::N,алымт,budreddi
99,See::N,аӡиа,llyn
100,Sumpf::N,аӡмах,cors
101,Wiese::N,адəы,dôl
102,Wald::N,абна,coedwig
103,Hügel::N,ахəы,bryn
104,Anhöhe::N,аҳаракыра,bryn
105,Berg::N,ашьха,mynydd
106,Gipfel::N,ацəқəа,copa
107,Höhle::N,аҳаҧы,ogof
108,Abhang::N,анаара,llethr
109,Quelle::N,аҵҵырҭа,tarddiad
110,Quelle::N,аҵҵырҭа,ffynhonnell
111,Bach::N,акəараҷҷа,nant
112,Bach::N,акəараҷҷа,afonig
113,Bach::N,акəараҷҷа,cornant
114,Fluss::N,аӡиас,afon
115,Ufer::N,ахықə,glan
116,Küste::N,ахықə,traeth
117,Küste::N,ахықə,arfordir
118,Festland::N,абарра,tir
119,Meer::N,амшын,môr
120,Bucht::N,аӡбжьахала,bae
121,Insel::N,адгьылбжьаха,ynys
122,Blume::N,ашəҭ,blodyn
123,Gras::N,аҳасакьын,glaswellt
124,Wurzel::N,адац,gwreiddyn
125,Baum::N,аҵла,coeden
126,Stamm::N,ашьапы,colfen
127,Stamm::N,ашьапы,boncyff
128,Rinde::N,ацəа,rhisgl
129,Ast::N,амахə,cangen
130,Ast::N,амахəҭа,cangen
131,Zweig::N,амахə,cainc
132,Zweig::N,амахə,cangen
133,Zweig::N,амахəҭа,cainc
134,Zweig::N,амахəҭа,cangen
135,Blatt::N,абҕьы,deilen
136,Birke::N,аҵааҵла,bedwen
137,Kiefer[Baum]::N,амза,pinwydden
138,Weide[Baum]::N,аҧслыш,helygen
139,Tanne::N,аҧсаӡ,ffynidwydden
140,Horn::N,атəыҩа,corn
141,Feder::N,ахӡы,plufyn
142,Fell::N,ацəа,ffwr
143,Flügel::N,амҵəыжəа,adain
144,Klaue::N,ашьапхыц,crafanc
145,Schwanz::N,аҵыхəа,cwt
146,Schwanz::N,аҵыхəа,cynffon
147,Ei::N,акəтаӷь,wy
148,Nest::N,аҭра,nyth
149,Nest::N,аҵысҭра,nyth
150,Bau::N,аҭыҩра,ffau
151,Tier::N,аҧстəы,anifail
152,Tier::N,агыгшəыг,anifail
153,Herde::N,агəарҭа,praidd
154,Herde::N,агəарҭа,diadell
155,Kuh::N,ажə,buwch
156,Bulle::N,ацə,tarw
157,Pferd::N,аҽы,ceffyl
158,Schaf::N,ауаса,dafad
159,Schwein::N,аҳəа,mochyn
160,Hund::N,ала,ci
161,Katze::N,ацгəы,cath
162,Bär::N,амшə,arth
163,Eichhörnchen::N,аеш,gwiwer
164,Elch::N,аҽаҩа,elc
165,Fuchs::N,абгахəыҷы,cadno
166,Hase::N,ажьа,ysgyfarnog
167,Maus::N,аҳəынаҧ,llygoden
168,Wolf::N,абгаду,blaidd
169,Vogel::N,аҧсаатə,aderyn
170,Huhn::N,акəты,cyw
171,Hahn::N,арбаҕь,ceiliog
172,Gans::N,аҟыз,gŵydd
173,Adler::N,ауарба,eryr
174,Ente::N,акəата,hwyad
175,Eule::N,аты,tylluan
176,Kranich::N,апҟа,garan
177,Kranich::N,апҟа,crychydd
178,Krähe::N,аҟəараан,brân
179,Kuckuck::N,акəыкəу,cog
180,Kuckuck::N,акəыкəу,cwcw
181,Schwan::N,агьад,alarch
182,Fisch::N,аҧсыӡ,pysgod
183,Barsch::N,ацəыбла,draenog
184,Hecht::N,ахиаала,penhwyad
185,Schlange[Tier]::N,амаҭ,neidr
186,Wurm::N,ахəа,abwydyn
187,Wurm::N,ахəа,pryf genwair
188,Wurm::N,ахəац,abwydyn
189,Wurm::N,ахəац,pryf genwair
190,Spinne::N,абызкаҭаҳа,cor
191,Spinne::N,абызкаҭаҳа,pryf copyn
192,Ameise::N,ашышкамс,morgrugyn
193,Laus::N,аҵа,lleuen
194,Mücke::N,акəыбры,gwybedyn
195,Fliege::N,амҵ,cleren
196,Schmetterling::N,аҧарҧалыкь,glöyn byw
197,Schmetterling::N,аҧарҧалыкь,iâr fach yr haf
198,Beere::N,аргуц,aeronen
199,Apfel::N,аҵəа,afal
200,Pilz::N,акəкəбаа,madarch
201,Zwiebel::N,аџьымшьы,nionyn
202,Zwiebel::N,аџьымшьы,winwnsyn
203,Zwiebel::N,аџьымшьхы,nionyn
204,Zwiebel::N,аџьымшьхы,winwnsyn
205,Saat::N,ажəла,had
206,Korn::N,арыц,grawn
207,Heu::N,аҭəа,gwair
208,Schale::N,ацəа,croen
209,Schale::N,ацəа,plisgyn
210,Grube::N,ажра,pwll
211,Grube::N,ажра,pydew
212,Grube::N,атыша,pwll
213,Grube::N,атыша,pydew
214,Falle::N,арыҧҟьа,magl
215,Schlinge::N,аҟəараҟəантə,cwlwm rhedeg
216,Spur::N,ашьҭа,ôl
217,Asche::N,ахəа,lludw
218,Dreck::N,аҳəынҵəа,baw
219,Dreck::N,аҳəынҵəа,budreddi
220,Dreck::N,аҟьамсар,baw
221,Dreck::N,аҟьамсар,budreddi
222,Eisen::N,аиха,haearn
223,Gold::N,ахьы,aur
224,Silber::N,аразны,arian
225,Kohle::N,арацəа,glo
226,Glas::N,асаркьа,gwydr
227,Lehm::N,анышəаҧшь,clai
228,Sand::N,аҧслымӡ,tywod
229,Mensch::N,ауаҩы,dyn
230,Mann::N,ахаҵа,dyn
231,Frau::N,аҧҳəыс,merch
232,Frau::N,аҧҳəыс,gwraig
233,Kind::N,ахəыҷы,plentyn
234,Junge::N,аҷкəын,hogyn
235,Junge::N,аҷкəын,bachgen
236,Junge::N,ахаҵарҧыс,hogyn
237,Junge::N,ахаҵарҧыс,bachgen
238,Mädchen::N,аӡӷаб,merch
239,Mädchen::N,аӡӷаб,geneth
240,Familie::N,аҭаацəа,teulu
241,Familie::N,аҭаацəа,tylwyth
242,Großvater::N,абду,taid
243,Großvater::N,абду,tad-cu
244,Großmutter::N,анду,nain
245,Großmutter::N,анду,mam-gu
246,Eltern::N,ани аби,rhieni
247,Vater::N,аб,tad
248,Mutter::N,ан,mam
249,Sohn::N,аҧа,mab
250,Tochter::N,аҧҳа,merch
251,Bruder::N,аиашьа,brawd
252,Schwester::N,Аҳəшьа,chwaer
253,Onkel::N,абиашьа,ewythr
254,Onkel::N,аншьа,ewythr
255,Tante::N,абиаҳəшьа,modryb
256,Ehemann::N,ахаҵа,gŵr
257,Ehemann::N,аҧшəма,gŵr
258,Ehefrau::N,аҧҳəыс,gwraig
259,Freude::N,агəырӷьара,gorfoledd
260,Gelächter::N,ачча,chwerthin
261,Gelächter::N,аччара,chwerthin
262,Glück::N,аразҟы,hapusrwydd
263,Kummer::N,агəырҩа,galar
264,Wunsch::N,агəхəтəы,dymuniad
265,Wunsch::N,аҭахра,dymuniad
266,Lust::N,агəазыҳəара,chwant
267,Geist::N,аҧсы,ysbryd
268,Gedanke::N,ахəыцырҭа,meddwl
269,Gedächtnis::N,агəынкылара,cof
270,Verstand::N,ахшыҩ,meddwl
271,Sinn::N,аҵакы,ystyr
272,Grund::N,амзыз,achos
273,Grund::N,амзыз,rheswm
