,Concept_ID,az,hr
553,Gesundheit::N,sağlamlıq,zdravlje
554,Krankheit::N,xəstəlik,bolest
555,Schmerz::N,ağrı,bol
556,Schmerz::N,sancı,bol
557,Wunde::N,yara,rana
558,Fieber::N,isitmə,groznica
559,Fieber::N,qızdırma,groznica
560,Arznei::N,ilaç,lijek
561,Arznei::N,dərman,lijek
562,Brücke::N,körpü,most
563,Brücke::N,körpü,ćuprija
564,Brunnen::N,quyu,bunar
565,Brunnen::N,quyu,zdenac
566,Weide::N,otlaq,paša
567,Weide::N,otlaq,pašnjak
568,Pfad::N,cığır,staza
569,Weg::N,yol,put
570,Straße::N,küçə,drum
571,Straße::N,küçə,cesta
572,Dorf::N,kənd,selo
573,Stadt::N,şəhər,grad
574,Stadt::N,şəhər,varoš
575,Brief::N,məktub,list
576,Brief::N,məktub,pismo
577,Buch::N,kitab,knjiga
578,Buchstabe::N,hərf,slovo
579,Zeitung::N,qəzet,novine
580,Leben::N,həyat,život
581,Tod::N,ölüm,smrt
582,Grab::N,qəbir,raka
583,Kirche::N,kilsə,crkva
584,Sünde::N,günah,grijeh
585,Gott::N,tanrı,bog
586,Arbeiter::N,işçi,radnik
587,Chef::N,şef,šef
588,Chef::N,rəis,šef
589,Meister::N,usta,majstor
590,Arzt::N,həkim,liječnik
591,Arzt::N,doktor,liječnik
592,Lehrer::N,müəllim,učitelj
593,Geld::N,pul,novac
594,Geschäft::N,ticarət,posao
595,Geschäft::N,ticarət,trgovina
596,Laden::N,dükan,dućan
597,Preis::N,qiymət,cijena
598,Ware::N,mal,roba
599,Nutzen::N,fayda,korist
600,Reichtum::N,zənginlik,bogatstvo
601,Welt::N,aləm,svijet
602,Welt::N,dünya,svijet
603,Land::N,ölkə,zemlja
604,Staat::N,dövlət,država
605,König::N,kral,kralj
606,König::N,məlik,kralj
607,Macht::N,qüdrət,moć
608,Macht::N,qüdrət,vlast
609,Grenze::N,hüdud,granica
610,Grenze::N,sərhət,granica
611,Krieg::N,hərb,rat
612,Krieg::N,müharibə,rat
613,Feind::N,düşmən,neprijatelj
614,Gewalt::N,cəbr,sila
615,Gewalt::N,cəbr,nasilje
616,Kampf::N,savaş,boj
617,Kampf::N,savaş,borba
618,Bogen[Waffe]::N,yay,luk
619,Pfeil::N,ox,strijela
620,Gewehr::N,tüfəng,puška
621,Fehler::N,xəta,pogreška
622,Fehler::N,xəta,griješka
623,Lüge::N,yalan,laž
624,Schaden::N,ziyan,šteta
625,Unglück::N,bəla,nesreća
626,Schuld::N,təqsir,krivnja
627,Alter::N,yaş,dob
628,Schluss::N,son,kraj
629,Schluss::N,son,konac
630,Zeit::N,vaxt,doba
631,Zeit::N,vaxt,vrijeme
632,Zeit::N,zaman,doba
633,Zeit::N,zaman,vrijeme
634,Tag::N,gün,dan
635,Morgen::N,sabah,jutro
636,Mittag::N,günorta,podne
637,Abend::N,axşam,veče
638,Abend::N,axşam,večer
639,Nacht::N,gecə,noć
640,Woche::N,həftə,sedmica
641,Monat::N,ay,mjesec
642,Jahr::N,il,godina
643,Frühling::N,yaz,proljeće
644,Frühling::N,bahar,proljeće
645,Sommer::N,yay,ljeto
646,Herbst::N,payız,jesen
647,Winter::N,qış,zima
648,Januar::N,Janvar,januar
649,Januar::N,Janvar,siječanj
650,Februar::N,Fevral,veljača
651,Februar::N,Fevral,februar
652,März::N,Mart,mart
653,März::N,Mart,ožujak
654,April::N,Aprel,april
655,April::N,Aprel,travanj
656,Mai::N,May,maj
657,Mai::N,May,svibanj
658,Juni::N,İyun,juni
659,Juni::N,İyun,lipanj
660,Juli::N,İyul,juli
661,Juli::N,İyul,srpanj
662,August::N,Avqust,august
663,August::N,Avqust,kolovoz
664,September::N,Sentyabr,rujan
665,September::N,Sentyabr,septembar
666,Oktober::N,Oktyabr,oktobar
667,Oktober::N,Oktyabr,listopad
668,November::N,Noyabr,studeni
669,November::N,Noyabr,novembar
670,Dezember::N,Dekabr,prosinac
671,Montag::N,bazar ertəsi,ponedjeljak
672,Montag::N,bazar ertəsi,ponedjeljnik
673,Dienstag::N,çərşənbə axşamı,utorak
674,Dienstag::N,çərşənbə axşamı,utornik
675,Mittwoch::N,çərşənbə,srijeda
676,Donnerstag::N,cüme axşamı,četvrtak
677,Freitag::N,cüme,petak
678,Samstag::N,şənbə,subota
679,Sonntag::N,bazar,nedjelja
680,groß::A,böyük,velik
681,klein::A,kiçik,mali
682,klein::A,kiçik,malen
683,lang::A,uzun,dug
684,lang::A,uzun,dugačak
685,kurz::A,qısa,kratak
686,breit::A,enli,širok
687,breit::A,geniş,širok
688,schmal::A,dar,uski
689,schmal::A,dar,uzak
690,dicht::A,sıx,gust
691,dick[Gegenstand]::A,qalın,debeo
692,dünn::A,nazik,tanak
693,fein::A,incə,fin
694,fein::A,incə,tanak
695,fest::A,bərk,čvrst
696,fest::A,möhkəm,čvrst
697,flach::A,düz,ravan
698,flach::A,düz,plosnat
699,glatt::A,hamar,gladak
700,hart::A,sərt,tvrd
701,weich::A,yumşaq,mek
702,weich::A,yumşaq,mekan
703,rund::A,yuvarlaq,okrugao
704,spitz::A,uclu,oštar
705,spitz::A,uclu,šiljast
706,spitz::A,sivri,oštar
707,spitz::A,sivri,šiljast
708,scharf::A,kəskin,oštar
709,scharf::A,kəskin,bridak
710,stumpf::A,küt,tup
711,schwer::A,ağır,težak
712,schön::A,gözəl,krasan
713,schön::A,gəşəng,krasan
714,heiß::A,isti,vruć
715,warm::A,ilıq,topao
716,kalt::A,soyuq,hladan
717,kühl::A,sərin,hladan
718,frisch::A,təzə,svjež
719,feucht::A,nəm,vlažan
720,nass::A,yaş,mokar
721,trocken::A,quru,suh
