,Concept_ID,lv,ku
0,Auge::N,син,çav
1,Auge::N,acs,çav
2,Ohr::N,пель,guh
3,Ohr::N,auss,guh
4,Nase::N,ныр,bêvil
5,Nase::N,deguns,bêvil
6,Mund::N,вом,dev
7,Mund::N,mute,dev
8,Zahn::N,пинь,didan
9,Zahn::N,zobs,didan
10,Zunge::N,кыв,ziman
11,Zunge::N,mēle,ziman
12,Lippe::N,вом дор,lêv
13,Lippe::N,lūpa,lêv
14,Wange::N,бан,dêm
15,Wange::N,бан,hinarik
16,Wange::N,vaigs,dêm
17,Wange::N,vaigs,hinarik
18,Gesicht::N,чужӧм,rû
19,Gesicht::N,seja,rû
20,Gesicht::N,ģīmis,rû
21,Stirn::N,плеш,enî
22,Stirn::N,кымӧс,enî
23,Stirn::N,piere,enî
24,Haar::N,си,por
25,Haar::N,юрси,por
26,Haar::N,mats,por
27,Schnurrbart::N,ус,simbêl
28,Schnurrbart::N,пыртсим,simbêl
29,Schnurrbart::N,ūsas,simbêl
30,Bart::N,тош,rih
31,Bart::N,bārda,rih
32,Kinn::N,тшӧка,zenî
33,Kinn::N,zods,zenî
34,Kinn::N,smakrs,zenî
35,Kiefer[Anatomie]::N,черлы,arguşk
36,Kiefer[Anatomie]::N,алака лы,arguşk
37,Kiefer[Anatomie]::N,вомкӧтш лы,arguşk
38,Kiefer[Anatomie]::N,žoklis,arguşk
39,Kehle::N,голя,qirik
40,Kehle::N,rīkle,qirik
41,Hals::N,сьылі,stû
42,Hals::N,сьылі,qirik
43,Hals::N,kakls,stû
44,Hals::N,kakls,qirik
45,Genick::N,юрбӧр,stû
46,Genick::N,балябӧж,stû
47,Genick::N,sprands,stû
48,Kopf::N,юр,serî
49,Kopf::N,galva,serî
50,Rücken::N,мыш,pişt
51,Rücken::N,mugura,pişt
52,Bauch::N,рушку,ûr
53,Bauch::N,рушку,zik
54,Bauch::N,vēders,ûr
55,Bauch::N,vēders,zik
56,Nabel::N,гӧг,navik
57,Nabel::N,naba,navik
58,Busen::N,морӧс,sîng
59,Busen::N,krūts,sîng
60,Brust::N,морӧс,sîng
61,Brust::N,krūts,sîng
62,Schulter::N,пельпом,mil
63,Schulter::N,plecs,mil
64,Arm::N,ки,çepil
65,Arm::N,roka,çepil
66,Arm::N,delms,çepil
67,Ellenbogen::N,гырддза,enîşk
68,Ellenbogen::N,elkonis,enîşk
69,Hand::N,ки,dest
70,Hand::N,roka,dest
71,Hand::N,plauksta,dest
72,Handfläche::N,ки пыдӧс,kefadest
73,Handfläche::N,delna,kefadest
74,Handfläche::N,plauksta,kefadest
75,Finger::N,чунь,tilî
76,Finger::N,pirksts,tilî
77,Fingernagel::N,гыж,neynuk
78,Fingernagel::N,nags,neynuk
79,Nagel[Anatomie]::N,гыж,bizmar
80,Nagel[Anatomie]::N,nags,bizmar
81,Zeh::N,кок чунь,tilî linga
82,Zeh::N,pirksts,tilî linga
83,Fuß::N,кок,ling
84,Fuß::N,kāja,ling
85,Ferse::N,кокбӧр,pahnî
86,Ferse::N,papēdis,pahnî
87,Knie::N,пидзӧс,kabok
88,Knie::N,celis,kabok
89,Oberschenkel::N,лядьвей,rahn
90,Oberschenkel::N,бек,rahn
91,Oberschenkel::N,ciska,rahn
92,Oberschenkel::N,augšstilbs,rahn
93,Bein::N,кок,çip
94,Bein::N,kāja,çip
95,Körper::N,туша,laş
96,Körper::N,туша,gowde
97,Körper::N,вывтыр,laş
98,Körper::N,вывтыр,gowde
99,Körper::N,miesa,laş
100,Körper::N,miesa,gowde
101,Körper::N,ķermenis,laş
102,Körper::N,ķermenis,gowde
103,Haut::N,ку,çerm
