,Concept_ID,it,kl
0,Auge::N,occhio,isi
1,Ohr::N,orecchio,siut
2,Nase::N,naso,
3,Mund::N,bocca,paaq
4,Mund::N,bocca,qaneq
5,Zahn::N,dente,kigut
6,Zunge::N,lingua,oqaq
7,Lippe::N,labbro,qarloq
8,Wange::N,guancia,ersaq
9,Gesicht::N,viso,kiinaq
10,Gesicht::N,faccia,kiinaq
11,Stirn::N,fronte,qaaq
12,Haar::N,capello,meqqoq
13,Schnurrbart::N,baffi,
14,Schnurrbart::N,mustacchi,
15,Bart::N,barba,umik
16,Kinn::N,mento,talloq
17,Kiefer[Anatomie]::N,mascella,alleroq
18,Kehle::N,gola,malaq
19,Hals::N,collo,qungaseq
20,Genick::N,nuca,pukusuk
21,Kopf::N,capo,niaqoq
22,Kopf::N,testa,niaqoq
23,Rücken::N,dorso,qimerlut
24,Rücken::N,schiena,qimerlut
25,Bauch::N,ventre,naaq
26,Nabel::N,ombelico,qalaseq
27,Busen::N,seno,iviangeq
28,Brust::N,petto,iviangeq
29,Schulter::N,spalla,ersik
30,Schulter::N,spalla,assaqqoq
31,Arm::N,braccio,taleq
32,Ellenbogen::N,gomito,ikusik
33,Hand::N,mano,assak
34,Handfläche::N,palma,itumak
35,Finger::N,dito,inuak
36,Fingernagel::N,unghia,kikiak
37,Nagel[Anatomie]::N,unghia,kukik
38,Zeh::N,dito del piede,isigak
39,Fuß::N,piede,
40,Ferse::N,tallone,kimmik
41,Ferse::N,calcagno,kimmik
42,Knie::N,ginocchio,seeqqoq
43,Oberschenkel::N,fèmore,uppat
44,Oberschenkel::N,fèmore,quttoraq
45,Bein::N,gamba,isigak
46,Körper::N,corpo,timi
47,Haut::N,pelle,mattak
48,Blut::N,sangue,aak
49,Ader::N,vena,taqaq
50,Sehne::N,tèndine,ujalu
51,Sehne::N,tèndine,ujaloq
52,Knochen::N,osso,saanikut
53,Gehirn::N,cervello,qarasaq
54,Herz::N,cuore,uummat
55,Magen::N,stòmaco,aqajaroq
56,Leber::N,fegato,tinguk
57,Atem::N,fiato,anerneq
58,Atem::N,respiro,anerneq
59,Hunger::N,fame,kaanneq
60,Träne::N,làcrima,qia
61,Träne::N,làcrima,qiak
62,Geschmack::N,gusto,qilanaartuut
63,Geschmack::N,sapore,qilanaartuut
64,Geruch::N,odore,tipi
65,Geruch::N,odore,tipik
66,Schlaf::N,sonno,
67,Traum::N,sogno,sinnattoq
68,Traum::N,sogno,sinnattugaq
69,Himmel::N,cielo,qilak
70,Sonne::N,sole,seqineq
71,Mond::N,luna,qaammat
72,Stern::N,stella,ulloriaq
73,Luft::N,aria,silaannaq
74,Wind::N,vento,anori
75,Wind::N,vento,anorsarik
76,Welle::N,onda,aalappaa
77,Wasser::N,acqua,imeq
78,Stein::N,sasso,ujarak
79,Stein::N,pietra,ujarak
80,Boden::N,suolo,nateq
81,Boden::N,terreno,nateq
82,Erde::N,terra,issoq
83,Staub::N,polvere,pujualanerit
84,Staub::N,polvere,pujoralanerit
85,Rauch::N,fumo,iseq
86,Rauch::N,fumo,pujoq
87,Funke::N,scintilla,illoorneq
88,Feuer::N,fuoco,inneq
89,Licht::N,luce,qaamaneq
90,Schatten::N,ombra,tarraq
91,Wetter::N,tempo,sila
92,Nebel::N,nebbia,pujoq
93,Wolke::N,nube,nuia
94,Wolke::N,nùvola,nuia
95,Regen::N,pioggia,sialuk
96,Schnee::N,neve,aput
97,Eis::N,ghiaccio,siku
98,Frost::N,gelo,issi
99,Frost::N,gelo,issik
100,Kälte::N,freddo,issi
101,Hitze::N,caldo,kianneq
102,Hitze::N,caldo,kiassuseq
103,Hitze::N,calura,kianneq
104,Hitze::N,calura,kiassuseq
105,Raureif::N,brina,kaneq
106,Regenbogen::N,arcobaleno,neriusaaq
107,Donner::N,tuono,kalleq
108,Strömung::N,corrente,
109,Tropfen::N,goccia,kuseriarneq
110,Schaum::N,spuma,qapuk
111,Schaum::N,schiuma,qapuk
112,Schmutz::N,sudiciume,minguk
113,See::N,lago,taseq
114,Sumpf::N,palude,maqulluk
115,Moor::N,torbiera,
116,Wiese::N,prato,masarsuk
117,Wald::N,bosco,
118,Wald::N,foresta,
119,Hügel::N,colle,qattuneq
120,Hügel::N,colle,majuariaq
121,Hügel::N,colle,majorajaaq
122,Hügel::N,colle,qaqqannguaq
123,Hügel::N,collina,qattuneq
124,Hügel::N,collina,majuariaq
125,Hügel::N,collina,majorajaaq
126,Hügel::N,collina,qaqqannguaq
127,Anhöhe::N,altura,
128,Berg::N,monte,qaqqaq
129,Berg::N,montagna,qaqqaq
130,Gipfel::N,cima,
131,Höhle::N,grotta,qaarusuk
132,Höhle::N,caverna,qaarusuk
133,Abhang::N,pendìo,ippik
134,Abhang::N,pendìo,sivinganeq
135,Abhang::N,pendìo,sivingajaaq
136,Abhang::N,pendìo,kussangajaaq
137,Quelle::N,sorgente,
138,Bach::N,ruscello,kuunnguaq
139,Fluss::N,fiume,kuuk
140,Ufer::N,riva,sissap sinaa
141,Küste::N,costa,sineriak
142,Festland::N,terraferma,
143,Meer::N,mare,imaq
144,Bucht::N,cala,ikeq
145,Bucht::N,cala,kangerluk
146,Bucht::N,cala,kangerliumaneq
147,Insel::N,ìsola,qeqertaq
148,Blume::N,fiore,naasoq
149,Gras::N,erba,ivigaq
150,Wurzel::N,radice,niulutaq
151,Baum::N,àlbero,orpik
152,Stamm::N,tronco,kanaartaq
153,Rinde::N,corteccia,ameraq
154,Ast::N,ramo,avalequt
155,Zweig::N,ramo,avalequt
156,Blatt::N,foglia,pilutaq
157,Birke::N,betulla,patitsit
158,Kiefer[Baum]::N,pino,
159,Weide[Baum]::N,sàlice,palleq
160,Tanne::N,abete,orsuerneq
161,Horn::N,corno,nassuk
162,Feder::N,penna,suluk
163,Fell::N,manto,ameq
164,Fell::N,pelame,ameq
165,Flügel::N,ala,suluk
166,Flügel::N,ala,isaroq
167,Klaue::N,grinfia,kukik
168,Kralle::N,unghia,kukik
169,Kralle::N,artiglio,kukik
170,Schwanz::N,coda,pamioq
171,Schwanz::N,coda,paperuusaq
172,Ei::N,uovo,mannik
173,Nest::N,nido,ullut
174,Bau::N,covo,ini
175,Tier::N,bestia,uumasoq
176,Tier::N,animale,uumasoq
177,Herde::N,gregge,unguukkat
178,Kuh::N,vacca,ussik
179,Bulle::N,toro,angukulak
180,Bulle::N,toro,anguteralak
181,Bulle::N,toro,angutikulooq
182,Pferd::N,cavallo,
183,Schaf::N,pècora,sava
184,Schwein::N,porco,puuluki
185,Schwein::N,maiale,puuluki
186,Hund::N,cane,qimmeq
187,Katze::N,gatta,puisaaq
188,Bär::N,orso,allaq
189,Eichhörnchen::N,scoiàttolo,sissinnguaq
190,Elch::N,alce,
191,Fuchs::N,volpe,terianniaq
192,Hase::N,lepre,ukaleq
193,Maus::N,topo,teriannguaq
194,Maus::N,sorcio,teriannguaq
195,Wolf::N,lupo,amaroq
196,Vogel::N,uccello,timmiaq
197,Schwarm::N,stormo,
198,Huhn::N,gallina,kukkukooq
199,Huhn::N,gallina,marloraaqaaq
200,Hahn::N,gallo,kiasiusaq
201,Gans::N,oca,nerleq
202,Adler::N,àquila,nattoralik
203,Ente::N,ànatra,
204,Eule::N,gufo,uppik
205,Eule::N,civetta,uppik
206,Kranich::N,gru,qorlorfik
207,Krähe::N,cornacchia,tuluatsiaq
208,Kuckuck::N,cuccù,kukkooq
209,Kuckuck::N,cùculo,kukkooq
210,Schwan::N,cigno,qussuk
211,Fisch::N,pesce,aalisagaq
212,Barsch::N,pèrsico,
213,Hecht::N,luccio,
214,Schlange[Tier]::N,serpente,pulateriarsuk
215,Schlange[Tier]::N,serpente,pulateriaarsuk
216,Wurm::N,baco,
217,Wurm::N,verme,
218,Spinne::N,ragno,aasiaq
219,Spinne::N,ragno,nissavaarsuk
220,Ameise::N,formica,uniaaluk
221,Laus::N,pidocchio,kumak
222,Mücke::N,zanzara,ippernaq
223,Fliege::N,mosca,ippernaq
224,Schmetterling::N,farfalla,paluaq
225,Schmetterling::N,farfalla,pakkaluaq
226,Schmetterling::N,farfalla,utsuppaluaq
227,Schmetterling::N,farfalla,taqaleqisaaq
228,Beere::N,bacca,paarmaq
229,Beere::N,bacca,paarngaq
230,Apfel::N,mela,iipili
231,Pilz::N,fungo,anngiusaq
232,Zwiebel::N,cipolla,uanitsoq
233,Saat::N,semente,naatsiiassaq
234,Korn::N,grano,maannineq
235,Heu::N,fieno,
236,Schale::N,buccia,niutsivik
237,Schale::N,buccia,ilulissaq qaartussaq
238,Grube::N,cava,itersaq
239,Grube::N,fossa,itersaq
240,Falle::N,tràppola,pualavoq
241,Schlinge::N,laccio,orseq
242,Schlinge::N,laccio,norloq
243,Spur::N,traccia,tumaa
244,Asche::N,cenere,arsat
245,Dreck::N,fango,minguk
246,Eisen::N,ferro,savimineq
247,Eisen::N,ferro,saffiugassaq
248,Gold::N,oro,kuulti
249,Silber::N,argento,siilviuvoq
250,Kohle::N,carbone,aamarsuit aamaruutissat
251,Glas::N,vetro,igalaaq
252,Glas::N,vetro,imertarfik
253,Glas::N,vetro,igalaamineq
254,Lehm::N,argilla,marraq
255,Sand::N,arena,sioqqat
256,Sand::N,sabbia,sioqqat
257,Mensch::N,uomo,inuk
258,Mensch::N,uomo,silamiu
259,Mensch::N,èssere umano,inuk
260,Mensch::N,èssere umano,silamiu
261,Mann::N,uomo,angut
262,Frau::N,donna,arnaq
263,Kind::N,bambino,meeraq
264,Junge::N,ragazzo,nukappiaraq
265,Mädchen::N,ragazza,arnannguaq
266,Familie::N,famiglia,ilaqutakka
267,Familie::N,famiglia,ilaqutariit
268,Großvater::N,nonno,aatak
269,Großmutter::N,nonna,aanaq
270,Eltern::N,genitori,angajoqqaat
271,Vater::N,padre,ataata
272,Vater::N,padre,ataataq
273,Mutter::N,madre,anaana
274,Sohn::N,figlio,erneq
275,Tochter::N,figlia,panik
276,Bruder::N,fratello,ani
277,Bruder::N,fratello,aqqaluk
278,Bruder::N,fratello,qatanngut
279,Schwester::N,sorella,naja
280,Schwester::N,sorella,aleqa
281,Schwester::N,sorella,qatanngut
282,Onkel::N,zio,akkak
283,Tante::N,zia,aja
284,Tante::N,zia,ajak
285,Tante::N,zia,atsak
286,Ehemann::N,marito,ui
287,Ehefrau::N,moglie,nuliaq
288,Freude::N,gioia,tipaatsussuseq
289,Freude::N,piacere,tipaatsussuseq
290,Gelächter::N,risata,illaq
291,Glück::N,felicità,usornaat
292,Glück::N,felicità,usornarsuseq
293,Kummer::N,afflizione,
294,Wunsch::N,desiderio,kissaat
295,Lust::N,voglia,illigussuseq
296,Lust::N,voglia,piummaseq
297,Geist::N,mente,anerneq
298,Geist::N,mente,toornaq
299,Geist::N,spìrito,anerneq
300,Geist::N,spìrito,toornaq
301,Gedanke::N,idea,isumassaq
302,Gedanke::N,pensiero,isumassaq
303,Gedächtnis::N,memoria,eqqaamannissuseq
304,Verstand::N,intelletto,isuma
305,Verstand::N,intelletto,sianissut
306,Verstand::N,intelletto,misigissut
307,Verstand::N,intelletto,sianissuseq
308,Verstand::N,intelletto,silaqassuseq
309,Sinn::N,senso,isuma
310,Sinn::N,significato,isuma
311,Grund::N,causa,patsit
312,Grund::N,motivo,patsit
313,Grund::N,ragione,patsit
314,Wahrheit::N,verità,sallusuissut
315,Gespräch::N,discorso,
316,Gespräch::N,conversazione,
317,Märchen::N,fiaba,oqalualaarut
318,Märchen::N,fiaba,oqaluasaaq
319,Märchen::N,fàvola,oqalualaarut
320,Märchen::N,fàvola,oqaluasaaq
321,Erzählung::N,racconto,oqaluttuaq
322,Erzählung::N,narrazione,oqaluttuaq
323,Nachricht::N,messaggio,oqaassut
324,Nachricht::N,messaggio,oqqersuut
325,Neuigkeit::N,notizia,tusarnartaq
326,Name::N,nome,ateq
327,Rätsel::N,indovinello,nalorsitsaarut
328,Rede::N,discorso,oqaluuseq
329,Sprache::N,lingua,oqaatsit
330,Sprache::N,linguaggio,oqaatsit
331,Stimme::N,voce,erinaq
332,Stimme::N,voce,qarluuseq
333,Wort::N,parola,oqaasii
334,Zeichen::N,segno,nalunaaqqut
335,Zeichen::N,segnale,nalunaaqqut
336,Ruf::N,chiamata,qaaqqussut
337,Lärm::N,chiasso,perpaluk
338,Lärm::N,strèpito,perpaluk
339,Laut::N,suono,torsukattak
340,Ton::N,tono,erinaq
341,Lied::N,canto,taalliaq
342,Lied::N,canto,erinarsuut
343,Lied::N,canzone,taalliaq
344,Lied::N,canzone,erinarsuut
345,Ruhe::N,calma,qatsunganeq
346,Ruhe::N,tranquillità,qatsunganeq
347,Leute::N,gente,inuiak
348,Leute::N,gente,inuiaqatigiit
349,Volk::N,pòpolo,inuiaat
350,Arbeit::N,lavoro,suliaq
351,Gast::N,òspite,qaaqqusaq
352,Gast::N,invitato,qaaqqusaq
353,Geschenk::N,regalo,pajugut
354,Spiel::N,gioco,
355,Gesellschaft::N,compagnìa,
356,Hilfe::N,aiuto,annertoqqut
357,Hilfe::N,soccorso,annertoqqut
358,Freund::N,amico,tiliaq
359,Freund::N,amico,ikinngut
360,Kamerad::N,camerata,tiliaq
361,Kamerad::N,camerata,ikinngut
362,Angelegenheit::N,affare,
363,Angelegenheit::N,faccenda,
364,Anzahl::N,nùmero,
365,Anzahl::N,quantità,
366,Art::N,tipo,ileqquuseq
367,Art::N,specie,ileqquuseq
368,Stück::N,pezzo,nakkaalaniku
369,Teil::N,parte,tassiaasat
370,Hälfte::N,metà,affaq
371,Kreis::N,cìrcolo,kaajaluinneq or kaajaluitsoq
372,Kreuz::N,croce,sanningasulik
373,Linie::N,lìnea,tittaq
374,Linie::N,lìnea,titarneq
375,Strich::N,tratto,
376,Abstand::N,distanza,aku
377,Abstand::N,distanza,ikiaq
378,Entfernung::N,distanza,asi
379,Entfernung::N,lontananza,asi
380,Gegend::N,regione,nuna
381,Platz::N,posto,ini
382,Platz::N,posto,inissaq
383,Platz::N,spazio,ini
384,Platz::N,spazio,inissaq
385,Ort::N,luogo,sumiiffik
386,Ort::N,località,sumiiffik
387,Seite::N,lato,saneraq
388,Seite::N,parte,saneraq
389,Mitte::N,mezzo,qiteq
390,Mitte::N,centro,qiteq
391,Gegenstand::N,oggetto,
392,Sache::N,cosa,pigisaq
393,Rand::N,orlo,sini
394,Rand::N,orlo,akerfineq
395,Rand::N,bordo,sini
