,Concept_ID,is,uk
192,Schmetterling::N,fiðrildi,метелик
193,Beere::N,ber,ягода
194,Apfel::N,epli,яблуко
195,Pilz::N,sveppur,гриб
196,Zwiebel::N,laukur,цибуля
197,Saat::N,fræ,сім’я
198,Saat::N,útsæði,сім’я
199,Korn::N,korn,зерно
200,Heu::N,hey,сіно
201,Schale::N,hýði,шкірка
202,Grube::N,gryfja,яма
203,Falle::N,gildra,пастка
204,Schlinge::N,snara,петля
205,Spur::N,spor,слід
206,Asche::N,aska,зола
207,Asche::N,aska,попіл
208,Dreck::N,óþverri,бруд
209,Eisen::N,járn,залізо
210,Gold::N,gull,золото
211,Silber::N,silfur,срібло
212,Kohle::N,kol,вугілля
213,Glas::N,gler,скло
214,Lehm::N,leir,глина
215,Sand::N,sandur,пісок
216,Mensch::N,maður,людина
217,Mensch::N,manneskja,людина
218,Mann::N,maður,чоловік
219,Mann::N,karlmaður,чоловік
220,Frau::N,kona,жінка
221,Kind::N,barn,дитина
222,Kind::N,krakki,дитина
223,Junge::N,drengur,хлопець
224,Mädchen::N,stelpa,дівчина
225,Familie::N,fjölskylda,сім’я
226,Familie::N,fjölskylda,родина
227,Großvater::N,afi,дідусь
228,Großmutter::N,amma,бабуся
229,Eltern::N,foreldrar,батьки
230,Vater::N,faðir,батько
231,Mutter::N,móðir,мати
232,Sohn::N,sonur,син
233,Tochter::N,dóttir,дочка
234,Bruder::N,bróðir,брат
235,Schwester::N,systir,сестра
236,Onkel::N,föðurbróðir,дядько
237,Tante::N,frænka,тітка
238,Tante::N,móðursystir,тітка
239,Ehemann::N,eiginmaður,чоловік
240,Ehefrau::N,eiginkona,жінка
241,Ehefrau::N,eiginkona,дружина
242,Freude::N,gleði,радощі
243,Gelächter::N,hlátur,сміх
244,Glück::N,gæfa,щастя
245,Kummer::N,sorg,горе
246,Wunsch::N,ósk,бажання
247,Lust::N,fýsn,бажання
248,Lust::N,löngun,бажання
249,Geist::N,andi,дух
250,Gedanke::N,hugsun,думка
251,Gedächtnis::N,minni,пам’ять
252,Verstand::N,vit,розум
253,Sinn::N,merking,зміст
254,Sinn::N,merking,значення
255,Grund::N,ástæða,причина
256,Wahrheit::N,sannleikur,правда
257,Gespräch::N,samtal,розмова
258,Märchen::N,ævintýri,байка
259,Erzählung::N,saga,повість
260,Erzählung::N,saga,оповідання
261,Nachricht::N,frétt,повідомлення
262,Neuigkeit::N,frétt,новина
263,Name::N,nafn,ім’я
264,Rätsel::N,gáta,загадка
265,Rede::N,ræða,промова
266,Sprache::N,mál,мова
267,Sprache::N,tungumál,мова
268,Stimme::N,rödd,голос
269,Wort::N,orð,слово
270,Zeichen::N,tákn,знак
271,Zeichen::N,merki,знак
272,Ruf::N,kall,оклик
273,Lärm::N,hávaði,шум
274,Laut::N,hljóð,звук
275,Ton::N,tónn,тон
276,Lied::N,ljóð,пісня
277,Lied::N,söngur,пісня
278,Ruhe::N,ró,спокій
279,Ruhe::N,kyrrð,спокій
280,Leute::N,fólk,люди
281,Volk::N,þjóð,народ
282,Arbeit::N,vinna,робота
283,Gast::N,gestur,гість
284,Geschenk::N,gjöf,подарунок
285,Spiel::N,leikur,гра
286,Gesellschaft::N,selskapur,товариство
287,Hilfe::N,hjálp,допомога
288,Freund::N,vinur,друг
289,Freund::N,vinur,приятель
290,Kamerad::N,félagi,товариш
291,Angelegenheit::N,mál,справа
292,Angelegenheit::N,málefni,справа
293,Anzahl::N,tala,число
294,Anzahl::N,fjöldi,число
295,Art::N,tegund,рід
296,Stück::N,biti,кусок
297,Stück::N,stykki,кусок
298,Teil::N,hluti,частина
299,Teil::N,partur,частина
300,Hälfte::N,helmingur,половина
301,Kreis::N,hringur,круг
302,Kreis::N,hringur,коло
303,Kreuz::N,kross,хрест
304,Kreuz::N,krossmark,хрест
305,Linie::N,lína,лінія
306,Strich::N,strik,штрих
307,Abstand::N,millibil,проміжок
308,Entfernung::N,fjarlægð,відстань
309,Gegend::N,hérað,місцевість
310,Platz::N,pláss,площа
311,Ort::N,staður,місце
312,Seite::N,hlið,сторона
313,Mitte::N,miðja,середина
314,Gegenstand::N,hlutur,предмет
315,Sache::N,mál,річ
316,Rand::N,brún,край
317,Kante::N,rönd,ребро
318,Ecke::N,horn,ріг
319,Spitze::N,oddur,кінчик
320,Ende::N,endi,кінець
321,Loch::N,gat,діра
322,Loch::N,hola,діра
323,Winkel::N,skot,куток
324,Winkel::N,krókur,куток
325,Muster::N,munstur,узор
326,Größe::N,stærð,розмір
327,Länge::N,lengd,довжина
328,Höhe::N,hæð,висота
329,Gewicht::N,vigt,вага
330,Gewicht::N,þyngd,вага
331,Menge::N,magn,кількість
332,Haufen::N,hrúga,купа
333,Haufen::N,haugur,купа
334,Reihe::N,röð,ряд
335,Boot::N,bátur,човен
336,Ruder::N,ár,весло
337,Schlitten::N,sleði,сани
338,Ski::N,skíði,лижа
339,Lagerfeuer::N,varðeldur,вогнище
340,Last::N,byrði,тягар
341,Last::N,byrði,вантаж
342,Last::N,farmur,тягар
343,Last::N,farmur,вантаж
344,Gang::N,ganga,хід
345,Schritt::N,skref,крок
346,Norden::N,norður,північ
347,Süden::N,suður,південь
348,Westen::N,vestur,захід
349,Osten::N,austur,схід
350,Holz::N,viður,дрова
351,Brett::N,fjöl,дошка
352,Platte::N,flötur,плита
353,Stütze::N,stoð,підпірка
354,Stange::N,stöng,жердина
355,Stock::N,prik,палиця
356,Stock::N,stafur,палиця
357,Stab::N,prik,палиця
358,Stab::N,stafur,палиця
359,Rohr::N,rör,труба
360,Rohr::N,pípa,труба
361,Haus::N,hús,дім
362,Haus::N,hús,хата
363,Heim::N,heimili,житло
364,Ofen::N,ofn,піч
365,Fußboden::N,gólf,підлога
366,Tisch::N,borð,стіл
367,Stuhl::N,stóll,стілець
368,Wiege::N,vagga,колиска
369,Bett::N,rúm,ліжко
370,Bett::N,rúm,постіль
371,Bett::N,hvíla,ліжко
372,Bett::N,hvíla,постіль
373,Regal::N,hilla,полиця
374,Kiste::N,kassi,ящик
375,Fenster::N,gluggi,вікно
376,Tür::N,dyr,двері
377,Tür::N,hurð,двері
378,Tor::N,hlið,ворота
379,Zaun::N,girðing,паркан
380,Zaun::N,girðing,огорожа
381,Zaun::N,limgarður,паркан
382,Zaun::N,limgarður,огорожа
383,Dach::N,þak,дах
384,Leiter::N,stigi,драбина
