,Concept_ID,ko,mn
0,Auge::N,눈,нүд
1,Ohr::N,귀,чих
2,Nase::N,코,хамар
3,Mund::N,입,ам
4,Zahn::N,이,шүд
5,Zunge::N,혀,хэл
6,Lippe::N,입술,уруул
7,Wange::N,뺨,хацар
8,Gesicht::N,얼굴,царай
9,Gesicht::N,얼굴,нүүр
10,Stirn::N,이마,дух
11,Haar::N,털,үс
12,Schnurrbart::N,윗수몀,дээд сахал
13,Schnurrbart::N,윗수몀,живэр сахал
14,Schnurrbart::N,코밑수염,дээд сахал
15,Schnurrbart::N,코밑수염,живэр сахал
16,Bart::N,수엄,сахал
17,Kinn::N,아래턱,эрүү
18,Kiefer[Anatomie]::N,턱,эрүү
19,Kehle::N,인후,хоолой
20,Hals::N,목,хүзүү
21,Genick::N,먹덜이,шил
22,Genick::N,먹덜이,хүзүү
23,Kopf::N,머리,толгой
24,Rücken::N,든,ар
25,Rücken::N,든,нуруу
26,Bauch::N,배,хэвлий
27,Bauch::N,배,гэдэс
28,Nabel::N,배꼽,хүйс
29,Busen::N,가슴속,хөх
30,Brust::N,가슴,цээж
31,Schulter::N,어깨,мөр
32,Schulter::N,어깨,бугалга
33,Arm::N,팔,гар
34,Ellenbogen::N,팔쿰치,тохой
35,Hand::N,손,гар
36,Hand::N,손,алга
37,Handfläche::N,손바닥,алга
38,Finger::N,속가락,хуруу
39,Fingernagel::N,손톱,хурууны хумс
40,Nagel[Anatomie]::N,손톱,хумс
41,Zeh::N,발가락,хуруу
42,Fuß::N,발,хөл
43,Ferse::N,발꿈치,өсгий
44,Knie::N,무릎,өвдөг
45,Oberschenkel::N,허벅다리,гуя
46,Bein::N,다리,хөл
47,Körper::N,구간,бие
48,Haut::N,살갗,арьс
49,Blut::N,피,цус
50,Ader::N,정맥,судас
51,Sehne::N,현,бүлх
52,Sehne::N,현,шандас
53,Knochen::N,뼈,яс
54,Gehirn::N,뇌,тархи
55,Gehirn::N,뇌수,тархи
56,Herz::N,염통,зүрх
57,Magen::N,위,ходоод
58,Leber::N,간,элэг
59,Atem::N,기식,амьсгаа
60,Hunger::N,공복,өлсгөлөн
61,Träne::N,눈물,нулимс
62,Geschmack::N,기호,амт
63,Geruch::N,냄새,үнэр
64,Schlaf::N,수면,нойр
65,Traum::N,쿰,зүүд
66,Himmel::N,하늘,тэнгэр
67,Himmel::N,하늘,огторгуй
68,Sonne::N,해,нар
69,Mond::N,달,сар
70,Stern::N,별,од
71,Luft::N,동준,агаар
72,Luft::N,가스채,агаар
73,Wind::N,바람,салхи
74,Welle::N,물결,долгио
75,Welle::N,물결,давалгаа
76,Wasser::N,물,ус
77,Stein::N,돌,чулуу
78,Boden::N,바닥,хөрс
79,Erde::N,흙,газар
80,Erde::N,흙,шороо
81,Staub::N,먼지,тоос
82,Rauch::N,연기,утаа
83,Funke::N,불티,оч
84,Feuer::N,불,гал
85,Licht::N,불,гэрэл
86,Licht::N,불,гэгээ
87,Schatten::N,어스레함,сүүдэр
88,Wetter::N,기상,тэнгэр
89,Wetter::N,기상,цаг уур
90,Nebel::N,안개,будан
91,Wolke::N,구름,үүл
92,Regen::N,비,бороо
93,Schnee::N,눈,цас
94,Eis::N,얼음,мөс
95,Frost::N,혹한,хүйт
96,Kälte::N,추위,хүйт
97,Kälte::N,차가움,хүйт
98,Hitze::N,고온,халуун
99,Hitze::N,더위,халуун
100,Regenbogen::N,무지개,солонго
101,Donner::N,뇌명,тэнгэрийн дуу
102,Strömung::N,유동,урсгал
103,Tropfen::N,물방울,дусал
104,Schaum::N,포말,хөөс
105,Schmutz::N,때,хир
106,Schmutz::N,때,шавхай
107,See::N,호수,нуур
108,Sumpf::N,습지,намаг
109,Sumpf::N,습지,балчиг
110,Moor::N,저습지,хүлрийн намаг
111,Wiese::N,목초지,нуга
112,Wald::N,숲,ой
113,Hügel::N,언덕,болдог
114,Anhöhe::N,언덕,гүвээ
115,Berg::N,산,уул
116,Gipfel::N,졀졍,орой
117,Gipfel::N,졀졍,оргил
118,Höhle::N,공동,агуй
119,Abhang::N,몰매,хүр
120,Quelle::N,근원,булаг
121,Bach::N,내,горхи
122,Fluss::N,강,гол
123,Fluss::N,강,мөрөн
124,Ufer::N,강변,эрэг
125,Ufer::N,바닷가,эрэг
126,Küste::N,해변,эрэг
127,Küste::N,해변가,эрэг
128,Festland::N,본토,хуурай газар
129,Meer::N,바다,далай
130,Meer::N,바다,тэнгис
131,Bucht::N,협만,булан
132,Bucht::N,협만,далайн тохой
133,Insel::N,섬,арал
134,Blume::N,꽃,цэцэг
135,Gras::N,풀,өвс
136,Gras::N,풀,ногоо
137,Wurzel::N,뿌리,үндэс
138,Baum::N,나무,мод
139,Stamm::N,대,иш
140,Stamm::N,대,гуалин
141,Rinde::N,나무껍질,холтос
142,Ast::N,가지,гишүү
143,Zweig::N,가지,салаа
144,Blatt::N,잎,навч
145,Birke::N,자작나무,хус
146,Kiefer[Baum]::N,소나무,нарс
147,Weide[Baum]::N,쉬양버들,уд
148,Weide[Baum]::N,쉬양버들,бургас
149,Tanne::N,전나무,гачуур
150,Horn::N,뿔,эвэр
151,Feder::N,깃털,өд
152,Fell::N,피혁모피,арьс
153,Flügel::N,날개,жигүүр
154,Flügel::N,날개,далавч
155,Klaue::N,갈고리 발톺,савар
156,Klaue::N,갈고리 발톺,хумс
157,Kralle::N,발툭,савар
158,Schwanz::N,꼬리,сүүл
159,Ei::N,알,өндөг
160,Nest::N,보금자리,үүр
161,Bau::N,굴,нүх
162,Bau::N,굴,элүү
163,Tier::N,짐승,амьтан
164,Tier::N,짐승,адгуус
165,Herde::N,가축의떼,сүрэг
166,Kuh::N,암소,үнээ
167,Bulle::N,황소,бух
168,Pferd::N,말,морь
169,Pferd::N,말,адуу
170,Schaf::N,양,хонь
171,Schwein::N,돼지,гахай
172,Hund::N,개,нохой
173,Katze::N,고양이,муур
174,Katze::N,고양이,мигуй
175,Bär::N,콤,баавгай
176,Eichhörnchen::N,다람쥐,хэрэм
177,Elch::N,고라니,хандгай
178,Fuchs::N,여우,үнэг
179,Hase::N,토끼,туулай
180,Maus::N,쥐,хулгана
181,Wolf::N,늑대,чоно
182,Vogel::N,새,шувуу
183,Schwarm::N,뗴,сүрэг
184,Huhn::N,암탉,тахиа
185,Hahn::N,수탉,эр тахиа
186,Gans::N,거위,галуу
187,Adler::N,수리,бүргэд
188,Ente::N,오리,нугас
189,Eule::N,부엉이,ууль
190,Kranich::N,두루미,тогоруу
191,Krähe::N,까마귀,хэрээ
192,Kuckuck::N,뻐꾸기,хөхөө
193,Schwan::N,배조,хун
194,Fisch::N,물고기,загас
195,Barsch::N,농어,алгана
196,Hecht::N,에속스,цурхай
197,Schlange[Tier]::N,뱀,могой
198,Wurm::N,벌레,өт
199,Wurm::N,벌레,хорхой
200,Spinne::N,거미,аалз
201,Ameise::N,개미,шоргоолж
202,Laus::N,이,бөөс
203,Mücke::N,모기,шумуул
204,Fliege::N,날기,ялаа
205,Schmetterling::N,나비,эрвээхэй
206,Beere::N,장과,жимсгэнэ
207,Apfel::N,사과,алим
208,Pilz::N,고방이,мөөг
209,Zwiebel::N,양파,сонгино
210,Saat::N,씨,тариа
211,Korn::N,알맹이,үр
212,Korn::N,알맹이,мөхлөг
213,Heu::N,건초,өвс
214,Schale::N,피상,хальс
215,Falle::N,함정,хавх
216,Falle::N,함정,занга
217,Schlinge::N,올가미,урхи
218,Schlinge::N,멜빵붕대,урхи
219,Spur::N,발지국,мөр
220,Asche::N,재,үнс
221,Dreck::N,똥,хир
222,Dreck::N,오물,хир
223,Eisen::N,쇠,төмөр
224,Eisen::N,철,төмөр
225,Gold::N,항금,алт
226,Silber::N,은,мөнгө
227,Kohle::N,슻,нүүрс
228,Glas::N,유리,шил
229,Lehm::N,찰흙,шавар
230,Sand::N,모래,элс
231,Mensch::N,사람,хүн
232,Mann::N,남자,эр
233,Mann::N,남자,эрэгтэй
234,Frau::N,여자,эмэгтэй
235,Frau::N,여자,хатагтай
236,Kind::N,아이,хүүхэд
237,Junge::N,소녁,хүү
238,Mädchen::N,소녀,охин
239,Mädchen::N,소녀,бүсгүй
240,Familie::N,가족,айл
241,Großvater::N,할아버지,өвгөн аав
242,Großmutter::N,할머니,эмэг эх
243,Großmutter::N,할머니,эмгээ
244,Eltern::N,어버오,эцэг эх
245,Vater::N,아버지,аав
246,Vater::N,아버지,эцэг
247,Mutter::N,어머니,эх
248,Mutter::N,어머니,ээж
249,Sohn::N,아들,хүү
250,Tochter::N,딸기,охин
251,Bruder::N,형제,ах
252,Bruder::N,형제,дүү
253,Schwester::N,누이,эгч
254,Schwester::N,누이,охин дүү
255,Onkel::N,백부,авга ах
256,Onkel::N,백부,нагац ах
257,Tante::N,아주머니,авга эгч
258,Tante::N,아주머니,нагац эгч
259,Ehemann::N,남편,нөхөр
260,Ehefrau::N,아내,эхнэр
261,Ehefrau::N,아내,гэргий
262,Freude::N,기쁨,баяр
263,Freude::N,기쁨,баясгалан
264,Gelächter::N,웃음,инээдэм
265,Glück::N,즐거움,жаргалан
266,Kummer::N,슬픔,гаслан
267,Wunsch::N,소망,ерөөл
268,Geist::N,할기,оюун
269,Gedanke::N,상념,сэтгэл
270,Gedächtnis::N,기억,ой
271,Gedächtnis::N,기억,цээж
272,Verstand::N,분별,ухаан
273,Verstand::N,지능,ухаан
274,Sinn::N,센스,утга
275,Grund::N,까닭,учир
276,Wahrheit::N,참,үнэн
277,Wahrheit::N,진실,үнэн
278,Gespräch::N,대화,яриа
279,Märchen::N,동화,явган үлгэр
280,Erzählung::N,이야기,тууж
281,Neuigkeit::N,뉴스,сонин
282,Name::N,이름,нэр
283,Rätsel::N,수수께끼,оньсого
284,Rede::N,연설,хэлсэн үг
285,Sprache::N,말,хэл
286,Stimme::N,목소리,дуу
287,Wort::N,낱말,үг
288,Zeichen::N,신호,тамга
289,Zeichen::N,신호,тэмдэг
290,Ruf::N,부름,дуудлага
291,Lärm::N,소동,шуугиан
292,Lärm::N,소동,чимээ
