,Concept_ID,tr,is
0,Auge::N,göz,auga
1,Ohr::N,kulak,eyra
2,Nase::N,burun,nef
3,Mund::N,ağız,munnur
4,Zahn::N,diş,tönn
5,Zunge::N,dil,tunga
6,Lippe::N,dudak,vör
7,Wange::N,yanak,kinn
8,Wange::N,yanak,vangi
9,Gesicht::N,yüz,andlit
10,Stirn::N,alın,enni
11,Haar::N,saç,hár
12,Schnurrbart::N,bıyık,yfirskegg
13,Bart::N,sakal,skegg
14,Kinn::N,çene,haka
15,Kiefer[Anatomie]::N,çene,kjálki
16,Kiefer[Anatomie]::N,çene,skoltur
17,Kehle::N,boğaz,kverk
18,Hals::N,boyun,háls
19,Hals::N,gerdan,háls
20,Genick::N,ense,hnakki
21,Kopf::N,baş,höfuð
22,Kopf::N,kafa,höfuð
23,Rücken::N,arka,hryggur
24,Bauch::N,karın,kviður
25,Nabel::N,göbek,nafli
26,Busen::N,koyun,barmur
27,Brust::N,göğüs,brjóst
28,Schulter::N,omuz,öxl
29,Arm::N,kol,armur
30,Ellenbogen::N,dirsek,olnbogi
31,Hand::N,el,hönd
32,Handfläche::N,avuç,lófi
33,Handfläche::N,el ayası,lófi
34,Finger::N,parmak,fingur
35,Fingernagel::N,el tırnağı,fingurnögl
36,Nagel[Anatomie]::N,tırnak,nögl
37,Zeh::N,ayak parmağı,tá
38,Fuß::N,ayak,fótur
39,Ferse::N,topuk,hæll
40,Knie::N,diz,kné
41,Oberschenkel::N,uyluk,læri
42,Bein::N,bacak,fótleggur
43,Körper::N,vücut,búkur
44,Körper::N,vücut,líkami
45,Haut::N,cilt,húð
46,Haut::N,cilt,skinn
47,Blut::N,kan,blóð
48,Ader::N,damar,æð
49,Sehne::N,kiriş,sin
50,Knochen::N,kemik,bein
51,Gehirn::N,beyin,heili
52,Herz::N,kalp,hjarta
53,Herz::N,yürek,hjarta
54,Magen::N,mide,magi
55,Leber::N,karaciğer,lifur
56,Atem::N,nefes,andi
57,Atem::N,nefes,andardráttur
58,Hunger::N,açlık,hungur
59,Träne::N,gözyaşı,tár
60,Geschmack::N,tat,smekkur
61,Geschmack::N,lezzet,smekkur
62,Geruch::N,koku,lykt
63,Schlaf::N,uyku,svefn
64,Traum::N,düş,draumur
65,Traum::N,rüya,draumur
66,Himmel::N,gök,himinn
67,Sonne::N,güneş,sól
68,Mond::N,ay,tungl
69,Stern::N,yıldız,stjarna
70,Luft::N,hava,loft
71,Wind::N,yel,vindur
72,Wind::N,rüzgâr,vindur
73,Welle::N,dalga,alda
74,Welle::N,dalga,bylgja
75,Wasser::N,su,vatn
76,Stein::N,taş,steinn
77,Boden::N,yer,botn
78,Boden::N,zemin,botn
79,Erde::N,toprak,jörð
80,Staub::N,toz,ryk
81,Staub::N,toz,duft
82,Rauch::N,duman,reykur
83,Funke::N,kıvılcım,neisti
84,Feuer::N,ateş,eldur
85,Licht::N,ışık,ljós
86,Schatten::N,gölge,skuggi
87,Wetter::N,hava,veður
88,Nebel::N,pus,þoka
89,Wolke::N,bulut,ský
90,Regen::N,yağmur,regn
91,Schnee::N,kar,snjór
92,Eis::N,buz,ís
93,Frost::N,don,frost
94,Kälte::N,soğukluk,kuldi
95,Hitze::N,sıcaklık,hiti
96,Raureif::N,kırç,hrím
97,Regenbogen::N,gökkuşağı,regnbogi
98,Donner::N,gök gürlemesi,þruma
99,Strömung::N,akıntı,straumur
100,Strömung::N,cereyan,straumur
101,Tropfen::N,damla,dropi
102,Schaum::N,köpük,froða
103,Schmutz::N,çamur,óhreinindi
104,Schmutz::N,pislik,óhreinindi
105,See::N,göl,stöðuvatn
106,Sumpf::N,batak,fen
107,Moor::N,cılgıt,mýri
108,Wiese::N,çimen,engi
109,Wald::N,koru,skógur
110,Wald::N,orman,skógur
111,Hügel::N,tepe,hæð
112,Hügel::N,tepe,hóll
113,Anhöhe::N,tümsek,hæð
114,Anhöhe::N,tümsek,hóll
115,Anhöhe::N,yükseklik,hæð
116,Anhöhe::N,yükseklik,hóll
117,Berg::N,dağ,fell
118,Berg::N,dağ,fjall
119,Gipfel::N,zirve,tindur
120,Höhle::N,in,hellir
121,Höhle::N,mağara,hellir
122,Abhang::N,bayır,hlíð
123,Abhang::N,bayır,brekka
124,Quelle::N,pınar,lind
125,Quelle::N,pınar,uppspretta
126,Quelle::N,kaynak,lind
127,Quelle::N,kaynak,uppspretta
128,Bach::N,çay,lækur
129,Bach::N,dere,lækur
130,Fluss::N,nehir,á
131,Fluss::N,nehir,fljót
132,Ufer::N,kıyı,árbakki
133,Ufer::N,kıyı,sjávarbakki
134,Ufer::N,sahil,árbakki
135,Ufer::N,sahil,sjávarbakki
136,Küste::N,kıyı,strönd
137,Küste::N,sahil,strönd
138,Festland::N,kara,meginland
139,Meer::N,deniz,haf
140,Meer::N,deniz,sjór
141,Bucht::N,koy,vík
142,Bucht::N,körfez,vík
143,Insel::N,ada,eyja
144,Blume::N,çiçek,blóm
145,Gras::N,ot,gras
146,Gras::N,çim,gras
147,Wurzel::N,kök,rót
148,Baum::N,ağaç,tré
149,Stamm::N,gövde,stofn
150,Rinde::N,kabuk,börkur
151,Ast::N,dal,grein
152,Ast::N,budak,grein
153,Zweig::N,dal,angi
154,Zweig::N,dal,kvistur
155,Blatt::N,yaprak,blað
156,Birke::N,huş,birki
157,Kiefer[Baum]::N,çam,fura
158,Weide[Baum]::N,söğüt,víðir
159,Tanne::N,çam,greni
160,Tanne::N,köknar,greni
161,Horn::N,boynuz,horn
162,Feder::N,tüy,fjöður
163,Fell::N,post,skinn
164,Flügel::N,kanat,vængur
165,Klaue::N,pençe,kló
166,Kralle::N,tırnak,kló
167,Schwanz::N,kuyruk,rófa
168,Schwanz::N,kuyruk,skott
169,Ei::N,yumurta,egg
170,Nest::N,yuva,hreiður
171,Bau::N,in,greni
172,Bau::N,in,bæli
173,Tier::N,hayvan,dýr
174,Herde::N,sürü,hjörð
175,Kuh::N,inek,kýr
176,Bulle::N,boğa,boli
177,Pferd::N,at,hestur
178,Pferd::N,beygir,hestur
179,Schaf::N,koyun,kind
180,Schwein::N,domuz,svín
181,Hund::N,it,hundur
182,Hund::N,köpek,hundur
