,Concept_ID,hi,ga
0,Auge::N,आँख,súil
1,Auge::N,चक्षु,súil
2,Ohr::N,कान,cluas
3,Ohr::N,कर्ण,cluas
4,Nase::N,नाक,soc
5,Nase::N,नासा,soc
6,Mund::N,मुख,béal
7,Mund::N,मुँह,béal
8,Zahn::N,दंत,fiacail
9,Zahn::N,दाँत,fiacail
10,Zunge::N,जीभ,teanga
11,Zunge::N,ज़बान,teanga
12,Zunge::N,जिह्वा,teanga
13,Lippe::N,ओंठ,liopa
14,Lippe::N,होंठ,liopa
15,Wange::N,गाल,grua
16,Wange::N,गाल,leiceann
17,Wange::N,कपोल,grua
18,Wange::N,कपोल,leiceann
19,Gesicht::N,मुँह,éadan
20,Gesicht::N,मुँह,aghaidh
21,Gesicht::N,चेहरा,éadan
22,Gesicht::N,चेहरा,aghaidh
23,Stirn::N,माथा,baithis
24,Stirn::N,माथा,clár éadain
25,Stirn::N,मस्तक,baithis
26,Stirn::N,मस्तक,clár éadain
27,Haar::N,बाल,gruaig
28,Schnurrbart::N,मूँछें,croiméal
29,Bart::N,दाढ़ी,féasóg
30,Kinn::N,चिबुक,smig
31,Kiefer[Anatomie]::N,जबड़ा,giall
32,Kehle::N,गला,scornach
33,Hals::N,गला,muinéal
34,Hals::N,गरदन,muinéal
35,Genick::N,गरदन,baic
36,Genick::N,ग्रीवा,baic
37,Kopf::N,सिर,ceann
38,Kopf::N,शीर्ष,ceann
39,Rücken::N,पीठ,droim
40,Bauch::N,उदर,bolg
41,Nabel::N,नाभि,imleacán
42,Nabel::N,ढोंढी,imleacán
43,Busen::N,कुच,cíoch
44,Busen::N,स्तन,cíoch
45,Brust::N,वक्ष,brollach
46,Schulter::N,कंधा,gualainn
47,Schulter::N,स्कंध,gualainn
48,Arm::N,बाँह,lámh
49,Arm::N,बाज़ू,lámh
50,Ellenbogen::N,कुहनी,uillinn
51,Hand::N,हाथ,lámh
52,Hand::N,हस्त,lámh
53,Handfläche::N,हथेली,bos
54,Finger::N,उँगली,méar
55,Finger::N,अँगुली,méar
56,Fingernagel::N,नख,ionga
57,Fingernagel::N,नाख़ून,ionga
58,Nagel[Anatomie]::N,नख,ionga
59,Nagel[Anatomie]::N,नाख़ून,ionga
60,Zeh::N,उँगली,ladhar
61,Zeh::N,पाँव की उँगली,ladhar
62,Fuß::N,चरण,cos
63,Fuß::N,चरण,troigh
64,Fuß::N,पाँव,cos
65,Fuß::N,पाँव,troigh
66,Ferse::N,एड़ी,sáil
67,Knie::N,जानु,glúin
68,Knie::N,घुटना,glúin
69,Oberschenkel::N,उरु,ceathrú
70,Bein::N,टाँग,cos
71,Körper::N,तन,corp
72,Körper::N,तन,colainn
73,Körper::N,देह,corp
74,Körper::N,देह,colainn
75,Körper::N,शरीर,corp
76,Körper::N,शरीर,colainn
77,Haut::N,चर्म,cneas
78,Haut::N,चर्म,craiceann
79,Haut::N,त्वचा,cneas
80,Haut::N,त्वचा,craiceann
81,Blut::N,लहू,fuil
82,Blut::N,ख़ून,fuil
83,Ader::N,रग,
84,Ader::N,शिरा,
85,Sehne::N,कंडरा,teannán
86,Sehne::N,कंडरा,féitheog
87,Sehne::N,स्नायु,teannán
88,Sehne::N,स्नायु,féitheog
89,Knochen::N,अस्थि,cnámh
90,Gehirn::N,दिमाग़,inchinn
91,Gehirn::N,मस्तिष्क,inchinn
92,Herz::N,दिल,croí
93,Herz::N,हृदय,croí
94,Magen::N,मेदा,bolg
95,Magen::N,मेदा,goile
96,Magen::N,अमाशय,bolg
97,Magen::N,अमाशय,goile
98,Leber::N,जिगर,ae
99,Leber::N,यकृत्,ae
100,Atem::N,दम,anáil
101,Atem::N,साँस,anáil
102,Atem::N,श्वास,anáil
103,Hunger::N,भूख,ocras
104,Hunger::N,क्षुधा,ocras
105,Träne::N,आँसू,deoir
106,Träne::N,अश्रु,deoir
107,Geschmack::N,स्वाद,blas
108,Geschmack::N,ज़ायक़ा,blas
109,Geruch::N,बू,boladh
110,Geruch::N,गंध,boladh
111,Schlaf::N,नींद,suan
112,Schlaf::N,नींद,codladh
113,Schlaf::N,निद्रा,suan
114,Schlaf::N,निद्रा,codladh
115,Traum::N,सपना,taibhreamh
116,Traum::N,स्वप्न,taibhreamh
117,Himmel::N,आकाश,spéir
118,Himmel::N,आसमान,spéir
119,Sonne::N,रवि,grian
120,Sonne::N,सूरज,grian
121,Sonne::N,सूर्य,grian
122,Mond::N,चाँद,ré
123,Mond::N,चाँद,gealach
124,Mond::N,चंद्र,ré
125,Mond::N,चंद्र,gealach
126,Stern::N,तारा,rinn
127,Stern::N,तारा,réalta
128,Stern::N,सितारा,rinn
129,Stern::N,सितारा,réalta
130,Luft::N,हवा,aer
131,Luft::N,वायु,aer
132,Wind::N,पाद,gaoth
133,Welle::N,लहर,tonn
134,Welle::N,तरंग,tonn
135,Wasser::N,जल,uisce
136,Wasser::N,पानी,uisce
137,Stein::N,पत्थर,cloch
138,Boden::N,मिट्टी,talamh
139,Erde::N,भूमि,cré
140,Erde::N,भूमि,ithir
141,Erde::N,ज़मीन,cré
142,Erde::N,ज़मीन,ithir
143,Staub::N,धूल,dusta
144,Staub::N,धूल,deannach
145,Rauch::N,धूआँ,toit
146,Rauch::N,धूआँ,deatach
147,Rauch::N,धुम्र,toit
148,Rauch::N,धुम्र,deatach
149,Funke::N,चिनगारी,drithle
150,Funke::N,स्फुलिंग,drithle
151,Feuer::N,आग,tine
152,Feuer::N,आतिश,tine
153,Feuer::N,अग्नि,tine
154,Licht::N,रोशनी,solas
155,Licht::N,प्रकाश,solas
156,Schatten::N,छाया,scáth
157,Schatten::N,परछाई,scáth
158,Wetter::N,ऋतु,aimsir
159,Wetter::N,मौसम,aimsir
160,Nebel::N,धुँध,ceo
161,Nebel::N,कुहरा,ceo
162,Wolke::N,मेघ,néal
163,Wolke::N,मेघ,scamall
164,Wolke::N,अभ्र,néal
165,Wolke::N,अभ्र,scamall
166,Regen::N,मेंह,báisteach
167,Regen::N,मेंह,fearthainn
168,Regen::N,बारिश,báisteach
169,Regen::N,बारिश,fearthainn
170,Schnee::N,हिम,sneachta
171,Schnee::N,बर्फ़,sneachta
172,Eis::N,हिम,oighear
173,Eis::N,बर्फ़,oighear
174,Frost::N,ठंड,sioc
175,Kälte::N,सर्दी,fuacht
176,Kälte::N,शीतलता,fuacht
177,Hitze::N,ताप,teas
178,Hitze::N,ताप,teocht
179,Hitze::N,गरमी,teas
180,Hitze::N,गरमी,teocht
181,Raureif::N,पाला,sioc bán
182,Regenbogen::N,इंद्र-धनुष,stua ceatha
183,Regenbogen::N,इंद्र-धनुष,bogha báistí
184,Donner::N,गरज,toirneach
185,Donner::N,मेघ-गर्जन,toirneach
186,Strömung::N,बहाव,sruth
187,Strömung::N,प्रवाह,sruth
188,Tropfen::N,बूँद,deoir
189,Schaum::N,झाग,cúr
190,Schmutz::N,गंद,salachar
191,Schmutz::N,कीचड़,salachar
192,See::N,झील,loch
193,See::N,सरोवर,loch
194,Sumpf::N,दलदल,portach
195,Sumpf::N,धँसान,portach
196,Moor::N,झाबर,caorán
197,Moor::N,झाबर,móinteán
198,Moor::N,धँसान,caorán
199,Moor::N,धँसान,móinteán
200,Wiese::N,घास-स्थल,cluain
201,Wiese::N,घास-स्थल,móinéar
202,Wald::N,जंगल,coill
203,Wald::N,जंगल,foraois
204,Hügel::N,टीला,ard
205,Hügel::N,पहाड़,ard
206,Anhöhe::N,टीला,ard
207,Anhöhe::N,टीला,ardán
208,Anhöhe::N,पहाड़ी,ard
209,Anhöhe::N,पहाड़ी,ardán
210,Berg::N,पहाड़,sliabh
211,Gipfel::N,शिखर,barr
212,Gipfel::N,शिखर,mullach
213,Höhle::N,गुहा,uaimh
214,Höhle::N,गुहा,pluais
215,Höhle::N,गुफ़ा,uaimh
216,Höhle::N,गुफ़ा,pluais
217,Abhang::N,ढाल,fána
218,Abhang::N,ढलान,fána
219,Quelle::N,चश्मा,foinse
220,Bach::N,सोता,sruthán
221,Bach::N,नदिका,sruthán
222,Fluss::N,नदी,abhainn
223,Fluss::N,सरिता,abhainn
224,Ufer::N,तट,bruach
225,Ufer::N,किनारा,bruach
226,Küste::N,समुद्र-तट,cósta
227,Küste::N,समुद्र-तट,cladach
228,Festland::N,महाद्वीप,míntír
229,Meer::N,सागर,muir
230,Meer::N,सागर,farraige
231,Meer::N,समुद्र,muir
232,Meer::N,समुद्र,farraige
233,Bucht::N,खाड़ी,bá
234,Bucht::N,खाड़ी,cuan
235,Insel::N,टापू,inis
236,Insel::N,टापू,oileán
237,Insel::N,द्वीप,inis
238,Insel::N,द्वीप,oileán
239,Blume::N,फूल,bláth
240,Blume::N,पुष्प,bláth
241,Gras::N,घास,féar
242,Wurzel::N,मूल,rúta
243,Wurzel::N,मूल,fréamh
244,Baum::N,पेड़,crann
245,Baum::N,वृक्ष,crann
246,Stamm::N,धड़,stoc
247,Stamm::N,धड़,tamhan
248,Rinde::N,छाल,coirt
249,Rinde::N,छाल,craiceann
250,Rinde::N,वल्कल,coirt
251,Rinde::N,वल्कल,craiceann
252,Ast::N,डाल,géag
253,Ast::N,शाखा,géag
254,Zweig::N,टहनी,géag
255,Zweig::N,टहनी,craobh
256,Blatt::N,पत्र,duille
257,Blatt::N,पत्र,duilleog
258,Blatt::N,पत्ता,duille
259,Blatt::N,पत्ता,duilleog
260,Birke::N,भूर्ज,beith
261,Birke::N,भूर्ज,crann beithe
262,Kiefer[Baum]::N,पाइन-वृक्ष,péine
263,Weide[Baum]::N,बेंत,saileach
264,Tanne::N,फ़र,giúis
265,Horn::N,सींग,adharc
266,Horn::N,विषाण,adharc
267,Feder::N,पर,cleite
268,Feder::N,पंख,cleite
269,Fell::N,खाल,clúmh
270,Fell::N,पशु-चर्म,clúmh
271,Flügel::N,पंख,eite
272,Flügel::N,पंख,sciathán
273,Flügel::N,डैना,eite
274,Flügel::N,डैना,sciathán
275,Klaue::N,पंजा,crúb
276,Klaue::N,पंजा,crobh
277,Kralle::N,पंजा,crobh
278,Kralle::N,नाख़ून,crobh
279,Schwanz::N,पूँछ,eireaball
280,Ei::N,अंडा,ubh
281,Nest::N,नीड़,nead
282,Nest::N,घोंसला,nead
283,Bau::N,बिल,brocais
284,Bau::N,माँद,brocais
