,Concept_ID,ml,bg
0,Auge::N,കണ്ണ്,око
1,Ohr::N,ചെവി,ухо
2,Nase::N,മൂക്ക്,нос
3,Mund::N,വായ,уста
4,Zahn::N,പല്ല്,зъб
5,Zunge::N,നാക്ക്,език
6,Lippe::N,ചുണ്ട്,устна
7,Wange::N,കവിൾത്തടം,буза
8,Gesicht::N,മുഖം,лице
9,Gesicht::N,മുഖം,образ
10,Stirn::N,നെറ്റി,чело
11,Haar::N,തലമുടി,коса
12,Haar::N,തലമുടി,косъм
13,Schnurrbart::N,മീശ,мустаци
14,Bart::N,താടിരോമം,брада
15,Kinn::N,താടി,брада
16,Kinn::N,താടി,брадичка
17,Kiefer[Anatomie]::N,താടിയെല്ല്,челюст
18,Kehle::N,കണ്ഠനാളം,гърло
19,Hals::N,കഴുത്ത്,врат
20,Genick::N,പിടലി,тил
21,Kopf::N,തല,глава
22,Rücken::N,മുതുക്,гръб
23,Bauch::N,നയറ്,корем
24,Nabel::N,നാഭി,пъп
25,Busen::N,സ്തനം,бозка
26,Brust::N,സ്തനം,гръд
27,Schulter::N,തോൾ,рамо
28,Schulter::N,തോൾ,плещи
29,Arm::N,കൈ,ръка
30,Ellenbogen::N,കൈമുട്ട്,лакът
31,Hand::N,കൈ,ръка
32,Hand::N,കൈ,китка
33,Handfläche::N,ഉള്ളം കൈ,длан
34,Finger::N,വിരൽ,пръст
35,Fingernagel::N,നഖം,нокът
36,Nagel[Anatomie]::N,നഖം,нокът
37,Zeh::N,കാൽവിരൽ,пръст на крак
38,Fuß::N,കാൽപ്പാദം,крак
39,Fuß::N,കാൽപ്പാദം,нога
40,Ferse::N,ഉപ്പൂറ്റി,пета
41,Knie::N,കാൽമുട്ട്,коляно
42,Oberschenkel::N,തുട,бедро
43,Bein::N,കാൽ,крак
44,Bein::N,കാൽ,нога
45,Körper::N,ശരീരം,тяло
46,Haut::N,ചർമ്മം,кожа
47,Blut::N,രക്തം,кръв
48,Ader::N,ഞരമ്പ്,вена
49,Ader::N,ഞരമ്പ്,артерия
50,Sehne::N,സ്നായു,жила
51,Sehne::N,സ്നായു,сухожилие
52,Knochen::N,അസ്ഥി,кост
53,Gehirn::N,തലച്ചോറ്,мозък
54,Herz::N,ഹൃദയം,сърце
55,Magen::N,വയർ,стомах
56,Leber::N,കരൾ,черен дроб
57,Atem::N,ശ്വാസം,дишане
58,Hunger::N,വിശപ്പ്,глад
59,Träne::N,കണ്ണീർ,сълза
60,Geschmack::N,രുചി,вкус
61,Geruch::N,ഗന്ധം,миризма
62,Schlaf::N,ഉറകും,сън
63,Traum::N,സ്വപ്നം,сън
64,Himmel::N,ആകാശം,небе
65,Sonne::N,സൂര്യൻ,слънце
66,Mond::N,ചന്ദ്രൻ,луна
67,Mond::N,ചന്ദ്രൻ,месец
68,Stern::N,നക്ഷത്രം,звезда
69,Luft::N,കാറ്റ്,въздух
70,Wind::N,കാറ്റ്,вятър
71,Welle::N,തിരമാല,вълна
72,Wasser::N,വെള്ളം,вода
73,Stein::N,ശില,камък
74,Stein::N,കല്ല്,камък
75,Boden::N,തറ,земя
76,Boden::N,തറ,почва
77,Boden::N,നിലം,земя
78,Boden::N,നിലം,почва
79,Erde::N,മണ്ണ്,земя
80,Erde::N,മണ്ണ്,почва
81,Staub::N,പൊടി,прах
82,Rauch::N,പുക,дим
83,Rauch::N,പുക,пушек
84,Funke::N,തീപ്പൊരി,искра
85,Feuer::N,തീ,огън
86,Licht::N,വിളക്ക്,светлина
87,Licht::N,സൂര്യപ്രകാശം,светлина
88,Schatten::N,തണൽ,сянка
89,Wetter::N,കാലാവസ്ഥ,време
90,Nebel::N,മൂടൽമഞ്ഞ്,мъгла
91,Wolke::N,മേഘം,облак
92,Regen::N,മഴ,дъжд
93,Schnee::N,മഞ്ഞ്,сняг
94,Eis::N,ഐസ്,лед
95,Frost::N,മൂടൽമഞ്ഞ്,мраз
96,Kälte::N,തണുപ്പ്,студ
97,Hitze::N,ചൂട്,жега
98,Hitze::N,ചൂട്,горещина
99,Raureif::N,കോടമഞ്ഞ്,скреж
100,Raureif::N,കോടമഞ്ഞ്,слана
101,Regenbogen::N,മഴവില്ല്,дъга
102,Donner::N,ഇടി,гръм
103,Strömung::N,പ്രവാഹം,течение
104,Tropfen::N,തുള്ളി,капка
105,Schaum::N,നുര,пяна
106,Schmutz::N,അഴുക്ക്,кал
107,Schmutz::N,അഴുക്ക്,мръсотия
108,See::N,തടാകം,езеро
109,Sumpf::N,ചതുപ്പുനിലം,блато
110,Moor::N,പാഴ്നിലം,мочурище
111,Wiese::N,പുൽത്തകിടി,ливада
112,Wald::N,വനം,гора
113,Wald::N,കാട്,гора
114,Hügel::N,കുന്ന്,рид
115,Hügel::N,കുന്ന്,хълм
116,Anhöhe::N,ഉയർന്ന ഭൂമി,могила
117,Anhöhe::N,ഉയർന്ന ഭൂമി,възвишение
118,Berg::N,പർവ്വതം,планина
119,Gipfel::N,ഉച്ചകോടി,връх
120,Höhle::N,ഗുഹ,пещера
121,Abhang::N,ചരിവ്,склон
122,Abhang::N,ചരിവ്,стръмнина
123,Quelle::N,ഉറവിടം,извор
124,Bach::N,അരുവി,поток
125,Fluss::N,നദി,река
126,Ufer::N,തീരം,бряг
127,Küste::N,കടൽത്തീരം,бряг
128,Küste::N,കടൽത്തീരം,крайбрежие
129,Festland::N,കര,суша
130,Meer::N,കടൽ,море
131,Bucht::N,ഉൾക്കടല്,залив
132,Insel::N,ദ്വീപ്,остров
133,Blume::N,പൂവ്,цвете
134,Gras::N,പുല്ല്,трева
135,Wurzel::N,വേര്,корен
136,Baum::N,മരം,дърво
137,Stamm::N,തായ്ത്തടി,стъбло
138,Rinde::N,പട്ട,кора
139,Ast::N,ശാഖ,клон
140,Zweig::N,ശാഖ,клон
141,Blatt::N,ഇല,лист
142,Birke::N,പൂവരശ്,бреза
143,Kiefer[Baum]::N,പൈൻമരം,бор
144,Weide[Baum]::N,വില്ലോ,върба
145,Tanne::N,ദേവദാരു,ела
146,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,рог
147,Feder::N,തൂവൽ,перо
148,Fell::N,മൃദുരോമം,кожа
149,Flügel::N,ചിറക്,крило
150,Klaue::N,നഖം,нокът
151,Kralle::N,നഖം,нокът
152,Schwanz::N,വാൽ,опашка
153,Ei::N,മുട്ട,яйце
154,Nest::N,കൂട്,гнездо
155,Bau::N,മാളം,дупка
156,Tier::N,മൃഗം,животно
157,Herde::N,കൂട്ടം,стадо
158,Kuh::N,പശു,крава
159,Bulle::N,കാള,бик
160,Pferd::N,കുതിര,кон
161,Schaf::N,ആട്,овца
