,Concept_ID,kn,nl
0,Auge::N,ಕಣ್ಣು,oog
1,Ohr::N,ಕಿವಿ,oor
2,Nase::N,ಮೂಗು,neus
3,Mund::N,ಬಾಯಿ,mond
4,Zahn::N,ಹಲ್ಲು,tand
5,Zunge::N,ನಾಲಿಗೆ,tong
6,Lippe::N,ತುಟಿ,lip
7,Wange::N,ಗಲ್ಲ,wang
8,Gesicht::N,ಮುಖ,gelaat
9,Gesicht::N,ಮುಖ,gezicht
10,Stirn::N,ಹಣೆ,voorhoofd
11,Haar::N,ಕೂದಲು,haar
12,Schnurrbart::N,ಮೀಸೆ,snor
13,Bart::N,ಗಡ್ಡ,baard
14,Kinn::N,ಗದ್ದ,kin
15,Kiefer[Anatomie]::N,ದವಡೆ,kaak
16,Kehle::N,ಗಂಟಲು,keel
17,Kehle::N,ಗಂಟಲು,strot
18,Hals::N,ಕೊರಳು,hals
19,Genick::N,ಹಿಂಗತ್ತು,nek
20,Kopf::N,ತಲೆ,hoofd
21,Rücken::N,ಬೆನ್ನು,rug
22,Bauch::N,ಹೊಟ್ಟೆ,buik
23,Nabel::N,ಹೊಕ್ಕುಳು,navel
24,Busen::N,ಸ್ತನ,boezem
25,Brust::N,ಎದೆ,borst
26,Schulter::N,ಭುಜ,schouder
27,Arm::N,ತೋಳು,arm
28,Ellenbogen::N,ಮೊಣಕೈ,elleboog
29,Hand::N,ಕೈ,hand
30,Handfläche::N,ಅಂಗೈ,handpalm
31,Finger::N,ಕೈಬೆರಳು,vinger
32,Fingernagel::N,ಉಗುರು,nagel
33,Nagel[Anatomie]::N,ಉಗುರು,nagel
34,Zeh::N,ಕಾಲ್ಬೆರಳು,teen
35,Fuß::N,ಪಾದ,voet
36,Ferse::N,ಹಿಮ್ಮಡಿ,hak
37,Ferse::N,ಹಿಮ್ಮಡಿ,hiel
38,Knie::N,ಮಂಡಿ,knie
39,Oberschenkel::N,ತೊಡೆ,dij
40,Bein::N,ಕಾಲು,been
41,Körper::N,ದೇಹ,lichaam
42,Haut::N,ಚರ್ಮ,huid
43,Blut::N,ರಕ್ತ,bloed
44,Ader::N,ನರ,ader
45,Sehne::N,ನರ,pees
46,Knochen::N,ಮೂಳೆ,bot
47,Knochen::N,ಮೂಳೆ,been
48,Knochen::N,ಮೂಳೆ,knook
