,Concept_ID,sl,cv
0,Auge::N,okó,куҫ
1,Ohr::N,uhó,хӑлха
2,Nase::N,nós,сӑмса
3,Mund::N,ústa,ҫӑвар
4,Zahn::N,zób,шӑл
5,Zunge::N,jêzik,чӗлхе
6,Lippe::N,ústnica,тута
7,Wange::N,líce,пит ҫӑмарти
8,Gesicht::N,oblíčje,пит
9,Gesicht::N,oblíčje,пит-куҫ
10,Stirn::N,čêlo,ҫамка
11,Haar::N,lás,ҫӳҫ
12,Schnurrbart::N,bŕki,усси
13,Bart::N,bráda,сухал
14,Kinn::N,bráda,янах
15,Kiefer[Anatomie]::N,čeljúst,янах
16,Kehle::N,gŕlo,пыр
17,Kehle::N,gŕlo,карланкӑ
18,Hals::N,vrát,пыр
19,Genick::N,zatílnik,ӗнсе
20,Kopf::N,gláva,пуҫ
21,Rücken::N,hrbèt,ҫурӑм
22,Bauch::N,trébuh,
23,Nabel::N,pópek,кӑвапа
24,Busen::N,nédrja,кӑкӑр
25,Brust::N,pŕsi,умӗ
26,Schulter::N,ráma,хул пуҫҫи
27,Schulter::N,plêče,хул пуҫҫи
28,Arm::N,rôka,алӑ
29,Ellenbogen::N,komólec,чавса
30,Hand::N,rôka,алӑ сыппи
31,Handfläche::N,dlán,ал лаппи
32,Finger::N,pŕst,пӳрне
33,Fingernagel::N,nóht na rôki,чӗрне
34,Nagel[Anatomie]::N,nóht,чӗрне
35,Zeh::N,pŕst na nôgi,пӳрне
36,Fuß::N,nôga,ура лаппи
37,Ferse::N,pêta,кӗле
38,Knie::N,koléno,чӗркуҫҫи
39,Oberschenkel::N,stêgno,пӗҫӗ
40,Bein::N,nôga,ура
41,Körper::N,teló,ӳт
42,Körper::N,teló,ӳт-пӳ
43,Haut::N,kóža,тир
44,Blut::N,krí,юн
45,Ader::N,žíla,вена
46,Sehne::N,kíta,шӑнӑр
47,Knochen::N,kóst,шӑмӑ
48,Gehirn::N,možgáni,миме
49,Herz::N,srcé,чӗре
50,Magen::N,želódec,хырӑмлӑх
51,Leber::N,jétra,пӗвер
52,Atem::N,díh,сывлав
53,Hunger::N,glád,выҫлӑх
54,Träne::N,sólza,куҫҫуль
55,Geschmack::N,okús,техӗм
56,Geruch::N,vónj,шӑршӑ
57,Schlaf::N,sèn,ыйхӑ
58,Schlaf::N,spánec,ыйхӑ
59,Traum::N,sánje,тӗлӗк
60,Himmel::N,nebó,пӗлӗт
61,Sonne::N,sónce,хӗвел
62,Mond::N,lúna,уйӑх
63,Mond::N,mésec,уйӑх
64,Stern::N,zvézda,ҫӑлтӑр
65,Luft::N,zràk,сывлӑш
66,Wind::N,véter,ҫил
67,Welle::N,vál,хум
68,Wasser::N,vôda,шыв
69,Wasser::N,vôda,шыв-шур
70,Stein::N,kámen,чул
71,Boden::N,tlà,тӑпра
72,Erde::N,pŕst,ҫӗр
73,Erde::N,zêmlja,ҫӗр
74,Staub::N,práh,тусан
75,Rauch::N,dìm,тӗтӗм
76,Funke::N,ískra,хӗм
77,Feuer::N,ôgenj,вут
78,Feuer::N,ôgenj,ҫулӑм
79,Licht::N,lúč,ҫутӑ
80,Schatten::N,sénca,сулхӑн
81,Wetter::N,vrême,ҫанталӑк
82,Nebel::N,meglà,тӗтре
83,Wolke::N,oblák,пӗлӗт
84,Regen::N,dèž,ҫумӑр
85,Schnee::N,snég,юр
86,Eis::N,léd,пӑр
87,Frost::N,zmrzál,сивӗ
88,Kälte::N,mràz,сивӗ
89,Hitze::N,pripéka,вӗри
90,Hitze::N,pripéka,шӑрӑх
91,Raureif::N,ívje,пас
92,Raureif::N,slána,пас
93,Regenbogen::N,mávrica,асамат кӗперӗ
94,Donner::N,gròm,аслати
95,Strömung::N,strúja,юхӑ
96,Tropfen::N,káplja,тумлам
97,Schaum::N,péna,кӑпӑк
98,Schmutz::N,nesnága,пылчӑк
99,See::N,jézero,кӳлӗ
100,Sumpf::N,močvírje,шур
101,Sumpf::N,močvírje,шурлӑх
102,Moor::N,bárje,торфлӑ шурлӑх
103,Wiese::N,trávnik,улӑх
104,Wiese::N,trávnik,ҫаран
105,Wald::N,lés,вӑрман
106,Wald::N,gòzd,вӑрман
107,Hügel::N,brég,сӑрт
108,Hügel::N,brég,тӗмеске
109,Hügel::N,goríca,сӑрт
110,Hügel::N,goríca,тӗмеске
111,Anhöhe::N,gríč,сӑрт
112,Anhöhe::N,višína,сӑрт
113,Berg::N,gôra,ту
114,Berg::N,planína,ту
115,Gipfel::N,vŕh,тӳпе
116,Höhle::N,jáma,ҫӗр хӑвӑлӗ
117,Höhle::N,votlína,ҫӗр хӑвӑлӗ
118,Abhang::N,pobóčje,тӑвайкки
119,Quelle::N,izvír,ҫӑл куҫ
120,Bach::N,pôtok,пӗчӗк шыв
121,Fluss::N,réka,юхан шыв
122,Ufer::N,brég,ҫыран
123,Küste::N,obála,тинӗс ҫыранӗ
124,Küste::N,obréžje,тинӗс ҫыранӗ
125,Festland::N,celína,тип ҫӗр
