,Concept_ID,br,lez
0,Auge::N,lagad,вил
1,Ohr::N,skouarn,яб
2,Nase::N,fri,нер
3,Mund::N,genoù,сив
4,Zahn::N,dant,сас
5,Zahn::N,dant,свах
6,Zunge::N,teod,мез
7,Lippe::N,muzell,пӏуз
8,Wange::N,chot,хъвехъ
9,Gesicht::N,dremm,ччин
10,Stirn::N,tal,пел
11,Haar::N,blev,чӏар
12,Schnurrbart::N,mourenn,спел
13,Schnurrbart::N,mourenn,спелар
14,Bart::N,barv,ччуру
15,Kinn::N,groñj,чене
16,Kiefer[Anatomie]::N,javed,чене
17,Kehle::N,gouzoug,туьд
18,Hals::N,gouzoug,гардан
19,Genick::N,choug,кьам
20,Kopf::N,penn,кьил
21,Rücken::N,kein,далу
22,Bauch::N,kof,руфун
23,Nabel::N,begel,пицӏ
24,Busen::N,bronn,мам
25,Brust::N,bruched,хур
26,Schulter::N,skoaz,къуьн
27,Arm::N,brec'h,гъил
28,Ellenbogen::N,ilin,кьуьнт
29,Hand::N,dorn,капаш
30,Handfläche::N,palv,капан юкь
31,Finger::N,biz,тӏуб
32,Fingernagel::N,ivin,кек
33,Nagel[Anatomie]::N,ivin,кек
34,Zeh::N,biz-troad,кул
35,Fuß::N,troad,кӏвач
36,Ferse::N,seul,дабан
37,Knie::N,glin,мет
38,Oberschenkel::N,morzhed,
39,Bein::N,gar,кӏвач
40,Körper::N,korf,беден
41,Haut::N,kroc'hen,хам
42,Blut::N,gwad,иви
43,Ader::N,gwazhi,дамар
44,Sehne::N,stir,кьуру дамар
45,Knochen::N,askorn,кӏараб
46,Gehirn::N,empenn,мефт
47,Herz::N,kalon,рикӏ
48,Magen::N,stomog,хук
49,Leber::N,avu,лекь
50,Atem::N,anal,ял
51,Atem::N,anal,нефес
52,Hunger::N,naon,каш
53,Träne::N,daer,вилин нагъв
54,Geschmack::N,blaz,дад
55,Geschmack::N,blaz,тӏям
56,Geruch::N,c'hwezh,ни
57,Schlaf::N,kousked,ахвар
58,Traum::N,hune,ахвар
59,Himmel::N,oabl,цав
60,Sonne::N,heol,рагъ
61,Mond::N,loar,варз
62,Stern::N,steredenn,гъед
63,Luft::N,aer,гьава
64,Wind::N,avel,гар
65,Welle::N,houlenn,лепе
66,Wasser::N,dour,яд
67,Stein::N,maen,къван
68,Boden::N,tachenn,накьв
69,Erde::N,douar,ччил
70,Staub::N,poultr,руг
71,Rauch::N,moged,гум
72,Funke::N,ful,цӏелхем
73,Feuer::N,tan,цӏай
74,Licht::N,gouloù,экв
75,Schatten::N,disheol,серин
76,Wetter::N,amzer,гьава
77,Nebel::N,brumenn,ччилин циф
78,Wolke::N,koumoulenn,циф
79,Regen::N,glav,марф
80,Schnee::N,erc'h,жив
81,Eis::N,skorn,мурк
82,Frost::N,rev,аяз
83,Kälte::N,yen,мекь
84,Kälte::N,yen,мекьивал
85,Hitze::N,tommder,зегьем
86,Raureif::N,frim,къирав
87,Regenbogen::N,gwareg-ar-glav,яргъируш
88,Donner::N,kurun,цавун ван
89,Strömung::N,red,
90,Tropfen::N,bannac'h,стӏал
91,Tropfen::N,takenn,стӏал
92,Schaum::N,spoum,каф
93,Schmutz::N,fank,чирк
94,Schmutz::N,fank,кьуруш
95,See::N,lenn,вир
96,Sumpf::N,gwern,уьлен
97,Moor::N,taouarc'heg,
98,Wiese::N,prad,векь
99,Wald::N,koad,там
100,Hügel::N,torgenn,кӏунтӏ
101,Anhöhe::N,run,тепе
102,Anhöhe::N,run,гьуьндуьрвал
103,Berg::N,menez,дагъ
104,Gipfel::N,barr,кӏукӏ
105,Höhle::N,kav,кьветӏ
106,Abhang::N,naou,гуьне
107,Quelle::N,feunteun,чешме
108,Bach::N,gwazh,булах
109,Fluss::N,stêr,вацӏ
110,Ufer::N,ribl,къерех
111,Küste::N,aod,къерех
112,Festland::N,douar,кьурамат
113,Meer::N,mor,гьуьл
114,Bucht::N,mor-bihan,бухта
115,Insel::N,enez,остров
116,Blume::N,bleunienn,цуьк
117,Gras::N,geot,хъач
118,Wurzel::N,gwrizienn,дувул
119,Baum::N,gwezenn,ттар
120,Stamm::N,kef,тан
121,Rinde::N,rusk,чкал
122,Ast::N,barr,тӏур
123,Zweig::N,bod,хел
124,Blatt::N,delienn,пеш
125,Birke::N,bezvenn,верх
126,Kiefer[Baum]::N,pinenn,шамагъаж
127,Weide[Baum]::N,halegenn,цӏвелин ттар
128,Tanne::N,sapenn,ель
129,Horn::N,korn,карч
130,Feder::N,pluñv,цӏакул
131,Fell::N,kreoñ,хам
132,Flügel::N,askell,лув
133,Klaue::N,skilf,къармах
134,Kralle::N,skilf,пац
135,Kralle::N,skilf,тапас
136,Schwanz::N,lost,ттум
