,Concept_ID,myv,kn
0,Auge::N,сельме,ಕಣ್ಣು
1,Ohr::N,пиле,ಕಿವಿ
2,Nase::N,судо,ಮೂಗು
3,Mund::N,курго,ಬಾಯಿ
4,Zahn::N,пей,ಹಲ್ಲು
5,Zunge::N,кель,ನಾಲಿಗೆ
6,Lippe::N,турва,ತುಟಿ
7,Wange::N,чамабока,ಗಲ್ಲ
8,Wange::N,чамаумарь,ಗಲ್ಲ
9,Gesicht::N,чама,ಮುಖ
10,Stirn::N,коня,ಹಣೆ
11,Haar::N,черь,ಕೂದಲು
12,Schnurrbart::N,ус,ಮೀಸೆ
13,Schnurrbart::N,муюк,ಮೀಸೆ
14,Bart::N,сакал,ಗಡ್ಡ
15,Kinn::N,уло,ಗದ್ದ
16,Kiefer[Anatomie]::N,пейпакар,ದವಡೆ
17,Kiefer[Anatomie]::N,пейловажа,ದವಡೆ
18,Kehle::N,кирьгапарь,ಗಂಟಲು
19,Hals::N,кирьга,ಕೊರಳು
20,Genick::N,човонь,ಹಿಂಗತ್ತು
21,Kopf::N,пря,ತಲೆ
22,Rücken::N,копорь,ಬೆನ್ನು
23,Bauch::N,пеке,ಹೊಟ್ಟೆ
24,Nabel::N,почо,ಹೊಕ್ಕುಳು
25,Busen::N,поте,ಸ್ತನ
26,Brust::N,меште,ಎದೆ
27,Schulter::N,лавтов,ಭುಜ
28,Arm::N,кедь,ತೋಳು
29,Ellenbogen::N,кенерепакарь,ಮೊಣಕೈ
30,Hand::N,кедь,ಕೈ
31,Handfläche::N,кедькуншка,ಅಂಗೈ
32,Handfläche::N,кедьлапушка,ಅಂಗೈ
33,Finger::N,сур,ಕೈಬೆರಳು
34,Fingernagel::N,кенже,ಉಗುರು
35,Nagel[Anatomie]::N,кенже,ಉಗುರು
36,Zeh::N,пильге сур,ಕಾಲ್ಬೆರಳು
37,Fuß::N,пильге,ಪಾದ
38,Ferse::N,кочкаря,ಹಿಮ್ಮಡಿ
39,Knie::N,эле,ಮಂಡಿ
40,Knie::N,эзне,ಮಂಡಿ
41,Knie::N,кумажа,ಮಂಡಿ
42,Oberschenkel::N,качо,ತೊಡೆ
43,Bein::N,пильге,ಕಾಲು
44,Körper::N,рунго,ದೇಹ
45,Haut::N,киське,ಚರ್ಮ
46,Blut::N,верь,ರಕ್ತ
47,Ader::N,сан,ನರ
48,Sehne::N,коське сан,ನರ
49,Knochen::N,пакарь,ಮೂಳೆ
50,Gehirn::N,удем,ಮಿದುಳು
51,Herz::N,седей,ಹೃದಯ
52,Magen::N,пеке,ಉದರ
53,Leber::N,максо,ಯಕೃತ್ತು
54,Atem::N,лексема,ಉಸಿರು
55,Atem::N,оймень таргсема,ಉಸಿರು
56,Hunger::N,вачочи,ಹಸಿವು
57,Träne::N,селведь,ಕಣ್ಣೀರು
58,Geschmack::N,тансть,ರುಚಿ
59,Geruch::N,чине,ವಾಸನೆ
60,Schlaf::N,удома,ನಿದ್ರೆ
61,Traum::N,он,ಕನಸು
62,Himmel::N,менель,ಬಾನು
63,Sonne::N,чи,ಸೂರ್ಯ
64,Mond::N,ков,ಚಂದ್ರ
65,Stern::N,теште,ಚುಕ್ಕಿ
66,Luft::N,кошт,ವಾಯು
67,Wind::N,варма,ಗಾಳಿ
68,Welle::N,толкун,ಅಲೆ
69,Wasser::N,ведь,ನೀರು
70,Stein::N,кев,ಕಲ್ಲು
71,Boden::N,мода,ನೆಲ
72,Erde::N,мастор,ಭೂಮಿ
73,Staub::N,пуль,ದೂಳು
74,Rauch::N,качамо,ಹೊಗೆ
75,Funke::N,сятко,ಕಿಡಿ
76,Feuer::N,тол,ಬೆಂಕಿ
77,Licht::N,валдо,ಬೆಳಕು
78,Schatten::N,сулей,ನೆರಳು
79,Schatten::N,сулейкс,ನೆರಳು
80,Wetter::N,ушо,ಹವ
81,Nebel::N,сув,ಮಂಜು
82,Wolke::N,пель,ಮೋಡ
83,Regen::N,пиземс,ಮಳೆ
84,Schnee::N,лов,ಹಿಮ
85,Eis::N,эй,ಮಂಜುಗಡ್ಡೆ
86,Frost::N,кельме,ಮಂಜು
87,Kälte::N,якшамо,ಹಿಮ
88,Hitze::N,пси,ಉಷ್ಣ
89,Raureif::N,лекш,ಇಬ್ಬನಿ
90,Regenbogen::N,пурьгинечирьке,ಇಂದ್ರಚಾಪ
91,Regenbogen::N,пурьгинеёнкс,ಇಂದ್ರಚಾಪ
92,Donner::N,пурьгине,ಗುಡುಗು
93,Strömung::N,чудема,ಪ್ರವಾಹ
94,Strömung::N,чудевкс,ಪ್ರವಾಹ
95,Tropfen::N,петнявкс,ತೊಟ್ಟು
96,Schaum::N,чов,ನೊರೆ
97,Schmutz::N,рудаз,ಕಸ
98,See::N,эрьке,ಸರೋವರ
99,Sumpf::N,чей,ಜೌಗುಸ್ಥಳ
100,Moor::N,чей,ಬಂಜರು ಭೂಮಿ
101,Wiese::N,луга,ಹುಲ್ಲುಗಾವಲು
102,Wald::N,вирь,ಕಾಡು
103,Hügel::N,губорь,ಗುಡ್ಡೆ
104,Hügel::N,пандыне,ಗುಡ್ಡೆ
105,Anhöhe::N,губорь,ದಿಬ್ಬ
106,Anhöhe::N,пандыне,ದಿಬ್ಬ
107,Berg::N,пандо,ಮಲೆ
108,Berg::N,пандо,ಪರ್ವತ
109,Gipfel::N,пря,ಶೃಂಗ
110,Höhle::N,пещера,ಗುಹೆ
111,Abhang::N,пандочама,ಇಳಿಜಾರು
112,Quelle::N,ушодкс,ಮೂಲ
113,Bach::N,чудикерькс,ತೊರೆ
114,Fluss::N,лей,ನದಿ
115,Ufer::N,чире,ತೀರ
116,Küste::N,лейчире,ದಂಡೆ
117,Festland::N,мода,ಭೂಮಿ
118,Meer::N,моря,ಕಡಲು
119,Bucht::N,усия,ಖಾರಿ
120,Insel::N,усия,ದ್ವೀಪ
121,Blume::N,цеця,ಸುಮ
122,Gras::N,тикше,ಹುಲ್ಲು
123,Wurzel::N,юр,ಬೇರು
124,Wurzel::N,ундокс,ಬೇರು
125,Baum::N,чувто,ಮರ
126,Stamm::N,рунго,ಕಾಂಡ
127,Rinde::N,суд,ತೂಗಟಿ
128,Rinde::N,керь,ತೂಗಟಿ
129,Ast::N,морго,ಶಾಖೆ
130,Zweig::N,тарад,ರೆಂಬೆ
131,Blatt::N,лопа,ಎಲೆ
132,Birke::N,килей,ಬರ್ಚ್ ಮರ
133,Kiefer[Baum]::N,пиче,ದೇವದಾರು ಮರ
134,Weide[Baum]::N,каль,ವಿಲೋಮರ
135,Tanne::N,куз,ಭದ್ರದಾರು
136,Horn::N,сюро,ಕೊಂಬು
137,Feder::N,толга,ಪುಕ್ಕ
138,Fell::N,пона,ರೋಮ
139,Flügel::N,сёлмо,ರೆಕ್ಕೆ
140,Klaue::N,кенже,ಪಂಜ
141,Kralle::N,кенже,ಉಗುರು
142,Schwanz::N,пуло,ಬಾಲ
143,Ei::N,ал,ಮೊಟ್ಟೆ
144,Nest::N,пизэ,ಗೂಡು
145,Bau::N,варя,ಅಡಗುದಾಣ
146,Bau::N,пизе,ಅಡಗುದಾಣ
147,Tier::N,ракша,ಪ್ರಾಣಿ
148,Herde::N,стада,ಗುಂಪು
149,Kuh::N,скал,ಹಸು
150,Bulle::N,бука,ಗೂಳಿ
151,Pferd::N,лишме,ಕುದುರೆ
152,Schaf::N,реве,ಕುರಿ
153,Schwein::N,туво,ಹಂದಿ
154,Hund::N,пине,ನಾಯಿ
155,Hund::N,киска,ನಾಯಿ
156,Katze::N,псака,ಬೆಕ್ಕು
157,Bär::N,овто,ಕರಡಿ
158,Eichhörnchen::N,ур,ಉಡುತೆ
159,Elch::N,сярдо,ಕಡವೆ
160,Fuchs::N,ривезь,ನರಿ
161,Hase::N,нумоло,ಮೊಲ
162,Maus::N,чеерь,ಇಲಿ
163,Wolf::N,верьгиз,ತೋಳ
164,Vogel::N,нармунь,ಪಕ್ಷಿ
165,Schwarm::N,полк,ಗುಂಪು
166,Schwarm::N,стада,ಗುಂಪು
167,Huhn::N,сараз,ಚಿಕ್
168,Hahn::N,атякш,ಹುಂಜ
169,Gans::N,гала,ವರಟೆ
170,Gans::N,мацей,ವರಟೆ
171,Adler::N,куцькан,ಗರುಡ
172,Adler::N,тумоатякш,ಗರುಡ
173,Ente::N,яксярго,ಬಾತು
174,Eule::N,корж,ಗೂಬೆ
175,Kranich::N,карго,ಕೊಕ್ಕರ
176,Krähe::N,варака,ಕಾಗೆ
177,Kuckuck::N,куко,ಕೋಗಿಲೆ
178,Schwan::N,локсей,ಹಂಸಪಕ್ಷಿ
