,Concept_ID,sl,hr
0,Auge::N,okó,oko
1,Ohr::N,uhó,uho
2,Nase::N,nós,nos
3,Mund::N,ústa,usta
4,Zahn::N,zób,zub
5,Zunge::N,jêzik,jezik
6,Lippe::N,ústnica,usna
7,Wange::N,líce,obraz
8,Gesicht::N,oblíčje,lice
9,Stirn::N,čêlo,čelo
10,Haar::N,lás,kosa
11,Schnurrbart::N,bŕki,brkovi
12,Bart::N,bráda,brada
13,Kinn::N,bráda,brada
14,Kinn::N,bráda,podbradak
15,Kiefer[Anatomie]::N,čeljúst,čeljust
16,Kehle::N,gŕlo,grlo
17,Hals::N,vrát,vrat
18,Genick::N,zatílnik,zatiljak
19,Kopf::N,gláva,glava
20,Rücken::N,hrbèt,leđa
21,Rücken::N,hrbèt,hrbat
22,Bauch::N,trébuh,trbuh
23,Nabel::N,pópek,pupak
24,Busen::N,nédrja,sisa
25,Busen::N,nédrja,njedra
26,Brust::N,pŕsi,prsa
27,Schulter::N,ráma,rame
28,Schulter::N,ráma,pleći
29,Schulter::N,plêče,rame
30,Schulter::N,plêče,pleći
31,Arm::N,rôka,ruka
32,Ellenbogen::N,komólec,lakat
33,Hand::N,rôka,ruka
34,Handfläche::N,dlán,dlan
35,Finger::N,pŕst,prst
36,Fingernagel::N,nóht na rôki,nokat
37,Nagel[Anatomie]::N,nóht,nokat
38,Zeh::N,pŕst na nôgi,nozni prst
39,Fuß::N,nôga,noga
40,Fuß::N,nôga,stopalo
41,Ferse::N,pêta,peta
42,Knie::N,koléno,koljeno
43,Oberschenkel::N,stêgno,bedro
44,Bein::N,nôga,noga
45,Körper::N,teló,tijelo
46,Haut::N,kóža,put
47,Haut::N,kóža,koža
48,Blut::N,krí,krv
49,Ader::N,žíla,žila
50,Sehne::N,kíta,tetiva
51,Knochen::N,kóst,kost
52,Gehirn::N,možgáni,
53,Herz::N,srcé,srce
54,Magen::N,želódec,stomak
55,Magen::N,želódec,želudac
56,Leber::N,jétra,jetra
57,Atem::N,díh,dah
58,Hunger::N,glád,glad
59,Träne::N,sólza,suza
60,Geschmack::N,okús,ukus
61,Geruch::N,vónj,njuh
62,Geruch::N,vónj,miris
63,Schlaf::N,sèn,san
64,Schlaf::N,spánec,san
65,Traum::N,sánje,san
66,Himmel::N,nebó,nebo
67,Sonne::N,sónce,sunce
68,Mond::N,lúna,mjesec
69,Mond::N,mésec,mjesec
70,Stern::N,zvézda,zvijezda
71,Luft::N,zràk,zrak
72,Wind::N,véter,vjetar
73,Welle::N,vál,val
74,Welle::N,vál,talas
75,Wasser::N,vôda,voda
76,Stein::N,kámen,kamen
77,Boden::N,tlà,tlo
78,Boden::N,tlà,zemlja
79,Erde::N,pŕst,zemlja
80,Erde::N,zêmlja,zemlja
81,Staub::N,práh,prah
82,Staub::N,práh,prašina
83,Rauch::N,dìm,dim
84,Funke::N,ískra,iskra
85,Funke::N,ískra,varnica
86,Feuer::N,ôgenj,vatra
87,Licht::N,lúč,svjetlo
88,Schatten::N,sénca,hlad
89,Schatten::N,sénca,sjena
90,Wetter::N,vrême,vrijeme
91,Nebel::N,meglà,magla
92,Wolke::N,oblák,oblak
93,Regen::N,dèž,kiša
94,Schnee::N,snég,snijeg
95,Eis::N,léd,led
96,Frost::N,zmrzál,mraz
97,Kälte::N,mràz,studen
98,Kälte::N,mràz,hladnoća
99,Hitze::N,pripéka,vrućina
100,Raureif::N,ívje,inje
101,Raureif::N,slána,inje
102,Regenbogen::N,mávrica,duga
103,Donner::N,gròm,grom
104,Donner::N,gròm,grmljavina
105,Strömung::N,strúja,struja
106,Strömung::N,strúja,strujanje
107,Tropfen::N,káplja,kap
108,Tropfen::N,káplja,kaplja
109,Schaum::N,péna,pjena
110,Schmutz::N,nesnága,nečistoća
111,Schmutz::N,nesnága,prljavština
112,See::N,jézero,jezero
113,Sumpf::N,močvírje,bara
114,Moor::N,bárje,močvara
115,Wiese::N,trávnik,livada
116,Wald::N,lés,šuma
117,Wald::N,gòzd,šuma
118,Hügel::N,brég,brijeg
119,Hügel::N,brég,brežuljak
