,Concept_ID,lt,la
1080,wollen::V,norėti,velle
1081,anfangen::V,pradėti,incipere
1082,anfangen::V,prasid́ėti,incipere
1083,beenden::V,baigti,finire
1084,beenden::V,užbaigti,finire
1085,aufhören::V,liautis,desistere
1086,gelingen::V,pavykti,contingere
1087,gelingen::V,pasisekti,contingere
1088,geraten::V,nusisekti,evenire
1089,öffnen::V,atverti,aperire
1090,öffnen::V,atidaryti,aperire
1091,schließen::V,uždaryti,claudere
1092,stellen::V,statyti,sistere
1093,stellen::V,pastatyti,sistere
1094,setzen::V,sodinti,ponere
1095,setzen::V,pasodinti,ponere
1096,legen::V,dėti,ponere
1097,legen::V,pad́ėti,ponere
1098,berühren::V,liesti,tangere
1099,berühren::V,paliesti,tangere
1100,verbinden::V,jungti,iungere
1101,verbinden::V,surišti,iungere
1102,bedecken::V,uždengti,tegere
1103,bedecken::V,uždengti,operire
1104,aufhängen::V,pakarti,suspendere
1105,aufhängen::V,pakabinti,suspendere
1106,anzünden::V,padegti,accendere
1107,anzünden::V,padegti,inflammare
1108,aufheben::V,pakelti,tollere
1109,zurücklassen::V,palikti,relinquere
1110,verlieren::V,pamesti,perdere
1111,verlieren::V,pamesti,amittere
1112,fallen lassen::V,atsisakyti,dimittere
1113,machen::V,dirbti,facere
1114,herstellen::V,gaminti,fabricare
1115,bauen::V,statyti,construere
1116,bauen::V,pastatyti,construere
1117,reparieren::V,taisyti,reparare
1118,reparieren::V,remontuoti,reparare
1119,verbessern::V,gerinti,emendare
1120,verbessern::V,ištaisyti,emendare
1121,ändern::V,keisti,mutare
1122,ändern::V,pakeisti,mutare
1123,graben::V,kasti,fodere
1124,beugen::V,lenkti,flectere
1125,beugen::V,palenkti,flectere
1126,biegen::V,lenkti,curvare
1127,biegen::V,palenkti,curvare
1128,drehen::V,sukti,torquere
1129,wenden::V,kreipti,vertere
1130,wenden::V,pakreipti,vertere
1131,umdrehen::V,sukti,convertere
1132,umdrehen::V,apversti,convertere
1133,heben::V,kelti,tollere
1134,heben::V,pakelti,tollere
1135,hochheben::V,pakelti,levare
1136,ergreifen::V,čiupti,capessere
1137,ergreifen::V,griebti,capessere
1138,halten::V,laikyti,tenere
1139,halten::V,palaikyti,tenere
1140,drücken::V,spausti,premere
1141,schieben::V,stumti,promovere
1142,kratzen::V,kasyti,radere
1143,kratzen::V,grandyti,radere
1144,lecken::V,laižyti,lambere
