,Concept_ID,is,os
0,Auge::N,auga,цӕст
1,Ohr::N,eyra,хъус
2,Nase::N,nef,фындз
3,Mund::N,munnur,дзых
4,Zahn::N,tönn,дӕндаг
5,Zunge::N,tunga,ӕвзаг
6,Lippe::N,vör,был
7,Wange::N,kinn,рус
8,Wange::N,kinn,уадул
9,Wange::N,kinn,ӕхсӕрфарс
10,Wange::N,vangi,рус
11,Wange::N,vangi,уадул
12,Wange::N,vangi,ӕхсӕрфарс
13,Gesicht::N,andlit,цӕсгом
14,Stirn::N,enni,ных
15,Haar::N,hár,хил
16,Schnurrbart::N,yfirskegg,рихи
17,Bart::N,skegg,зачъе
18,Kinn::N,haka,роцъо
19,Kiefer[Anatomie]::N,kjálki,ӕфсӕр
20,Kiefer[Anatomie]::N,skoltur,ӕфсӕр
21,Kehle::N,kverk,хъуыр
22,Hals::N,háls,къубал
23,Genick::N,hnakki,къӕбут
24,Kopf::N,höfuð,сӕр
25,Rücken::N,hryggur,фӕсонтӕ
26,Bauch::N,kviður,гуыбын
27,Nabel::N,nafli,бикъ
28,Busen::N,barmur,дзидзи
29,Brust::N,brjóst,риу
30,Schulter::N,öxl,уӕхск
31,Arm::N,armur,цонг
32,Ellenbogen::N,olnbogi,рæмбын
33,Hand::N,hönd,къух
34,Handfläche::N,lófi,армытъӕпӕн
35,Finger::N,fingur,ӕнруылдз
36,Fingernagel::N,fingurnögl,ных
37,Nagel[Anatomie]::N,nögl,ных
38,Zeh::N,tá,къух
39,Fuß::N,fótur,фад
40,Ferse::N,hæll,зӕвӕт
41,Knie::N,kné,уӕраг
42,Oberschenkel::N,læri,агъд
43,Bein::N,fótleggur,зӕнг
44,Körper::N,búkur,буар
45,Körper::N,líkami,буар
46,Haut::N,húð,царм
47,Haut::N,skinn,царм
48,Blut::N,blóð,туг
49,Ader::N,æð,дадзин
50,Ader::N,æð,тугдадзин
51,Sehne::N,sin,хъиутæ
52,Sehne::N,sin,нуар
53,Knochen::N,bein,стӕг
54,Gehirn::N,heili,магъз
55,Herz::N,hjarta,зӕрдӕ
56,Magen::N,magi,ахсӕн
57,Leber::N,lifur,игæр
58,Atem::N,andi,улӕфт
59,Atem::N,andardráttur,улӕфт
60,Hunger::N,hungur,стонг
61,Träne::N,tár,цæссыг
62,Geschmack::N,smekkur,ад
63,Geruch::N,lykt,смаг
64,Schlaf::N,svefn,хуыссӕг
65,Traum::N,draumur,фын
66,Himmel::N,himinn,арв
67,Himmel::N,himinn,уӕларв
68,Sonne::N,sól,хур
69,Mond::N,tungl,мӕй
70,Stern::N,stjarna,стъалы
71,Luft::N,loft,уӕлдӕф
72,Wind::N,vindur,дымгӕ
73,Welle::N,alda,уылӕн
74,Welle::N,bylgja,уылӕн
75,Wasser::N,vatn,дон
76,Stein::N,steinn,дур
77,Boden::N,botn,зӕхх
78,Erde::N,jörð,сыджыт
79,Staub::N,ryk,рыг
80,Staub::N,duft,рыг
81,Rauch::N,reykur,фӕздӕг
82,Funke::N,neisti,цӕхӕр
83,Feuer::N,eldur,зынг
84,Licht::N,ljós,рухс
85,Schatten::N,skuggi,аууон
86,Wetter::N,veður,боныхъӕд
87,Nebel::N,þoka,мигъ
88,Wolke::N,ský,ӕврагъ
89,Regen::N,regn,уарын
90,Schnee::N,snjór,мит
91,Eis::N,ís,их
92,Frost::N,frost,ихæн
93,Kälte::N,kuldi,уазал
94,Hitze::N,hiti,ӕнтӕф
95,Raureif::N,hrím,халас
96,Regenbogen::N,regnbogi,арвырон
97,Regenbogen::N,regnbogi,арвырдын
98,Donner::N,þruma,æрвнæрын
99,Strömung::N,straumur,цыд
100,Tropfen::N,dropi,æртах
101,Schaum::N,froða,фынк
102,Schmutz::N,óhreinindi,цъыф
103,See::N,stöðuvatn,цад
104,Sumpf::N,fen,цъыфдзаст
105,Moor::N,mýri,цъыфдзаст
106,Wiese::N,engi,уыгӕрдӕн
107,Wald::N,skógur,хъӕд
108,Hügel::N,hæð,обау
109,Hügel::N,hæð,къуыбыр
110,Hügel::N,hóll,обау
111,Hügel::N,hóll,къуыбыр
112,Anhöhe::N,hæð,уæлвæз
113,Anhöhe::N,hæð,уæлхох
114,Anhöhe::N,hóll,уæлвæз
115,Anhöhe::N,hóll,уæлхох
116,Berg::N,fell,хох
117,Berg::N,fjall,хох
118,Gipfel::N,tindur,цъупп
119,Höhle::N,hellir,лӕгӕт
120,Abhang::N,hlíð,къул
121,Abhang::N,brekka,къул
122,Quelle::N,lind,суадон
123,Quelle::N,uppspretta,суадон
124,Bach::N,lækur,мӕсчъыдон
125,Fluss::N,á,дон
126,Fluss::N,á,цӕугӕдон
127,Fluss::N,fljót,дон
128,Fluss::N,fljót,цӕугӕдон
129,Ufer::N,árbakki,был
130,Ufer::N,sjávarbakki,был
131,Küste::N,strönd,донбыл
132,Festland::N,meginland,сурзæхх
133,Meer::N,haf,денджыз
134,Meer::N,sjór,денджыз
135,Bucht::N,vík,донбакæлæн
136,Insel::N,eyja,сакъадах
137,Blume::N,blóm,дидинӕг
138,Gras::N,gras,кӕрдӕг
139,Wurzel::N,rót,уидаг
140,Baum::N,tré,бӕлас
141,Stamm::N,stofn,хӕтӕл
142,Rinde::N,börkur,цъар
143,Ast::N,grein,арх
144,Zweig::N,angi,къалиу
145,Zweig::N,kvistur,къалиу
146,Blatt::N,blað,сыф
147,Birke::N,birki,бæрз
148,Kiefer[Baum]::N,fura,нӕзы
149,Weide[Baum]::N,víðir,хӕрис
150,Tanne::N,greni,наз
151,Horn::N,horn,сыкъа
152,Feder::N,fjöður,сис
153,Fell::N,skinn,царм
154,Flügel::N,vængur,базыр
155,Klaue::N,kló,ных
156,Kralle::N,kló,дзӕмбы
157,Schwanz::N,rófa,къӕдзил
158,Schwanz::N,skott,къӕдзил
159,Ei::N,egg,айк
160,Nest::N,hreiður,ахстон
161,Bau::N,greni,хуынкъ
