,Concept_ID,ka,ab
0,Auge::N,თვალი,ала
1,Ohr::N,ყური,алымҳа
2,Nase::N,ცხვირი,аҧынҵа
3,Mund::N,პირი,аҧышə
4,Zahn::N,კბილი,ахаҧыц
5,Zunge::N,ენა,абз
6,Lippe::N,ბაგე,ақьышə
7,Wange::N,ლოყა,аӡамҩа
8,Gesicht::N,სახე,аҿы
9,Stirn::N,შუბლი,алахь
10,Haar::N,თმა,ахəыц
11,Schnurrbart::N,ულვაში,аҧаҵа
12,Bart::N,წვერი,ажакьа
13,Kinn::N,ნიკაპი,ацламкəыгə
14,Kiefer[Anatomie]::N,ყბა,ацламҳəа
15,Kehle::N,ყელი,ахəда
16,Hals::N,ყელი,ахəда
17,Hals::N,კისერი,ахəда
18,Genick::N,კეფა,ахəдаџьал
19,Kopf::N,თავი,ахы
20,Rücken::N,ზურგი,азқəа
21,Bauch::N,მუცელი,амгəа
22,Nabel::N,ჭიპი,аҷапан
23,Busen::N,ძუძუ,агəыҧҳəы
24,Brust::N,მკერდი,агəышҧы
25,Schulter::N,მხარი,ажəҩахыр
26,Schulter::N,მკლავი,ажəҩахыр
27,Arm::N,ხელი,амахəар
28,Ellenbogen::N,იდაყვი,амашьхəылҵ
29,Hand::N,ხელი,анапы
30,Handfläche::N,ნები,анапсаргəыҵа
31,Handfläche::N,ხელისგული,анапсаргəыҵа
32,Finger::N,თითი,анацəа
33,Fingernagel::N,ფრჩხილი,анапхыц
34,Nagel[Anatomie]::N,ფრჩხილი,ашьапхыц
35,Zeh::N,ფეხის თითი,ашьацəа
36,Fuß::N,ტერფი,ашьапсыргəыҵа
37,Fuß::N,ფეხისგული,ашьапсыргəыҵа
38,Ferse::N,ქუსლი,ашьхəа
39,Knie::N,მუხლი,ашьамхы
40,Oberschenkel::N,ბარძაყი,ауаҭəа
41,Bein::N,ფეხი,ашьапы
42,Körper::N,ტანი,ацəеижь
43,Körper::N,სხეული,ацəеижь
44,Haut::N,კანი,ацəа
45,Blut::N,სისხლი,ашьа
46,Ader::N,ძარღვი,ада
47,Sehne::N,მყესი,адаш
48,Knochen::N,ძვალი,абаҩ
49,Gehirn::N,ტვინი,ахшлыбаҩ
50,Gehirn::N,ტვინი,ахшыбаҩ
51,Herz::N,გული,агəы
52,Magen::N,კუჭი,аца
53,Magen::N,კუჭი,ацар
54,Leber::N,ღვიძლი,агəаҵəа
55,Atem::N,სუნთქვა,аҧсыҧлагаҩгара
56,Hunger::N,შიმშილი,амла
57,Träne::N,ცრემლი,алабжыш
58,Geschmack::N,გემო,агьама
59,Geruch::N,სუნი,афҩы
60,Schlaf::N,ძილი,ацəа
61,Traum::N,სიზმარი,аҧхыӡ
62,Himmel::N,ცა,ажəҩан
63,Sonne::N,მზე,амра
64,Mond::N,მთვარე,амза
65,Stern::N,ვარსკვლავი,аеҵəа
66,Luft::N,ჰაერი,аҳаир
67,Wind::N,ქარი,аҧша
68,Welle::N,ტალღა,ацəқəырҧа
69,Wasser::N,წყალი,аӡы
70,Stein::N,ქვა,ахаҳə
71,Boden::N,მიწა,адгьыл
72,Erde::N,ნიადაგი,адгьыл
73,Staub::N,მტვერი,асаба
74,Rauch::N,ბოლი,алҩа
75,Rauch::N,კვამლი,алҩа
76,Funke::N,ნაკვესი,акəиц
77,Funke::N,ნაკვესი,ацҧхь
78,Feuer::N,ცეცხლი,амца
79,Licht::N,შუქი,алашара
80,Licht::N,სინათლე,алашара
81,Schatten::N,ლანდი,ашəшьыра
82,Schatten::N,ჩრდილი,ашəшьыра
83,Wetter::N,ამინდი,амш
84,Nebel::N,ნისლი,анаҟəа
85,Wolke::N,ღრუბელი,аҧсҭҳəа
86,Regen::N,წვიმა,ақəа
87,Schnee::N,თოვლი,асы
88,Eis::N,თოში,аҵаа
89,Eis::N,ყინული,аҵаа
90,Frost::N,ყინვა,аҵаа
91,Kälte::N,სიცივე,ахьҭа
92,Hitze::N,სიცხე,ашоура
93,Raureif::N,ჭირხლი,аҵааҧшқа
94,Raureif::N,თრთვილი,аҵааҧшқа
95,Regenbogen::N,ცისარტყელა,ацəаҟəа
96,Donner::N,ქუხილი,адыд
97,Strömung::N,დინება,аиасра
98,Strömung::N,დინება,амҩасра
99,Tropfen::N,წვეთი,ацəыкəбар
100,Schaum::N,ქაფი,ашəах
101,Schaum::N,დორბლი,ашəах
102,Schmutz::N,ჭუჭყი,алымт
103,Schmutz::N,ტალახი,алымт
104,See::N,ტბა,аӡиа
105,Sumpf::N,ჭაობი,аӡмах
106,Moor::N,ტორფნარი,
107,Wiese::N,ველი,адəы
108,Wiese::N,მდელო,адəы
109,Wald::N,ტყე,абна
110,Hügel::N,ბორცვი,ахəы
111,Anhöhe::N,მაღლობი,аҳаракыра
112,Berg::N,მთა,ашьха
113,Gipfel::N,მწვერვალი,ацəқəа
114,Höhle::N,მღვიმე,аҳаҧы
115,Höhle::N,გამოქვებული,аҳаҧы
116,Abhang::N,ფერდობი,анаара
117,Quelle::N,წყარო,аҵҵырҭа
118,Quelle::N,სათავე,аҵҵырҭа
119,Bach::N,რუ,акəараҷҷа
120,Bach::N,ნაკადული,акəараҷҷа
121,Fluss::N,მდინარე,аӡиас
122,Ufer::N,კიდე,ахықə
123,Ufer::N,ნაპირი,ахықə
124,Küste::N,ნაპირი,ахықə
125,Festland::N,ხმელეთი,абарра
126,Meer::N,ზღვა,амшын
127,Bucht::N,ყურე,аӡбжьахала
128,Insel::N,კუნძული,адгьылбжьаха
129,Blume::N,ყვავილი,ашəҭ
130,Gras::N,ბალახი,аҳасакьын
131,Wurzel::N,ძირი,адац
132,Wurzel::N,ფესვი,адац
133,Baum::N,ხე,аҵла
134,Stamm::N,ტანი,ашьапы
135,Rinde::N,ქერქი,ацəа
136,Ast::N,ტოტი,амахə
137,Ast::N,ტოტი,амахəҭа
138,Zweig::N,შტო,амахə
139,Zweig::N,შტო,амахəҭа
140,Blatt::N,ფოთოლი,абҕьы
141,Birke::N,არყი,аҵааҵла
142,Kiefer[Baum]::N,ფიჭვი,амза
143,Weide[Baum]::N,ტირიფი,аҧслыш
144,Tanne::N,ნაძვი,аҧсаӡ
145,Horn::N,რქა,атəыҩа
146,Feder::N,ფრთა,ахӡы
147,Fell::N,ტყავი,ацəа
148,Flügel::N,ფრთა,амҵəыжəа
149,Klaue::N,კლანჭი,ашьапхыц
150,Kralle::N,ტორი,
151,Schwanz::N,კუდი,аҵыхəа
152,Ei::N,კვერცხი,акəтаӷь
153,Nest::N,ბუდე,аҭра
154,Nest::N,ბუდე,аҵысҭра
155,Bau::N,სორო,аҭыҩра
156,Tier::N,ნადირი,аҧстəы
157,Tier::N,ნადირი,агыгшəыг
158,Tier::N,ცხოველი,аҧстəы
159,Tier::N,ცხოველი,агыгшəыг
160,Herde::N,ფარა,агəарҭа
161,Kuh::N,ფური,ажə
162,Kuh::N,ძროხა,ажə
163,Bulle::N,ხარი,ацə
164,Pferd::N,რაში,аҽы
165,Pferd::N,ცხენი,аҽы
166,Schaf::N,ცხვარი,ауаса
167,Schwein::N,ღორი,аҳəа
168,Hund::N,ძაღლი,ала
169,Katze::N,კატა,ацгəы
170,Bär::N,დათვი,амшə
171,Eichhörnchen::N,ციყვი,аеш
172,Elch::N,ცხენ-ირემი,аҽаҩа
173,Fuchs::N,მელა,абгахəыҷы
174,Hase::N,კურდღელი,ажьа
175,Maus::N,თაგვი,аҳəынаҧ
176,Wolf::N,მგელი,абгаду
177,Vogel::N,ჩიტი,аҧсаатə
178,Vogel::N,ფრინველი,аҧсаатə
179,Schwarm::N,გუნდი,
180,Huhn::N,დედალი,акəты
181,Hahn::N,მამალი,арбаҕь
182,Gans::N,ბატი,аҟыз
183,Adler::N,არწივი,ауарба
184,Ente::N,იხვი,акəата
185,Eule::N,ბუ,аты
186,Kranich::N,წერო,апҟа
187,Krähe::N,ყვავი,аҟəараан
188,Kuckuck::N,გუგული,акəыкəу
189,Schwan::N,გედი,агьад
190,Fisch::N,თევზი,аҧсыӡ
191,Barsch::N,ქორჭილა,ацəыбла
192,Hecht::N,ქარიყლაპია,ахиаала
193,Schlange[Tier]::N,გველი,амаҭ
194,Wurm::N,ჭია,ахəа
195,Wurm::N,ჭია,ахəац
196,Spinne::N,ობობა,абызкаҭаҳа
197,Ameise::N,ჭიანჭველა,ашышкамс
198,Laus::N,ტილი,аҵа
199,Laus::N,მკბენარი,аҵа
200,Mücke::N,კოღო,акəыбры
201,Fliege::N,ბუზი,амҵ
202,Schmetterling::N,პეპელა,аҧарҧалыкь
203,Beere::N,კენკრა,аргуц
204,Apfel::N,ვაშლი,аҵəа
205,Pilz::N,სოკო,акəкəбаа
206,Zwiebel::N,ხახვი,аџьымшьы
207,Zwiebel::N,ხახვი,аџьымшьхы
208,Saat::N,თესლი,ажəла
209,Korn::N,მარცვალი,арыц
210,Heu::N,თივა,аҭəа
211,Schale::N,ჩენჩო,ацəа
212,Grube::N,ორმო,ажра
213,Grube::N,ორმო,атыша
214,Falle::N,ხაფანგი,арыҧҟьа
215,Schlinge::N,მახე,аҟəараҟəантə
216,Spur::N,კვალი,ашьҭа
217,Asche::N,ფერფლი,ахəа
218,Dreck::N,ტალახი,аҳəынҵəа
219,Dreck::N,ტალახი,аҟьамсар
220,Dreck::N,სიბინძურე,аҳəынҵəа
221,Dreck::N,სიბინძურე,аҟьамсар
222,Eisen::N,რკინა,аиха
223,Gold::N,ოქრო,ахьы
224,Silber::N,ვერცხლი,аразны
225,Kohle::N,ნახშირი,арацəа
226,Glas::N,მინა,асаркьа
227,Lehm::N,თიხა,анышəаҧшь
228,Sand::N,ქვიშა,аҧслымӡ
229,Mensch::N,ადამიანი,ауаҩы
230,Mann::N,კაცი,ахаҵа
231,Frau::N,ქალი,аҧҳəыс
232,Kind::N,ბავშვი,ахəыҷы
233,Junge::N,ვაჟი,аҷкəын
234,Junge::N,ვაჟი,ахаҵарҧыс
235,Mädchen::N,გოგო,аӡӷаб
236,Familie::N,ოჯახი,аҭаацəа
237,Großvater::N,პაპა,абду
238,Großvater::N,ბაბუა,абду
239,Großmutter::N,ბებია,анду
240,Großmutter::N,დიდედა,анду
241,Eltern::N,მშობლები,ани аби
242,Vater::N,მამა,аб
243,Mutter::N,დედა,ан
244,Sohn::N,ვაჟიშვილი,аҧа
245,Tochter::N,ქალიშვილი,аҧҳа
246,Bruder::N,ძმა,аиашьа
247,Schwester::N,და,Аҳəшьа
248,Onkel::N,ბიძა,абиашьа
249,Onkel::N,ბიძა,аншьа
250,Tante::N,დეიდა,абиаҳəшьа
251,Tante::N,მამიდა,абиаҳəшьа
252,Ehemann::N,ქმარი,ахаҵа
253,Ehemann::N,ქმარი,аҧшəма
254,Ehefrau::N,ცოლი,аҧҳəыс
255,Freude::N,სიხარული,агəырӷьара
256,Gelächter::N,სიცილი,ачча
257,Gelächter::N,სიცილი,аччара
258,Glück::N,ბედნიერება,аразҟы
259,Kummer::N,მწუხარება,агəырҩа
260,Wunsch::N,წადილი,агəхəтəы
261,Wunsch::N,წადილი,аҭахра
262,Wunsch::N,სურვილი,агəхəтəы
263,Wunsch::N,სურვილი,аҭахра
264,Lust::N,წადილი,агəазыҳəара
265,Geist::N,სული,аҧсы
266,Gedanke::N,ფიქრი,ахəыцырҭа
267,Gedächtnis::N,მეხსიერება,агəынкылара
268,Verstand::N,ჭკუა,ахшыҩ
269,Verstand::N,გონება,ахшыҩ
270,Sinn::N,მნიშვნელობა,аҵакы
271,Grund::N,მიზეზი,амзыз
272,Wahrheit::N,სიმართლე,аиаша
273,Wahrheit::N,ჭეშმარიტება,аиаша
274,Gespräch::N,ბაასი,аиҿцәажәара
275,Gespräch::N,საუბარი,аиҿцәажәара
276,Märchen::N,არაკი,алакə
277,Märchen::N,ზღაპარი,алакə
278,Erzählung::N,თქმულება,ажәабжь
279,Nachricht::N,ცნობა,адырраҭара
280,Nachricht::N,ამბავი,адырраҭара
281,Neuigkeit::N,სიახლე,ажәабжь ҿыц
282,Name::N,სახელი,ахьӡ
283,Rätsel::N,გამოცანა,ацуфара
284,Rede::N,სიტყვა,ажәа
285,Sprache::N,ენა,абызшəа
286,Stimme::N,ხმა,абжьы
287,Wort::N,სიტყვა,ажәа
288,Zeichen::N,ნიშანი,адырга
289,Ruf::N,ძახილი,аҿҭы
290,Lärm::N,ხმაური,ашьҭыбжь
291,Laut::N,ხმა,ашьҭыбжь
292,Laut::N,ბგერა,ашьҭыбжь
293,Ton::N,ტონი,атон
294,Lied::N,სიმღერა,ашəа
295,Ruhe::N,სიწყნარე,аҭынчра
296,Leute::N,ადამიანები,ауаа
297,Volk::N,ერი,ажəлар
298,Volk::N,ხალხი,ажəлар
299,Arbeit::N,მუშაობა,аусура
300,Gast::N,სტუმარი,асас
301,Geschenk::N,საჩუქარი,аҳамҭа
302,Geschenk::N,საჩუქარი,аҿанҵа
303,Spiel::N,თამაში,ахəмарра
304,Gesellschaft::N,საზოგადოება,агəыҧ
305,Hilfe::N,შველა,ацхыраара
306,Hilfe::N,დახმარება,ацхыраара
307,Freund::N,მეგობარი,аҩыза
308,Kamerad::N,ამხანაგი,Аҧхнагьла
309,Angelegenheit::N,საქმე,аус
310,Anzahl::N,ოდენობა,ахыҧхьаӡара
311,Art::N,სახეობა,ахкы
312,Stück::N,ნატეხი,аҽыҭ
313,Teil::N,წილი,ахəҭа
314,Hälfte::N,ნახევარი,абжа
315,Kreis::N,წრე,агьагьа
316,Kreuz::N,ჯვარი,аџьар
317,Linie::N,ხაზი,аицтәар
318,Strich::N,შტრიხი,ацəаҳəа
319,Abstand::N,მანძილი,абжьара
320,Entfernung::N,სიშორე,абжьара
321,Gegend::N,არე,аҭыҧ
322,Gegend::N,მხარე,аҭыҧ
323,Platz::N,ფართობი,аҭыҧ
324,Ort::N,ადგილი,аҭыҧ
325,Seite::N,მხარე,аган
326,Mitte::N,შუა,агəҭа
327,Gegenstand::N,საგანი,амаҭəар
328,Sache::N,ნივთი,
329,Rand::N,კიდე,аҵкар
330,Kante::N,ნაწიბული,авардым
331,Ecke::N,კუთხე,акəакь
332,Spitze::N,წვეტი,аҧынҵа
333,Ende::N,ბოლო,анаӡара
334,Loch::N,ხვრელი,акылҵəара
335,Winkel::N,კუთხე,агҿаҩра
336,Winkel::N,კუთხე,акəындхə
337,Winkel::N,კუთხე,акəакь
338,Muster::N,მოხატულობა,аҟҟа
339,Größe::N,ზომა,изаҟароу
340,Größe::N,სიდიდე,изаҟароу
341,Länge::N,სიგრძე,аура
342,Höhe::N,სიმაღლე,агылара
343,Gewicht::N,წონა,акапан
344,Menge::N,რაოდენობა,
345,Haufen::N,გროვა,ачаҟəа
346,Reihe::N,რიგი,ацəаҳəа
347,Reihe::N,წყება,ацəаҳəа
348,Boot::N,გემი,анышь
349,Ruder::N,ხოფი,ажəҩа
350,Ruder::N,ნიჩაბი,ажəҩа
351,Schlitten::N,მარხილი,ашəаҩауардын
352,Ski::N,თხილამური,ашəаҩа
353,Ski::N,თხილამური,ашьахаха
354,Lagerfeuer::N,კოცონი,еиқуу амца
355,Last::N,ტვირთი,ахьанҭара
356,Gang::N,სვლა,аныҟəара
357,Schritt::N,ბიჯი,ашьаҿа
358,Norden::N,ჩრდილოეთი,аҩада
359,Süden::N,სამხრეთი,алада
360,Westen::N,დასავლეთი,амраҭашəара
361,Osten::N,აღმოსავლეთი,амрагылара
362,Holz::N,ხე,амҿымаҭəахə
363,Brett::N,დაფა,аӷəы
364,Brett::N,ფიცარი,аӷəы
365,Platte::N,თლილი ქვა,ахаҳәцәы
366,Stütze::N,საყრდენი,аҵаргəа
367,Stütze::N,საყრდენი,агəышьаҟа
368,Stange::N,ჭოკი,акьат
369,Stock::N,კეტი,алаба
370,Stab::N,ლატანი,акьат
371,Rohr::N,მილაკი,абыкь
372,Haus::N,სახლი,аҩны
373,Heim::N,ოჯახის კერა,аҭаацəа
374,Ofen::N,ღუმელი,аҳақə
375,Ofen::N,ღუმელი,ауаџьаҟ
376,Ofen::N,ღუმელი,афрына
377,Fußboden::N,იატაკი,адашьма
378,Tisch::N,სუფრა,аишәа
379,Tisch::N,მაგიდა,аишәа
380,Stuhl::N,სკამი,аҟəардə
381,Wiege::N,აკვანი,агара
382,Bett::N,საწოლი,акаруаҭ
383,Bett::N,სარეცელი,акаруаҭ
384,Regal::N,თაროები,акыӷəра
385,Kiste::N,ყუთი,аидчаҧала
