,Concept_ID,av,da
0,Ohr::N,гӏин,øre
1,Nase::N,мегӏер,næse
2,Mund::N,кӏал,mund
3,Zahn::N,гӏус,tand
4,Zunge::N,мацӏ,tunge
5,Lippe::N,кӏветӏ,læbe
6,Wange::N,гӏоно,kind
7,Gesicht::N,гьумер,ansigt
8,Stirn::N,нодо,pande
9,Haar::N,рас,hår
10,Schnurrbart::N,михъ,overskæg
11,Bart::N,мегеж,skæg
12,Kinn::N,нилъу,hage
13,Kiefer[Anatomie]::N,чанагъ,kæbe
14,Kehle::N,щекъер,strube
15,Hals::N,габур,hals
16,Genick::N,гъванща,nakke
17,Kopf::N,бетӏер,hoved
18,Rücken::N,мугъ,ryg
19,Bauch::N,чехь,mave
20,Nabel::N,цӏину,navle
21,Busen::N,керен,barm
22,Brust::N,керен,bryst
23,Schulter::N,гъажазубетӏер,skulder
24,Arm::N,гъеж,arm
25,Ellenbogen::N,гӏункӏрукь,albue
26,Hand::N,квер,hånd
27,Handfläche::N,огъохъат,håndflade
28,Handfläche::N,жанисахъат,håndflade
29,Finger::N,килищ,finger
30,Fingernagel::N,малъ,fingernegl
31,Nagel[Anatomie]::N,малъ,negl
32,Zeh::N,килищ,tå
33,Fuß::N,хӏетӏ,fod
34,Fuß::N,хӏетӏе,fod
35,Ferse::N,эгъе,hæl
36,Knie::N,наку,knæ
37,Oberschenkel::N,мачӏ,lår
38,Bein::N,бох,ben
39,Körper::N,къаркъала,krop
40,Körper::N,къаркъала,legeme
41,Haut::N,тӏом,hud
42,Blut::N,би,blod
43,Ader::N,бидурихь,åre
44,Knochen::N,ракьа,ben
45,Gehirn::N,гӏадалнах,hjerne
46,Herz::N,ракӏ,hjerte
47,Magen::N,кванирукъ,mave
48,Leber::N,тӏул,lever
49,Atem::N,хӏухь,ånde
50,Hunger::N,ракъи,sult
51,Träne::N,магӏу,tåre
52,Geschmack::N,тату,smag
53,Geruch::N,махӏ,lugt
54,Schlaf::N,макьу,søvn
55,Traum::N,макьу,drøm
56,Himmel::N,зоб,himmel
57,Sonne::N,бакъ,sol
58,Mond::N,моцӏ,måne
59,Stern::N,цӏва,stjerne
60,Luft::N,гьава,luft
61,Wind::N,гьури,vind
62,Welle::N,карачел,bølge
63,Wasser::N,лъим,vand
64,Stein::N,гьецӏо,sten
65,Boden::N,ракь,jord
66,Erde::N,ракь,jord
67,Erde::N,дуниял,jord
68,Staub::N,хӏур,støv
69,Rauch::N,кӏкӏуй,røg
70,Feuer::N,цӏа,ild
71,Licht::N,канлъи,lys
72,Schatten::N,рагӏад,skygge
73,Wetter::N,гьава-бакъ,vejr
74,Nebel::N,гӏодобнакӏкӏ,tåge
75,Wolke::N,накӏкӏ,sky
76,Regen::N,цӏад,regn
77,Schnee::N,гӏазу,sne
78,Eis::N,цӏер,is
79,Frost::N,замгьари,frost
80,Kälte::N,квач,kulde
81,Hitze::N,багӏари,hede
82,Raureif::N,мартӏ,rimfrost
83,Regenbogen::N,нур,regnbue
84,Regenbogen::N,чамбара,regnbue
85,Donner::N,гъугъай,torden
86,Donner::N,гъугъади,torden
87,Strömung::N,чвахи,strømning
88,Tropfen::N,резел,dråbe
89,Tropfen::N,тӏинкӏ,dråbe
90,Tropfen::N,къатӏра,dråbe
91,Tropfen::N,тӏенкӏел,dråbe
92,Schaum::N,полоп,skum
93,Schmutz::N,чороклъи,snavs
94,See::N,хӏор,sø
95,Sumpf::N,хьуцӏ,sump
96,Wiese::N,мегъ,eng
97,Wiese::N,гӏурдаллъи,eng
98,Wald::N,рохь,skov
99,Hügel::N,гохӏ,høj
100,Hügel::N,гохӏ,bakke
101,Anhöhe::N,сийитма,høj
102,Anhöhe::N,сийитма,bakke
103,Berg::N,мегӏер,bjerg
104,Gipfel::N,тӏогь,top
105,Höhle::N,нохъо,hule
106,Abhang::N,лабаллъи,skrænt
107,Abhang::N,лабаллъи,skråning
108,Quelle::N,ицц,kilde
109,Bach::N,лъар,bæk
110,Fluss::N,гӏор,flod
111,Ufer::N,рагӏал,bred
112,Küste::N,рагӏал,kyst
113,Festland::N,ракь,fastland
114,Festland::N,ракъдаллъи,fastland
115,Meer::N,ралъад,hav
116,Bucht::N,кӏветӏ,bugt
117,Insel::N,чӏинкӏиллъи,ø
118,Blume::N,тӏегь,blomst
119,Gras::N,хер,græs
120,Wurzel::N,кьибил,rod
121,Baum::N,гъветӏ,træ
122,Stamm::N,рохти,stamme
123,Rinde::N,макъар,bark
124,Ast::N,ноцӏ,gren
125,Zweig::N,гӏаркьел,kvist
126,Blatt::N,тӏамах,blad
127,Birke::N,мах,birk
128,Birke::N,махигъветӏ,birk
129,Kiefer[Baum]::N,накӏкӏигъветӏ,fyrretræ
130,Weide[Baum]::N,рицӏцӏ,piletræ
131,Weide[Baum]::N,рицӏцӏигъветӏ,piletræ
132,Tanne::N,ёлка,gran
133,Horn::N,лълъар,horn
134,Feder::N,хӏули,fjer
135,Fell::N,тӏом,skind
136,Fell::N,цӏоко,skind
137,Flügel::N,кваркьи,vinge
138,Klaue::N,галъ,klov
139,Kralle::N,квачӏ,klo
140,Kralle::N,катиквачӏ,klo
141,Schwanz::N,рачӏ,hale
142,Ei::N,хоно,æg
143,Nest::N,бусен,rede
144,Bau::N,каратӏ,bo
145,Tier::N,хӏайван,dyr
146,Herde::N,рехъен,flok
147,Herde::N,рехъед,flok
148,Kuh::N,гӏака,ko
149,Bulle::N,оц,tyr
150,Pferd::N,чу,hest
151,Schaf::N,чахъу,får
152,Schwein::N,болъон,gris
153,Hund::N,гьой,hund
154,Katze::N,кету,kat
155,Bär::N,ци,bjørn
156,Eichhörnchen::N,гвангва,egern
157,Fuchs::N,цер,ræv
158,Hase::N,гӏанкӏ,hare
159,Maus::N,гӏункӏкӏ,mus
160,Wolf::N,бацӏ,ulv
161,Vogel::N,хӏинчӏ,fugl
162,Schwarm::N,тӏел,sværm
163,Huhn::N,гӏанкӏу,høne
164,Hahn::N,хӏелеко,hane
165,Gans::N,хъаз,gås
166,Adler::N,цӏум,ørn
167,Ente::N,ордек,and
168,Eule::N,беццаруз,ugle
169,Kranich::N,къункъра,trane
170,Krähe::N,гъеду,krage
171,Kuckuck::N,гагу,gøg
172,Schwan::N,хӏанкъва,svane
173,Fisch::N,ччугӏа,fisk
174,Barsch::N,окунь,aborre
175,Hecht::N,щука,gedde
176,Schlange[Tier]::N,борохь,slange
177,Wurm::N,хӏапара,orm
178,Spinne::N,хъанхъра,edderkop
179,Ameise::N,цӏунцӏра,myre
180,Laus::N,нацӏ,lus
181,Mücke::N,кӏкӏара,myg
182,Fliege::N,тӏутӏ,flue
183,Schmetterling::N,кӏалкӏучӏ,sommerfugl
184,Apfel::N,гӏеч,æble
185,Pilz::N,гӏурдахӏан,svamp
186,Zwiebel::N,кӏочӏопер,løg
187,Saat::N,хьон,sæd
188,Korn::N,мугь,korn
189,Heu::N,хер,hø
190,Schale::N,хъал,skræl
191,Grube::N,гвенд,grav
192,Falle::N,къор,fælde
193,Falle::N,къотен,fælde
194,Schlinge::N,кӏичӏ,snare
195,Spur::N,лъалкӏ,spor
196,Asche::N,рахъу,aske
197,Dreck::N,гъиз,snavs
198,Dreck::N,хӏарщ,snavs
199,Eisen::N,махх,jern
200,Gold::N,месед,guld
201,Silber::N,гӏарац,sølv
202,Kohle::N,тӏурччи,kul
203,Glas::N,цӏер,glas
204,Lehm::N,хӏатӏ,ler
205,Sand::N,сали,sand
206,Mensch::N,чи,mennesge
207,Mann::N,бихьинчи,mand
208,Frau::N,гӏадан,kvinde
209,Kind::N,лъимер,barn
210,Junge::N,вас,dreng
211,Mädchen::N,яс,pige
212,Familie::N,хъизан,familie
213,Großvater::N,кӏудада,bedstefar
214,Großmutter::N,кӏодо,bedstemor
215,Eltern::N,эбел-эмен,forældre
216,Vater::N,эмен,far
217,Mutter::N,эбел,mor
218,Sohn::N,вас,søn
219,Tochter::N,яс,datter
220,Bruder::N,вац,bror
221,Schwester::N,яц,søster
222,Onkel::N,даци,onkel
