,Concept_ID,sq,sv
0,Auge::N,sy,öga
1,Ohr::N,vesh,öra
2,Nase::N,hundë,näsa
3,Mund::N,gojë,mun
4,Zahn::N,dhëmb,tand
5,Zunge::N,gjuhë,tunga
6,Lippe::N,buzë,läpp
7,Wange::N,faqe,kind
8,Wange::N,mollëz,kind
9,Gesicht::N,fytyrë,syn
10,Gesicht::N,fytyrë,ansikte
11,Stirn::N,ballë,panna
12,Haar::N,flokë,hår
13,Schnurrbart::N,mustaqe,mustasch
14,Bart::N,mjekër,skägg
15,Kinn::N,mjekër,haka
16,Kiefer[Anatomie]::N,nofull,käke
17,Kehle::N,fyt,strupe
18,Kehle::N,grykë,strupe
19,Hals::N,qafë,hals
20,Genick::N,arrëz,nacke
21,Kopf::N,kokë,huvud
22,Rücken::N,kurriz,rygg
23,Bauch::N,bark,buk
24,Bauch::N,bark,mage
25,Nabel::N,kërthizë,navel
26,Busen::N,gji,barm
27,Brust::N,gjoks,bröst
28,Brust::N,kraharor,bröst
29,Schulter::N,sup,skuldra
30,Schulter::N,krah,skuldra
31,Arm::N,krah,arm
32,Ellenbogen::N,bërryl,armbåge
33,Hand::N,dorë,hand
34,Handfläche::N,pëllëmbë,handflata
35,Finger::N,gisht,finger
36,Fingernagel::N,thua,fingernagel
37,Nagel[Anatomie]::N,thua,nagel
38,Zeh::N,gisht i këmbës,tå
39,Fuß::N,këmbë,fot
40,Ferse::N,thembër,häl
41,Knie::N,gju,knä
42,Oberschenkel::N,kofshë,lår
43,Bein::N,këmbë,ben
44,Körper::N,trup,kropp
45,Haut::N,lëkurë,hud
46,Haut::N,lëkurë,skinn
47,Blut::N,gjak,blod
48,Ader::N,venë,åder
49,Sehne::N,dell,sena
50,Knochen::N,asht,ben
51,Knochen::N,kockë,ben
52,Gehirn::N,tru,hjärna
53,Herz::N,zemër,hjärta
54,Magen::N,stomak,mage
55,Leber::N,mëlçi,lever
56,Atem::N,frymë,anda
57,Atem::N,frymë,andedräkt
58,Hunger::N,uri,svält
59,Hunger::N,uri,hunger
60,Träne::N,lot,tår
61,Geschmack::N,shije,smak
62,Geruch::N,erë,lukt
63,Schlaf::N,gjumë,sömn
64,Traum::N,ëndërr,dröm
65,Himmel::N,qiell,himmel
66,Sonne::N,diell,sol
67,Mond::N,hënë,måne
68,Stern::N,yll,stjärna
69,Luft::N,ajër,luft
70,Wind::N,erë,vind
71,Welle::N,valë,våg
72,Welle::N,valë,bölja
73,Welle::N,dallgë,våg
74,Welle::N,dallgë,bölja
75,Wasser::N,ujë,vatten
76,Stein::N,gur,sten
77,Boden::N,tokë,mark
78,Boden::N,truall,mark
79,Erde::N,dhe,jord
80,Erde::N,baltë,jord
81,Staub::N,pluhur,damm
82,Rauch::N,tym,rök
83,Funke::N,xixë,gnista
84,Funke::N,shkëndijë,gnista
85,Feuer::N,zjarr,eld
86,Licht::N,dritë,ljus
87,Schatten::N,hije,skugga
88,Wetter::N,mot,väder
89,Nebel::N,mjegull,dimma
90,Nebel::N,mjegull,töcken
91,Wolke::N,re,sky
92,Wolke::N,re,moln
93,Regen::N,shi,regn
94,Schnee::N,borë,snö
95,Eis::N,akull,is
96,Frost::N,ngricë,frost
97,Kälte::N,të ftohtë,köld
98,Hitze::N,vapë,hetta
99,Hitze::N,nxehtësi,hetta
100,Raureif::N,cikmë,rimfrost
101,Regenbogen::N,ylber,regnbåge
102,Donner::N,gjëmim,åska
103,Donner::N,gjëmim,dunder
104,Donner::N,bubullimë,åska
105,Donner::N,bubullimë,dunder
106,Strömung::N,rrymë,strömning
107,Tropfen::N,pikë,dropper
108,Schaum::N,shkumë,skum
109,Schmutz::N,baltë,lort
110,Schmutz::N,baltë,smuts
111,See::N,liqen,sjö
