,Concept_ID,os,sv
0,Auge::N,цӕст,öga
1,Ohr::N,хъус,öra
2,Nase::N,фындз,näsa
3,Mund::N,дзых,mun
4,Zahn::N,дӕндаг,tand
5,Zunge::N,ӕвзаг,tunga
6,Lippe::N,был,läpp
7,Wange::N,рус,kind
8,Wange::N,уадул,kind
9,Wange::N,ӕхсӕрфарс,kind
10,Gesicht::N,цӕсгом,syn
11,Gesicht::N,цӕсгом,ansikte
12,Stirn::N,ных,panna
13,Haar::N,хил,hår
14,Schnurrbart::N,рихи,mustasch
15,Bart::N,зачъе,skägg
16,Kinn::N,роцъо,haka
17,Kiefer[Anatomie]::N,ӕфсӕр,käke
18,Kehle::N,хъуыр,strupe
19,Hals::N,къубал,hals
20,Genick::N,къӕбут,nacke
21,Kopf::N,сӕр,huvud
22,Rücken::N,фӕсонтӕ,rygg
23,Bauch::N,гуыбын,buk
24,Bauch::N,гуыбын,mage
25,Nabel::N,бикъ,navel
26,Busen::N,дзидзи,barm
27,Brust::N,риу,bröst
28,Schulter::N,уӕхск,skuldra
29,Arm::N,цонг,arm
30,Ellenbogen::N,рæмбын,armbåge
31,Hand::N,къух,hand
32,Handfläche::N,армытъӕпӕн,handflata
33,Finger::N,ӕнруылдз,finger
34,Fingernagel::N,ных,fingernagel
35,Nagel[Anatomie]::N,ных,nagel
36,Zeh::N,къух,tå
37,Fuß::N,фад,fot
38,Ferse::N,зӕвӕт,häl
39,Knie::N,уӕраг,knä
40,Oberschenkel::N,агъд,lår
41,Bein::N,зӕнг,ben
42,Körper::N,буар,kropp
43,Haut::N,царм,hud
44,Haut::N,царм,skinn
45,Blut::N,туг,blod
46,Ader::N,дадзин,åder
47,Ader::N,тугдадзин,åder
48,Sehne::N,хъиутæ,sena
49,Sehne::N,нуар,sena
50,Knochen::N,стӕг,ben
51,Gehirn::N,магъз,hjärna
52,Herz::N,зӕрдӕ,hjärta
53,Magen::N,ахсӕн,mage
54,Leber::N,игæр,lever
55,Atem::N,улӕфт,anda
56,Atem::N,улӕфт,andedräkt
57,Hunger::N,стонг,svält
58,Hunger::N,стонг,hunger
59,Träne::N,цæссыг,tår
60,Geschmack::N,ад,smak
61,Geruch::N,смаг,lukt
62,Schlaf::N,хуыссӕг,sömn
63,Traum::N,фын,dröm
64,Himmel::N,арв,himmel
65,Himmel::N,уӕларв,himmel
66,Sonne::N,хур,sol
67,Mond::N,мӕй,måne
68,Stern::N,стъалы,stjärna
69,Luft::N,уӕлдӕф,luft
70,Wind::N,дымгӕ,vind
71,Welle::N,уылӕн,våg
72,Welle::N,уылӕн,bölja
73,Wasser::N,дон,vatten
74,Stein::N,дур,sten
75,Boden::N,зӕхх,mark
76,Erde::N,сыджыт,jord
77,Staub::N,рыг,damm
78,Rauch::N,фӕздӕг,rök
79,Funke::N,цӕхӕр,gnista
80,Feuer::N,зынг,eld
81,Licht::N,рухс,ljus
82,Schatten::N,аууон,skugga
83,Wetter::N,боныхъӕд,väder
84,Nebel::N,мигъ,dimma
85,Nebel::N,мигъ,töcken
86,Wolke::N,ӕврагъ,sky
87,Wolke::N,ӕврагъ,moln
88,Regen::N,уарын,regn
89,Schnee::N,мит,snö
90,Eis::N,их,is
91,Frost::N,ихæн,frost
92,Kälte::N,уазал,köld
93,Hitze::N,ӕнтӕф,hetta
94,Raureif::N,халас,rimfrost
95,Regenbogen::N,арвырон,regnbåge
96,Regenbogen::N,арвырдын,regnbåge
97,Donner::N,æрвнæрын,åska
98,Donner::N,æрвнæрын,dunder
99,Strömung::N,цыд,strömning
100,Tropfen::N,æртах,dropper
101,Schaum::N,фынк,skum
102,Schmutz::N,цъыф,lort
103,Schmutz::N,цъыф,smuts
104,See::N,цад,sjö
105,Sumpf::N,цъыфдзаст,träsk
106,Moor::N,цъыфдзаст,myr
107,Moor::N,цъыфдзаст,mosse
108,Wiese::N,уыгӕрдӕн,äng
109,Wald::N,хъӕд,skog
110,Hügel::N,обау,höjd
111,Hügel::N,обау,kulle
112,Hügel::N,къуыбыр,höjd
113,Hügel::N,къуыбыр,kulle
114,Anhöhe::N,уæлвæз,höjd
115,Anhöhe::N,уæлвæз,backe
116,Anhöhe::N,уæлхох,höjd
117,Anhöhe::N,уæлхох,backe
118,Berg::N,хох,berg
119,Berg::N,хох,fjäll
120,Gipfel::N,цъупп,topp
121,Höhle::N,лӕгӕт,håla
122,Höhle::N,лӕгӕт,grotta
123,Abhang::N,къул,slänt
124,Abhang::N,къул,sluttning
125,Quelle::N,суадон,källa
126,Bach::N,мӕсчъыдон,bäck
127,Fluss::N,дон,älv
128,Fluss::N,дон,flod
129,Fluss::N,цӕугӕдон,älv
130,Fluss::N,цӕугӕдон,flod
131,Ufer::N,был,strand
132,Küste::N,донбыл,kust
133,Festland::N,сурзæхх,fastland
134,Meer::N,денджыз,hav
135,Bucht::N,донбакæлæн,vik
136,Bucht::N,донбакæлæн,bukt
137,Insel::N,сакъадах,ö
138,Blume::N,дидинӕг,blomma
139,Blume::N,дидинӕг,blomster
140,Gras::N,кӕрдӕг,gräs
141,Wurzel::N,уидаг,rot
142,Baum::N,бӕлас,träd
143,Stamm::N,хӕтӕл,stam
144,Rinde::N,цъар,bark
145,Ast::N,арх,gren
146,Zweig::N,къалиу,kvist
147,Blatt::N,сыф,löv
148,Blatt::N,сыф,blad
149,Birke::N,бæрз,björk
150,Kiefer[Baum]::N,нӕзы,tall
151,Weide[Baum]::N,хӕрис,pil
152,Weide[Baum]::N,хӕрис,vide
153,Tanne::N,наз,gran
154,Horn::N,сыкъа,horn
155,Feder::N,сис,fjäder
156,Fell::N,царм,fäll
157,Fell::N,царм,skinn
158,Flügel::N,базыр,vinge
159,Klaue::N,ных,klöv
160,Kralle::N,дзӕмбы,klo
161,Schwanz::N,къӕдзил,svans
162,Schwanz::N,къӕдзил,stjärt
163,Ei::N,айк,ägg
164,Nest::N,ахстон,rede
165,Nest::N,ахстон,näste
166,Bau::N,хуынкъ,bo
167,Tier::N,сырд,djur
168,Tier::N,цӕрӕгой,djur
169,Herde::N,дзуг,flock
170,Herde::N,рӕгъау,flock
171,Kuh::N,хъуг,ko
172,Bulle::N,гал,tjur
173,Pferd::N,бӕх,häst
174,Schaf::N,фыс,får
175,Schwein::N,хуы,svin
176,Hund::N,куыдз,hund
177,Katze::N,гӕды,katt
178,Bär::N,арс,björn
179,Eichhörnchen::N,æхсæрæг,ekorre
180,Elch::N,цæгатаг саг,älg
181,Fuchs::N,рувас,räv
182,Hase::N,тæрхъус,hare
183,Maus::N,мыст,mus
184,Wolf::N,бирӕгъ,varg
185,Vogel::N,цъиу,fågel
186,Vogel::N,маргъ,fågel
187,Schwarm::N,бал,svärm
188,Huhn::N,карк,höns
189,Hahn::N,уасӕг,tupp
190,Gans::N,хъаз,gås
191,Adler::N,цӕргӕс,örn
192,Ente::N,ацц,anka
193,Eule::N, уыг,uggla
194,Eule::N,сидахъ,uggla
195,Kranich::N,зырнæг,trana
196,Kranich::N,хърихъупп,trana
197,Krähe::N,халон,kråka
198,Kuckuck::N,гаккук,gök
199,Schwan::N,доныхъаз,svan
200,Fisch::N,кӕсаг,fisk
201,Barsch::N,окунь,abborre
202,Hecht::N,хихор кӕсаг,gädda
203,Schlange[Tier]::N,калм,orm
204,Wurm::N,зулкъ,mask
205,Wurm::N,къуыдыргалм,mask
206,Spinne::N,хӕлуарӕг,spindel
207,Ameise::N,мæлдзыг,myra
208,Laus::N,сыст,lus
209,Mücke::N,къогъо,mygga
210,Fliege::N,бындз,fluga
211,Schmetterling::N,гæлæбу,fjäril
212,Beere::N,гагадыргъ,bär
213,Apfel::N,фӕткъуы,äpple
214,Pilz::N,зокъо,svamp
215,Pilz::N,къозо,svamp
216,Zwiebel::N,хъӕдындз,lök
217,Saat::N,тауинаг,sådd
218,Saat::N,мыггаг,sådd
219,Korn::N,мыггаг,korn
220,Korn::N,тауинаг,korn
221,Heu::N,хос,hö
222,Schale::N,цъар,skal
223,Grube::N,урм,grop
224,Grube::N,къахт,grop
225,Grube::N,дзыхъхъ,grop
226,Falle::N,цъысым,fälla
227,Falle::N,къӕппӕг,fälla
228,Schlinge::N,цасм,snara
229,Spur::N,фæд,spår
230,Asche::N,фӕнык,aska
231,Asche::N,ӕртхутӕг,aska
232,Dreck::N,цъыф,lort
