,Concept_ID,uz,lv
0,Auge::N,ko'z,син
1,Auge::N,ko'z,acs
2,Ohr::N,quloq,пель
3,Ohr::N,quloq,auss
4,Nase::N,burun,ныр
5,Nase::N,burun,deguns
6,Mund::N,og'iz,вом
7,Mund::N,og'iz,mute
8,Zahn::N,tish,пинь
9,Zahn::N,tish,zobs
10,Zunge::N,til,кыв
11,Zunge::N,til,mēle
12,Lippe::N,dudoq,вом дор
13,Lippe::N,dudoq,lūpa
14,Wange::N,bet,бан
15,Wange::N,bet,vaigs
16,Gesicht::N,yuz,чужӧм
17,Gesicht::N,yuz,seja
18,Gesicht::N,yuz,ģīmis
19,Stirn::N,manglay,плеш
20,Stirn::N,manglay,кымӧс
21,Stirn::N,manglay,piere
22,Haar::N,soch,си
23,Haar::N,soch,юрси
24,Haar::N,soch,mats
25,Schnurrbart::N,mo'ylov,ус
26,Schnurrbart::N,mo'ylov,пыртсим
27,Schnurrbart::N,mo'ylov,ūsas
28,Bart::N,soqol,тош
29,Bart::N,soqol,bārda
30,Kinn::N,ängak,тшӧка
31,Kinn::N,ängak,zods
32,Kinn::N,ängak,smakrs
33,Kiefer[Anatomie]::N,iyak,черлы
34,Kiefer[Anatomie]::N,iyak,алака лы
35,Kiefer[Anatomie]::N,iyak,вомкӧтш лы
36,Kiefer[Anatomie]::N,iyak,žoklis
37,Kehle::N,bo'g'iz,голя
38,Kehle::N,bo'g'iz,rīkle
39,Hals::N,bo'yin,сьылі
40,Hals::N,bo'yin,kakls
41,Genick::N,gardan,юрбӧр
42,Genick::N,gardan,балябӧж
43,Genick::N,gardan,sprands
44,Kopf::N,bosh,юр
45,Kopf::N,bosh,galva
46,Rücken::N,orqa,мыш
47,Rücken::N,orqa,mugura
48,Bauch::N,qorin,рушку
49,Bauch::N,qorin,vēders
50,Nabel::N,kindik,гӧг
51,Nabel::N,kindik,naba
52,Busen::N,ämchak,морӧс
53,Busen::N,ämchak,krūts
54,Brust::N,ko'krak,морӧс
55,Brust::N,ko'krak,krūts
56,Schulter::N,elka,пельпом
57,Schulter::N,elka,plecs
58,Arm::N,bilak,ки
59,Arm::N,bilak,roka
60,Arm::N,bilak,delms
61,Ellenbogen::N,tirsak,гырддза
62,Ellenbogen::N,tirsak,elkonis
63,Hand::N,qo'l,ки
64,Hand::N,qo'l,roka
65,Hand::N,qo'l,plauksta
66,Handfläche::N,kaft,ки пыдӧс
67,Handfläche::N,kaft,delna
68,Handfläche::N,kaft,plauksta
69,Finger::N,barmoq,чунь
70,Finger::N,barmoq,pirksts
71,Fingernagel::N,tirnoq,гыж
72,Fingernagel::N,tirnoq,nags
73,Nagel[Anatomie]::N,tirnoq,гыж
74,Nagel[Anatomie]::N,tirnoq,nags
