,Concept_ID,te,bn
0,Auge::N,కన్ను,চক্ষু
1,Ohr::N,చెవి,কর্ণ
2,Nase::N,ముక్కు,নাক
3,Mund::N,నోరు,মুখ
4,Zahn::N,పల్లు,দাঁত
5,Zunge::N,నాలుక,জিহবা
6,Lippe::N,పెదవి,অধর
7,Wange::N,చెంప,গণ্ড
8,Gesicht::N,ముఖము,মুখমণ্ডল
9,Stirn::N,నుదురు,কপাল
10,Haar::N,వెండ్రుక,চুল
11,Schnurrbart::N,మీసము,গোঁফ
12,Bart::N,గడ్డము,শ্মশ্রু
13,Kinn::N,గడ్డము,চিবুক
14,Kiefer[Anatomie]::N,దౌడ,চোয়াল
15,Kehle::N,గొంతు,কণ্ঠ
16,Hals::N,మెడ,গল
17,Genick::N,మూపు,ঘাড়
18,Kopf::N,తల,মাথা
19,Rücken::N,వెన్ను,পৃষ্ঠ
20,Bauch::N,కడుపు,উদর
21,Nabel::N,బొడ్డు,নাভি
22,Busen::N,స్తనము,স্তন
23,Brust::N,ఱొమ్ము,বুক
24,Schulter::N,భుజము,স্কন্ধ
25,Arm::N,చేయి,বাহু
26,Ellenbogen::N,మోచేయి,কনুই
27,Hand::N,చేయి,হাত
28,Handfläche::N,అరచేయు,করতল
29,Finger::N,చేతిప్రేలు,আঙ্গুল
30,Fingernagel::N,గోరు,হাতের নখ
31,Nagel[Anatomie]::N,గోరు,নখ
32,Zeh::N,కాలిప్రేలు,আঙ্গুল
33,Fuß::N,అడుగు,পা
34,Ferse::N,మడమ,গোড়ালি
35,Knie::N,మోకాలు,হাঁটু
36,Oberschenkel::N,తొడ,ঊরু
37,Bein::N,కాలు,পা
38,Körper::N,కాయము,দেহ
39,Haut::N,చర్మము,ত্বক
40,Blut::N,రక్తము,রক্ত
41,Ader::N,సిర,শিরা
42,Sehne::N,స్నాయువు,কণ্ডরা
43,Knochen::N,ఎముక,অস্থি
44,Gehirn::N,మెదడు,মস্তিষ্ক
45,Herz::N,హృదయము,হৃৎপিণ্ড
46,Magen::N,కడుపు,পাকস্থলী
47,Leber::N,కాలేయము,যকৃৎ
48,Atem::N,ఉపిరి,শ্বাস
49,Hunger::N,ఆకలి,ক্ষুধা
50,Träne::N,కన్నీటిచుక్క,অশ্রু
51,Geschmack::N,రుచి,স্বাদ
52,Geruch::N,వాసన,গন্ধ
53,Schlaf::N,నిద్ర,ঘুম
54,Traum::N,కల,স্বপ্ন
55,Himmel::N,ఆకాశము,আকাশ
56,Sonne::N,సూర్యుడు,সূর্য
57,Mond::N,చంద్రుడు,চন্দ্র
58,Stern::N,నక్షత్రము,নক্ষত্র
59,Luft::N,గాలి,বায়ু
60,Wind::N,వీచుచున్నగాలి,বাতাস
61,Welle::N,అల,ঢেউ
62,Welle::N,అల,তরঙ্গ
63,Wasser::N,నీరు,জল
64,Stein::N,ఱాయి,ঢিল
65,Stein::N,ఱాయి,প্রস্তর
66,Boden::N,నేల,ভূতল
67,Erde::N,మన్ను,ভূমি
68,Staub::N,దుమ్ము,ধুলা
69,Rauch::N,పొగ,ধোঁয়া
70,Funke::N,అగ్నికణము,স্ফুলিঙ্গ
71,Feuer::N,అగ్ని,অগ্নি
72,Licht::N,కాంతి,আলো
73,Schatten::N,నీడ,ছায়া
74,Wetter::N,వాతావరణ స్థితి,আবহাওয়া
75,Nebel::N,పొగమంచు,কুহেলিকা
76,Wolke::N,మేఘము,মেঘ
77,Regen::N,వాన,বৃষ্টি
78,Schnee::N,హిమము,তুষার
79,Eis::N,మంచుగడ్డ,বরফ
80,Frost::N,పేరిన మంచు,তুষার
81,Kälte::N,చలి,শৈত্য
82,Hitze::N,వేడిమి,তাপ
83,Raureif::N,మంచు,তুহিন
84,Regenbogen::N,ఇంద్రధనుస్సు,রামধনু
85,Donner::N,ఉరుము,বজ্রধ্বনি
86,Strömung::N,ప్రవాహము,স্রোত
87,Tropfen::N,చుక్క,ফোঁটা
88,Schaum::N,నురుగు,ফেনা
89,Schmutz::N,మైల,ধুলা
90,See::N,సరస్సు,হ্রদ
91,Sumpf::N,చిత్తడినేల,জলা
