,Concept_ID,el,en
0,Auge::N,μάτι,eye
1,Auge::N,οφθαλμός,eye
2,Ohr::N,αυτί,ear
3,Nase::N,μύτη,nose
4,Mund::N,στόμα,mouth
5,Zahn::N,δόντι,tooth
6,Zunge::N,γλώσσα,tongue
7,Lippe::N,χείλος,lip
8,Wange::N,παρειά,cheek
9,Wange::N,μάγουλο,cheek
10,Gesicht::N,πρόσωπο,face
11,Stirn::N,μέτωπο,forehead
12,Haar::N,μαλλιά,hair
13,Schnurrbart::N,μουστάκι,moustache
14,Bart::N,γένια,beard
15,Kinn::N,πιγούνι,chin
16,Kiefer[Anatomie]::N,σαγόνι,jaw
17,Kehle::N,λαρύγγι,throat
18,Hals::N,λαιμός,neck
19,Genick::N,σβέρκος,nape
20,Kopf::N,κεφάλι,head
21,Rücken::N,ράχη,back
22,Rücken::N,ράχη,spine
23,Bauch::N,κοιλιά,belly
24,Nabel::N,αφαλός,navel
25,Busen::N,στήθος,bosom
26,Brust::N,στήθος,chest
27,Brust::N,στήθος,breast
28,Schulter::N,ώμος,shoulder
29,Arm::N,χέρι,arm
30,Arm::N,μπράτςο,arm
31,Ellenbogen::N,αγκώνας,elbow
32,Hand::N,χέρι,hand
33,Handfläche::N,παλάμη,palm
34,Finger::N,δάχτυλο,finger
35,Fingernagel::N,νύχι,fingernail
36,Nagel[Anatomie]::N,νύχι,nail
37,Zeh::N,δάχτυλο του ποδιού,toe
38,Fuß::N,πόδι,foot
39,Ferse::N,φτέρνα,heel
40,Knie::N,γόνατο,knee
41,Oberschenkel::N,μηρός,thigh
42,Bein::N,πόδι,leg
43,Körper::N,σώμα,body
44,Körper::N,κορμί,body
45,Haut::N,πετσί,skin
46,Blut::N,αίμα,blood
47,Ader::N,φλέβα,vein
48,Sehne::N,νεύρο,sinew
49,Sehne::N,τένοντας,sinew
50,Knochen::N,οστό,bone
51,Knochen::N,κόκκαλο,bone
52,Gehirn::N,μυαλό,brain
53,Gehirn::N,εγκέφαλος,brain
54,Herz::N,καρδιά,heart
55,Magen::N,στομάχι,stomach
56,Leber::N,ήπαρ,liver
57,Leber::N,συκωτί,liver
58,Atem::N,αναπνοή,breath
59,Hunger::N,πείνα,hunger
60,Träne::N,δάκρυ,tear
61,Geschmack::N,γεύση,flavour
