,Concept_ID,sah,sv
0,Auge::N,харах,öga
1,Ohr::N,кулгаах,öra
2,Nase::N,мурун,näsa
3,Mund::N,айах,mun
4,Zahn::N,тиис,tand
5,Zunge::N,тыл,tunga
6,Lippe::N,уос,läpp
7,Wange::N,иэдэс,kind
8,Gesicht::N,сирэй,syn
9,Gesicht::N,сирэй,ansikte
10,Stirn::N,сүүс,panna
11,Haar::N,баттах,hår
12,Schnurrbart::N,уос бытыга,mustasch
13,Bart::N,сэҥийэ бытыга,skägg
14,Kinn::N,сэҥийэ,haka
15,Kiefer[Anatomie]::N,сыҥаах,käke
16,Kehle::N,тамах,strupe
17,Kehle::N,күөмэй,strupe
18,Hals::N,моой,hals
19,Genick::N,кэтэх,nacke
20,Kopf::N,бас,huvud
21,Rücken::N,көҕүс,rygg
22,Bauch::N,ис,buk
23,Bauch::N,ис,mage
24,Nabel::N,киин,navel
25,Busen::N,эмиий,barm
26,Brust::N,түөс,bröst
27,Schulter::N,сарын,skuldra
28,Arm::N,илии,arm
29,Ellenbogen::N,тоҕонох,armbåge
30,Hand::N,илии,hand
31,Handfläche::N,ытыс,handflata
32,Finger::N,тарбах,finger
33,Fingernagel::N,тыҥырах,fingernagel
34,Nagel[Anatomie]::N,тыҥырах,nagel
35,Zeh::N,тарбах,tå
36,Fuß::N,уллуҥах,fot
37,Ferse::N,тилэх,häl
38,Knie::N,тобук,knä
39,Knie::N,дьилбэк,knä
40,Oberschenkel::N,уллук,lår
41,Oberschenkel::N,өттүк,lår
42,Bein::N,атах,ben
43,Körper::N,бэйэ,kropp
44,Haut::N,тирии,hud
45,Haut::N,тирии,skinn
46,Blut::N,хаан,blod
47,Ader::N,вена,åder
48,Ader::N,күөх_тымыр,åder
49,Sehne::N,иҥиир,sena
50,Knochen::N,уҥуох,ben
51,Knochen::N,уҥгуох,ben
52,Gehirn::N,мэйии,hjärna
53,Herz::N,сүрэх,hjärta
54,Magen::N,куртах,mage
55,Leber::N,быар,lever
56,Atem::N,тыын,anda
57,Atem::N,тыын,andedräkt
58,Hunger::N,аас,svält
59,Hunger::N,аас,hunger
60,Träne::N,харах уута,tår
61,Geschmack::N,амтан,smak
62,Geruch::N,сыт,lukt
63,Schlaf::N,утуйуу,sömn
64,Traum::N,түүл,dröm
65,Himmel::N,халлаан,himmel
66,Sonne::N,күн,sol
67,Mond::N,ый,måne
68,Stern::N,сулус,stjärna
69,Luft::N,салгын,luft
70,Wind::N,тыал,vind
71,Welle::N,долгун,våg
72,Welle::N,долгун,bölja
73,Welle::N,балхаан,våg
