,Concept_ID,nl,lbe
0,Auge::N,oog,я
1,Ohr::N,oor,вичӏи
2,Nase::N,neus,май
3,Mund::N,mond,кьацӏ
4,Zahn::N,tand,ккарччи
5,Zunge::N,tong,маз
6,Lippe::N,lip,мурччи
7,Wange::N,wang,чӏав
8,Gesicht::N,gelaat,лажин
9,Gesicht::N,gezicht,лажин
10,Stirn::N,voorhoofd,ненттабакӏ
11,Haar::N,haar,чӏара
12,Schnurrbart::N,snor,ссирссилтту
13,Bart::N,baard,чӏири
14,Kinn::N,kin,лунттубакӏ
15,Kiefer[Anatomie]::N,kaak,ххинчулул
16,Kehle::N,keel,кьакьари
17,Kehle::N,strot,кьакьари
18,Hals::N,hals,ссурссу
19,Genick::N,nek,махъабакӏ
20,Kopf::N,hoofd,бакӏ
21,Rücken::N,rug,ттиликӏ
22,Bauch::N,buik,лякьа
23,Nabel::N,navel,цӏумуккутӏ
24,Busen::N,boezem,ккукку
25,Brust::N,borst,хъазам
26,Schulter::N,schouder,хъачӏ
27,Arm::N,arm,ка
28,Ellenbogen::N,elleboog,ссюрхъ
29,Hand::N,hand,бартка
30,Handfläche::N,handpalm,хъат
31,Handfläche::N,handpalm,битӏянхъ
32,Finger::N,vinger,кӏисса
33,Fingernagel::N,nagel,михь
34,Nagel[Anatomie]::N,nagel,михь
35,Zeh::N,teen,кӏисса
36,Fuß::N,voet,чӏанччан
37,Ferse::N,hak,никъа
38,Ferse::N,hiel,никъа
39,Knie::N,knie,ник
40,Oberschenkel::N,dij,жира
41,Bein::N,been,ччан
42,Körper::N,lichaam,чурх
43,Haut::N,huid,бурчу
44,Blut::N,bloed,оь
45,Ader::N,ader,тунну
46,Sehne::N,pees,хьхьа
47,Knochen::N,bot,ттаркӏ
48,Knochen::N,been,ттаркӏ
49,Knochen::N,knook,ттаркӏ
50,Gehirn::N,hersenen,ня
51,Herz::N,hart,дакӏ
52,Herz::N,hart,къюкӏ
53,Magen::N,maag,лякьа
54,Leber::N,lever,
55,Atem::N,adem,ссихӏ ласаву
56,Atem::N,adem,ссихӏ бигьаву
57,Hunger::N,honger,ккаши
58,Träne::N,traan,макь
59,Geschmack::N,smaak,тӏин
60,Geschmack::N,smaak,тӏааьн
61,Geruch::N,geur,кьанкь
62,Schlaf::N,slaap,шану
63,Traum::N,droom,макӏру
64,Himmel::N,hemel,ссав
65,Sonne::N,zon,баргъ
66,Mond::N,maan,барз
67,Stern::N,ster,цӏуку
68,Luft::N,lucht,гьава
69,Wind::N,wind,марч
70,Welle::N,golf,щатӏи
71,Wasser::N,water,щин
72,Stein::N,steen,чару
73,Boden::N,grond,аьрщи
74,Erde::N,aarde,аьрщи
75,Staub::N,stof,ххит
76,Rauch::N,rook,пуркӏу
77,Funke::N,vonk,пиягь
78,Feuer::N,vuur,цӏу
79,Licht::N,licht,чани
80,Schatten::N,schaduw,ххют
81,Wetter::N,weer,гьава
82,Nebel::N,mist,шархь ттурлу
83,Nebel::N,nevel,шархь ттурлу
84,Wolke::N,wolk,ттурлу
85,Regen::N,regen,гъарал
86,Schnee::N,sneeuw,марххала
87,Eis::N,ijs,микӏ
88,Frost::N,vorst,дяркъу
89,Frost::N,vorst,замгьар
90,Kälte::N,kou,дяркъу
91,Kälte::N,koude,дяркъу
92,Hitze::N,hitte,кӏиришиву
93,Raureif::N,rijp,сил
94,Raureif::N,rijp,бурса
95,Regenbogen::N,regenboog,ссурул ккуртта
96,Donner::N,donder,къув
97,Strömung::N,stroming,экьинанаву
98,Tropfen::N,druppel,кӏунтӏ
99,Schaum::N,schuim,хьама
100,Schmutz::N,vuil,кьяркьи
101,See::N,meer,бяр
102,Sumpf::N,moeras,кунцӏа
103,Moor::N,veen,
104,Wiese::N,wei,кьан
105,Wiese::N,weide,кьан
106,Wald::N,bos,вацӏа
107,Hügel::N,heuvel,бакӏу
108,Anhöhe::N,hoogte,
109,Berg::N,berg,зунтту
110,Gipfel::N,top,мицӏ
111,Höhle::N,hol,нух
112,Abhang::N,helling,сун
113,Quelle::N,bron,дайдихьу
114,Quelle::N,bron,бакӏ
115,Bach::N,beek,чӏрир нех
116,Fluss::N,stroom,нех
117,Ufer::N,wal,зума
118,Ufer::N,oever,зума
119,Küste::N,kust,зумаинхалу
120,Küste::N,kust,зуманицӏалу
121,Festland::N,vasteland,кьири
122,Meer::N,zee,хьхьири
123,Bucht::N,baai,
124,Bucht::N,inham,
125,Insel::N,eiland,жазира
126,Blume::N,bloem,тӏутӏи
127,Gras::N,gras,уртту
128,Wurzel::N,wortel,мархха
129,Baum::N,boom,мурхь
130,Stamm::N,stam,ттарцӏ
131,Rinde::N,schors,ккамара
132,Ast::N,tak,матӏи
133,Zweig::N,twijg,къяртта
134,Blatt::N,blad,чӏапӏи
135,Birke::N,berk,кӏялахӏи
136,Birke::N,berk,кӏялахӏилул мурхь
137,Kiefer[Baum]::N,den,ттар
138,Kiefer[Baum]::N,den,ттарлил мурхь
139,Weide[Baum]::N,wilg,щавщи
140,Tanne::N,spar,ттарлил мурхь
141,Horn::N,hoorn,хъи
142,Feder::N,veer,лелуххул тӏиму
143,Feder::N,pluim,лелуххул тӏиму
