,Concept_ID,vep,sq
0,Auge::N,sil'm,sy
1,Ohr::N,korv,vesh
2,Nase::N,nena,hundë
3,Mund::N,su,gojë
4,Zahn::N,pi,dhëmb
5,Zahn::N,hambaz,dhëmb
6,Zunge::N,kel',gjuhë
7,Lippe::N,hul',buzë
8,Wange::N,modpolišk,faqe
9,Wange::N,modpolišk,mollëz
10,Gesicht::N,mod,fytyrë
11,Stirn::N,oc,ballë
12,Haar::N,tuk,flokë
13,Haar::N,hibuz,flokë
14,Schnurrbart::N,habinod,mustaqe
15,Bart::N,bard,mjekër
16,Kinn::N,löug,mjekër
17,Kiefer[Anatomie]::N,hambazlu,nofull
18,Kehle::N,kurk,fyt
19,Kehle::N,kurk,grykë
20,Hals::N,kagl,qafë
21,Genick::N,tagarai,arrëz
22,Kopf::N,pä,kokë
23,Rücken::N,sel'g,kurriz
24,Bauch::N,vac,bark
25,Bauch::N,koht,bark
26,Nabel::N,naba,kërthizë
27,Busen::N,niža,gji
28,Brust::N,rind,gjoks
29,Brust::N,rind,kraharor
30,Schulter::N,oug,sup
31,Schulter::N,oug,krah
32,Arm::N,käzi,krah
33,Ellenbogen::N,künambruz,bërryl
34,Hand::N,käzi,dorë
35,Hand::N,käzitera,dorë
36,Handfläche::N,kämen,pëllëmbë
37,Finger::N,sor'm,gisht
38,Fingernagel::N,künz',thua
39,Nagel[Anatomie]::N,künz',thua
40,Zeh::N,barbaz,gisht i këmbës
41,Fuß::N,jaug,këmbë
42,Ferse::N,kand,thembër
43,Knie::N,komb,gju
44,Knie::N,pol'v,gju
45,Oberschenkel::N,riiže,kofshë
46,Bein::N,jaug,këmbë
47,Körper::N,hibj,trup
48,Haut::N,nahk,lëkurë
49,Blut::N,čak,gjak
50,Blut::N,veri,gjak
51,Ader::N,son',venë
52,Sehne::N,jände,dell
53,Knochen::N,lu,asht
54,Knochen::N,lu,kockë
55,Gehirn::N,aivod,tru
56,Herz::N,südäin,zemër
57,Magen::N,südäikoht,stomak
58,Leber::N,maks,mëlçi
59,Atem::N,hengaiduz,frymë
60,Hunger::N,näl'g,uri
61,Träne::N,kündal',lot
62,Geschmack::N,magu,shije
63,Geruch::N,haju,erë
64,Schlaf::N,uni,gjumë
65,Traum::N,unikuva,ëndërr
66,Himmel::N,taivaz,qiell
67,Sonne::N,päiväine,diell
68,Mond::N,kudmaine,hënë
69,Stern::N,tähtaz,yll
70,Luft::N,il'm,ajër
71,Wind::N,döl,erë
72,Wind::N,tullei,erë
73,Welle::N,ald,valë
74,Welle::N,ald,dallgë
75,Welle::N,laineh,valë
76,Welle::N,laineh,dallgë
77,Wasser::N,vezi,ujë
78,Stein::N,kivi,gur
79,Boden::N,ma,tokë
80,Boden::N,ma,truall
81,Boden::N,pohj,tokë
82,Boden::N,pohj,truall
83,Erde::N,ma,dhe
84,Erde::N,ma,baltë
85,Staub::N,pölü,pluhur
86,Rauch::N,savu,tym
87,Funke::N,kibin,xixë
88,Funke::N,kibin,shkëndijë
