,Concept_ID,kk,ta
0,Auge::N,көз,கண்
1,Ohr::N,құлақ,காது
2,Nase::N,мұрын,மூக்கு
3,Mund::N,ауыз,வாய்
4,Zahn::N,тіс,பல்
5,Zunge::N,тіл,நாக்கு
6,Lippe::N,ерін,உதடு
7,Wange::N,ұрт,கன்னம்
8,Gesicht::N,бет-аузы,முகம்
9,Stirn::N,маңдай,முன்னெற்றி
10,Haar::N,қыл,முடி
11,Schnurrbart::N,мұрт,மீசை
12,Bart::N,сақал,தாடி
13,Kinn::N,иек,கீழதாடை
14,Kiefer[Anatomie]::N,жақ,தாடை
15,Kehle::N,алқым,தொண்டை
16,Hals::N,мойын,கழுத்து
17,Genick::N,желке,கழுத்து
18,Kopf::N,кәллә,தலை
19,Rücken::N,арқа,முதுகு
20,Bauch::N,қарын,வயிறு
21,Nabel::N,кіндік,தொப்புள்
22,Busen::N,омырау,மார்பகம்
23,Brust::N,кеуде, மார்பு
24,Schulter::N,иық,தோள்பட்டை
25,Arm::N,қол,கரம்
26,Ellenbogen::N,шынтақ,முழங்கை
27,Hand::N,қол,கை
28,Handfläche::N,алақан,உள்ளங்கை
29,Finger::N,саусақ,விரல்
30,Fingernagel::N,тырнақ,விரல் நகம்
31,Nagel[Anatomie]::N,тырнақ,நகம்
32,Zeh::N,тырнақ,கால்விரல்
33,Zeh::N,тұяқ,கால்விரல்
34,Fuß::N,аяқ-басы,கால்
35,Ferse::N,өкше,குதிகால்
36,Ferse::N,өкшелік,குதிகால்
37,Knie::N,тізе,முழங்கால்
38,Oberschenkel::N,жамбас,தொடை
39,Bein::N,аяқ,கால்
40,Körper::N,дене,உடல்
41,Haut::N,тері,சருமம்
42,Blut::N,қан,இரத்தம்
43,Ader::N,көктамыр,நாளம்
44,Ader::N,күретамыр,நாளம்
45,Sehne::N,сіңір,தசைநார்
46,Knochen::N,жілік,எலுமபு
47,Gehirn::N,ми,மூனை
48,Herz::N,жүрек,இதயம
49,Magen::N,асқазан,வயிறு
50,Leber::N,бауыр,கல்லீரல்
51,Atem::N,леп,மூச்சு
52,Hunger::N,ашаршылық,பசி
53,Träne::N,жас,கண்ணீர்
54,Geschmack::N,дәм,நறுமணம்
55,Geschmack::N,татым,நறுமணம்
56,Geschmack::N,талғам,நறுமணம்
57,Geruch::N,иіс,துர்நாற்றம்
58,Schlaf::N,ұйқы,தூக்கம்
59,Schlaf::N,ұйықтау,தூக்கம்
60,Traum::N,түс,கனவு
61,Himmel::N,аспан,வானம்
62,Himmel::N,көқ,வானம்
63,Himmel::N,таңдай,வானம்
64,Sonne::N,күн,சூரியன்
65,Mond::N,ай,சந்திரன்
66,Stern::N,жұлдыз,நட்சத்திரம்
67,Luft::N,әуе,காறறு
68,Wind::N,жел,காற்று
69,Welle::N,толқын,அலை
70,Wasser::N,су,நீர்
71,Stein::N,тас,கல்
72,Boden::N,қыртыс,தரை
73,Erde::N,топырақ,மண்
74,Staub::N,шаң,தூசி
75,Rauch::N,түтін,புகை
76,Funke::N,ұшқын,தீப்பொறி
77,Feuer::N,алау,தீ
78,Licht::N,шұғыла,வெளிச்சம்
79,Schatten::N,көлеңке,நிழல்
80,Wetter::N,ауа райы,வானிலை
81,Nebel::N,тұман,பனிமூட்டம்
82,Wolke::N,бұлт,மேகம்
83,Regen::N,жаңбыр,மழை
84,Schnee::N,қар,உறைபனி
85,Eis::N,мұз,பனிக்கட்டி
86,Frost::N,суық,உறைபனி
87,Kälte::N,ызғар,குளிர்ந்த
88,Kälte::N,суықтық,குளிர்ந்த
89,Hitze::N,аптап,சூடு
90,Raureif::N,қырау,உறைபனி வெண்திரை
91,Regenbogen::N,кемпірқосақ,வானவில்
92,Donner::N,күн күркіреу,இடி
93,Strömung::N,ағын,நீரோட்டம்
94,Tropfen::N,тамшы,துளி
95,Schaum::N,көбік,நுரை
96,Schmutz::N,кір,அழுக்கு
97,See::N,көл,ஏரி
98,Sumpf::N,саз,சதுப்பு நிலம்
99,Moor::N,саз,முட்புதற்காடு
100,Wiese::N,шалғын,பசும் புல்தரை
101,Wald::N,орман,காடு
102,Hügel::N,төбе,குன்று
103,Hügel::N,белес,குன்று
104,Hügel::N,белес-белес,குன்று
105,Anhöhe::N,дөң,பதுக்கை
106,Anhöhe::N,адыр,பதுக்கை
107,Anhöhe::N,қырат,பதுக்கை
108,Berg::N,тау,மலை
109,Gipfel::N,төбе,உச்சி மாநாடு
110,Höhle::N,үңгір,குகை
111,Abhang::N,бауыр,சரிவு
112,Quelle::N,қайнар,மூலம்
113,Bach::N,жылға,ஓடை
114,Fluss::N,өзен,ஆறு
115,Ufer::N,жиек,நீர்க்கரை
116,Küste::N,жиегі,கடற்கரை
117,Küste::N,жағалау,கடற்கரை
118,Festland::N,құрылық,நிலம்
119,Meer::N,теңіз,கடல்
120,Bucht::N,шығанақ,சிறுகுடா
121,Insel::N,арал,தீவு
122,Blume::N,гүл,பூ
123,Gras::N,от,புல்தரை
124,Wurzel::N,түбір,வேர்
125,Baum::N,ағаш,மரம்
126,Baum::N,дарақ,மரம்
127,Stamm::N,сояу,அடிமரம்
128,Stamm::N,оқпан,அடிமரம்
129,Rinde::N,қабық,பட்டை
130,Rinde::N,қабық,மரப்பட்டை
131,Ast::N,бұтақ,கினை
132,Zweig::N,шыбық,குச்சி
133,Blatt::N,жапырақ,இலை
134,Birke::N,қайың,பிர்ச் மரம்
135,Kiefer[Baum]::N,қарағай,தேவதாரு மரம்
136,Weide[Baum]::N,тал,மர வகைகளுள் ஒன்று
137,Tanne::N,шырша,சாதிக்கய்
138,Horn::N,мүйіз,கொம்பு
139,Feder::N,қаламұш,இறகு
140,Fell::N,тері,மென்முடி
141,Flügel::N,қанат,இறக்கை
142,Klaue::N,тырнақ,நகம்
143,Kralle::N,аяқ,நகம்
144,Schwanz::N,құйрық,வால்
145,Ei::N,жұмыртқа,முட்டை
146,Nest::N,ұя,கூடு
147,Bau::N,жатақ,குகை
148,Tier::N,айуан,விலங்கு
149,Tier::N,жануар,விலங்கு
150,Herde::N,пада,கூட்டம்
151,Kuh::N,сиыр,பசு
152,Bulle::N,өгіз,காளை
153,Pferd::N,жылқы,குதிரை
154,Schaf::N,қой,செம்மறிஆடு
155,Schwein::N,шошқа,பன்றி
156,Hund::N,ит,நாய்
157,Katze::N,мысық,பூனை
158,Bär::N,аю,கரடி
159,Eichhörnchen::N,тиін,அணில்
160,Elch::N,бұғы,கடம்பை
161,Fuchs::N,түлкі,நரி
162,Hase::N,қоян,முயல்
163,Maus::N,қаптесер,எலி
164,Wolf::N,бөрі,ஓநாய்
165,Wolf::N,қасқыр,ஓநாய்
166,Vogel::N,құс,பறவை
167,Schwarm::N,топ,தொகுதி
168,Schwarm::N,үйір,தொகுதி
169,Huhn::N,тауық,கோழிக்குஞசு
170,Huhn::N,мекиен,கோழிக்குஞசு
171,Hahn::N,әтеш,சேவல்
172,Hahn::N,қораз,சேவல்
173,Gans::N,қаз,பெண் வாத்து
174,Adler::N,бүркіт,பருநது
175,Ente::N,үйрек,வாத்து
176,Eule::N,жапалақ,ஆந்தை
177,Kranich::N,тырна,நாரை
178,Krähe::N,қарға,காகம்
179,Kuckuck::N,көкек,குயில்
180,Schwan::N,аққу,அன்னம்
181,Fisch::N,балық,மீன்
182,Barsch::N,алабұға,பேர்ச்
183,Hecht::N,шортан,கோலாச்சி மீன்
184,Schlange[Tier]::N,жылан,பாம்பு
185,Wurm::N,шұбалшаң,புழு
186,Spinne::N,өрмекші,சிலந்தி
187,Ameise::N,қүмырска,எறும்பு
188,Laus::N,бит,பேன்
189,Mücke::N,маса,கொசுவினப்பூச்சி
190,Fliege::N,шыбын,ஈ
191,Schmetterling::N,көбелек,வண்ணத்துப்பூச்சி
192,Beere::N,жидек,சதைப்பழம்
193,Apfel::N,алма,ஆப்பிள பழம்
194,Pilz::N,қозықұйрық,காளான்
195,Pilz::N,саңыраукулақ,காளான்
196,Zwiebel::N,жуа,வெங்காயம்
197,Saat::N,тұқым,விதை
198,Korn::N,дән,தானியம்
199,Heu::N,шөп,வைக்கோல்
200,Schale::N,қабық,தோல்
201,Schale::N,қабығы,தோல்
202,Grube::N,ор,குழி
203,Falle::N,дұзақ,பொறி
204,Falle::N,қақпан,பொறி
205,Schlinge::N,ілмек,கண்ணி
206,Spur::N,із,சுவடு
207,Asche::N,күл,சாம்பல்
208,Dreck::N,былғаныш,அழுக்கு
209,Eisen::N,темір,இரும்பு
210,Gold::N,алтын,தங்கம்
211,Silber::N,күміс,வெள்ளி
212,Kohle::N,көмір,நிலக்கரி
213,Glas::N,шыны,கண்ணாடி
214,Lehm::N,балшық,களிமண்
215,Sand::N,құм,மணல்
216,Mensch::N,адам,மனிதர்கள்
217,Mann::N,еркек,மனிதன்
218,Mann::N,ер адам,மனிதன்
219,Frau::N,бике,பெண்
220,Frau::N,қатын,பெண்
221,Kind::N,бала,குழந்தை
222,Kind::N,перзент,குழந்தை
223,Junge::N,бала,பையன்
224,Junge::N,ер бала,பையன்
225,Mädchen::N,қыз,சிறுமி
226,Familie::N,жанұя,குடும்பம்
227,Großvater::N,ата,தாத்தா
228,Großmutter::N,әже,பாட்டி
229,Großmutter::N,әжей,பாட்டி
230,Eltern::N,ата-аналар,பெற்றோர்
231,Vater::N,әке,தந்தை
232,Mutter::N,ана,தாய்
233,Sohn::N,ұл,மகன்
234,Tochter::N,қызым,மகள்
235,Bruder::N,бауырым,சகோதரன்
236,Schwester::N,әпке,அக்கா
237,Onkel::N,көке,தாய் மாமன்
238,Tante::N,тәте,அத்தை
239,Ehemann::N,ер,கணவன்
240,Ehefrau::N,зайып,மனைவி
