,Concept_ID,udm,lbe
0,Auge::N,син,я
1,Ohr::N,пель,вичӏи
2,Nase::N,ныр,май
3,Mund::N,ым,кьацӏ
4,Zahn::N,пинь,ккарччи
5,Zunge::N,кыл,маз
6,Lippe::N,ымдур,мурччи
7,Wange::N,бам,чӏав
8,Gesicht::N,ымныр,лажин
9,Stirn::N,кымес,ненттабакӏ
10,Haar::N,йырси,чӏара
11,Schnurrbart::N,мыйык,ссирссилтту
12,Bart::N,туш,чӏири
13,Kinn::N,ангес,лунттубакӏ
14,Kiefer[Anatomie]::N,ан,ххинчулул
15,Kiefer[Anatomie]::N,анлы,ххинчулул
16,Kehle::N,гульым,кьакьари
17,Hals::N,чырты,ссурссу
18,Genick::N,йырбер,махъабакӏ
19,Kopf::N,йыр,бакӏ
20,Rücken::N,мыш,ттиликӏ
21,Bauch::N,кӧт,лякьа
22,Nabel::N,гогы,цӏумуккутӏ
23,Busen::N,ноны,ккукку
24,Brust::N,мӧля,хъазам
25,Schulter::N,пельпум,хъачӏ
26,Arm::N,суй,ка
27,Ellenbogen::N,гырпум,ссюрхъ
28,Hand::N,ки,бартка
29,Handfläche::N,ки пыдэс,хъат
30,Handfläche::N,ки пыдэс,битӏянхъ
31,Handfläche::N,кырым пыдэс,хъат
32,Handfläche::N,кырым пыдэс,битӏянхъ
33,Finger::N,чиньы,кӏисса
34,Fingernagel::N,гижы,михь
35,Fingernagel::N,гиждӥнь,михь
36,Nagel[Anatomie]::N,гижы,михь
37,Zeh::N,пыдчиньы,кӏисса
38,Fuß::N,пыд,чӏанччан
39,Ferse::N,пыдбер,никъа
40,Knie::N,пыдес,ник
41,Oberschenkel::N,макес,жира
42,Bein::N,пыд,ччан
43,Körper::N,мугор,чурх
44,Körper::N,вылтыр,чурх
45,Haut::N,ку,бурчу
46,Blut::N,вир,оь
47,Ader::N,вирсэр,тунну
48,Sehne::N,вуж,хьхьа
49,Knochen::N,лы,ттаркӏ
50,Gehirn::N,вим,ня
51,Herz::N,сюлэм,дакӏ
52,Herz::N,сюлэм,къюкӏ
53,Magen::N,ӝуш,лякьа
54,Leber::N,мус,
55,Atem::N,лул,ссихӏ ласаву
56,Atem::N,лул,ссихӏ бигьаву
57,Atem::N,шокан,ссихӏ ласаву
58,Atem::N,шокан,ссихӏ бигьаву
59,Hunger::N,кӧтсюман,ккаши
60,Träne::N,синкыли,макь
61,Geschmack::N,шӧм,тӏин
62,Geschmack::N,шӧм,тӏааьн
63,Geruch::N,зын,кьанкь
64,Schlaf::N,вӧт,шану
65,Traum::N,уйвӧт,макӏру
66,Himmel::N,ин,ссав
67,Sonne::N,шунды,баргъ
68,Mond::N,толэзь,барз
69,Stern::N,кизили,цӏуку
70,Luft::N,омыр,гьава
71,Wind::N,тӧл,марч
72,Welle::N,тулкым,щатӏи
73,Wasser::N,ву,щин
74,Stein::N,из,чару
75,Boden::N,музъем,аьрщи
76,Erde::N,му,аьрщи
77,Staub::N,пыль,ххит
78,Rauch::N,ӵын,пуркӏу
79,Funke::N,гизьы,пиягь
80,Feuer::N,тыл,цӏу
81,Licht::N,тыл,чани
82,Schatten::N,вужер,ххют
83,Wetter::N,куазь,гьава
84,Nebel::N,бус,шархь ттурлу
85,Wolke::N,пилем,ттурлу
86,Regen::N,зор,гъарал
87,Schnee::N,лымы,марххала
88,Eis::N,йӧ,микӏ
89,Frost::N,кезьыт,дяркъу
90,Frost::N,кезьыт,замгьар
91,Kälte::N,кезьыт,дяркъу
92,Hitze::N,пӧсь,кӏиришиву
93,Raureif::N,гӧр,сил
94,Raureif::N,гӧр,бурса
95,Regenbogen::N,вуюись,ссурул ккуртта
96,Donner::N,гудыри,къув
97,Strömung::N,бызён,экьинанаву
98,Tropfen::N,шапык,кӏунтӏ
99,Schaum::N,шукы,хьама
100,Schmutz::N,нӧд,кьяркьи
101,Schmutz::N,дэри,кьяркьи
102,See::N,ты,бяр
103,Sumpf::N,нюр,кунцӏа
104,Moor::N,нюр,
105,Wiese::N,возь,кьан
106,Wiese::N,возьвыл,кьан
107,Wald::N,сик,вацӏа
108,Wald::N,нюлэс,вацӏа
109,Hügel::N,выр,бакӏу
110,Hügel::N,вырйыл,бакӏу
111,Anhöhe::N,выр,
112,Anhöhe::N,вырйыл,
113,Berg::N,гурезь,зунтту
114,Gipfel::N,йыл,мицӏ
115,Höhle::N,гу,нух
116,Abhang::N,бам,сун
117,Quelle::N,ошмес,дайдихьу
118,Quelle::N,ошмес,бакӏ
119,Bach::N,пичи шур,чӏрир нех
120,Fluss::N,шур,нех
121,Ufer::N,ярдур,зума
122,Küste::N,вудур,зумаинхалу
123,Küste::N,вудур,зуманицӏалу
124,Festland::N,мувыр,кьири
125,Meer::N,зарезь,хьхьири
126,Bucht::N,вукож,
127,Insel::N,вумуӵ,жазира
128,Insel::N,шормуӵ,жазира
129,Blume::N,сяська,тӏутӏи
130,Gras::N,турын,уртту
131,Wurzel::N,выжы,мархха
132,Baum::N,пу,мурхь
133,Stamm::N,модос,ттарцӏ
134,Rinde::N,сул,ккамара
135,Ast::N,ул,матӏи
136,Zweig::N,вай,къяртта
137,Blatt::N,куар,чӏапӏи
138,Birke::N,кызьпу,кӏялахӏи
139,Birke::N,кызьпу,кӏялахӏилул мурхь
140,Kiefer[Baum]::N,пужым,ттар
141,Kiefer[Baum]::N,пужым,ттарлил мурхь
142,Weide[Baum]::N,бадьпу,щавщи
143,Tanne::N,кыз,ттарлил мурхь
144,Horn::N,сюр,хъи
145,Feder::N,тылы,лелуххул тӏиму
146,Fell::N,ку,бурчу
147,Flügel::N,бурд,хъа
148,Flügel::N,бурд,ххурупӏайрал тӏиму
149,Klaue::N,гижы,михь
150,Kralle::N,пыд,ххяппа
151,Schwanz::N,быж,магъ
152,Ei::N,пуз,ккунук
153,Ei::N,кукей,ккунук
154,Nest::N,кар,кюру
155,Nest::N,пузкар,кюру
156,Bau::N,кар,цукъуккутӏ
157,Bau::N,гу,цукъуккутӏ
158,Tier::N,пӧйшур,хӏайван
159,Herde::N,уллё,газу
160,Kuh::N,скал,оьл
161,Bulle::N,ош,ниц
162,Bulle::N,пороз,ниц
163,Pferd::N,вал,чу
164,Schaf::N,ыж,тта
165,Schwein::N,парсь,дунгъуз
166,Hund::N,пуны,ккаччи
167,Katze::N,коӵыш,ччиту
168,Bär::N,гондыр,цуша
169,Eichhörnchen::N,коньы,бюрхттукку
170,Elch::N,койык,ниц-бюрин
171,Fuchs::N,ӟичы,цулчӏа
172,Fuchs::N,ӟичы,куча цулчӏа
173,Hase::N,кеч,бюрх
174,Maus::N,шыр,кӏулу
175,Wolf::N,кион,барцӏ
176,Vogel::N,тылобурдо,лелуххи
177,Schwarm::N,уллё,гьухъала
178,Huhn::N,курег,аьнакӏи
179,Hahn::N,атас,ажари
180,Gans::N,ӟазег,къаз
181,Adler::N,ӧрзи,барзу
182,Ente::N,ӵӧж,урдак
183,Eule::N,кучыран,ису
184,Eule::N,кучыран,ччиккумяв
185,Kranich::N,тури,кьурукь
186,Krähe::N,куака,хъатӏу
187,Kuckuck::N,кикы,ччикку
188,Schwan::N,юсь,урттил къаз
189,Fisch::N,чорыг,чавахъ
190,Barsch::N,юш,
191,Hecht::N,чипей,
192,Schlange[Tier]::N,кый,шатта
193,Wurm::N,нумыр,кьюнукьай шатта
194,Spinne::N,чонари,ххялцу
195,Ameise::N,кузьыли,митӏикьукьу
196,Laus::N,тэй,
197,Mücke::N,нымы,мичӏак
198,Mücke::N,чибинь,мичӏак
199,Fliege::N,кут,зимиз
200,Schmetterling::N,бубыли,чӏимучӏали
201,Beere::N,узы-боры,хӏаллил ахъулсса
202,Apfel::N,яблок,гьивч
203,Pilz::N,губи,ттуккул иис
204,Zwiebel::N,сугон,лаччул чсмусул бакӏ
205,Saat::N,кидыс,гьанна
206,Korn::N,тысь,къама
207,Heu::N,турын,ххулув
208,Schale::N,кыд,ккиртту
209,Grube::N,гу,кӏаланг
210,Grube::N,гоп,кӏаланг
211,Falle::N,налик,къатӏа
212,Schlinge::N,гиӟ,хӏатӏ
213,Schlinge::N,герд,хӏатӏ
214,Spur::N,пытьы,ша
215,Spur::N,бервыл,ша
216,Asche::N,пень,лах
217,Dreck::N,дэри,кьяркьи
218,Dreck::N,дэри,венп
219,Eisen::N,корт,мах
220,Gold::N,зарни,муси
221,Silber::N,азвесь,арцу
222,Kohle::N,эгыр,кӏалаш
223,Kohle::N,эгыр,хъуручӏ
224,Glas::N,стекло,пюрун
225,Glas::N,пияла,пюрун
226,Lehm::N,сюй,сина аьрщи
227,Sand::N,луо,къун
228,Mensch::N,мурт,инсан
229,Mensch::N,адями,инсан
230,Mann::N,воргорон,чув
231,Mann::N,воргорон,адимина
232,Frau::N,кышномурт,щарсса
233,Frau::N,кышномурт,хъамитайпа
234,Kind::N,нуны,чӏиви оьрчӏ
235,Kind::N,пинал,чӏиви оьрчӏ
236,Junge::N,пи,оьрчӏ
237,Junge::N,пи,бурхьин оьрчӏ
238,Mädchen::N,ныл,душ
239,Familie::N,семья,кулпат
240,Großvater::N,песятай,ттатта
241,Großvater::N,песятай,ниттил ппу
242,Großvater::N,пересь атай,ттатта
243,Großvater::N,пересь атай,ниттил ппу
244,Großmutter::N,песянай,буттал нину
245,Großmutter::N,пересь анай,буттал нину
246,Eltern::N,атай-анай,нину-ппу
247,Eltern::N,бубы-мумы,нину-ппу
248,Vater::N,айы,ппу
249,Vater::N,атай,ппу
250,Mutter::N,мумы,нину
251,Sohn::N,пи,арс
252,Tochter::N,ныл,душ
253,Bruder::N,агай,уссу
254,Schwester::N,апа,ссу
255,Schwester::N,сузэр,ссу
256,Onkel::N,агай,буттауссу
257,Tante::N,апа,буттал ссу
258,Tante::N,кенак,буттал ссу
259,Ehemann::N,карт,лас
260,Ehefrau::N,кышно,щар
261,Ehefrau::N,кышно,щарсса
262,Freude::N,шумпотон,шадшиву
263,Freude::N,шумпотон,ххаришиву
264,Gelächter::N,горем,хъяхъаву
265,Glück::N,шуд,талихӏ
266,Kummer::N,кайгу,дард
267,Kummer::N,куректон,дард
268,Wunsch::N,мылпотон,мурад
269,Lust::N,потон,гьавас
270,Lust::N,потон,ччаву
271,Geist::N,лул,рухӏ
272,Gedanke::N,малпан,пикри
273,Gedächtnis::N,йырсазь,дакӏний личӏаву
