,Concept_ID,sk,ta
0,Auge::N,oko,கண்
1,Ohr::N,ucho,காது
2,Nase::N,nos,மூக்கு
3,Mund::N,ústa,வாய்
4,Zahn::N,zub,பல்
5,Zunge::N,jazyk,நாக்கு
6,Lippe::N,pera,உதடு
7,Wange::N,líce,கன்னம்
8,Gesicht::N,tvár,முகம்
9,Gesicht::N,obličaj,முகம்
10,Stirn::N,čelo,முன்னெற்றி
11,Haar::N,vlas,முடி
12,Schnurrbart::N,fúzy,மீசை
13,Bart::N,brada,தாடி
14,Kinn::N,brada,கீழதாடை
15,Kiefer[Anatomie]::N,čeľusť,தாடை
16,Kehle::N,hrdlo,தொண்டை
17,Hals::N,krk,கழுத்து
18,Genick::N,väzy,கழுத்து
19,Kopf::N,hlava,தலை
20,Rücken::N,chrbát,முதுகு
21,Bauch::N,brucho,வயிறு
22,Nabel::N,pupok,தொப்புள்
23,Busen::N,prsia,மார்பகம்
24,Brust::N,hruď, மார்பு
25,Schulter::N,plece,தோள்பட்டை
26,Arm::N,rameno,கரம்
27,Ellenbogen::N,lakeť,முழங்கை
28,Hand::N,ruka,கை
29,Handfläche::N,dlaň,உள்ளங்கை
30,Finger::N,prst,விரல்
31,Fingernagel::N,necht,விரல் நகம்
32,Nagel[Anatomie]::N,necht,நகம்
33,Zeh::N,prst na nohe,கால்விரல்
34,Fuß::N,noha,கால்
35,Ferse::N,päta,குதிகால்
36,Knie::N,koleno,முழங்கால்
37,Oberschenkel::N,stehno,தொடை
38,Bein::N,noha,கால்
39,Körper::N,telo,உடல்
40,Haut::N,koža,சருமம்
41,Blut::N,krv,இரத்தம்
42,Ader::N,žila,நாளம்
43,Sehne::N,šľacha,தசைநார்
44,Knochen::N,kosť,எலுமபு
45,Gehirn::N,mozog,மூனை
46,Herz::N,srdce,இதயம
47,Magen::N,žalúdok,வயிறு
48,Leber::N,pečeň,கல்லீரல்
49,Atem::N,dych,மூச்சு
50,Hunger::N,hlad,பசி
51,Träne::N,slza,கண்ணீர்
52,Geschmack::N,chuť,நறுமணம்
53,Geruch::N,pach,துர்நாற்றம்
54,Schlaf::N,spánok,தூக்கம்
55,Traum::N,sen,கனவு
56,Himmel::N,nebo,வானம்
57,Sonne::N,slnko,சூரியன்
58,Mond::N,mesiac,சந்திரன்
59,Stern::N,hviezda,நட்சத்திரம்
60,Luft::N,vzduch,காறறு
61,Wind::N,vietor,காற்று
62,Welle::N,vlna,அலை
63,Wasser::N,voda,நீர்
64,Stein::N,kameň,கல்
65,Boden::N,zem,தரை
66,Boden::N,pôda,தரை
67,Erde::N,zem,மண்
68,Staub::N,prach,தூசி
69,Rauch::N,dym,புகை
70,Funke::N,iskra,தீப்பொறி
71,Feuer::N,oheň,தீ
72,Licht::N,svetlo,வெளிச்சம்
73,Schatten::N,tieň,நிழல்
74,Wetter::N,počasie,வானிலை
75,Nebel::N,hmla,பனிமூட்டம்
