,Concept_ID,nl,hu
0,Auge::N,oog,szem
1,Ohr::N,oor,fül
2,Nase::N,neus,orr
3,Mund::N,mond,száj
4,Zahn::N,tand,fog
5,Zunge::N,tong,nyelv
6,Lippe::N,lip,ajak
7,Wange::N,wang,orca
8,Gesicht::N,gelaat,arc
9,Gesicht::N,gezicht,arc
10,Stirn::N,voorhoofd,homlok
11,Haar::N,haar,haj
12,Schnurrbart::N,snor,bajusz
13,Bart::N,baard,szakáll
14,Kinn::N,kin,áll
15,Kiefer[Anatomie]::N,kaak,állkapocs
16,Kehle::N,keel,gége
17,Kehle::N,keel,torok
18,Kehle::N,strot,gége
19,Kehle::N,strot,torok
20,Hals::N,hals,nyak
21,Genick::N,nek,tarkó
22,Kopf::N,hoofd,fő
23,Kopf::N,hoofd,fej
24,Rücken::N,rug,hát
25,Bauch::N,buik,has
26,Nabel::N,navel,köldök
27,Busen::N,boezem,mell
28,Busen::N,boezem,kebel
29,Brust::N,borst,mell
30,Schulter::N,schouder,váll
31,Arm::N,arm,kar
32,Ellenbogen::N,elleboog,könyök
33,Hand::N,hand,kéz
34,Handfläche::N,handpalm,tenyér
35,Finger::N,vinger,ujj
36,Fingernagel::N,nagel,köröm
37,Nagel[Anatomie]::N,nagel,köröm
38,Zeh::N,teen,lábujj
39,Fuß::N,voet,láb
40,Ferse::N,hak,sarok
41,Ferse::N,hiel,sarok
42,Knie::N,knie,térd
43,Oberschenkel::N,dij,comb
44,Bein::N,been,láb
45,Bein::N,been,lábszár
46,Körper::N,lichaam,test
47,Haut::N,huid,bőr
48,Blut::N,bloed,vér
49,Ader::N,ader,ér
50,Sehne::N,pees,ín
51,Knochen::N,bot,csont
52,Knochen::N,been,csont
53,Knochen::N,knook,csont
54,Gehirn::N,hersenen,agy
55,Gehirn::N,hersenen,agyvelő
56,Herz::N,hart,szív
57,Magen::N,maag,gyomor
58,Leber::N,lever,máj
59,Atem::N,adem,lehelet
60,Atem::N,adem,lélegzet
61,Hunger::N,honger,éhség
62,Träne::N,traan,könny
63,Geschmack::N,smaak,íz
64,Geruch::N,geur,szag
65,Schlaf::N,slaap,álom
66,Schlaf::N,slaap,alvás
67,Traum::N,droom,álom
68,Himmel::N,hemel,ég
69,Himmel::N,hemel,menny
70,Sonne::N,zon,nap
71,Mond::N,maan,hold
72,Stern::N,ster,csillag
73,Luft::N,lucht,levegő
74,Wind::N,wind,szél
75,Welle::N,golf,hullám
76,Wasser::N,water,víz
77,Stein::N,steen,kő
78,Boden::N,grond,föld
79,Boden::N,grond,talaj
80,Erde::N,aarde,föld
81,Staub::N,stof,por
82,Rauch::N,rook,füst
83,Funke::N,vonk,szikra
84,Feuer::N,vuur,tűz
85,Licht::N,licht,fény
86,Schatten::N,schaduw,árnyék
87,Wetter::N,weer,idő
88,Wetter::N,weer,időjárás
89,Nebel::N,mist,köd
90,Nebel::N,nevel,köd
91,Wolke::N,wolk,felhő
92,Regen::N,regen,eső
93,Schnee::N,sneeuw,hó
94,Eis::N,ijs,jég
95,Frost::N,vorst,fagy
96,Kälte::N,kou,hideg
97,Kälte::N,koude,hideg
98,Hitze::N,hitte,hő
99,Hitze::N,hitte,hőség
100,Raureif::N,rijp,zúzmara
101,Regenbogen::N,regenboog,szivárvány
102,Donner::N,donder,dörgés
103,Donner::N,donder,mennydörgés
104,Strömung::N,stroming,áramlat
105,Tropfen::N,druppel,csepp
106,Schaum::N,schuim,hab
107,Schaum::N,schuim,tajték
108,Schmutz::N,vuil,piszok
109,See::N,meer,tó
110,Sumpf::N,moeras,mocsár
111,Moor::N,veen,láp
112,Wiese::N,wei,rét
113,Wiese::N,wei,mező
114,Wiese::N,weide,rét
115,Wiese::N,weide,mező
116,Wald::N,bos,erdő
117,Hügel::N,heuvel,domb
118,Anhöhe::N,hoogte,magaslat
119,Berg::N,berg,hegy
120,Gipfel::N,top,csúcs
121,Höhle::N,hol,barlang
122,Abhang::N,helling,lejtő
123,Quelle::N,bron,forrás
124,Bach::N,beek,patak
125,Fluss::N,stroom,folyó
126,Ufer::N,wal,part
127,Ufer::N,oever,part
128,Küste::N,kust,tengerpart
129,Festland::N,vasteland,szárazföld
130,Meer::N,zee,tenger
131,Bucht::N,baai,öböl
132,Bucht::N,inham,öböl
133,Insel::N,eiland,sziget
134,Blume::N,bloem,virág
135,Gras::N,gras,fű
136,Wurzel::N,wortel,gyökér
137,Baum::N,boom,fa
138,Stamm::N,stam,tő
139,Stamm::N,stam,törzs
140,Rinde::N,schors,kéreg
141,Ast::N,tak,ág
142,Zweig::N,twijg,gally
143,Blatt::N,blad,levél
144,Birke::N,berk,nyír
145,Kiefer[Baum]::N,den,fenyő
146,Weide[Baum]::N,wilg,fűz
147,Tanne::N,spar,fenyő
148,Horn::N,hoorn,szarv
149,Feder::N,veer,toll
150,Feder::N,pluim,toll
151,Fell::N,vel,szőr
152,Fell::N,vel,bunda
153,Flügel::N,vleugel,szárny
154,Klaue::N,klauw,köröm
155,Kralle::N,klauw,karom
156,Schwanz::N,staart,farok
157,Ei::N,ei,tojás
158,Nest::N,nest,fészek
159,Bau::N,hol,odú
160,Tier::N,dier,állat
161,Herde::N,kudde,nyáj
162,Herde::N,kudde,csorda
163,Kuh::N,koe,tehén
164,Bulle::N,stier,bika
165,Pferd::N,paard,ló
166,Schaf::N,schaap,juh
167,Schaf::N,schaap,birka
168,Schwein::N,varken,sertés
169,Hund::N,hond,eb
170,Hund::N,hond,kutya
171,Katze::N,kat,macska
172,Bär::N,beer,medve
173,Eichhörnchen::N,eekhoorntje,mókus
174,Elch::N,eland,jávorszarvas
175,Fuchs::N,vos,róka
176,Hase::N,haas,nyúl
177,Maus::N,muis,egér
178,Wolf::N,wolf,farkas
179,Vogel::N,vogel,madár
180,Schwarm::N,zwerm,raj
181,Huhn::N,kip,tyúk
182,Huhn::N,hoen,tyúk
183,Hahn::N,haan,kakas
184,Gans::N,gans,lúd
185,Gans::N,gans,liba
186,Adler::N,arend,sas
187,Ente::N,eend,kacsa
188,Eule::N,uil,bagoly
189,Kranich::N,kraanvogel,daru
190,Krähe::N,kraai,varjú
191,Kuckuck::N,koekoek,kakukk
192,Schwan::N,zwaan,hattyú
193,Fisch::N,vis,hal
194,Barsch::N,baars,sügér
195,Hecht::N,snoek,csuka
196,Schlange[Tier]::N,slang,kígyó
197,Wurm::N,worm,kukac
198,Spinne::N,spin,pók
199,Ameise::N,mier,hangya
200,Laus::N,luis,tetű
201,Mücke::N,mug,szúnyog
202,Fliege::N,vlieg,légy
203,Schmetterling::N,vlinder,lepke
204,Schmetterling::N,vlinder,pillangó
205,Beere::N,bes,bogyó
206,Apfel::N,appel,alma
207,Pilz::N,paddestoel,gomba
208,Zwiebel::N,ui,hagyma
209,Saat::N,zaad,vetőmag
210,Korn::N,graan,mag
211,Korn::N,graan,szem
212,Korn::N,korrel,mag
213,Korn::N,korrel,szem
214,Heu::N,hooi,széna
215,Schale::N,schil,héj
216,Grube::N,kuil,verem
217,Falle::N,val,csapda
