,Concept_ID,tt,ka
0,Auge::N,күз,თვალი
1,Ohr::N,колак,ყური
2,Nase::N,борын,ცხვირი
3,Mund::N,авыз,პირი
4,Mund::N,тамак,პირი
5,Zahn::N,теш,კბილი
6,Zunge::N,тел,ენა
7,Lippe::N,ирен,ბაგე
8,Wange::N,яңак,ლოყა
9,Gesicht::N,йөз,სახე
10,Stirn::N,маңгай,შუბლი
11,Haar::N,чәч,თმა
12,Schnurrbart::N,мыек,ულვაში
13,Bart::N,сакал,წვერი
14,Kinn::N,ияк,ნიკაპი
15,Kiefer[Anatomie]::N,казналык,ყბა
16,Kehle::N,тамак,ყელი
17,Hals::N,бугаз,ყელი
18,Hals::N,бугаз,კისერი
19,Genick::N,җилкә,კეფა
20,Kopf::N,баш,თავი
21,Rücken::N,сырт,ზურგი
22,Bauch::N,корсак,მუცელი
23,Nabel::N,кендек,ჭიპი
24,Busen::N,түш,ძუძუ
25,Brust::N,имчәк,მკერდი
26,Brust::N,күкрәк,მკერდი
27,Schulter::N,иңбаш,მხარი
28,Schulter::N,иңбаш,მკლავი
29,Schulter::N,кулбаш,მხარი
30,Schulter::N,кулбаш,მკლავი
31,Arm::N,кул,ხელი
32,Ellenbogen::N,терсәк,იდაყვი
33,Hand::N,кул,ხელი
34,Handfläche::N,уч,ნები
35,Handfläche::N,уч,ხელისგული
36,Finger::N,бармак,თითი
37,Fingernagel::N,тырнак,ფრჩხილი
38,Nagel[Anatomie]::N,тырнак,ფრჩხილი
39,Zeh::N,бармак,ფეხის თითი
40,Fuß::N,табан,ტერფი
41,Fuß::N,табан,ფეხისგული
42,Ferse::N,үкчә,ქუსლი
43,Knie::N,тез,მუხლი
44,Oberschenkel::N,бот,ბარძაყი
45,Bein::N,аяк,ფეხი
46,Körper::N,тән,ტანი
47,Körper::N,тән,სხეული
48,Körper::N,җисем,ტანი
49,Körper::N,җисем,სხეული
50,Haut::N,тире,კანი
51,Blut::N,кан,სისხლი
52,Ader::N,тамыр,ძარღვი
53,Sehne::N,сеңер,მყესი
54,Knochen::N,сөяк,ძვალი
55,Gehirn::N,ми,ტვინი
56,Herz::N,йөрәк,გული
57,Magen::N,ашказаны,კუჭი
58,Leber::N,бавыр,ღვიძლი
59,Atem::N,сулыш,სუნთქვა
60,Hunger::N,ачлык,შიმშილი
61,Träne::N,яшь,ცრემლი
62,Geschmack::N,тәм,გემო
63,Geschmack::N,зәвык,გემო
64,Geruch::N,ис,სუნი
65,Schlaf::N,йокы,ძილი
66,Traum::N,төш,სიზმარი
67,Himmel::N,күк,ცა
68,Sonne::N,кояш,მზე
69,Mond::N,ай,მთვარე
70,Stern::N,йолдыз,ვარსკვლავი
71,Luft::N,һава,ჰაერი
72,Wind::N,җил,ქარი
73,Welle::N,дулкын,ტალღა
74,Wasser::N,су,წყალი
75,Stein::N,таш,ქვა
76,Boden::N,туфрак,მიწა
77,Erde::N,җир,ნიადაგი
78,Staub::N,тузан,მტვერი
79,Rauch::N,төтен,ბოლი
80,Rauch::N,төтен,კვამლი
81,Funke::N,очкын,ნაკვესი
82,Feuer::N,ут,ცეცხლი
83,Licht::N,якты,შუქი
84,Licht::N,якты,სინათლე
85,Schatten::N,күләгә,ლანდი
86,Schatten::N,күләгә,ჩრდილი
87,Wetter::N,һава,ამინდი
88,Nebel::N,томан,ნისლი
89,Wolke::N,болыт,ღრუბელი
90,Regen::N,яңгыр,წვიმა
91,Schnee::N,кар,თოვლი
92,Eis::N,боз,თოში
93,Eis::N,боз,ყინული
94,Frost::N,суык,ყინვა
95,Frost::N,салкын,ყინვა
96,Kälte::N,суык,სიცივე
97,Kälte::N,салкын,სიცივე
98,Hitze::N,эсселек,სიცხე
99,Raureif::N,бәс,ჭირხლი
100,Raureif::N,бәс,თრთვილი
101,Raureif::N,сыкы,ჭირხლი
102,Raureif::N,сыкы,თრთვილი
103,Regenbogen::N,салават күпере,ცისარტყელა
104,Donner::N,күкрәү,ქუხილი
105,Strömung::N,агыш'агым,დინება
106,Tropfen::N,тамчы,წვეთი
107,Schaum::N,күбек,ქაფი
108,Schaum::N,күбек,დორბლი
109,Schmutz::N,пычрак,ჭუჭყი
110,Schmutz::N,пычрак,ტალახი
111,See::N,күл,ტბა
112,Sumpf::N,саз,ჭაობი
113,Moor::N,торфлык,ტორფნარი
114,Wiese::N,болын,ველი
115,Wiese::N,болын,მდელო
116,Wald::N,урман,ტყე
117,Hügel::N,калку,ბორცვი
118,Anhöhe::N,үр,მაღლობი
119,Berg::N,тау,მთა
120,Gipfel::N,оч,მწვერვალი
121,Höhle::N,мәгарә,მღვიმე
122,Höhle::N,мәгарә,გამოქვებული
123,Abhang::N,кабырга,ფერდობი
124,Quelle::N,чишмә,წყარო
125,Quelle::N,чишмә,სათავე
126,Bach::N,елга,რუ
127,Bach::N,елга,ნაკადული
128,Fluss::N,дәрья,მდინარე
129,Ufer::N,су кырые,კიდე
130,Ufer::N,су кырые,ნაპირი
131,Küste::N,яр буе,ნაპირი
132,Festland::N,коры җир,ხმელეთი
133,Meer::N,диңгез,ზღვა
134,Bucht::N,бухта,ყურე
135,Bucht::N,култык,ყურე
136,Insel::N,атау,კუნძული
137,Insel::N,утрау,კუნძული
138,Blume::N,чәчкә,ყვავილი
139,Gras::N,үлән,ბალახი
140,Wurzel::N,тамыр,ძირი
141,Wurzel::N,тамыр,ფესვი
142,Baum::N,агач,ხე
143,Stamm::N,кәүсә,ტანი
144,Rinde::N,кабык,ქერქი
145,Ast::N,ботак,ტოტი
146,Zweig::N,ботак,შტო
147,Zweig::N,тармак,შტო
